お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,1位,ぴのこ,過去にタイムスリップし、痴漢の親を寝取り痴漢が産まれない世界線にする,16,65.1,異動君/tetote/化粧品/Jコム男/ズリ/ねびるハマチキ(2)/雪国のイッサイガッサイ(2)/千里/現世細木数男/たらちね空を飛ぶ/くれないだろう/泣く日もある重田/ありちゃん/るめから
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,1位,尻銃装填,楽器隊が現れ痴漢とジャズのセッションを求められる,16,65.1,tetote(2)/化粧品/Jコム男/ズリ/ねびるハマチキ/雪国のイッサイガッサイ/千里(2)/現世細木数男/たらちね空を飛ぶ(2)/くれないだろう/ｚｅｚｅ/泣く日もある重田/るめから
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,3位,エンパイ2貫を食う,確変に入って身体から手が離れない,15,62.53,異動君/Jコム男/ズリ(3)/ねびるハマチキ/雪国のイッサイガッサイ/千里/たらちね空を飛ぶ/ティチィ(2)/くれないだろう/ｚｅｚｅ(2)/るめから
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,4位,くれないだろう,お尻周りに積乱雲が発生している,14,59.97,異動君/tetote/化粧品/Jコム男(2)/ズリ(2)/ねびるハマチキ(2)/ケアしてねパーマン/現世細木数男/ｚｅｚｅ/ありちゃん/るめから
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,5位,化粧品,それでも優しい地元のツレ,13,57.4,tetote(2)/Jコム男(2)/ズリ/ねびるハマチキ/雪国のイッサイガッサイ(2)/千里/ケアしてねパーマン/くれないだろう/ｚｅｚｅ/泣く日もある重田
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,5位,最近の外人,お母さんの手紙を読ませられる,13,57.4,異動君/tetote(2)/化粧品/Jコム男/ねびるハマチキ(2)/雪国のイッサイガッサイ(2)/ケアしてねパーマン/現世細木数男/ｚｅｚｅ/泣く日もある重田
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,7位,ラムネ,同じ車両に古畑が5人くらいいる,12,54.83,異動君/おさむ(3)/Jコム男/ねびるハマチキ(2)/雪国のイッサイガッサイ/ケアしてねパーマン/ティチィ/ありちゃん/るめから
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,8位,現世細木数男,なんでも鑑定団が触った手を鑑定してくる,11,52.26,tetote/化粧品/Jコム男/ズリ/ねびるハマチキ/雪国のイッサイガッサイ/ティチィ/ｚｅｚｅ/泣く日もある重田/ありちゃん/るめから
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,9位,F5連,法学部の議論する場にワープする,10,49.69,ニンニク大好き/化粧品/Jコム男(2)/ズリ/ねびるハマチキ/ケアしてねパーマン/ティチィ/ありちゃん/るめから
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,10位,ズリ,振り向いたらめちゃめちゃ奇面,9,47.12,tetote/化粧品/Jコム男/雪国のイッサイガッサイ/現世細木数男/くれないだろう(2)/ｚｅｚｅ/泣く日もある重田
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,11位,ねびるハマチキ,自分がふんどしになって太い腕に触られる,8,44.56,異動君/tetote/Jコム男/千里/現世細木数男/ティチィ/くれないだろう/ｚｅｚｅ
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,12位,gife,オクラハマミキサーが流れる,7,41.99,tetote/Jコム男/現世細木数男/ティチィ(2)/くれないだろう/泣く日もある重田
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,12位,るめから,シンプルに床が抜ける,7,41.99,tetote/化粧品/ケアしてねパーマン(2)/くれないだろう/泣く日もある重田/ありちゃん
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,12位,千里,痴漢相手が上司,7,41.99,異動君/tetote/化粧品/現世細木数男/くれないだろう/泣く日もある重田/ありちゃん
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,15位,ぽんちゃん,尻に元カノのタトゥー,6,39.42,ぴのこ/Jコム男(2)/現世細木数男/ティチィ/泣く日もある重田
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,16位,Jコム男,絶対に助からない数のスズメバチが出てくる,5,36.85,tetote/雪国のイッサイガッサイ/千里/現世細木数男/ｚｅｚｅ
1982_5985_WNV,2021-11-28,17人,世にも恐ろしい痴漢撃退法を教えてください,NA,17位,泣く日もある重田,相手がKABAちゃん,3,31.72,現世細木数男/たらちね空を飛ぶ/くれないだろう
