お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,1位,ニンニク大好き,SASUKEの剃り立つ壁みたいになっている,15,67.37,tetote/化粧品/Jコム男(2)/ズリ/ねびるハマチキ(2)/現世細木数男/たらちね空を飛ぶ/ティチィ/くれないだろう/ｚｅｚｅ(2)/ありちゃん(2)
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,2位,Jコム男,横から雷が降る,12,58.58,異動君/ズリ/ねびるハマチキ/雪国のイッサイガッサイ/ケアしてねパーマン(2)/現世細木数男/たらちね空を飛ぶ/ティチィ/くれないだろう/泣く日もある重田/ありちゃん
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,2位,ティチィ,腐った寿司と泣き止まない板前,12,58.58,tetote/化粧品/ズリ/ねびるハマチキ/ケアしてねパーマン(2)/現世細木数男/たらちね空を飛ぶ/くれないだろう/ｚｅｚｅ/泣く日もある重田/スコーピオンみゆき
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,4位,tetote,誰かが無理矢理挿入しようとしてくる,11,55.66,ぴのこ/異動君/化粧品/ズリ/ケアしてねパーマン/現世細木数男/くれないだろう/ｚｅｚｅ/泣く日もある重田/スコーピオンみゆき(2)
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,4位,ありちゃん,黒帯のおじさんがとても強い,11,55.66,Jコム男/ズリ/ねびるハマチキ/ケアしてねパーマン(2)/現世細木数男/たらちね空を飛ぶ/ティチィ/くれないだろう/泣く日もある重田/スコーピオンみゆき
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,4位,るめから,木下優樹菜がタピオカで気を失いそうなくらいスベってる,11,55.66,化粧品/Jコム男/ねびるハマチキ/千里/ケアしてねパーマン/現世細木数男/たらちね空を飛ぶ/くれないだろう(2)/ありちゃん/スコーピオンみゆき
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,4位,現世細木数男,火柱が立つ,11,55.66,異動君/tetote(2)/化粧品/ねびるハマチキ/ケアしてねパーマン/たらちね空を飛ぶ/ティチィ(2)/くれないだろう/ｚｅｚｅ
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,8位,異動君,照れながら道を塞ぐ人がいる,10,52.73,ぴのこ/Jコム男/ねびるハマチキ/千里/ケアしてねパーマン/現世細木数男/ティチィ/ｚｅｚｅ/泣く日もある重田/スコーピオンみゆき
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,8位,雪国のイッサイガッサイ,国境間にあるので思想がとても強い,10,52.73,異動君/tetote/Jコム男/ズリ/ねびるハマチキ/ケアしてねパーマン/たらちね空を飛ぶ/くれないだろう/泣く日もある重田/ありちゃん
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,10位,ズリ,"うずくまる女に声をかけるとその場でフラれる
",8,46.87,異動君/Jコム男/雪国のイッサイガッサイ/ケアしてねパーマン/たらちね空を飛ぶ/ティチィ/くれないだろう/スコーピオンみゆき
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,11位,ケアしてねパーマン,結婚相談所の人に格付けられる,7,43.94,tetote/化粧品/千里/ｚｅｚｅ/泣く日もある重田(2)/スコーピオンみゆき
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,11位,千里,そういうオリンピックだって話,7,43.94,ぴのこ/異動君/化粧品/Jコム男/ズリ/ケアしてねパーマン(2)
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,13位,くれないだろう,途中にあるセブンイレブンがぼったくる,6,41.02,tetote/Jコム男/ねびるハマチキ/たらちね空を飛ぶ/ｚｅｚｅ/ありちゃん
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,14位,化粧品,保証人を探す人がウジャウジャいる,3,32.23,ティチィ/ありちゃん/スコーピオンみゆき
5923_2123_KYN,2021-12-02,15人,こんな渡り廊下は嫌だ。どんな渡り廊下？,NA,15位,ねびるハマチキ,はじめしゃちょーの家,2,29.3,異動君/ティチィ
