お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,1位,tetote,あいつそんなに怖かったんだなって思ってもらえる,14,67.86,化粧品/ねびるハマチキ/千里(2)/jun/ケアしてねパーマン/現世細木数男/ティチィ/くれないだろう/ｚｅｚｅ(2)/泣く日もある重田/ありちゃん/るめから
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,2位,ティチィ,おばあちゃんにいっぱい食べさせられても後で覚えてろって思える,12,61.13,ねびるハマチキ/千里(2)/現世細木数男/たらちね空を飛ぶ(2)/ｚｅｚｅ/泣く日もある重田/ありちゃん(2)/るめから(2)
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,3位,くれないだろう,映画監督のような厳しい表情,11,57.76,Jコム男/ズリ/ねびるハマチキ/千里(2)/現世細木数男/ティチィ/ｚｅｚｅ/泣く日もある重田/ありちゃん(2)
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,3位,千里,うんこ漏らしから始まるラブストーリー,11,57.76,異動君(3)/化粧品/ねびるハマチキ/現世細木数男/ティチィ/くれないだろう(2)/ありちゃん/るめから
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,5位,るめから,毎日誰かに銃口を向けてる気分,10,54.4,異動君/ねびるハマチキ(2)/千里(2)/ケアしてねパーマン/現世細木数男/ｚｅｚｅ/泣く日もある重田/ありちゃん
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,6位,ねびるハマチキ,ある種の武士道みたいな,9,51.03,異動君/ケアしてねパーマン(2)/現世細木数男/たらちね空を飛ぶ/ティチィ/くれないだろう/ありちゃん/るめから
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,6位,化粧品,時に飲食店を妨害できる,9,51.03,異動君/Jコム男/ねびるハマチキ/ティチィ/くれないだろう/ｚｅｚｅ/泣く日もある重田/ありちゃん/るめから
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,6位,異動君,肛門が工場の最強の機械に並ぶ,9,51.03,化粧品/Jコム男/ねびるハマチキ/ティチィ/ｚｅｚｅ/泣く日もある重田/ありちゃん/るめから(2)
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,9位,ありちゃん,たまにダイヤモンドになる,8,47.66,化粧品/ねびるハマチキ/現世細木数男/たらちね空を飛ぶ(2)/ティチィ/るめから(2)
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,10位,ケアしてねパーマン,冠婚葬祭を一瞬でダメにする,7,44.3,化粧品(2)/たらちね空を飛ぶ/ティチィ/くれないだろう/るめから(2)
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,11位,現世細木数男,AVで30年安泰,5,37.57,千里/ケアしてねパーマン/たらちね空を飛ぶ/ティチィ/くれないだろう
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,11位,雪国のイッサイガッサイ,人々が平和ボケしない,5,37.57,化粧品/現世細木数男/たらちね空を飛ぶ/くれないだろう/泣く日もある重田
9598_1948_BCV,2021-12-04,13人,便秘の利点を教えてください,NA,13位,Jコム男,時間に詳しい,3,30.84,現世細木数男/ありちゃん(2)
