お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,1位,jun,カチカチの状態から口に放り込むと試合終了まで楽しめるとメジャーリーガーに大人気,15,71.23,T（てぃー）/Tomy@Sweden/あいすたべたい(2)/ぽんちゃん/F5連(2)/尻銃装填(2)/チェンジアップ/まかお。/最近の外人(2)/チャーリー/シド
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,2位,T（てぃー）,餅の粉で作った煙を吸って数時間を飛び越える,13,63.76,Tomy@Sweden/あいすたべたい(2)/ぽんちゃん/F5連(2)/まかお。/最近の外人(2)/gife/チャーリー(2)/シド
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,2位,ラムネ,ゾロリが喉に詰まって死ぬところから始まるストーリー,13,63.76,T（てぃー）(3)/Tomy@Sweden(2)/あいすたべたい(2)/ぽんちゃん/F5連/尻銃装填/チェンジアップ/まかお。/最近の外人
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,4位,ぴのこ,フルマラソン終盤の補給所にある,12,60.02,T（てぃー）/ぽんちゃん(2)/F5連(2)/jun/チェンジアップ/まかお。(2)/最近の外人/チャーリー/シド
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,5位,まかお。,混んでるファミマのレジで体験コーナーとして餅をついてる,11,56.29,T（てぃー）/あいすたべたい(2)/ぽんちゃん(2)/F5連/尻銃装填(2)/チェンジアップ(2)/シド
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,5位,スコーピオンみゆき,眼鏡に張り付いて明日が見えない,11,56.29,T（てぃー）(3)/Tomy@Sweden/あいすたべたい/F5連/jun/尻銃装填/まかお。(2)/gife
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,7位,F5連,本格派女性シンガーが大きい餅に座ってるライブ,10,52.55,T（てぃー）/Tomy@Sweden/あいすたべたい/jun(2)/チェンジアップ/まかお。/最近の外人/gife/チャーリー
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,7位,あいすたべたい,「決勝で会おう」とすれ違う瞬間に相手の口に詰める,10,52.55,T（てぃー）(2)/Tomy@Sweden/ぽんちゃん/F5連/チェンジアップ/最近の外人/チャーリー(2)/シド
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,9位,たらちね空を飛ぶ,泣いて笑って一生の思い出にする,9,48.82,Tomy@Sweden/あいすたべたい/ぽんちゃん/F5連/尻銃装填/チェンジアップ(2)/まかお。/チャーリー
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,9位,チェンジアップ,餅うがいで死ぬ,9,48.82,T（てぃー）(3)/あいすたべたい/ぽんちゃん/F5連/尻銃装填/まかお。/シド
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,9位,チャーリー,勘違いした男の腰の動きで作った餅,9,48.82,あいすたべたい/ぽんちゃん/F5連/jun/チェンジアップ/まかお。(2)/最近の外人/シド
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,9位,泣く日もある重田,ピラミッドの一部みたいに奴隷が運び出す,9,48.82,T（てぃー）/Tomy@Sweden(2)/ぽんちゃん(2)/F5連(2)/チェンジアップ/チャーリー
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,13位,ムギヒッヒ,室伏のハンマー投げを見て閃いた,8,45.08,T（てぃー）(2)/Tomy@Sweden/F5連/チェンジアップ/まかお。/チャーリー/シド
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,14位,gife,そのままいく,7,41.34,Tomy@Sweden/ムギヒッヒ(2)/ぽんちゃん/チェンジアップ/チャーリー(2)
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,14位,ぽんちゃん,落ちてる輪ゴムを集めて作る,7,41.34,T（てぃー）/Tomy@Sweden/あいすたべたい/F5連(2)/尻銃装填/ラムネ
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,14位,ズリ,しっかり焼いて捨てる,7,41.34,T（てぃー）/Tomy@Sweden/ムギヒッヒ/jun/チェンジアップ/まかお。/最近の外人
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,14位,尻銃装填,鬱になった先生がチョークで作る,7,41.34,T（てぃー）/Tomy@Sweden/あいすたべたい/チェンジアップ(2)/まかお。/シド
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,18位,ｚｅｚｅ,プロ棋士の「パチン！」の摩擦で焼く,6,37.61,T（てぃー）/あいすたべたい(2)/まかお。/最近の外人/チャーリー
1274_2604_OGF,2021-12-11,19人,新しいお餅の食べ方とは？,NA,19位,Tomy@Sweden,満員電車のみんなで踏む,4,30.13,F5連/チェンジアップ/最近の外人/チャーリー
