お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,1位,千里,記録的なスプリント,16,71.22,異動君/tetote(2)/T（てぃー）/Jコム男(2)/jun/現世細木数男/たらちね空を飛ぶ/まかお。(2)/最近の外人(2)/びろびろーん(3)
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,2位,泣く日もある重田,本読んでる人に片っ端から「メガネ」ってあだ名つけてく,13,62.19,ズマトン/tetote/T（てぃー）(2)/淀川流水/現世細木数男/たらちね空を飛ぶ(2)/まかお。/最近の外人/ティチィ(2)/びろびろーん
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,3位,ぴのこ,ダンソンフィーザキー,12,59.19,tetote/淀川流水/Jコム男/ねびるハマチキ/尻銃装填/現世細木数男(2)/たらちね空を飛ぶ(2)/まかお。/最近の外人/ラムネ
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,4位,ズリ,本の世界に没頭してる人の肩を竹刀で叩く,11,56.18,ズマトン/tetote/Jコム男(2)/ねびるハマチキ/尻銃装填/現世細木数男/たらちね空を飛ぶ/ラムネ(2)/びろびろーん
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,4位,ムギヒッヒ,巻き舌,11,56.18,淀川流水/ねびるハマチキ/千里/尻銃装填/現世細木数男(2)/たらちね空を飛ぶ(2)/まかお。/ティチィ(2)
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,4位,尻銃装填,その辺でたこ焼き屋を始める,11,56.18,Jコム男/ねびるハマチキ/千里/現世細木数男/たらちね空を飛ぶ(2)/最近の外人(2)/ティチィ/ラムネ(2)
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,4位,異動君,遠慮が無いせんべいの食べ方,11,56.18,T（てぃー）/千里/jun/たらちね空を飛ぶ/最近の外人/ティチィ(2)/ラムネ/びろびろーん(3)
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,8位,スコーピオンみゆき,前髪長い人をチョキチョキ切ってく,10,53.17,Jコム男/ねびるハマチキ/千里/尻銃装填/現世細木数男/たらちね空を飛ぶ/最近の外人(2)/ティチィ/ラムネ
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,8位,淀川流水,おしりにしおりを挟む,10,53.17,ぴのこ(2)/T（てぃー）(2)/Jコム男/まかお。(2)/ティチィ/ラムネ(2)
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,10位,くれないだろう,本の中に吸いこまれる的な白目,8,47.15,tetote/ねびるハマチキ/jun/尻銃装填(2)/たらちね空を飛ぶ/ティチィ/ラムネ
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,10位,ティチィ,部屋にゴキブリが出た女子大生の騒ぎ方,8,47.15,tetote/Jコム男/ねびるハマチキ/千里/尻銃装填/最近の外人/ラムネ(2)
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,10位,余馬,190cmあるモデルとかくれんぼする,8,47.15,tetote/Jコム男/ねびるハマチキ/現世細木数男/最近の外人/ティチィ/ラムネ(2)
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,10位,化粧品,弁当食べて周りに睨みを効かせる土方みたいな目,8,47.15,異動君/T（てぃー）(2)/ねびるハマチキ/現世細木数男/ティチィ(2)/ラムネ
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,14位,jun,積み重ねた辞書に乗って上の本を物色する,7,44.15,tetote/Jコム男/尻銃装填/たらちね空を飛ぶ/最近の外人/ラムネ(2)
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,15位,シド,メントスコーラの撮影,6,41.14,tetote/現世細木数男/たらちね空を飛ぶ/まかお。/ティチィ/ラムネ
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,16位,雪国のイッサイガッサイ,CMみたいな喉越し,5,38.13,jun/現世細木数男/たらちね空を飛ぶ/最近の外人/ラムネ
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,17位,Tomy@Sweden,異性と人口を増やす,4,35.12,tetote/ねびるハマチキ/現世細木数男/ラムネ
5295_4683_JDY,2021-12-15,18人,図書館でやってはいけないこと31位,NA,18位,現世細木数男,パパラッチで稼ぐ,2,29.11,Jコム男/たらちね空を飛ぶ
