お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,1位,尻銃装填,"じゃんけんで「グー」「チョキ」「パー」の他に「権威」も追加する
",20,71.26,T（てぃー）(2)/つん(3)/ねびるハマチキ(2)/雪国のイッサイガッサイ(3)/ぽんちゃん/チェンジアップ(2)/現世細木数男/ラムネ/泣く日もある重田(2)/チャーリー/ありちゃん/スコーピオンみゆき
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,2位,T（てぃー）,花見の場所取りの印に置いて場所もトロフィーも取られる,19,68.81,ねびるハマチキ/雪国のイッサイガッサイ(2)/ぽんちゃん(2)/尻銃装填/チェンジアップ(2)/現世細木数男/泣く日もある重田(3)/gife/チャーリー(3)/ありちゃん/スコーピオンみゆき(2)
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,3位,あいすたべたい,"「僕アニメとか興味無いっすよｗ」の後に出す
",17,63.91,T（てぃー）(3)/ねびるハマチキ/雪国のイッサイガッサイ/尻銃装填/チェンジアップ(3)/泣く日もある重田(3)/チャーリー/ありちゃん(2)/スコーピオンみゆき(2)
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,4位,ねぼすけ,折り返し地点,16,61.46,T（てぃー）/淀川流水/つん/ねびるハマチキ/雪国のイッサイガッサイ(2)/ぽんちゃん/尻銃装填/チェンジアップ/現世細木数男(2)/チャーリー(2)/ありちゃん/スコーピオンみゆき(2)
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,5位,つん,地図に投げて刺さった場所が次回の大会開催地,14,56.56,T（てぃー）/淀川流水/ねびるハマチキ(2)/ぽんちゃん/尻銃装填(2)/チェンジアップ/現世細木数男/泣く日もある重田(2)/ありちゃん/スコーピオンみゆき(2)
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,6位,シド,柔道場に投げ入れて誰かを大怪我させる,13,54.11,T（てぃー）/Tomy@Sweden/ねびるハマチキ(2)/ぽんちゃん/尻銃装填/チェンジアップ(2)/泣く日もある重田(2)/チャーリー/ありちゃん/スコーピオンみゆき
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,6位,チャーリー,面接で緊張して何も言えない時にカバンから出す,13,54.11,ズマトン/T（てぃー）/つん/ねびるハマチキ(2)/雪国のイッサイガッサイ/ぽんちゃん/チェンジアップ(2)/現世細木数男/ラムネ(2)/泣く日もある重田
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,8位,Tomy@Sweden,スクイズを嫌がるスラッガーに裏で触らせる,12,51.66,T（てぃー）(2)/ねびるハマチキ(2)/雪国のイッサイガッサイ/尻銃装填(2)/チェンジアップ/gife/チャーリー/スコーピオンみゆき(2)
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,8位,すなお,足ツボ,12,51.66,T（てぃー）/Tomy@Sweden/雪国のイッサイガッサイ(3)/ぽんちゃん(2)/チェンジアップ/現世細木数男(2)/ラムネ/チャーリー
8391_8724_XAN,2021-12-22,22人,トロフィーの飾る以外の使い方を教えてください　,NA,8位,チェンジアップ,子どものレゴにぶつけて優勝の凄さを思い知らせる,12,51.66,T（てぃー）/つん(2)/ねびるハマチキ(2)/雪国のイッサイガッサイ(2)/ぽんちゃん/尻銃装填/現世細木数男/泣く日もある重田/スコーピオンみゆき
