お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,1位,Tomy@Sweden,壊れたたまごっちを直せる人,12,65.39,ズマトン/異動君/tetote/現世細木数男/たらちね空を飛ぶ(2)/最近の外人/gife(3)/スコーピオンみゆき/シド
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,1位,まかお。,"古き良き時代の感覚で象牙の塔を建てたジジイ
",12,65.39,tetote(2)/現世細木数男(2)/たらちね空を飛ぶ/ティチィ/ラムネ(2)/gife(2)/シド(2)
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,3位,チャーリー,"違法アップロードの動画の終わりに流すやばい音楽を作る人
",11,61.33,tetote(2)/つん/ズリ/現世細木数男/たらちね空を飛ぶ/最近の外人/ティチィ/ｚｅｚｅ/ラムネ/泣く日もある重田
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,3位,尻銃装填,ヘキサゴンファミリー,11,61.33,ズマトン/tetote(2)/淀川流水(3)/ズリ/現世細木数男(2)/泣く日もある重田/gife
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,5位,チェンジアップ,"おっとおでんの玉子ここでも強い
",10,57.26,つん(2)/たらちね空を飛ぶ(2)/最近の外人/ラムネ(2)/泣く日もある重田(2)/gife
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,6位,gife,"鍋をカンカン叩いて起こしに来る幼馴染
",9,53.2,異動君(2)/tetote/ズリ(2)/現世細木数男/最近の外人(2)/シド
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,6位,あいすたべたい,"錆びすぎて子どものお尻を終わらせた滑り台
",9,53.2,異動君/tetote/つん/現世細木数男/ティチィ(2)/ｚｅｚｅ/ラムネ/gife
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,6位,シド,有休を全て体調不良に使った寝間着の処女,9,53.2,異動君/tetote/ズリ(2)/たらちね空を飛ぶ/ｚｅｚｅ/泣く日もある重田/gife(2)
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,6位,スコーピオンみゆき,全盛期のホンジャマカ,9,53.2,tetote/ズリ/現世細木数男/ｚｅｚｅ/ラムネ(2)/泣く日もある重田(2)/gife
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,6位,ラムネ,"子供にモデルガンを撃って捕まった人
",9,53.2,tetote/ズリ/たらちね空を飛ぶ/最近の外人/ティチィ/ｚｅｚｅ/泣く日もある重田(2)/シド
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,11位,びろびろーん,生物学上オスに分類されるIKKO,8,49.14,tetote/たらちね空を飛ぶ/最近の外人/ティチィ/ｚｅｚｅ/gife(2)/スコーピオンみゆき
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,11位,エンパイ2貫を食う,"真ん中にあるモニターからパチンコ屋のピカピカが出てる
",8,49.14,異動君(2)/tetote/ラムネ/スコーピオンみゆき/シド(3)
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,13位,T（てぃー）,LINEの未来を背負わされてるあのクマ,7,45.08,ズマトン/異動君/tetote/最近の外人(2)/ｚｅｚｅ/gife
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,13位,ぽんちゃん,"水銀を飲まされたのに不味いで済む奴
",7,45.08,異動君/ズリ/たらちね空を飛ぶ/ｚｅｚｅ/ラムネ/gife/スコーピオンみゆき
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,13位,ズマトン,そう、それこそが「歴代総理大臣」,7,45.08,異動君/tetote/ティチィ(2)/泣く日もある重田/gife/シド
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,16位,F5連,目を潰されたけん玉のチャンピオン,6,41.02,異動君/ズリ/最近の外人/ｚｅｚｅ(3)
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,17位,泣く日もある重田,整体師になるためにめちゃくちゃ奨学金借りる奴,5,36.95,tetote/現世細木数男/たらちね空を飛ぶ/最近の外人/シド
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,18位,最近の外人,フリップを持った猿,4,32.89,ティチィ(2)/ｚｅｚｅ/泣く日もある重田
6954_8330_BHV,2021-12-24,19人,パンダを超える人気のなかまが動物園にやってきました,NA,19位,蟹光線,キムタク,3,28.83,最近の外人/泣く日もある重田(2)
