お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,1位,jun,コレを押させるだけで何もしなくても毎月5万円入ってくるんですよー！,17,68.35,ズマトン/里いも天狗/tetote(2)/Tomy@Sweden/千里/ケアしてねパーマン/現世細木数男/ティチィ(2)/ｚｅｚｅ/ラムネ(2)/gife/スコーピオンみゆき(2)/るめから
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,1位,あいすたべたい,一度俺を噛んだ犬が飢餓で衰弱してる,17,68.35,里いも天狗/tetote(2)/化粧品/千里(2)/ケアしてねパーマン(2)/現世細木数男(2)/たらちね空を飛ぶ/まかお。/最近の外人/ティチィ/ｚｅｚｅ/gife/スコーピオンみゆき
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,3位,ねびるハマチキ,九九全部言えた,16,65.43,tetote(3)/化粧品/千里(2)/ケアしてねパーマン(2)/現世細木数男/たらちね空を飛ぶ(2)/最近の外人/ｚｅｚｅ/ラムネ/スコーピオンみゆき(2)
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,4位,ありちゃん,チャーハン一つ！,14,59.59,化粧品/Tomy@Sweden(2)/千里(2)/ケアしてねパーマン(2)/たらちね空を飛ぶ/まかお。/最近の外人/ラムネ/gife(2)/るめから
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,4位,ズマトン,面白いと思ったら、いいねと高評価ボタンをヨロシクーゥ,14,59.59,tetote/化粧品/Tomy@Sweden/千里/ケアしてねパーマン/現世細木数男/まかお。(3)/最近の外人/ｚｅｚｅ/ラムネ/スコーピオンみゆき/るめから
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,6位,まかお。,宇宙から来た,12,53.75,tetote/化粧品/Tomy@Sweden(2)/千里/ケアしてねパーマン(2)/現世細木数男(2)/ティチィ/ラムネ/gife
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,6位,最近の外人,白組,12,53.75,tetote(2)/化粧品/淀川流水/Tomy@Sweden/ズリ/たらちね空を飛ぶ(3)/ｚｅｚｅ/るめから(2)
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,6位,淀川流水,お戯れ,12,53.75,tetote/化粧品/ズリ/千里/たらちね空を飛ぶ(2)/最近の外人/ティチィ/ｚｅｚｅ/gife(2)/スコーピオンみゆき
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,9位,エンパイ2貫を食う,インスタでこればっかり上げてる,11,50.83,tetote/化粧品(2)/まかお。(2)/最近の外人/ティチィ/ｚｅｚｅ/スコーピオンみゆき(2)/るめから
6215_5377_FXP,2021-12-29,21人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6215_5377_FXP.jpeg,9位,異動君,めんどくさい役所の手続きを終えた,11,50.83,ズマトン/化粧品/Tomy@Sweden/ズリ/千里/ナルシマアンバイ/最近の外人(2)/ティチィ/スコーピオンみゆき/るめから
