お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,1位,つん,オレダヨ・トシオダヨ,13,71.06,三遊亭　吉馬/ふね/赤い髪(2)/蒼空便箋/ウラニワ(2)/きまぐれ/ガガガの棋太郎(2)/最近の外人(2)/無償の愛撫
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,1位,びろびろーん,マスク・ド・オン・ザ・ライス,13,71.06,三遊亭　吉馬/赤い髪(2)/蒼空便箋/ウラニワ(2)/渡辺純也/きまぐれ/ニューロン/oba_kamon/ガガガの棋太郎/最近の外人(2)
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,3位,きまぐれ,脱サラデンジャラス,11,65.29,赤い髪/蒼空便箋/わんわんお/山根アラウンド/渡辺純也/ニューロン/oba_kamon/ガガガの棋太郎(2)/最近の外人(2)
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,4位,ふね,ジャイアント佐藤・ザ・ジャイアント,10,62.4,ウラニワ(3)/きまぐれ/ニューロン/ガガガの棋太郎(2)/最近の外人(2)/無償の愛撫
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,5位,黒河ドロボー,ギブミー・ザ・ファイトマネー,8,56.63,ふね(2)/ニューロン/ガガガの棋太郎(3)/最近の外人(2)
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,6位,ちまきの餌,ノンカフェイン・ノンシュガー,7,53.75,蒼空便箋/わんわんお/guniguni/ニューロン/ふもー/oba_kamon/最近の外人
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,7位,納屋の様子,ブランコ・下,6,50.86,赤い髪/山根アラウンド/ニューロン/ガガガの棋太郎/最近の外人(2)
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,8位,ウラニワ,顔出し,5,47.98,わんわんお/ニューロン(2)/納屋の様子/最近の外人
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,8位,ガガガの棋太郎,トシオズ　シークレット,5,47.98,三遊亭　吉馬/ウラニワ/ニューロン/最近の外人/無償の愛撫
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,8位,三遊亭　吉馬,バキューム袴田,5,47.98,赤い髪/ニューロン/最近の外人(2)/シンカー
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,8位,最近の外人,癌2種類,5,47.98,わんわんお/guniguni(2)/ニューロン/納屋の様子
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,12位,山根アラウンド,ギラファノコギリクワガタ・トシオ,4,45.09,ふね/蒼空便箋/ニューロン/最近の外人
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,12位,無償の愛撫,佐藤レンジャー,4,45.09,渡辺純也/ニューロン/納屋の様子/最近の外人
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,14位,guniguni,偽ZOZOTOWN松永,3,42.2,ニューロン/最近の外人(2)
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,14位,oba_kamon,スウィートトラップ,3,42.2,ガガガの棋太郎/最近の外人/無償の愛撫
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,14位,わんわんお,亀頭年老,3,42.2,ニューロン/最近の外人(2)
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,14位,渡辺純也,KOUKENSIMASU佐藤,3,42.2,最近の外人(2)/無償の愛撫
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,14位,蒼空便箋,中卒の弁護士,3,42.2,guniguni/ニューロン/最近の外人
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,19位,ふもー,Mr.サブネット255.255.0.0,2,39.32,ガガガの棋太郎/最近の外人
1885_1666_UPY,2022-01-14,20人,今度マスクマンデビューする新人レスラーの佐藤利夫くんの新しいリングネームを考えてあげてください,NA,20位,ナルシマアンバイ,外されたシュガーロック,1,36.43,最近の外人
