お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,1位,きまぐれ,電車で日本刀が横に座る,11,67.3,べーつる/蒼空便箋(3)/わんわんお/guniguni(2)/ナルシマアンバイ/最近の外人(3)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,1位,ガガガの棋太郎,眼科の空気がフッと出る検査のときに砂も混ぜる,11,67.3,べーつる(2)/つん(2)/わんわんお/ねぼすけ/ナルシマアンバイ/oba_kamon/最近の外人(3)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,3位,guniguni,本人も知らない双子を使う,9,59.89,べーつる/あひるの(2)/わんわんお/渡辺純也(2)/ガガガの棋太郎(2)/最近の外人
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,3位,あひるの,どこに行っても死んだ爺さんにそっくりって言われる,9,59.89,ちまきの餌/つん(2)/わんわんお(2)/ガガガの棋太郎(2)/最近の外人(2)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,3位,蒼空便箋,ただの液体を「高級プリンです」と言って出す,9,59.89,ちまきの餌/つん/あひるの/わんわんお/きまぐれ/ニューロン/ナルシマアンバイ/ガガガの棋太郎/最近の外人
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,6位,ちまきの餌,アッコにおまかせでホントに全部任せてみた,8,56.18,蒼空便箋/つん/ねぼすけ/渡辺純也(2)/oba_kamon/ガガガの棋太郎/最近の外人
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,6位,べーつる,まな板の上で土下座させる,8,56.18,わんわんお/guniguni/ねぼすけ/きまぐれ/ニューロン/oba_kamon/最近の外人(2)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,6位,わんわんお,賭け麻雀中にガサ入れ,8,56.18,ねぼすけ/渡辺純也/ニューロン/ガガガの棋太郎(3)/最近の外人(2)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,6位,ナルシマアンバイ,自動車高齢者講習にてカバとサイの違いを復唱させる2時間,8,56.18,三遊亭　吉馬/つん(2)/あひるの/わんわんお(2)/ガガガの棋太郎/最近の外人
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,10位,びろびろーん,棺桶に入れられて拉致され葬儀場でフタが開かれる,6,48.76,三遊亭　吉馬/ねぼすけ(2)/ニューロン/最近の外人(2)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,10位,核ラミナ,表札の彫ってある部分を埋める,6,48.76,べーつる/わんわんお(2)/渡辺純也/ガガガの棋太郎/最近の外人
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,10位,獅子姉妹,10代人気No. 1に選ばれる,6,48.76,三遊亭　吉馬/べーつる/わんわんお/最近の外人(3)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,13位,つん,皿一枚だけ渡してカッパ役をオファーする,5,45.05,ニューロン/ガガガの棋太郎/最近の外人(3)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,13位,ねぼすけ,楽屋までの廊下でドロップキック,5,45.05,ちまきの餌/わんわんお/最近の外人(3)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,13位,ウラニワ,御所に幽閉,5,45.05,つん(2)/渡辺純也/最近の外人(2)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,13位,ニューロン,逆バンジーで大気圏突入,5,45.05,つん/あひるの/最近の外人(3)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,17位,渡辺純也,野外ロケの空を完全な赤にする,4,41.34,guniguni(2)/最近の外人(2)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,17位,特効さん,巨大扇風機を当てたり、雨を降らせたり、いきなり頭のレントゲンを撮ったりする,4,41.34,べーつる/ニューロン/最近の外人(2)
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,19位,三遊亭　吉馬,山田勝己SASUKE放送打ち切りドッキリ,3,37.63,ニューロン/ガガガの棋太郎/最近の外人
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,20位,oba_kamon,小室哲哉と氷室京介と安室奈美恵でせっまい部屋で三密会談,2,33.92,ちまきの餌/最近の外人
7369_1981_ZFB,2022-01-17,21人,大御所芸能人に対してこれはギリギリアウトかもとストップがかけられたドッキリの内容とは？,NA,21位,ふもー,皇居でプライベートライブ開催の依頼があります、という嘘企画,1,30.21,最近の外人
