お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,1位,あひるの,緊張するからと、少しずれたところで穴あけの練習をしている,17,67.11,ちまきの餌/つん(2)/ウラニワ(2)/わんわんお(2)/F5連(2)/渡辺純也(2)/ふもー/まかお。(2)/クドウヒロオ/シド/エンパイ2貫を食う
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,2位,きまぐれ,見積もりを壁に書いてる,16,64.78,ウラニワ/あひるの/わんわんお/F5連(2)/まえみつ/ニューロン/まかお。(3)/特効さん/クドウヒロオ(2)/シド(2)/エンパイ2貫を食う
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,3位,三遊亭　吉馬,風向きを確認するのに一々人差し指を舐める,15,62.44,Libra/わんわんお/まえみつ/ニューロン/ふもー(2)/ナルシマアンバイ/まかお。(3)/特効さん/クドウヒロオ/シド/エンパイ2貫を食う(2)
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,4位,ニューロン,「高級なヤツですから」ってフィルターにジャム塗りたくってる,14,60.11,ちまきの餌/三遊亭　吉馬/Libra/ウラニワ(3)/あひるの/F5連/渡辺純也/まかお。/シド(2)/エンパイ2貫を食う(2)
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,5位,つん,まず仏壇に線香をあげたがる,13,57.78,三遊亭　吉馬/まえみつ/きまぐれ/ふもー/現世細木数男/ナルシマアンバイ/まかお。(3)/クドウヒロオ(3)/エンパイ2貫を食う
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,6位,最近の外人,火で炙って丸くした,11,53.11,Libra/つん/ウラニワ/F5連/渡辺純也/きまぐれ/ニューロン/まかお。/クドウヒロオ/シド/エンパイ2貫を食う
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,7位,わんわんお,室外機のホースを頭上で振り回して、「うわぁーUFO来る！UFO来ちゃうよ！」て外でやってる,9,48.44,F5連(2)/ナルシマアンバイ/まかお。(2)/シド(2)/エンパイ2貫を食う(2)
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,7位,ガガガの棋太郎,デコ三脚がカラフルに点滅してる,9,48.44,つん/F5連/渡辺純也/ニューロン(2)/まかお。/クドウヒロオ(2)/シド
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,9位,oba_kamon,ねじり鉢巻をして、パンチパーマで、合言葉は、らっしゃい！,8,46.1,三遊亭　吉馬/あひるの/F5連(2)/まかお。(2)/シド(2)
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,10位,Libra,渡辺篤史みたいにやたらと新居を褒めたがる,7,43.77,あひるの/わんわんお/まかお。(2)/シド(2)/エンパイ2貫を食う
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,10位,ちまきの餌,会話できないしもちろん空気も読めない,7,43.77,F5連/まえみつ/ニューロン/まかお。(2)/エンパイ2貫を食う(2)
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,12位,まえみつ,難しい話しは後だ！と言いながら勝手にジュースを飲む,6,41.44,つん/F5連/まかお。(2)/エンパイ2貫を食う(2)
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,12位,渡辺純也,10人で来て8人が肉焼いてる,6,41.44,F5連/ニューロン/まかお。(3)/特効さん
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,14位,獅子姉妹,軽トラで来る,4,36.77,きまぐれ/まかお。(2)/エンパイ2貫を食う
2369_4075_JBX,2022-01-18,15人,こんなエアコン取付業者はいやだ,NA,15位,ナルシマアンバイ,ずっと半勃起している,3,34.43,まえみつ/まかお。(2)
