お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,1位,まつお,安心しろ。俺の車だ。,19,78.55,ぴのこ/ちまきの餌/つん/ウラニワ(3)/わんわんお/guniguni/ゆんぴー/ふもー/最近の外人(3)/特効さん/クドウヒロオ(2)/シド/エンパイ2貫を食う(2)
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,2位,核ラミナ,今年の1年ヤバいな,16,70.68,ふね(2)/guniguni(2)/取込ペテ子(2)/アイアンマッスル/最近の外人(3)/クドウヒロオ(3)/シド(2)/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,3位,SUZY,なぜ俺にブラックコーヒーを勧めた？,12,60.19,ぴのこ(2)/ちまきの餌/ふね/きまぐれ/ナルシマアンバイ/最近の外人/無償の愛撫(2)/シド/エンパイ2貫を食う(2)
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,3位,きまぐれ,とにかく飯にしよう,12,60.19,ちまきの餌(2)/guniguni(2)/最近の外人(3)/無償の愛撫/クドウヒロオ/シド/エンパイ2貫を食う(2)
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,3位,クドウヒロオ,ランプの魔神出るのまだまだかかりそう,12,60.19,ウラニワ/ゆんぴー/ニューロン/アイアンマッスル/最近の外人(2)/きよてる./黒河ドロボー/シド/エンパイ2貫を食う(3)
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,6位,ふね,コノ動クヤツ壊スト煙デル。楽シイ。モット壊シタイ,11,57.57,ぴのこ(2)/わんわんお/ニューロン/ナルシマアンバイ/最近の外人/きよてる.(2)/シド(2)/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,6位,ウラニワ,バイト休みっぽいな,11,57.57,ぴのこ/つん/guniguni(2)/きゃすが/アイアンマッスル/最近の外人(3)/クドウヒロオ/シド
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,8位,淀川流水,はじめてのさつがい 新春大冒険スペシャル,10,54.95,ゆんぴー(3)/ニューロン(2)/最近の外人/特効さん/シド/エンパイ2貫を食う(2)
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,8位,獅子姉妹,徒歩5分か,10,54.95,わんわんお/guniguni(3)/最近の外人(2)/シド(2)/エンパイ2貫を食う(2)
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,8位,粘土細工,仕事ですか？私歯医者です、えっ？あの車は廃車でしょうね。ちょっと、何言わせるんですか？,10,54.95,きゃすが/最近の外人/特効さん/無償の愛撫(3)/クドウヒロオ/シド(2)/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,11位,きゃすが,最悪なタイミングでマイケルジャクソンの物真似を始めた,8,49.7,ニューロン/ふもー(3)/最近の外人(2)/シド/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,11位,退屈な夕食,前の車折ってってお客さんが,8,49.7,つん/guniguni/ゆんぴー/最近の外人/クドウヒロオ/シド/エンパイ2貫を食う(2)
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,13位,guniguni,本で覚えた道路とちょっと違うような,7,47.08,わんわんお/きまぐれ/最近の外人(2)/ケイト/無償の愛撫/シド
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,13位,ケイト,絶対に影を踏んで帰らないんだ,7,47.08,ちまきの餌/ふね/ウラニワ/わんわんお/guniguni/最近の外人/シド
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,13位,取込ペテ子,爺さんのアルバムを見なければ良かったと後悔,7,47.08,ちまきの餌(2)/つん/ニューロン/ふもー/最近の外人/シド
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,13位,無償の愛撫,本当に意味が無いのはリスが都会にいること,7,47.08,ウラニワ(2)/guniguni/最近の外人(3)/シド
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,17位,きよてる.,どこかに落としたダイナマイトが見つからない,6,44.46,最近の外人(2)/クドウヒロオ/シド/エンパイ2貫を食う(2)
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,17位,ナルシマアンバイ,世の中を清潔に、美しく「破供養者」,6,44.46,ちまきの餌/ゆんぴー/最近の外人(2)/シド/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,19位,ちまきの餌,銀行強盗目前で大事故,5,41.84,最近の外人(2)/黒河ドロボー/シド/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,19位,つん,焼き芋屋もなかなか楽しかったよ,5,41.84,ちまきの餌/ウラニワ/きゃすが/最近の外人/シド
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,19位,わんわんお,お母さん怒ってないから、早く出て来なさい,5,41.84,最近の外人(2)/まつお/シド/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,19位,アイアンマッスル,おぞましき放屁,5,41.84,最近の外人(2)/クドウヒロオ/シド/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,19位,ニューロン,おばあちゃん子なんで色を返してください,5,41.84,淀川流水/最近の外人(3)/シド
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,24位,oba_kamon,ケムマキ君あっちいるよ,4,39.21,きまぐれ/最近の外人/黒河ドロボー/シド
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,24位,ぴのこ,???「あの世で会おうぜ、トランプ」,4,39.21,最近の外人/シド(2)/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,24位,黒河ドロボー,eスポーツと呼ばれるもの,4,39.21,最近の外人/シド(2)/エンパイ2貫を食う
6325_2617_OVB,2022-01-28,27人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6325_2617_OVB.jpeg,27位,ふもー,どうも、破壊の女神の追っかけやってます,3,36.59,ちまきの餌/最近の外人/シド
