お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,1位,きまぐれ,状態の良い雪だるま,20,81.3,ハプティクス/ふもー(2)/メスカマキリ(3)/ニューロン/白黒まみれ/ちまめ(2)/さいころちゃらみん/ポコ/顔パンパン/ウラニワ(3)/ダークマグマドラゴン/tomo(2)/わからない
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,2位,魂の裏切りの夜,真珠と真珠が似合う女,18,76.45,ハプティクス/富豪/ミヤモト/メスカマキリ(2)/ニューロン/白黒まみれ/きゃすが/ウラニワ(2)/AYAKA(2)/ダークマグマドラゴン(2)/きまぐれ(2)/わからない(2)
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,3位,粘土細工,洋風、和風、中華風のトイレ,16,71.61,赤い髪(2)/最後の無職/フクリク/道化(2)/ミヤモト/みささぎ(3)/くろうとチェリー(3)/きゃすが/とりっく/nae
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,4位,くろうとチェリー,ドスケベ地蔵 建立サービス,13,64.34,ふもー(2)/あきのこがに/メスカマキリ/ニューロン(2)/白黒まみれ/黒河ドロボー/高橋のなめ/AYAKA(3)/あいかわ
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,4位,最後の無職,店員に番号を伝えると事件の重要証拠がもらえる,13,64.34,フクリク/バジルごはん/ミヤモト/里いも天狗(2)/ニューロン/水谷新太郎/きゃすが/魂の裏切りの夜/おあつらえ/tomo(3)
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,6位,tomo,今日も1日頑張ったねって言ってくれるおばあちゃんがいる,10,57.07,ふもー/里いも天狗/メスカマキリ(2)/きゃすが/ポコ(2)/高橋のなめ/わからない(2)
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,6位,こんくろ,今の西暦を教えてくれる,10,57.07,ふもー(2)/バジルごはん/ミヤモト/水谷新太郎(3)/くろうとチェリー/渡利　巣手呂/遠くを見ている
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,6位,たる棒,三者面談用の母親,10,57.07,ハプティクス/最後の無職/ミヤモト/メスカマキリ/ニューロン(2)/みささぎ(2)/ウラニワ/遠くを見ている
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,6位,ちまめ,議席,10,57.07,ハプティクス/ふもー/ミヤモト/里いも天狗/白滝BOX/ウラニワ(3)/遠くを見ている/魂の裏切りの夜
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,6位,白滝BOX,単位を売る学生,10,57.07,ハプティクス/道化(2)/ミヤモト/里いも天狗/黒河ドロボー/さいころちゃらみん/とりっく/おあつらえ/きまぐれ
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,6位,白黒まみれ,「忘れた！」と気付いた時用パラシュート,10,57.07,ハプティクス/ふもー/ミヤモト/里いも天狗/メスカマキリ/ニューロン/水谷新太郎/渡利　巣手呂/遠くを見ている/わからない
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,6位,納屋の様子,大人も読んでいい絵本,10,57.07,ニューロン/たる棒/みささぎ/くろうとチェリー/きゃすが/マジェンタ/ウラニワ(2)/AYAKA/きまぐれ
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,6位,顔パンパン,お坊さんに原付免許を交付する,10,57.07,ミヤモト(2)/メスカマキリ/みささぎ/水谷新太郎/きゃすが/とりっく/遠くを見ている(2)/きまぐれ
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,6位,＃の中のカマ吉くん,知らない人のホームランボール,10,57.07,ハプティクス/赤い髪/ふもー(3)/ちまめ/ます/とりっく(2)/ホリ
8884_6364_OTO,2022-02-19,50人,商品やサービスが多様化しているコンビニにとうとうこんなものが！？,NA,15位,つん,入店音を客ごとに違う着メロに設定,9,54.65,道化/あきのこがに/ニューロン/ちまめ(2)/ます/とりっく(2)/ウラニワ
