お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,1位,ニューロン,嫌悪感のある虫を平気で触る,22,74.1,男も育休/まえみつ/ホリ/臀み/とりっく(3)/世未/AYAKA/きまぐれ/米(おこめ)(2)/のらののら(2)/夏のワルプルギス(2)/渡辺純也/富豪/業務用虚無/＃の中のカマ吉くん(2)/架空
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,2位,のらののら,彼氏にハーフラインまで送ってもらう,21,72.3,ガガガの棋太郎(2)/世未/AYAKA(3)/@obasuma(2)/さいころちゃらみん/おあつらえ/kamenoue/わからない(2)/たる棒/熱と気体/確認くん(2)/架空/魂の裏切りの夜/ピロ式/ふもー
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,2位,魂の裏切りの夜,影にクナイを刺す,21,72.3,空飛ぶタイヤ(3)/chopman/まえみつ/ハプティクス(2)/湯葉に射精/ありすbot/brooks/世未/のらののら/夏のワルプルギス(2)/さいころちゃらみん/八子八百/渡辺純也/わからない/誓約/hikage(2)
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,4位,まえみつ,スリッパを履いて実家だと思わせる,19,68.71,ホリ/湯葉に射精/バジルごはん/ガガガの棋太郎/世未/米(おこめ)(2)/@obasuma/夏のワルプルギス/茹で腕/渡利　巣手呂/kamenoue/わからない/たる棒/熱と気体/業務用虚無/くろうとチェリー/＃の中のカマ吉くん/架空
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,4位,わからない,ひたひたのミートソースを持たす,19,68.71,chopman(2)/ハプティクス(2)/臀み/ありすbot/バジルごはん/ガガガの棋太郎/世未/AYAKA/米(おこめ)/茹で腕/tomo/渡辺純也/ニューロン/えふ/架空(2)/魂の裏切りの夜
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,6位,おあつらえ,「君が本当に守りたいものはこれじゃないのか？」縛り上げた家族の写真を見せる,18,66.92,とりっく(2)/ガガガの棋太郎/AYAKA/リヤ/のらののら/@obasuma/ポコ/最後の無職(2)/特効さん/わからない(2)/たる棒/業務用虚無(3)/えふ
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,6位,臀み,嘘の集合時間を教える,18,66.92,男も育休/まえみつ/ハプティクス/湯葉に射精/バジルごはん/ガガガの棋太郎(3)/brooks/世未/米(おこめ)/さいころちゃらみん/ケイト/ニューロン(2)/業務用虚無/どびー/ピロ式
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,8位,Kit,逆サイドにから揚げを投げる,17,65.12,空飛ぶタイヤ(2)/水谷新太郎(2)/まえみつ/ハプティクス/臀み/バジルごはん/ガガガの棋太郎/世未/八子八百/ニューロン(2)/たる棒/誓約/hikage/架空
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,9位,@obasuma,今までに殺したディフェンダーと同じ数のタトゥーを見せる,16,63.33,ホリ/とりっく/ガガガの棋太郎(3)/リヤ/ポコ/さいころちゃらみん/おあつらえ(2)/yom-yom/たる棒/熱と気体(2)/架空/春屋○イ
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,9位,kamenoue,あいつの方が良いフェイント持ってますよ,16,63.33,chopman/とりっく/黒河ドロボー/ガガガの棋太郎/世未/のらののら/渡辺純也/おあつらえ(2)/渡利　巣手呂/ケイト/ニューロン/わからない(2)/たる棒/業務用虚無
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,9位,米(おこめ),角がとれる状態のオセロを渡す,16,63.33,男も育休/まえみつ/ハプティクス/とりっく/ガガガの棋太郎/世未/のらののら(2)/茹で腕/おあつらえ/ニューロン/ンツ/架空(2)/魂の裏切りの夜/春屋○イ
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,12位,tomo,客のこと思ってたらそんな地味な守りしませんけどね,15,61.54,男も育休/まえみつ/ガガガの棋太郎/リヤ/@obasuma/パピ4/渡辺純也/最後の無職/渡利　巣手呂/ケイト/ニューロン/kamenoue/資本ネコ/わからない/春屋○イ
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,12位,＃の中のカマ吉くん,俺もお前から離れたくねぇよ,15,61.54,とりっく/brooks/AYAKA(2)/みっつ(2)/渡辺純也/おあつらえ/ンツ/業務用虚無(3)/hikage(3)
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,14位,ガス野,そっちが残像だったパターンも用意しとけよな,14,59.74,まえみつ/とりっく/きまぐれ/リヤ/@obasuma/ポコ/茹で腕/おあつらえ/業務用虚無(3)/ソル/ふもー(2)
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,15位,たる棒,稚内支店への異動を命ずる,13,57.95,空飛ぶタイヤ/水谷新太郎/ハプティクス/とりっく/世未/のらののら(2)/自由人(2)/ンツ/業務用虚無(2)/架空
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,15位,ハプティクス,早めに蛍の光を流す,13,57.95,chopman/男も育休/とりっく/バジルごはん/ガガガの棋太郎(2)/世未/さいころちゃらみん/tomo(2)/ニューロン/架空/ふもー
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,15位,パピ4,共通の友人を呼んで一通り話して盛り上がった後離席させてずっと黙る,13,57.95,ハプティクス/ガガガの棋太郎/世未(2)/のらののら/@obasuma/おあつらえ/資本ネコ/わからない/業務用虚無(3)/ふもー
4446_0076_ILL,2022-03-05,72人,"しつこいディフェンダーのマークを外す方法
",NA,18位,yom-yom,重曹を入れて揉み洗い,12,56.15,まえみつ/湯葉に射精/バジルごはん/世未(3)/AYAKA(2)/きまぐれ/ニューロン/ンツ/業務用虚無
