お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,1位,うんも,僕の人生に参加しましたね,42,90.44,空飛ぶタイヤ/清水/ガシラ/ニューロン/男も育休/リヤ/yom-yom/ガス野/バジルごはん/アポロっち(2)/bmo(3)/B群/カクレミノムシ/ありすbot/業務用虚無(3)/ゴボウボゴ/瀬戸際ヤゴ/tomo(2)/魂の裏切りの夜/湯葉に射精/架空(3)/春屋○イ/思い出のサンサロ(2)/パピ4(2)/ンツ(2)/ピロ式/＃の中のカマ吉くん(2)/わからない/ばかじゃないのに/揚げたてメンチメン
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,2位,tomo,知らない女の子だ、図鑑に登録します,36,83.14,空飛ぶタイヤ/道化/AYAKA/ふもー/ニューロン/冬嗣(2)/シャロ🌻/植田(2)/とろ/ガス野/バジルごはん/A味噌汁(2)/カクレミノムシ/たる棒/業務用虚無/ゴボウボゴ(2)/瀬戸際ヤゴ/きゅーきゅー/湯葉に射精/kamenoue/春屋○イ/@obasuma(2)/思い出のサンサロ/パピ4/ンツ/＃の中のカマ吉くん(2)/わからない(2)/ばかじゃないのに/揚げたてメンチメン
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,3位,植田,この辺の地図寂しいから、あの子も載せようか,29,74.62,ガシラ/AYAKA/ふもー(3)/メスカマキリ/ニューロン/男も育休/シャロ🌻/たこ焼きボンバー/bmo/A味噌汁(2)/カクレミノムシ(2)/たる棒/架空/春屋○イ/@obasuma/うんも/思い出のサンサロ/ンツ/＃の中のカマ吉くん(2)/わからない(3)/ばかじゃないのに(2)
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,4位,春屋○イ,今から君の印象に残るけど、大丈夫？,28,73.41,道化(3)/メスカマキリ(2)/男も育休/chopman/たこ焼きボンバー/アポロっち/bmo/A味噌汁/たる棒/米(おこめ)/里見英次郎(3)/瀬戸際ヤゴ/tomo/架空/まつもとたろう/思い出のサンサロ/ンツ(2)/＃の中のカマ吉くん(2)/わからない/ばかじゃないのに/揚げたてメンチメン
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,5位,白黒まみれ,逃げない、とんぼだな,27,72.19,道化/遠くを見ている/ガシラ/AYAKA/ニューロン(2)/男も育休/植田/たこ焼きボンバー(2)/えふ/bmo/A味噌汁(3)/tomo(2)/魂の裏切りの夜(2)/架空/うんも/まつもとたろう/パピ4(3)/＃の中のカマ吉くん/ネオ
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,6位,まつもとたろう,見つけたぞ俺のやる気スイッチ,23,67.32,ふもー/メスカマキリ/男も育休/冬嗣/シャロ🌻/リヤ/たこ焼きボンバー/とろ/ガス野/バジルごはん/アポロっち(2)/A味噌汁/カクレミノムシ/業務用虚無(2)/瀬戸際ヤゴ/@obasuma(2)/思い出のサンサロ/＃の中のカマ吉くん(2)/ばかじゃないのに
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,7位,空飛ぶタイヤ,元カノそっくり！元カノに育てようかな...,21,64.89,ニューロン/男も育休/植田/とろ/アポロっち(2)/A味噌汁(2)/カクレミノムシ(2)/たる棒/ゴボウボゴ/kamenoue/春屋○イ/@obasuma(2)/思い出のサンサロ(2)/わからない(2)/ばかじゃないのに
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,8位,ます,バカとブスだろ！東大へ行け！！,20,63.67,清水/道化/男も育休/シャロ🌻/yom-yom/とろ(2)/アポロっち/B群(2)/A味噌汁/@obasuma(2)/まつもとたろう/思い出のサンサロ/パピ4(3)/わからない/ばかじゃないのに
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,9位,キャッツアイ,これ以上は男の子の距離だから,19,62.46,空飛ぶタイヤ/道化(2)/遠くを見ている/AYAKA/メスカマキリ/たこ焼きボンバー/ありすbot/ゴボウボゴ/瀬戸際ヤゴ/渡利　巣手呂(2)/架空/春屋○イ/えりっく/＃の中のカマ吉くん(2)/わからない/ばかじゃないのに
8085_4652_LDR,2022-03-21,78人,知らない女の子を指差して一言,NA,10位,わからない,ちょうどこれくらいの標高の山だったんだけど,18,61.24,ガシラ/AYAKA/メスカマキリ(3)/シャロ🌻/植田(2)/B群(2)/たる棒/八子八百/米(おこめ)/業務用虚無(2)/渡利　巣手呂(2)/ンツ
