お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,1位,brooks,青信号かどうかは私が決めます,35,86.53,たる棒/メスカマキリ(2)/しもむら(2)/遠くを見ている/ニューロン/ありすbot/思い出のサンサロ(3)/ガッボデ/業務用虚無(2)/渡利　巣手呂/とりっく/植田(2)/バジルごはん/里見英次郎(2)/かるかん圭(2)/きゅーきゅー/机上で実演(2)/白黒まみれ/ブラックパンダー(2)/はっぴーえんど/夏のワルプルギス/さいころちゃらみん/しちろー(2)/ばかじゃないのに
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,2位,冬嗣,通り過ぎたらまた前から来た,26,73.71,水谷新太郎/八子八百/メスカマキリ(3)/しもむら/遠くを見ている/まつもとたろう/思い出のサンサロ/業務用虚無/渡利　巣手呂/うんも/確認くん(2)/揚げたてメンチメン/かるかん圭(2)/きゅーきゅー/男も育休(2)/わからない(3)/しちろー/ふもー/ロンモア
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,3位,奈落,それぞれに帰るべき施設がある,24,70.86,水谷新太郎/しもむら/ニューロン(2)/思い出のサンサロ(2)/ザイチェフ閣下(2)/とりっく(3)/くろうとチェリー(2)/揚げたてメンチメン/植田(2)/かるかん圭/きお/ンツ/魂の裏切りの夜/男も育休/ふもー/のらののら(2)
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,4位,男も育休,いま雷の中から出てきたよな…？,23,69.43,かくれどり(2)/メスカマキリ(3)/しもむら/業務用虚無(2)/パピ4/ましゆ(2)/里見英次郎/かるかん圭/机上で実演/きお(2)/キャッツアイ/夏のワルプルギス/わからない(2)/しちろー(2)/ばかじゃないのに
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,5位,うんも,理解してからでは遅いわよ,22,68.01,しもむら/ガッボデ/業務用虚無(2)/渡利　巣手呂/パピ4/きゅーきゅー(2)/キャッツアイ/ブラックパンダー/はっぴーえんど/B群/春屋○イ/ガシラ/brooks/わからない/しちろー/ばかじゃないのに/200(2)/ロンモア/のらののら
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,6位,はっぴーえんど,ずっと電動アシスト顔で漕いでるな,21,66.59,かくれどり/八子八百/メスカマキリ/遠くを見ている/まつもとたろう/とりっく(2)/くろうとチェリー/ましゆ/里見英次郎(3)/きゅーきゅー/ンツ/ガシラ/brooks(2)/わからない/ふもー(2)/ばかじゃないのに
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,6位,魂の裏切りの夜,女ってこの町にもいたのか,21,66.59,かくれどり/水谷新太郎/たる棒(2)/まつもとたろう/業務用虚無(3)/確認くん(2)/揚げたてメンチメン/植田(2)/かるかん圭/机上で実演/白黒まみれ(2)/ンツ/春屋○イ/ばかじゃないのに(2)
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,8位,パピ4,(ダメ…何度やり直してもジジイが轢かれる…),19,63.74,かくれどり/ガッボデ/渡利　巣手呂/さくらんぼクリエーション/とりっく/どびー/くろうとチェリー(2)/かるかん圭(2)/きゅーきゅー/白黒まみれ(2)/春屋○イ/わからない/しちろー(3)/ふもー
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,9位,メスカマキリ,昨日まで補助輪つけてたのに,17,60.89,八子八百/ありすbot/まつもとたろう/ザイチェフ閣下/0Shara/さくらんぼクリエーション/揚げたてメンチメン/バジルごはん/tomo/きゅーきゅー/きお(2)/ンツ(2)/春屋○イ/ばかじゃないのに(2)
4231_0080_PXA,2022-03-28,68人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4231_0080_PXA.jpg,10位,ケムケムケムッソ,はじめてのおつかいに出て行ってから30年、ようやく帰宅,16,59.46,業務用虚無(3)/とりっく(2)/ましゆ(3)/バジルごはん/里見英次郎/ンツ/とろ/男も育休/えりっく/ガシラ(2)
