お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,1位,ham.,駄菓子屋で学ぶ算数だけは、なんだかワクワクした,34,81.76,アポロっち/tomo(2)/＃の中のカマ吉くん/まつもとたろう(2)/AYAKA(2)/しもむら/ンツ(2)/わからない/八子八百/えりっく/ハコダイオ/警邏(2)/実家に帰った鶴/世未(2)/とりっく(3)/@obasuma/水谷新太郎/男も育休/バジルごはん/ニューロン/きゅーきゅー(2)/瀬戸際ヤゴ/brooks(2)/ありすbot
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,2位,思い出のサンサロ,好きだった駄菓子屋が潰れたことにすら気付かぬ大人になってしまった,27,72.28,AYAKA(3)/しもむら/かくれどり/わからない(2)/遠くを見ている/警邏/実家に帰った鶴(2)/世未(3)/道化(3)/@obasuma/渡利　巣手呂/及川広大/ふもー/業務用虚無(3)/ザイチェフ閣下/きゅーきゅー(2)
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,3位,brooks,駄菓子屋跡地を今も守り続けるゴーレム,26,70.92,アポロっち/tomo(2)/＃の中のカマ吉くん(2)/さっつん/夏のワルプルギス/AYAKA/かくれどり(2)/ンツ(2)/遠くを見ている/魂の裏切りの夜/世未(2)/道化(2)/@obasuma/渡利　巣手呂/のらののら(2)/植田/男も育休/ふもー/ありすbot
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,4位,ハミカワ,私の名前、男だったら「駄菓子屋」だったらしい,23,66.85,アポロっち/tomo/しちろー(2)/さっつん/夏のワルプルギス/かくれどり/八子八百/警邏/世未/道化(2)/@obasuma(2)/及川広大(2)/植田/バジルごはん/ニューロン(2)/ザイチェフ閣下/架空/瀬戸際ヤゴ
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,4位,八子八百,あんなに好きだった駄菓子屋は今ガソリンを売っている,23,66.85,アポロっち(2)/＃の中のカマ吉くん/しもむら/かくれどり(2)/くろうとチェリー/魂の裏切りの夜/世未(2)/とりっく/渡利　巣手呂(2)/さいころちゃらみん/植田/業務用虚無(2)/ニューロン/ケイト/ザイチェフ閣下/架空/思い出のサンサロ/ます
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,6位,ショッぺろ,お前ん家、駄菓子がない駄菓子屋みたいだな,22,65.5,アポロっち(2)/しちろー/かくれどり(3)/遠くを見ている/世未/とりっく/のらののら/水谷新太郎(3)/ニューロン/架空(2)/冷たいチャック/思い出のサンサロ/瀬戸際ヤゴ/揚げたてメンチメン/里見英次郎(2)
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,7位,えふ,見たかドラえもん…、ぼく駄菓子屋に勝ったよ…。1人でやっつけたよ…。,21,64.14,アポロっち(2)/しちろー/八子八百/ハコダイオ/世未(2)/道化(2)/とりっく(3)/のらののら/yuboon/及川広大/植田/男も育休(2)/ニューロン/ザイチェフ閣下/架空
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,7位,遠くを見ている,「当たり」って叫ぶと盲目の駄菓子屋さんが笑ってくれるんだ,21,64.14,アポロっち(2)/AYAKA/ンツ/わからない(2)/八子八百/警邏/実家に帰った鶴/魂の裏切りの夜/世未(2)/のらののら/yuboon/水谷新太郎(2)/ふもー/業務用虚無(3)/ニューロン
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,9位,ガッボデ,"縦の糸はあなた
横の糸は駄菓子",20,62.79,tomo/しちろー(2)/さっつん/まつもとたろう/くろうとチェリー/世未(2)/道化/及川広大(2)/水谷新太郎/男も育休/ふもー(3)/バジルごはん/ham./きゅーきゅー/brooks
9845_8578_LMP,2022-03-29,68人,「駄菓子屋」という単語を使って、ほろりとくる文章を作ってください。,NA,9位,夏のワルプルギス,駄菓子屋の電話借りてた頃の自分、無敵だった,20,62.79,しちろー/＃の中のカマ吉くん/かくれどり/わからない(2)/遠くを見ている/警邏(3)/魂の裏切りの夜/世未(2)/@obasuma/渡利　巣手呂/業務用虚無/バジルごはん/ニューロン/ham./架空/wowwow
