お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,1位,ゴボウボゴ,蹴りやすそうな石を通学路に置いておく,26,78.87,湯葉に射精/AYAKA/B群/キャッツアイ/かくれどり(2)/ガッボデ/良識/八子八百(2)/世未(2)/架空(2)/渡利　巣手呂/ギルティー飯/道化/わからない(2)/しもむら/とりっく/きゅーきゅー(2)/里見英次郎/バジルごはん/ニューロン
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,2位,chikudenki,頭の中の電車におばあちゃん全員を座らせる,25,77.22,湯葉に射精/AYAKA/遠くを見ている(2)/水谷新太郎/パピ4(2)/tomo/男も育休/さっつん(2)/世未(2)/架空(3)/渡利　巣手呂/魂の裏切りの夜/わからない/ふもー/業務用虚無(2)/バジルごはん/赤い髪(2)
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,3位,架空,1匹釣って2匹リリースする,23,73.91,たる棒/揚げたてメンチメン/植田(2)/かくれどり(2)/tomo/さっつん(2)/思い出のサンサロ(2)/世未/魂の裏切りの夜/わからない(3)/ふもー/@obasuma(2)/里見英次郎/バジルごはん/ニューロン/赤い髪
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,4位,tomo,定時過ぎたら「ここからは悪い稼ぎ方になります」とアナウンスを流す,22,72.25,B群/植田/くろうとチェリー/良識/男も育休/さっつん/思い出のサンサロ/世未(2)/まつもとたろう(2)/業務用虚無(3)/とりっく/きゅーきゅー/里見英次郎(2)/バジルごはん/ニューロン(2)/赤い髪
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,5位,業務用虚無,ため息をすかさず吸い戻す,20,68.94,たる棒/くろうとチェリー/パピ4(3)/brooks/がりー(2)/世未(3)/架空/まつもとたろう/しもむら/@obasuma/とりっく(2)/きゅーきゅー/バジルごはん/ニューロン
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,6位,ありすbot,みんなが使っていいティッシュを設置する,19,67.29,AYAKA(3)/遠くを見ている/さいころちゃらみん/かくれどり/はっぴーえんど/tomo/ピロ式/八子八百/さっつん/思い出のサンサロ/架空/渡利　巣手呂/業務用虚無(2)/@obasuma/yom-yom/きゅーきゅー
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,7位,きまぐれ,エビをまっすぐにする,17,63.98,おえおえちゃん/AYAKA/B群/キャッツアイ/ゴボウボゴ/かくれどり(2)/tomo(2)/男も育休/brooks/さっつん/架空/@obasuma/バジルごはん/ニューロン/赤い髪
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,8位,きゃすが,妊婦を見つけたら「僕の名前ならあげますよ」とささやく,16,62.32,たる棒/水谷新太郎/良識/さっつん/思い出のサンサロ(2)/世未/架空/ギルティー飯/わからない/しもむら/業務用虚無/@obasuma/里見英次郎/ニューロン/赤い髪
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,8位,白黒まみれ,食べられないゴミも拾う,16,62.32,パピ4/tomo/アニメの画像/brooks/世未/架空(2)/道化(2)/わからない/しもむら/業務用虚無/とりっく/里見英次郎(2)/ニューロン
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,10位,ガッボデ,おばあさんに籍を譲る,15,60.67,たる棒/水谷新太郎(3)/0Shara(2)/かくれどり/思い出のサンサロ/世未/架空/道化/しもむら/@obasuma/ニューロン/赤い髪
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,10位,チダ,YouTubeの広告は飛ばさずに観る,15,60.67,水谷新太郎(2)/キャッツアイ/0Shara/さいころちゃらみん/ゴボウボゴ/植田/パピ4/世未/道化(2)/まつもとたろう/ふもー/業務用虚無/きゅーきゅー
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,10位,ニューロン,7時77分をずっと待ってる,15,60.67,揚げたてメンチメン/さいころちゃらみん/かくれどり/くろうとチェリー/男も育休/brooks/世未(3)/架空/魂の裏切りの夜/ふもー(2)/業務用虚無/@obasuma
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,13位,くちおば,踏めるウンチは全部踏む,14,59.01,おえおえちゃん/たる棒/水谷新太郎/B群(3)/ゴボウボゴ(2)/ごましおおにぎり/くろうとチェリー/パピ4(2)/世未/ニューロン
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,13位,たる棒,小さな虫も踏まないように、針みたいな竹馬に乗ってる,14,59.01,AYAKA/世未(3)/架空(2)/魂の裏切りの夜/ふもー/業務用虚無/とりっく/里見英次郎/バジルごはん/ニューロン(2)
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,15位,世未,夏をあきらめる,13,57.36,かくれどり/くろうとチェリー(2)/tomo/brooks/架空(2)/道化(3)/しもむら/ニューロン(2)
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,15位,男も育休,神社のポケストップは丁寧に回す,13,57.36,遠くを見ている/たる棒/植田/かくれどり(2)/くろうとチェリー(2)/ガッボデ/パピ4/八子八百(2)/世未/架空
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,17位,揚げたてメンチメン,毎日早起きして凶に水をやる,12,55.7,遠くを見ている/0Shara/植田/かくれどり/男も育休/brooks/架空(2)/魂の裏切りの夜/しもむら(2)/ニューロン
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,18位,なべわたなべ,渡らないけど、見かけた信号機は押しとく,11,54.05,キャッツアイ/植田(2)/ごましおおにぎり/世未(2)/@obasuma(2)/とりっく/バジルごはん/ニューロン
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,18位,思い出のサンサロ,来世を願いながら蚊を殺す,11,54.05,遠くを見ている/はっぴーえんど/パピ4/アニメの画像/がりー/世未/まつもとたろう/業務用虚無(2)/ニューロン/赤い髪
3959_2116_LLP,2022-03-31,69人,ツイてない人が徳を積むために日頃からやっていること,NA,18位,里見英次郎,柔らかそうな人に「柔らかそうですね」と声を掛ける,11,54.05,たる棒/水谷新太郎/かくれどり/さっつん/架空(2)/わからない/しもむら/夏のワルプルギス/きゅーきゅー/ニューロン
