お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,1位,男も育休,去勢の帰り、何でも輝いて見えた,30,87.02,ふもー(2)/わからない/春屋○イ/wowwow/黒河ドロボー/えりっく/世未(2)/架空/師匠/カクレミノムシ(2)/とりっく(2)/きお(2)/業務用虚無(2)/アナゴさん(3)/資本ネコ/キャッツアイ/＃の中のカマ吉くん(2)/思い出のサンサロ/ニンニキニキニキ/さっつん/渡利　巣手呂
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,2位,わからない,あんな吠え方しなくたっていいじゃん,25,77.79,みっつ/はっぴーえんど/黒河ドロボー/揚げたてメンチメン/世未/架空/たる棒/師匠(2)/とりっく(2)/水谷新太郎(2)/きお/業務用虚無/brooks(3)/アナゴさん/秋/資本ネコ/さっつん/道化(3)
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,3位,思い出のサンサロ,俺は社会の犬の犬だったのか,24,75.95,ふもー/冬嗣/wowwow/ゴボウボゴ/世未/架空(2)/水谷新太郎(3)/きお(3)/業務用虚無(3)/brooks/アナゴさん(3)/資本ネコ/しもむら(2)/男も育休
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,4位,きゅーきゅー,これ絶対病院の道やん,22,72.25,冬嗣/ごましおおにぎり/はっぴーえんど(2)/えりっく/揚げたてメンチメン/世未(3)/架空/バジルごはん/とりっく/業務用虚無(2)/brooks(2)/アナゴさん(3)/さっつん/道化(2)
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,5位,@obasuma,俺いるのに黄色で渡ったな,19,66.72,冬嗣/わからない(2)/春屋○イ/八子八百/黒河ドロボー/世未/カクレミノムシ/バジルごはん/ありすbot/きお/パピ4/ピロ式/brooks(2)/きゅーきゅー/キャッツアイ/夏のワルプルギス(2)
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,5位,はっぴーえんど,雨はアリバイを消してまうのよね,19,66.72,ふもー/冬嗣/くろうとチェリー/赤い髪/八子八百/世未/カクレミノムシ/とりっく/きお(2)/アナゴさん/きゅーきゅー/魂の裏切りの夜/tomo/秋/キャッツアイ/＃の中のカマ吉くん(2)/渡利　巣手呂
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,7位,＃の中のカマ吉くん,犬くせぇか、犬だもんな,18,64.87,ふもー/みっつ/黒河ドロボー/揚げたてメンチメン/世未(3)/架空/たる棒/師匠/きお(2)/brooks(2)/アナゴさん/資本ネコ/道化(2)
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,8位,ももぐも,やめとけ。お前ん家社宅だろ,16,61.18,ごましおおにぎり/wowwow/架空(2)/師匠(2)/とりっく/きお(2)/白黒まみれ/ニンニキニキニキ(3)/道化(2)/男も育休
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,9位,ニューロン,一投目でフリスビー無くなったの許せない,15,59.33,わからない(2)/ザイチェフ閣下/世未(2)/架空(2)/たる棒/師匠/バジルごはん/とりっく/アナゴさん/tomo(2)/＃の中のカマ吉くん
9675_1593_VRV,2022-04-01,70人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/9675_1593_VRV.jpg,9位,ハミカワ,窓に映った自分が女優業を否定してくる,15,59.33,春屋○イ/八子八百/黒河ドロボー/揚げたてメンチメン/世未/カクレミノムシ(2)/とりっく/アナゴさん/魂の裏切りの夜(2)/資本ネコ/キャッツアイ/男も育休/渡利　巣手呂
