お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,1位,たる棒,ロマンシング・ガチャ,19,73.89,とりっく(3)/業務用虚無/サーベルタイガー/ガシラ(3)/道化(2)/ザイチェフ閣下/わからない/tomo(2)/brooks/春屋○イ/guniguni(2)/ンツ
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,2位,はしるねこ,面倒くさい親戚ガチャ,18,71.91,ケイト/とりっく/渡利　巣手呂(2)/たる棒/キャッツアイ/ニューロン/道化(3)/みっつ/Longab/男も育休/小林全角/八子八百/chikudenki/ＣＭＣ/ンツ
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,3位,長谷川キモ彦,酔うとキス魔になる女がバイト先にいるガチャ,17,69.93,＃の中のカマ吉くん/なべわたなべ/きゅーきゅー/業務用虚無/また師走が来たよ(2)/ガシラ/ザイチェフ閣下/Longab/揚げたてメンチメン/瀬戸際ヤゴ/くろうとチェリー/ばかじゃないのに/ゴボウボゴ(2)/ＣＭＣ/ンツ
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,4位,chikudenki,お母さんが作ってくれた肉ガチャ,16,67.95,なべわたなべ/サーベルタイガー(2)/キャッツアイ/また師走が来たよ/小倉ジャストミート/わからない/水谷新太郎(2)/はしるねこ/瀬戸際ヤゴ(2)/うなぎごまたろう/brooks/ＣＭＣ(2)
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,4位,ハコダイオ,最終ガチャ歴,16,67.95,とりっく(2)/業務用虚無(2)/ガシラ/遠くを見ている/街角で/はっぴーえんど/水谷新太郎/tomo(3)/@obasuma/みやまる/ＣＭＣ(2)
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,4位,道化,フライドポテトにカリカリのやつが入ってるガチャ,16,67.95,なべわたなべ(2)/きゅーきゅー/業務用虚無/また師走が来たよ/ガシラ/ぽにょ/しもむら/男も育休/バジルごはん/うなぎごまたろう/guniguni(2)/ゴボウボゴ/Ｓ.虚無/ＣＭＣ
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,7位,業務用虚無,死因ガチャ,15,65.96,渡利　巣手呂/ハコダイオ(2)/きゅーきゅー/街角で/Longab/小林全角/バジルごはん/八子八百/瀬戸際ヤゴ/春屋○イ/ＣＭＣ(3)/ンツ
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,8位,tomo,黄パジャマ,14,63.98,ふもー/なべわたなべ/サーベルタイガー/ニューロン(2)/パピ4/Longab/とろ/わからない(2)/わんぱく大盛カレーライス(2)/chikudenki/brooks
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,8位,わんぱく大盛カレーライス,が～まるちょば,14,63.98,ふもー/ネオ(3)/＃の中のカマ吉くん/ハコダイオ/散々七拍子/サーベルタイガー/わからない(2)/水谷新太郎(3)/ＣＭＣ
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,8位,キャッツアイ,ノックもしないでいきなりガチャ,14,63.98,きゅーきゅー/業務用虚無/サーベルタイガー/ガシラ(2)/ギルティー飯/道化/しもむら/Longab/とろ/バジルごはん/わんぱく大盛カレーライス/春屋○イ/ＣＭＣ
4055_9774_IUA,2022-04-15,70人,人生には３つのガチャがある。親ガチャ、顔ガチャ、あと1つは？,NA,8位,植田,ガチャ・ザ・ダンス（赤ん坊の目の前で踊ると、将来の学歴、就職先、結婚相手などが決まります。男のおじさんとかが、公園でよく踊ります。危ないので、踊られないようにしよう。公園っていうのは、鳩と毛虫がいるところです。）,14,63.98,ふもー/ガシラ/遠くを見ている/道化/ザイチェフ閣下/とろ/わからない(2)/水谷新太郎/瀬戸際ヤゴ/うなぎごまたろう/ＣＭＣ(3)
