お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,1位,パピ4,じばくにカーソルを合わせるとポケモンが振り向く,21,84.78,うわぁ/米(おこめ)/きゅーきゅー/たる棒/さいころちゃらみん/Longab(2)/ニューロン/ガシラ/ぴのこ/わからない(2)/とりっく(3)/ねこライト(2)/tomo/業務用虚無(3)
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,2位,私たち,あくタイプに将来の話をすると傷つく,17,75.62,ギルティー飯/うわぁ/米(おこめ)/チャンガーラ/たる棒/Longab/ニューロン(3)/ガシラ/街角で/とりっく(2)/ルカクがいる(2)/渡利　巣手呂/業務用虚無
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,3位,白黒まみれ,元気よく「ゲットだぜ！」と叫ぶと友達が減る,16,73.33,ニンニキニキニキ(2)/Ｓ.虚無(2)/きゅーきゅー(2)/ピロ式/Longab/ニューロン/hikage(2)/ガシラ(3)/とりっく(2)
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,4位,tomo,主人公の家に1年間居続けると就職の時期がやってくる,13,66.45,うわぁ(2)/きゅーきゅー/チャンガーラ/一石投じ男/Longab/ガシラ(2)/とりっく(2)/しもむら/業務用虚無(2)
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,4位,とろ,費やしたプレイ時間で勉強すればどれだけ偏差値が上がったかが表示される,13,66.45,うわぁ/きゅーきゅー/たる棒/hikage/うなな(2)/散々七拍子/ガシラ/はっぴーえんど/とりっく(3)/しもむら
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,4位,はしるねこ,テレビを傾けるといっぱい転がってくる,13,66.45,ザイチェフ閣下(2)/たる棒/一石投じ男(2)/水谷新太郎/うなな/わからない(3)/しもむら/渡利　巣手呂/きまぐれ
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,7位,たる棒,モンスターボールにファイヤーと洗濯物を入れると早く乾く,12,64.16,うわぁ/きゅーきゅー/チャンガーラ(2)/Longab/ニューロン/うなな/とりっく(2)/しもむら/tomo(2)
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,8位,こしかわ,所持金を777円にするとタケシの目が開く,11,61.87,うわぁ/チャンガーラ/水谷新太郎/及川広大/Longab(2)/ニューロン/うなな/はしるねこ/tomo/パピ4
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,8位,はっぴーえんど,画面をこすると一枚脱ぐ,11,61.87,米(おこめ)/きゅーきゅー/及川広大/orayudai/ニューロン/架空/渡利　巣手呂/tomo/パピ4(2)/きまぐれ
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,8位,魂の裏切りの夜,ポケモンを踏んで高い所のアイテムを取れる,11,61.87,ザイチェフ閣下/さいころちゃらみん/及川広大/Longab/うなな/はしるねこ/わからない/とりっく(2)/ルカクがいる/ねこライト
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,8位,＃の中のカマ吉くん,いやらしい進化もできる,11,61.87,うわぁ/米(おこめ)/ザイチェフ閣下/たる棒/及川広大/ピロ式/orayudai/はっぴーえんど/こしかわ/とりっく/パピ4
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,12位,ギルティー飯,アーボをうなぎに変更する,10,59.58,たる棒/さいころちゃらみん/及川広大/魂の裏切りの夜/架空/かくれどり/ねこライト/tomo/パピ4/きまぐれ
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,12位,ニューロン,性別をLGBTQから選べる,10,59.58,ギルティー飯/一石投じ男/うなな/はっぴーえんど/こしかわ/とりっく(3)/業務用虚無(2)
0543_0927_CYI,2022-04-22,71人,今のポケモンには、こんな裏ワザが隠されている。,NA,12位,自由人,屈伸すると膝の骨が鳴る,10,59.58,きゅーきゅー/チャンガーラ/たる棒/ニューロン/hikage/架空/街角で/はっぴーえんど/ルカクがいる/パピ4
