お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,1位,ケムケムケムッソ,らまい捧　计円,19,71.8,道化(3)/わからない(2)/みやまる/八子八百(3)/とろ/架空/瀬戸際ヤゴ/うわぁ/ YU-KIN☆/ニューロン/しもむら/brooks/ンツ/米(おこめ)
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,1位,ルカクがいる,これは中国人も食べないらしい,19,71.8,道化(2)/わからない/アポロっち(2)/白黒まみれ/パピ4/とろ/滋賀/瀬戸際ヤゴ/wowwow/うわぁ/散々七拍子/ YU-KIN☆/うなな/しもむら/業務用虚無/水谷新太郎/かくれどり
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,3位,フクリク,｢シェイシェイしてんじゃね〜よ｣が爆売れ,18,69.69,ぴのこ/たる棒(2)/滋賀/こしかわ/ルカクがいる(2)/ザイチェフ閣下(2)/うわぁ/とりっく/散々七拍子/うなな/しもむら(2)/tomo(2)/バジルごはん
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,4位,hikage,子供達がsyu–kin–payでお支払いしてる,17,67.59,アポロっち(2)/たる棒(2)/パピ4/確認くん/煙/机上で実演(2)/wowwow/うわぁ(2)/きゅーきゅー(2)/しもむら(2)/水谷新太郎
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,4位,白黒まみれ,あたり（遺伝子組み換えでない）,17,67.59,アポロっち(2)/たる棒/とろ/煙/はっぴーえんど/一石投じ男/ルカクがいる/机上で実演/とりっく/きゅーきゅー/業務用虚無(2)/ピロ式/バジルごはん/米(おこめ)/かくれどり
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,6位,みやまる,富裕層は日本で買う,16,65.48,アポロっち(2)/たる棒/遠くを見ている/はっぴーえんど/魂の裏切りの夜/架空/揚げたてメンチメン/一石投じ男(2)/wowwow/ニューロン/brooks(2)/業務用虚無(2)
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,6位,揚げたてメンチメン,あのおばあちゃん4000年前からずっと変わらないな〜,16,65.48,ふもー/道化/たる棒/遠くを見ている/確認くん/こしかわ/黒河ドロボー/うなな/しもむら/brooks(2)/水谷新太郎(3)/ンツ/ねこライト
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,6位,確認くん,お母さんには内緒だよと全ての駄菓子にあんかけを掛けてくれる,16,65.48,道化/アポロっち/ガッボデ/とろ/煙/魂の裏切りの夜/瀬戸際ヤゴ/とりっく(3)/散々七拍子/Ｓ.虚無(2)/うなな(2)/バジルごはん
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,6位,茹で腕,タラタラしてんじゃニイハオ,16,65.48,白黒まみれ/遠くを見ている/さいころちゃらみん/煙/はっぴーえんど/うわぁ/うなな/しもむら(2)/tomo/バジルごはん/ンツ/米(おこめ)/かくれどり(2)/のの字さがし
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,10位,さいころちゃらみん,美味棒棒,14,61.28,ふもー/道化/八子八百(2)/煙/はっぴーえんど/架空/瀬戸際ヤゴ/うわぁ/散々七拍子/業務用虚無/ピロ式/水谷新太郎/かくれどり
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,11位,机上で実演,夕今夕今レてんレ゛やねーよ,13,59.17,道化(2)/八子八百(2)/煙/一石投じ男(2)/うわぁ/brooks(2)/業務用虚無(2)/米(おこめ)
9440_1322_QZV,2022-04-23,64人,チャイニーズ駄菓子屋,NA,12位,うなな,農村部なら毛沢東の型抜きがまだあるはずだ,12,57.07,たる棒/煙/滋賀/一石投じ男(2)/渡利　巣手呂/うわぁ/ニューロン(2)/しもむら/業務用虚無(2)
