お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,1位,うなな,僕のクイズに僕が答える時間が続いてる,28,92.19,ガシラ(3)/道化(2)/小粒庵(2)/煙/ニンニキニキニキ/遠くを見ている(2)/かるかん圭/A味噌汁(2)/みっつ/kamenoue/魂の裏切りの夜(3)/キャッツアイ/ぜあす(2)/水谷新太郎(3)/滋賀/旧式/Ｓ.虚無
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,2位,旧式,あなたにおすすめの血液型があるの,22,80.19,渡利　巣手呂/アポロっち/ガシラ(2)/小粒庵(2)/たる棒/シーサイド品川/メスカマキリ/わんぱく大盛カレーライス/かるかん圭(2)/kamenoue(2)/きゃすが/しもむら/魂の裏切りの夜/うなな/八子八百/滋賀/パピ4/机上で実演
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,3位,tomo,今まで辛い事とかなくて,15,66.21,一石投じ男/ニューロン(2)/遠くを見ている/シーサイド品川/わんぱく大盛カレーライス(2)/かるかん圭/しもむら/八子八百(2)/水谷新太郎(2)/四の五の/ほんの一滴
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,3位,きゅーきゅー,ここまでは笑ってられた,15,66.21,渡利　巣手呂/一石投じ男/ニューロン/インフレエンジニア/＃の中のカマ吉くん/A味噌汁/brooks(2)/しもむら/魂の裏切りの夜/ふもー/ぜあす/水谷新太郎/四の五の/街角で
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,3位,白黒まみれ,もう今日は生類憐むぞー言うて,15,66.21,及川広大/一石投じ男/煙/遠くを見ている/メスカマキリ/かくれどり/さざなみのユウ(2)/かるかん圭/きゃすが/ザイチェフ閣下/ふもー(2)/机上で実演/Ｓ.虚無
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,6位,長谷川キモ彦,わたくし達、6で割り勘するの,14,64.21,渡利　巣手呂/及川広大/バジルごはん/道化/小粒庵/ニンニキニキニキ(2)/遠くを見ている/うなぎごまたろう/みやまる/ラスター/かるかん圭/A味噌汁/きゅーきゅー
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,6位,魂の裏切りの夜,うどんを6杯食べて帰った,14,64.21,渡利　巣手呂(3)/及川広大(2)/一石投じ男/羽子板は6枚/あざみ/小粒庵/かくれどり/kamenoue/八子八百/B群/水谷新太郎
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,6位,Ｓ.虚無,身に覚えがない走馬灯,14,64.21,アポロっち/ガシラ(3)/バジルごはん(2)/＃の中のカマ吉くん/揚げたてメンチメン/かるかん圭(2)/ザイチェフ閣下(2)/tomo/とろ
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,9位,たる棒,#非常食,13,62.21,一石投じ男(2)/アポロっち/バジルごはん/道化(3)/ニンニキニキニキ/はさあかた/しもむら/さいころちゃらみん/Longab/机上で実演
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,9位,ザイチェフ閣下,怒られてる時は犬を抱く,13,62.21,渡利　巣手呂(2)/及川広大(2)/ニューロン/メスカマキリ/brooks/きゃすが/さいころちゃらみん/キャッツアイ/八子八百/ほんの一滴/とろ
5843_7931_VUU,2022-05-02,81人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5843_7931_VUU.jpg,9位,メスカマキリ,写真に写ってる全てが妊娠している,13,62.21,一石投じ男/小粒庵(2)/ニューロン/はさあかた/kamenoue/ザイチェフ閣下/ふもー/四の五の(2)/街角で/机上で実演/とろ
