お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,1位,常時と乗馬,談志談志レボリューションで志らくが無双している,34,82.44,とろ/ハコダイオ(2)/旧式/GYAI/ふもー/さいころちゃらみん/Ｓ.虚無(3)/うくうあ(3)/揚げたてメンチメン/八子八百(3)/たる棒/煙/うわぁ/わんぱく大盛カレーライス/道化/うなぎごまたろう/バジルごはん/一石投じ男(3)/さけのなかのいくら/しもむら(2)/軍手(2)/ザイチェフ閣下/白黒まみれ
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,1位,遠くを見ている,アーム開く時糸引いてる,34,82.44,とろ/パピ4/ふもー/さいころちゃらみん/かるかん圭(2)/業務用虚無(2)/うんも(2)/八子八百/渡利　巣手呂/ピロ式/瀬戸際ヤゴ(2)/架空/きまぐれ(2)/つくり真顔/kamenoue/ガシラ(2)/わんぱく大盛カレーライス/道化(3)/メスカマキリ/バジルごはん/ニンニキニキニキ/しもむら/ルカクがいる/うなな(2)/ YU-KIN☆
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,3位,きゅーきゅー,両替機の中で円安が進む,28,74.32,ニューロン(2)/とろ/ハコダイオ/パピ4/かるかん圭(2)/業務用虚無(2)/ピロ式/きまぐれ(2)/たる棒/煙/うわぁ(2)/さざなみのユウ/キャッツアイ/道化/バジルごはん/さけのなかのいくら/小粒庵(2)/しもむら(3)/軍手(2)
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,4位,わんぱく大盛カレーライス,半ズボンの大人しかいない,25,70.26,ニューロン/ハコダイオ/パピ4/机上で実演/さいころちゃらみん/かるかん圭/うんも/ピロ式(3)/瀬戸際ヤゴ/きまぐれ/きゅーきゅー/つくり真顔/ガシラ/道化(2)/メスカマキリ/tomo(3)/さけのなかのいくら/小粒庵/はっぴーえんど/街角で
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,5位,かたくりこな,コンテーニュしますか,23,67.55,とろ/パピ4/ふもー(2)/かるかん圭(3)/業務用虚無/ます/ガシラ(2)/ゲリラ豪雨/い/道化(2)/さけのなかのいくら/小粒庵/しもむら/はっぴーえんど/うなな/ザイチェフ閣下/街角で/かくれどり
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,5位,サーベルタイガー,ウィーンって言うバイトがいる,23,67.55,ニューロン(2)/とろ/パピ4/机上で実演/GYAI/ふもー/かるかん圭/八子八百/瀬戸際ヤゴ/Longab/道化/バジルごはん/tomo/一石投じ男/さけのなかのいくら/しもむら/はっぴーえんど/ザイチェフ閣下/B群/白黒まみれ(2)/かくれどり
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,7位,ザイチェフ閣下,両替を頼んだら店主が生活費と書かれた封筒から小銭を出してきた,22,66.2,とろ/ハコダイオ/業務用虚無(2)/渡利　巣手呂/煙/つくり真顔/うわぁ/ガシラ(3)/わんぱく大盛カレーライス/道化/ニンニキニキニキ/小粒庵/しもむら(2)/軍手/うなな(2)/街角で/白黒まみれ
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,8位,Ｓ.虚無,僕の両替が映画化された,20,63.49,ニューロン(2)/ふもー/かるかん圭/業務用虚無(3)/うんも/八子八百/＃の中のカマ吉くん/煙/つくり真顔/うなぎごまたろう/メスカマキリ/バジルごはん/小粒庵/しもむら(2)/うなな/かくれどり
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,9位,さいころちゃらみん,財力だけでランキングにいるおじさんからアドバイスされる,18,60.79,ニューロン/とろ/ハコダイオ/ふもー/かるかん圭/業務用虚無/魂の裏切りの夜/つくり真顔(2)/ガシラ(2)/ラスター(2)/Longab/一石投じ男/小粒庵/しもむら/白黒まみれ
7945_3170_URK,2022-05-03,77人,"こんなゲームセンターはいやだ
",NA,9位,魂の裏切りの夜,揚がりすぎた天ぷらをアームで救助する,18,60.79,ニューロン(3)/とろ/渡利　巣手呂/瀬戸際ヤゴ(2)/たる棒/きゅーきゅー/ガシラ/キャッツアイ/Longab/うなぎごまたろう/ニンニキニキニキ/ザイチェフ閣下/白黒まみれ/かくれどり(2)
