お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,1位,うんも,「肉じゃが作りすぎてませんか」と毎晩訪ねる,36,84.79,きお(2)/ウッド原動機/アポロっち(2)/パピ4/米(おこめ)/ナカウラ/灰根/道化(2)/おりスパ/匿名匿名/轢歩帰(2)/たかだか竹田/Normal boy/ザイチェフ閣下/お吸い物/tomo/Mr.G/一石投じ男/きゅーきゅー/メロディックストーム/赤い髪/うわぁ/seno/軍手(2)/小粒庵/机上で実演/じゃん/メスカマキリ/たこかいな/キタムランド/さいころちゃらみん
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,2位,さいころちゃらみん,10円玉は味がしなくなってから使う,33,80.77,とろ/きお/ぽにょ/ガシラ/ウッド原動機(2)/アポロっち/インフレエンジニア/クドウヒロオ(2)/灰根(2)/たる棒/わんぱく大盛カレーライス/ンツ(2)/brooks(2)/ザイチェフ閣下/キャッツアイ/お吸い物(2)/さっつん/ちきちきた/きゅーきゅー/かくれどり/魂の裏切りの夜/チキン南蛮(2)/小粒庵(2)/机上で実演/キタムランド
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,3位,白滝BOX,「お湯」って書いた紙で体を拭いてる,31,78.09,とろ/きお/ガシラ(2)/ウッド原動機/遠くを見ている/はっぴーえんど/米(おこめ)/はまんこ/灰根/匿名匿名/ギルティー飯/水谷新太郎/うなな(2)/お吸い物(2)/男も育休/一石投じ男/メロディックストーム/赤い髪/seno/かくれどり(2)/チキン南蛮(3)/八子八百/業務用虚無(2)/たこかいな
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,4位,春屋○イ,天井に蛍光ペンで「電気」と書いた,30,76.76,とろ/ガシラ/わんぱく大盛カレーライス/匿名匿名/轢歩帰(2)/ンツ/水谷新太郎/Normal boy(3)/キャッツアイ/揚げたてメンチメン/街角で/さっつん/男も育休/tomo(3)/ちきちきた/seno/かくれどり(2)/チキン南蛮(3)/机上で実演/業務用虚無(3)
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,5位,tome_ru,葬式は金がかかるので、なるべく死なないようにしている,25,70.06,とろ/きお(3)/ネオ(3)/ガシラ(3)/アポロっち/灰根/たる棒/たかだか竹田/水谷新太郎/さっつん/男も育休/Mr.G/一石投じ男/かくれどり/ママミルク/軍手/アヘ/業務用虚無/メスカマキリ
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,5位,メロディックストーム,代々継ぎ足してるガムがある,25,70.06,きお/ネオ(3)/パピ4/つややか/たる棒/匿名匿名/轢歩帰/ンツ/水谷新太郎/ニンニキニキニキ/うなな(2)/Normal boy/ザイチェフ閣下(2)/うんも/揚げたてメンチメン/うわぁ/軍手/八子八百/机上で実演/たこかいな/さいころちゃらみん
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,7位,seno,雷が唯一の娯楽なので雨の日が待ち遠しい,22,66.05,とろ/ガシラ(2)/ウッド原動機/クドウヒロオ/米(おこめ)/灰根/つややか/水谷新太郎/Normal boy/男も育休/一石投じ男(2)/うなぎごまたろう/うわぁ(2)/軍手/小粒庵/たこかいな(3)/長谷川キモ彦
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,7位,ネオ,ヤバめの月だけ出家してる,22,66.05,とろ/きお/アポロっち/遠くを見ている/クドウヒロオ/米(おこめ)/はまんこ/たる棒/うなな/お吸い物/seno/小粒庵/八子八百(2)/渡利　巣手呂/春屋○イ/業務用虚無(2)/メスカマキリ(3)/たこかいな
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,9位,かくれどり,一枚の絵馬に寄せ書きする,20,63.37,遠くを見ている/はっぴーえんど/ラスター(2)/たる棒/うなな/Normal boy(2)/brooks/うんも/街角で/男も育休/Mr.G(2)/うなぎごまたろう/きゅーきゅー/小粒庵/メスカマキリ/ピーナッツ/さいころちゃらみん
9148_3743_QLS,2022-05-11,93人,超ケチな家族の節約術,NA,10位,机上で実演,娯楽として数字を教えている,19,62.03,きお/ガシラ/パピ4/灰根/ンツ/ギルティー飯/ほんの一滴/ちきちきた/Mr.G/きゅーきゅー(2)/seno/かくれどり(2)/Sush Judo/ありすbot/メスカマキリ/たこかいな(2)
