お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,1位,白黒まみれ,地元の公式じゃ都会の数学解けない,23,77.24,轢歩帰/インフレエンジニア/匿名匿名/一石投じ男/たこかいな(2)/わんぱく大盛カレーライス(2)/tomo/メスカマキリ(3)/ウッド原動機(3)/つややか(2)/うなな/さっつん(2)/道化/2000年代初期、夏の街(2)
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,2位,誓約,女なのに走ってた,22,75.48,Mr.G/遠くを見ている/kamenoue(2)/お散歩BAR/春屋○イ/机上で実演/brooks/Ｓ.虚無/えふ/長谷川キモ彦/ウッド原動機/つややか(2)/クシャーナ/きゅーきゅー(3)/八子八百(2)/2000年代初期、夏の街(2)
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,3位,男も育休,109階も無いよな…,21,73.72,米(おこめ)(3)/さけのなかのいくら/灰根(3)/Normal boy/ありすbot/かくれどり(2)/机上で実演(2)/街角で/うなぎごまたろう/ンツ/みやまる/ガシラ/道化(3)
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,4位,春屋○イ,方言をバカにするターンが30秒で終わった,20,71.95,水谷新太郎/業務用虚無(2)/軍手/匿名匿名/ザイチェフ閣下/ニンニキニキニキ/Normal boy(2)/うわぁ/わんぱく大盛カレーライス/たかだか竹田/かくれどり/セトピア/ンツ(2)/ガシラ/きゅーきゅー/さっつん/2000年代初期、夏の街
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,4位,＃の中のカマ吉くん,ダサい奴も楽しそうに生きてる,20,71.95,轢歩帰/Mr.G(2)/水谷新太郎(3)/遠くを見ている/業務用虚無/きゃすが/さいころちゃらみん/ギルティー飯/かくれどり/机上で実演(2)/街角で/京/セトピア/みやまる/ガシラ/2000年代初期、夏の街
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,6位,揚げたてメンチメン,人が冷たいと聞いてたのに満員電車が暑い,19,70.19,轢歩帰/Mr.G/さけのなかのいくら/業務用虚無(3)/灰根(3)/軍手/インフレエンジニア/うわぁ/一石投じ男/メスカマキリ/Ｓ.虚無/ガシラ/なべわたなべ(2)/きゅーきゅー
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,7位,@obasuma,中央分離帯の花が美しい,17,66.66,轢歩帰/水谷新太郎(2)/業務用虚無/Normal boy/うわぁ/ありすbot/tomo/メスカマキリ/brooks/ウッド原動機/渡利　巣手呂/うなな/ガシラ(3)/八子八百
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,8位,A味噌汁,知恵袋ではどうにもならない恋あるな,16,64.9,米(おこめ)/灰根/インフレエンジニア/きゃすが/たこかいな/白黒まみれ(2)/メスカマキリ/街角で/京/キタムランド/セトピア/アポロっち/ガシラ/さっつん(2)
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,8位,kamenoue,エッチな大根というか大根はエッチでしょ,16,64.9,米(おこめ)(2)/轢歩帰/さけのなかのいくら/きゃすが/tome_ru(2)/Normal boy(2)/一石投じ男/ハト/白黒まみれ/メスカマキリ/かくれどり(2)/机上で実演
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,8位,遠くを見ている,地盤を信じすぎてる工事だろ,16,64.9,さけのなかのいくら/魂の裏切りの夜/Normal boy/ありすbot/tomo/机上で実演/キタムランド(2)/セトピア/うなな/ガシラ(2)/きゅーきゅー/八子八百(2)/2000年代初期、夏の街
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,11位,インフレエンジニア,無理して練習した方言がウケない,15,63.14,さけのなかのいくら/水谷新太郎/灰根/tome_ru/さいころちゃらみん/一石投じ男/メスカマキリ(2)/かくれどり/街角で/セトピア(2)/ガシラ/2000年代初期、夏の街(2)
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,12位,tomo,田舎で見るインターネットと同じだ,14,61.37,米(おこめ)/Mr.G/業務用虚無/うわぁ/一石投じ男(2)/メスカマキリ(3)/かくれどり(2)/京/つややか/うなな
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,12位,さいころちゃらみん,テニスサークルに入部したのに全国団体戦優勝した,14,61.37,轢歩帰(2)/インフレエンジニア/獰猛なドーモくん/Normal boy/春屋○イ/たかだか竹田(2)/白黒まみれ/メスカマキリ/うなぎごまたろう/アポロっち/ガシラ(2)
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,12位,たこかいな,クーポンの通知しか鳴らない,14,61.37,遠くを見ている/Normal boy/さいころちゃらみん/ありすbot/tomo/アポロっち/メロディックストーム/渡利　巣手呂/うなな/ガシラ/きゅーきゅー/道化(3)
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,12位,わんぱく大盛カレーライス,羊の交尾のモノマネがウケない,14,61.37,水谷新太郎/軍手/ザイチェフ閣下/ニンニキニキニキ/Normal boy/白黒まみれ(2)/メスカマキリ/机上で実演/キタムランド/アポロっち(2)/ガシラ/2000年代初期、夏の街
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,16位,きゅーきゅー,山の上より酸素が薄い,13,59.61,業務用虚無/灰根(2)/たこかいな(2)/メスカマキリ(2)/かくれどり/机上で実演/キタムランド/藤光(2)/さっつん
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,16位,ピロ式,全く隣人が肉じゃがを作りすぎない,13,59.61,轢歩帰/水谷新太郎/灰根/インフレエンジニア/うわぁ/さいころちゃらみん/一石投じ男/机上で実演(2)/アポロっち/きゅーきゅー(2)/2000年代初期、夏の街
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,16位,机上で実演,郵便局の駐車場の狭さ、全国共通だったのか,13,59.61,さけのなかのいくら/遠くを見ている/業務用虚無(3)/うわぁ(2)/たかだか竹田/かくれどり(2)/ンツ/うなな/ガシラ
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,19位,さっつん,東京生まれの人と同じ門から入れた,12,57.85,業務用虚無(2)/ニンニキニキニキ/メスカマキリ(2)/机上で実演/街角で(2)/京/アポロっち/ガシラ(2)
6865_3502_DML,2022-05-12,95人,田舎から上京してきた大学生「思ってたのと違うな…」何があった？,NA,19位,ガシラ,「東京の真ん中に住みたい」と言ったら太平洋に連れて行かれた,12,57.85,Mr.G/じゃん/灰根/メスカマキリ/かくれどり(3)/京(3)/道化(2)
