お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,1位,うなな,観察日記のページがもう無い,29,87.45,ンツ/ふもー(2)/セトピア(2)/道化(3)/tome_ru/ミフィ(3)/水谷新太郎(2)/男も育休(2)/キャッツアイ/ハミカワ(2)/B群/うわぁ/また師走が来たよ(2)/しもむら/灰根/きゅーきゅー(3)/たる棒
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,2位,春屋○イ,OBの植物がやってきた,24,78.84,シュヴァルツ/ザイチェフ閣下/セトピア/白黒まみれ(2)/さいころちゃらみん/ほんの一滴(2)/渡利　巣手呂/seno/tomo/バジルごはん/また師走が来たよ/＃の中のカマ吉くん(3)/ガシラ/伊勢八/パピ4/きゅーきゅー/うなな/しゅうぴょんz(2)/Longab
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,3位,また師走が来たよ,元々「あとは気持ち次第」と言われていた,22,75.4,ザイチェフ閣下/魚醤/さっつん/ふもー/かくれどり/ミフィ/ピロ式/アポロっち/ウッド原動機/seno/みやまる/tomo(3)/バジルごはん/匿名匿名/上野上野上野/きゅーきゅー/おさかな水溶液/うなな/まつもとたろう/Longab
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,3位,ンツ,でっかい天ぷらになりたい,22,75.4,ザイチェフ閣下/白黒まみれ/ほんの一滴/ハミカワ/渡利　巣手呂/ネオ/seno/ナカウラ/バジルごはん/うわぁ(3)/また師走が来たよ(3)/ニンニキニキニキ/遠くを見ている/パピ4/たる棒/うなな(2)/Longab
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,5位,kamenoue,必要ない手術をされそうになった,20,71.96,こっぺ(2)/魂の裏切りの夜/メロディックストーム/かくれどり(2)/tome_ru/軍手/ウッド原動機(2)/メスカマキリ/机上で実演/seno/しもむら/伊勢八/パピ4/きゅーきゅー/おさかな水溶液/ビデ/Longab
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,6位,きゅーきゅー,つらい過去を思い出に変えた,16,65.07,ンツ/さっつん/かくれどり/渡利　巣手呂/机上で実演(2)/seno/みやまる/B群/ガシラ(2)/ニンニキニキニキ/上野上野上野/おさかな水溶液(2)/Longab
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,6位,男も育休,「植物〜疾風伝〜」が始まった,16,65.07,シュヴァルツ/魚醤/魂の裏切りの夜/道化(3)/ミフィ/軍手(2)/アポロっち/机上で実演/seno/ガシラ(3)/資本ネコ
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,6位,白黒まみれ,キリンがくる,16,65.07,ザイチェフ閣下(2)/魚醤/架空(3)/ふもー(2)/かくれどり(2)/道化/ピロ式/ネオ/お散歩BAR(3)
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,9位,B群,初めての受粉を経験した,15,63.35,貯留/ンツ/軍手/アポロっち/さいころちゃらみん/seno/インフレエンジニア/ガシラ/ニンニキニキニキ/しもむら(2)/伊勢八/灰根(2)/ビデ
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,9位,ネオ,ツッコミ待ち,15,63.35,魚醤/こっぺ(2)/架空/さっつん/ふもー/道化(3)/アポロっち(2)/机上で実演(2)/資本ネコ/Longab
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,11位,匿名匿名,電柱からヒントを得た,14,61.63,ンツ/こっぺ/かくれどり(2)/ウッド原動機(2)/メスカマキリ(2)/ネオ/tomo(2)/バジルごはん/＃の中のカマ吉くん/しもむら
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,12位,ポッと出のプリマ,マジメにやってきたからよ、ね？,13,59.91,ザイチェフ閣下/ンツ/かくれどり/道化(3)/アポロっち/はなびら/机上で実演/さざなみのユウ/みやまる(2)/yom-yom
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,13位,ウッド原動機,肥料ゆきの切り抜き動画を見て、変わらないとって思った,12,58.19,セトピア/かくれどり(3)/ミフィ/アポロっち(2)/机上で実演/seno/上野上野上野/ビデ(2)
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,13位,資本ネコ,IKKOの自然を支配する力が弱まり始めた,12,58.19,ンツ/モー点レギュラー/こっぺ/さっつん/メスカマキリ(2)/机上で実演/インフレエンジニア/バジルごはん/お散歩BAR(2)/上野上野上野
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,13位,遠くを見ている,同期の女が一枚脱いだ,12,58.19,魚醤/架空/メロディックストーム/さいころちゃらみん/キャッツアイ/机上で実演/seno/B群/お散歩BAR/たる棒/まつもとたろう/しゅうぴょんz
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,16位,さいころちゃらみん,しばらく見ないようにした,11,56.46,心のノート/魂の裏切りの夜(2)/seno/匿名匿名/うわぁ(2)/お散歩BAR/パピ4/きゅーきゅー/おさかな水溶液
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,16位,さっつん,『運命』を聞かせるのをやめた,11,56.46,ミフィ/ハミカワ/ネオ/うなぎごまたろう/バジルごはん/匿名匿名/はっぴーえんど/きゅーきゅー/資本ネコ/おさかな水溶液(2)
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,16位,ギルティー飯,土にミロを混ぜた,11,56.46,シュヴァルツ/ふもー/道化(3)/アポロっち/さいころちゃらみん/ネオ/机上で実演/うなぎごまたろう/バジルごはん
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,16位,バジルごはん,他にやる事が無くなったので,11,56.46,架空/道化(2)/インフレエンジニア/tomo/匿名匿名/うわぁ(2)/上野上野上野/伊勢八/まつもとたろう
3083_6670_TRC,2022-05-16,91人,植物が急に育った理由,NA,16位,常時と乗馬,ガガガSPずっと聴かせてた,11,56.46,ザイチェフ閣下/ンツ/架空/メロディックストーム/かくれどり/ピロ式(2)/水谷新太郎/さざなみのユウ/上野上野上野(2)
