お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,1位,旧式,いま思えば不吉なカルビだった,41,87.55,ピュレグミ/フソ(2)/ハコダイオ/ザイチェフ閣下/秋/うわぁ/資本ネコ/きゅーきゅー(2)/三十一/じんぺ(2)/アポロっち/メロディックストーム/ニンニキニキニキ/及川広大/いちまはん＠人権問題/植田/ましましのしま(2)/シュヴァルツ/はっぴーえんど/渡利　巣手呂/小春製菓/春屋○イ/ミフィ/ネオ/モー点レギュラー(2)/業務用虚無(2)/虎猫/ナカウラ/メスカマキリ(2)/さっつん(2)/机上で実演/キタムランド/ちきちきた
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,2位,ジョンとも,あなたは119を！私はタン塩を注文しておきます！,38,83.99,ハコダイオ/tome_ru(2)/たかだか竹田/水猫ラテ/みそスープ/はたパク/道化(2)/Longab/しゅうぴょんz(2)/実家に帰った鶴/ラスター(2)/アポロっち/メロディックストーム/ガシラ(2)/ましましのしま/3ねこ(2)/シュヴァルツ/はっぴーえんど/パピ4/薬味乱用/モー点レギュラー/業務用虚無(2)/ビデ/さっつん(2)/机上で実演/水谷新太郎/キタムランド/かくれどり/インフレエンジニア/白黒まみれ
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,2位,当時若者,※事故を起こされたお客様に限り,38,83.99,ハコダイオ/まつもとたろう/みやまる/うわぁ(2)/はたパク/うなな/道化(3)/米(おこめ)/しゅうぴょんz/きゅーきゅー(2)/じんぺ/アポロっち/心のノート/植田/さけのなかのいくら/ましましのしま/3ねこ/シュヴァルツ/はっぴーえんど(2)/パピ4/薬味乱用/ネオ(2)/モー点レギュラー/業務用虚無/机上で実演/水谷新太郎(2)/かくれどり(2)/匿名匿名/インフレエンジニア(2)
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,4位,うなな,もしもし事故です。肉が焼けてるにおいもします,34,79.24,ピュレグミ/ザイチェフ閣下/まつもとたろう/秋/うわぁ/みそスープ/Longab(2)/きゅーきゅー(3)/じんぺ(3)/ほんの一滴/一石投じ男/加藤カプセル(3)/ミフィ(2)/業務用虚無(3)/虎猫/ナカウラ/たんひな/机上で実演/ハミカワ/キタムランド/かくれどり/さいころちゃらみん/つくり真顔/白黒まみれ
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,5位,brooks,この隙に渡っちゃおっか,25,68.54,ピュレグミ/毒桃/また師走が来たよ(3)/chikuwabu/水猫ラテ/うわぁ/うなな(2)/0Shara/じんぺ/ほんの一滴/アポロっち/メロディックストーム/いちまはん＠人権問題/植田/ジョンとも/小春製菓(2)/さっつん/Gully/シーサイド品川/さいころちゃらみん/インフレエンジニア
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,5位,春屋○イ,まだ空腹が勝ってるな,25,68.54,tome_ru(2)/毒桃(2)/秋/うわぁ/うなな/道化/Longab/しゅうぴょんz/きゅーきゅー/三十一/じんぺ(2)/ほんの一滴/3ねこ/シールドビニール/渡利　巣手呂/ネオ/業務用虚無/ビデ/魂の裏切りの夜/tomo/つくり真顔(2)
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,7位,さっつん,この画面を見せれば更に半額に！,21,63.79,ピュレグミ/ハコダイオ/まつもとたろう/chikuwabu/Longab/きゅーきゅー/アポロっち/メロディックストーム/ニンニキニキニキ/一石投じ男/ましましのしま(2)/シュヴァルツ/揚げたてメンチメン/加藤カプセル/業務用虚無(2)/ビデ/水谷新太郎/かくれどり/白黒まみれ
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,7位,一石投じ男,近所のジジイが「スケッチしたい」と言ったせいでずっとこのまま,21,63.79,ハコダイオ(2)/たかだか竹田/みそスープ(2)/Longab/実家に帰った鶴/板野/植田/ましましのしま/シュヴァルツ/ミフィ/ネオ/業務用虚無/たんひな/Gully/ハミカワ(2)/かくれどり(3)
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,7位,遠くを見ている,タレ派、強かったな,21,63.79,ハコダイオ/米(おこめ)/きゅーきゅー/三十一(2)/じんぺ/ほんの一滴/メロディックストーム/ニンニキニキニキ/ましましのしま/たる棒/シュヴァルツ/はっぴーえんど/ビデ/さっつん(2)/tomo/机上で実演/キタムランド/白黒まみれ(2)
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,10位,さいころちゃらみん,網なら無料で交換しますよ,20,62.6,男も育休/うなな/米(おこめ)/0Shara/しゅうぴょんz/きゅーきゅー(2)/及川広大/ガシラ/いちまはん＠人権問題/ましましのしま/揚げたてメンチメン/パピ4/薬味乱用/メスカマキリ/さっつん/tomo/机上で実演/ちきちきた/匿名匿名
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,10位,轢歩帰,初戦は下馬評通りか,20,62.6,ザイチェフ閣下/まつもとたろう/毒桃/遠くを見ている/三十一/ドライアドの井村屋(2)/植田(2)/一石投じ男/ましましのしま/3ねこ/渡利　巣手呂/加藤カプセル(2)/ネオ/さっつん/水谷新太郎(2)/ハミカワ
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,12位,モー点レギュラー,何故か焼肉店にも2割の過失が発生した。,19,61.41,壁(2)/たかだか竹田/うわぁ/道化(3)/Longab/0Shara(2)/きゅーきゅー/メロディックストーム/ガシラ/いちまはん＠人権問題/業務用虚無(2)/シーサイド品川/ちきちきた/匿名匿名
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,12位,白黒まみれ,また出たか、カルビの幽霊,19,61.41,ピュレグミ/ザイチェフ閣下/うわぁ/Longab(2)/米(おこめ)(2)/しゅうぴょんz(2)/ほんの一滴/及川広大/ガシラ(2)/ましましのしま/シュヴァルツ/業務用虚無/水谷新太郎/キタムランド(2)
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,14位,匿名匿名,退院したら行こうかな,17,59.04,ザイチェフ閣下/みやまる/旧式/うわぁ(2)/brooks/米(おこめ)/きゅーきゅー/じんぺ/アポロっち/植田/春屋○イ/虎猫/tomo(3)/シーサイド品川
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,15位,Longab,明日は何に驚こう,16,57.85,旧式/brooks(2)/アポロっち/ニンニキニキニキ/ましましのしま/渡利　巣手呂/加藤カプセル/パピ4/ネオ/モー点レギュラー/虎猫/メスカマキリ/魂の裏切りの夜/tomo/つくり真顔
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,15位,業務用虚無,構うな、あくまで俺たちの任務は焼肉屋の監視だ,16,57.85,また師走が来たよ/うわぁ(2)/うなな/しゅうぴょんz/きゅーきゅー(2)/じんぺ/アポロっち/及川広大/ガシラ/さけのなかのいくら/ましましのしま/シュヴァルツ(2)/シールドビニール
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,17位,男も育休,左下に青ざめたヒカキンを置けばサムネは完成,15,56.66,フソ/うわぁ(2)/道化(3)/しゅうぴょんz/アポロっち(2)/ニンニキニキニキ/ましましのしま/加藤カプセル/業務用虚無(2)/ハミカワ
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,17位,薬味乱用,塩派かタレ派で車ごと揉めた,15,56.66,まつもとたろう/tome_ru(3)/0Shara/しゅうぴょんz(2)/遠くを見ている/じんぺ/植田/灰根(2)/メスカマキリ(2)/白黒まみれ
0265_2244_LPX,2022-05-18,98人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0265_2244_LPX.jpg,17位,魂の裏切りの夜,事故の後に焼肉屋が建った,15,56.66,ピュレグミ/フソ(2)/また師走が来たよ/たかだか竹田/水猫ラテ/うなな/じんぺ/ドライアドの井村屋(2)/一石投じ男(2)/シーサイド品川/匿名匿名/白黒まみれ
