お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,1位,白滝BOX,また僕の知らない野菜だ,53,96.9,3ねこ/板野/メスカマキリ(3)/うんも/ニンニキニキニキ/きゃすが/ましましのしま/ナンの一部(2)/また師走が来たよ(2)/ラスター(2)/水谷新太郎/三十一/寺井(2)/かくれどり/数字少女(2)/kawabuchi/山岸(3)/シュヴァルツ/omiun/brooks(2)/ふもー(3)/白黒まみれ/うわぁ(3)/匿名匿名/さいころちゃらみん/ハコダイオ(2)/ほんの一滴/春屋○イ/れれれのれき(2)/ねこライト(2)/モー点レギュラー(2)/はっぴーえんど/資本ネコ/ミフィ/ウッド原動機
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,2位,キタムランド,消防士さんどいてください、妻がまだ中にいるんです！,43,85.85,机上で実演/ピュレグミ/ニンニキニキニキ/ましましのしま/しゅうぴょんz(3)/三十一/寺井/かくれどり(2)/メロディックストーム/山岸(3)/シュヴァルツ(3)/omiun/心のノート/業務用虚無(3)/ふもー(2)/ネオ/うわぁ(2)/さっつん/ハコダイオ(3)/れれれのれき(2)/モー点レギュラー(3)/薬味乱用/はっぴーえんど/まつもとたろう/アポロっち(3)
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,3位,うなな,埋葬は不法投棄にあたるという判決がくだり、,27,68.19,板野/メスカマキリ(2)/うんも/ましましのしま/@obasuma/しゅうぴょんz/寺井(2)/山岸/シュヴァルツ/みそスープ/業務用虚無(2)/さけのなかのいくら/らんちゃん/魂の裏切りの夜/れれれのれき(3)/当時若者/ならぬトウ/薬味乱用/きゅーきゅー(2)/アポロっち(2)
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,3位,さいころちゃらみん,チルドな夜だった。ぼくらは欲望のままに、好きなものを好きなだけ詰め込んだ。,27,68.19,ラメ絶対(2)/ニンニキニキニキ/きゃすが/ましましのしま/三十一/かくれどり(3)/山岸(2)/omiun/業務用虚無(2)/白黒まみれ/匿名匿名/さけのなかのいくら/キタムランド/はたパク/小春製菓/うなな/ほんの一滴/ならぬトウ(2)/はっぴーえんど/まつもとたろう/ウッド原動機
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,3位,ちきちきた,捨てるのにも金がいるのか,27,68.19,机上で実演/みやまる/ニンニキニキニキ/八子八百/男も育休(2)/米(おこめ)/遠くを見ている/かくれどり/渡利　巣手呂/kawabuchi/シュヴァルツ/omiun(2)/brooks/ナカウラ/心のノート/みそスープ/ネオ/白黒まみれ/うわぁ/＃の中のカマ吉くん/魂の裏切りの夜/ハコダイオ/まつもとたろう/ウッド原動機(2)
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,3位,ドライアドの井村屋,思い出と一緒に知らないマグネットも増えて,27,68.19,ラメ絶対/メスカマキリ(3)/@obasuma/ナンの一部/しゅうぴょんz/水谷新太郎/遠くを見ている/かくれどり(3)/メロディックストーム/山岸/シュヴァルツ/業務用虚無/さいころちゃらみん/魂の裏切りの夜/うなな/れれれのれき/ねこライト/モー点レギュラー/薬味乱用/きゅーきゅー/アポロっち(2)/ミフィ
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,7位,kamenoue,よくもまあその量の麦茶を,24,64.87,メスカマキリ/きゃすが/ましましのしま/八子八百/米(おこめ)/寺井(2)/渡利　巣手呂/ドライアドの井村屋(2)/シュヴァルツ(2)/omiun/じんぺ/キタムランド/さいころちゃらみん/tomo(3)/＃の中のカマ吉くん/うなな/れれれのれき/ならぬトウ/キャッツアイ
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,7位,また師走が来たよ,冷やしてもいい花束を片手に,24,64.87,ピュレグミ/ましましのしま/ナンの一部/寺井(2)/かくれどり(3)/山岸/omiun(2)/ネオ/じんぺ/白黒まみれ(3)/匿名匿名/魂の裏切りの夜/小春製菓/春屋○イ/ねこライト/ウッド原動機(3)
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,9位,遠くを見ている,思ってた幅と違うじゃあないか,23,63.77,机上で実演/ピュレグミ/うんも/きゃすが/ましましのしま/男も育休/三十一/米(おこめ)/シン（本物）/寺井/シュヴァルツ/omiun/brooks/みそスープ(2)/白黒まみれ/さっつん/キタムランド(2)/春屋○イ/れれれのれき(2)/当時若者
4666_0726_VXD,2022-05-19,103人,小説「ぼくの妻は冷蔵庫」の一説,NA,10位,ねこライト,よく冷えた元気な赤ちゃんだ,21,61.56,ラメ絶対/ピュレグミ/3ねこ/ニンニキニキニキ(2)/ましましのしま/ラスター(2)/山岸/omiun/brooks/心のノート/業務用虚無/いちまはん＠人権問題/さけのなかのいくら(2)/ほんの一滴/薬味乱用/まつもとたろう/資本ネコ/ミフィ
