お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,1位,アントニオカッキーノ,つまらない人が｢これもスポーツ？｣と聞いてくるので｢これもスポーツ｣と返す,35,84.2,小春製菓/シュヴァルツ/きゅーきゅー(2)/八子八百(2)/三十一/うんも/遠くを見ている/ハミカワ(2)/3ねこ(2)/れれれのれき/ラメ絶対/ラスター(3)/アポロっち/ハコダイオ/業務用虚無(2)/hp/机上で実演/まつもとたろう/ましましのしま(2)/AUG/つくり真顔/パピ4/うわぁ(2)/さけのなかのいくら/また師走が来たよ/寺井
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,2位,ケムケムケムッソ,風呂場で波起こして「これいけるな」と思う,28,74.37,小春製菓/きゅーきゅー/八子八百(2)/三十一/春屋○イ/業務用虚無(2)/hp/いちまはん＠人権問題/男も育休/まつもとたろう/うただよ(2)/AUG/ハインツ・ドゥーフ(2)/一石投じ男/薬味乱用/うなぎごまたろう/つくり真顔/パピ4/阿弥陀クジオ/seno/たる棒/ドライアドの井村屋(2)/山岸
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,3位,八子八百,ムシャクシャする日は反則技を先に考える,27,72.96,うんも/遠くを見ている/ハミカワ(2)/春屋○イ/さいころちゃらみん/アポロっち/業務用虚無/hp(2)/机上で実演(2)/うただよ/ましましのしま/灰根(3)/AUG/モー点レギュラー/パピ4/うわぁ/ザイチェフ閣下(2)/また師走が来たよ(2)/ニンニキニキニキ/寺井
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,4位,机上で実演,“普及”はまた話が変わってくるもんな、と思う,26,71.56,三十一/みやまる/れれれのれき(2)/Longab/アポロっち/ハコダイオ/業務用虚無(2)/いちまはん＠人権問題/男も育休/まつもとたろう/AUG/モー点レギュラー(3)/ハインツ・ドゥーフ(3)/かくれどり/うわぁ(2)/さけのなかのいくら/四の五の/寺井/散々七拍子
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,5位,omiun,自損事故を見て「小スポーツ」と思っている,25,70.15,うんも/秋/ハコダイオ(3)/業務用虚無/男も育休(2)/机上で実演/白黒まみれ(2)/うただよ/メロディックストーム/一石投じ男/つくり真顔/パピ4(3)/seno/また師走が来たよ(2)/寺井/ドライアドの井村屋(2)/山岸
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,5位,みやまる,嫌なことがあった日は格闘技を考案する,25,70.15,秋/春屋○イ/ラスター(2)/Longab/Gully/業務用虚無(3)/hp(2)/男も育休/ナンの一部/一石投じ男/かくれどり/パピ4(2)/うわぁ/阿弥陀クジオ/渡利　巣手呂/さけのなかのいくら/また師走が来たよ/四の五の/はたパク/山岸
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,5位,ピロ式,そろそろ「人生もスポーツ」を使ってしまうか考える,25,70.15,小春製菓/シュヴァルツ/しゅうぴょんz/きゅーきゅー/三十一/ハミカワ/3ねこ/Longab/アポロっち/ジョンとも/業務用虚無(2)/まつもとたろう/キウイ/ましましのしま/灰根/道化(3)/一石投じ男/資本ネコ/うわぁ/阿弥陀クジオ/また師走が来たよ/四の五の
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,5位,四の五の,夏は冬のスポーツばっかり思いついてしまう,25,70.15,しゅうぴょんz/八子八百/遠くを見ている/3ねこ(2)/ハコダイオ(2)/Gully/業務用虚無(2)/机上で実演/キウイ/ましましのしま/灰根(2)/AUG/道化(2)/ハインツ・ドゥーフ/かくれどり(2)/パピ4/ザイチェフ閣下/魂の裏切りの夜/ニンニキニキニキ
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,9位,うなな,会議の時に思い出しスポーツして怒られる,24,68.75,ラメ絶対(2)/Longab/Gully(3)/ジョンとも/業務用虚無(2)/男も育休/AUG/tomo(2)/インペリアルおじさん/はっぴーえんど/パピ4/さけのなかのいくら/また師走が来たよ(3)/四の五の/寺井(2)/山岸
6192_4226_BGT,2022-05-20,109人,毎日1個新しいスポーツを考えている人の日常,NA,10位,いちまはん＠人権問題,もうちょいバトル系の奴ある？と小学生に聞かれている,23,67.35,小春製菓/きゅーきゅー/八子八百(2)/揚げたてメンチメン/Longab/まつもとたろう/ましましのしま(2)/灰根/AUG/ナンの一部/メロディックストーム/一石投じ男/うなぎごまたろう/かくれどり(2)/つくり真顔/seno/また師走が来たよ(2)/たる棒/寺井
