お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,1位,＃の中のカマ吉くん,野球を真上から見てる,31,85.83,ジョンとも(2)/植田/うなな/たこかいな(2)/遠くを見ている/業務用虚無(2)/及川広大(2)/つくり真顔/ちきちきた/ナカウラ(2)/うわぁ(2)/sam/キタムランド/インフレエンジニア/B群(3)/tomo(3)/はっぴーえんど/水谷新太郎/三十一/きゅーきゅー(2)
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,2位,B群,加藤 一二三塁に改名します,27,79.66,ラスター(2)/うなな/ンツ/おさかな水溶液(2)/くじ/しもむら/さけのなかのいくら/及川広大/つくり真顔/かくれどり(2)/うわぁ/机上で実演/ザイチェフ閣下/sam/白黒まみれ/キタムランド/インフレエンジニア/ふもー/はっぴーえんど/アポロっち(2)/れれれのれき(2)/きゅーきゅー
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,3位,毒桃,10手先にガムを噛む黒人がいる,25,76.58,ぴぐフライ/たんひな/しもむら/ニンニキニキニキ(2)/さけのなかのいくら(2)/ましましのしま/薬味乱用/ちきちきた/takahashi/ぴのこ/机上で実演(2)/資本ネコ/カタン/男も育休/白黒まみれ(3)/八子八百/水谷新太郎(3)/れれれのれき
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,4位,じんぺ,王手の時、ギリギリ王手に聞こえるようにアウトって言ってる,23,73.5,セトピア(2)/ジョンとも/おさかな水溶液(2)/くじ/さけのなかのいくら/ましましのしま(2)/薬味乱用/かぎの/うわぁ/はさあかた/omiun(2)/資本ネコ/白黒まみれ/まつもとたろう/Longab(2)/水谷新太郎(2)/三十一
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,5位,ぴぐフライ,負けると泣いて駒をかき集める,22,71.96,セトピア/おさかな水溶液(2)/業務用虚無(2)/さけのなかのいくら/薬味乱用(2)/うわぁ/ぴのこ/机上で実演/カタン/男も育休/たる棒/インフレエンジニア(2)/ふもー/tomo(2)/れれれのれき(3)
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,5位,カタン,王の反対側に原を置いた,22,71.96,うなな(2)/たこかいな/業務用虚無(3)/さけのなかのいくら(2)/寺井/takahashi/ぴのこ/omiun(2)/ザイチェフ閣下/sam(2)/男も育休/白黒まみれ/まつもとたろう/キタムランド/Longab/三十一
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,7位,たる棒,飛車を裏返したら「ICHIRO　51」と書いてあった,20,68.88,板野/たこかいな/おさかな水溶液/業務用虚無/hp/ニンニキニキニキ/さけのなかのいくら/ましましのしま/及川広大/うわぁ/はさあかた/omiun(3)/男も育休/モー点レギュラー/ふもー/Longab/れれれのれき/みやまる
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,8位,ナカウラ,飛車(ピッチャー)と呼んでいる,19,67.34,板野(2)/おさかな水溶液/業務用虚無(2)/hp/ニンニキニキニキ/さけのなかのいくら/及川広大/机上で実演/ザイチェフ閣下/男も育休/たる棒/まつもとたろう/キタムランド/インフレエンジニア/はっぴーえんど/水谷新太郎/れれれのれき
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,9位,一石投じ男,敵ベンチで監督に成った,18,65.8,ぴぐフライ/ンツ/たこかいな(2)/おさかな水溶液/業務用虚無/ニンニキニキニキ/ましましのしま(2)/ぴのこ/当時若者(3)/白黒まみれ/小春製菓/八子八百/はっぴーえんど/Longab
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,9位,白滝BOX,駒を使うより駒として使われたいんだ,18,65.8,植田/業務用虚無(2)/hp/しもむら(3)/水猫ラテ/omiun(2)/ザイチェフ閣下(2)/小春製菓(3)/Longab/アポロっち/三十一
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,11位,Kazuword,ストライクゾーンを9×9に分割して考える,17,64.25,おさかな水溶液/業務用虚無(2)/hp/さけのなかのいくら/及川広大/かくれどり/ちきちきた(2)/うわぁ/312jdo548/資本ネコ/カタン/男も育休/インフレエンジニア/Longab/みやまる
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,11位,たんひな,100手先を読んで今はサッカーをやってる,17,64.25,板野/おさかな水溶液/業務用虚無/くじ/しもむら/ポテトマト(2)/ましましのしま/ナカウラ/机上で実演/インペリアルおじさん/資本ネコ(2)/小春製菓(2)/アポロっち/れれれのれき
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,11位,三十一,せめてものあがきでフォークボールの持ち方で指してる,17,64.25,3ねこ/業務用虚無/hp(3)/さけのなかのいくら/ましましのしま/omiun(2)/男も育休/小春製菓(2)/モー点レギュラー/ふもー/しゅうぴょんz/Longab/アポロっち
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,14位,たこかいな,乱闘にもちょっと憧れてる,16,62.71,ピロ式(2)/植田/うなな/ンツ/業務用虚無(2)/さけのなかのいくら/渡利　巣手呂/takahashi(2)/sam/カタン/まつもとたろう/八子八百/れれれのれき
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,14位,ちきちきた,格下には金属の駒で打たせる,16,62.71,植田/3ねこ/ンツ/遠くを見ている/hp(2)/ガッボデ(2)/さけのなかのいくら(2)/カタン(2)/男も育休/しゅうぴょんz(2)/Longab
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,14位,キタムランド,千手先まで読み切ってもうビールがけしてる,16,62.71,ぴぐフライ/うなな/たこかいな/ガッボデ(2)/しもむら/ましましのしま/キャッツアイ/ふもー/しゅうぴょんz/Longab(2)/アポロっち/れれれのれき(3)
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,14位,長谷川キモ彦,相手が考えてる間、「リーリーリー！」と次に打つ手をちょっと見せる,16,62.71,うなな/業務用虚無/しもむら/ましましのしま/及川広大/takahashi(3)/ぴのこ(2)/omiun(2)/はたパク/ふもー/れれれのれき/三十一
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,18位,しもむら,扇子に「一球入魂」って書いてある,15,61.17,板野/うなな/業務用虚無(2)/たんひな/さけのなかのいくら/薬味乱用/ぴのこ/ザイチェフ閣下/小春製菓/モー点レギュラー(3)/ふもー/Longab
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,18位,ガッボデ,「巨人」と書いた大きい駒を平気で指す,15,61.17,ジョンとも/植田/hp(2)/たんひな/さけのなかのいくら/薬味乱用/渡利　巣手呂/takahashi/omiun(2)/白黒まみれ/まつもとたろう/八子八百/はっぴーえんど
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,18位,遠くを見ている,サード回る頃には角から馬の顔になっている,15,61.17,3ねこ(3)/うなな/hp/ニンニキニキニキ/ちきちきた/長谷川キモ彦/カタン(2)/白黒まみれ/キタムランド(2)/Longab/きゅーきゅー
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,21位,さいころちゃらみん,９つの歩に背番号とポジションを与えてる,14,59.63,3ねこ(2)/ンツ/業務用虚無(2)/しもむら(2)/さけのなかのいくら/ましましのしま/モー点レギュラー/tomo/Longab(3)
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,21位,ネオ,雨の日だけ集中できる,14,59.63,植田/赤黄色/業務用虚無/さけのなかのいくら(2)/渡利　巣手呂(2)/机上で実演(3)/八子八百/tomo/Longab/水谷新太郎
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,23位,312jdo548,竜王戦のときには当然ドラゴンズユニフォーム,12,56.55,武山/うなな/hp/ガッボデ/くじ/ましましのしま/takahashi/男も育休/キタムランド/Longab/水谷新太郎/れれれのれき
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,23位,kamenoue,相手の駒を取った時、巨人と呟く,12,56.55,植田/遠くを見ている/しもむら/及川広大/男も育休/白黒まみれ/小春製菓(2)/ふもー/水谷新太郎/みやまる(2)
6919_5204_PIN,2022-05-23,114人,めちゃくちゃ将棋の才能があるのに野球をやりたい人,NA,23位,sam,将棋の駒をアオダモで特注している,12,56.55,植田/うなな/赤黄色/さけのなかのいくら/ポテトマト/ましましのしま/かぎの/うわぁ/ザイチェフ閣下/312jdo548/Longab/きゅーきゅー
