お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,1位,B群,身長が低いぼくたちに分がありますね,31,87.98,ちきちきた/のの/秋/くじ/Longab/3ねこ/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/武山/たこかいな/しゅうぴょんz/れれれのれき/また師走が来たよ/解毒/業務用虚無(3)/ンツ/シュヴァルツ/ネオ/うなな/ふもー(2)/寺井/サメVS巨大タコス(2)/パピ4/わんぱく大盛カレーライス/ウッド原動機/セトピア(3)
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,2位,業務用虚無,足が抜けなくて、ぼくも植えられたのかと思った,23,74.48,魂の裏切りの夜/八子八百(2)/のの/秋/くじ/カタン/バジルごはん/とろ/バンキ/薬味乱用/うなな/ふもー/寺井(2)/きゅーきゅー(2)/うわぁ(2)/一石投じ男/ましましのしま/あさごはんの神回(2)
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,2位,解毒,終わったら取り返すようにブランコしたい,23,74.48,存奈バナ乃(2)/ちきちきた(2)/魂の裏切りの夜/秋/たこかいな(2)/れれれのれき(2)/また師走が来たよ/tomo(3)/さざなみのユウ/ネオ/うんも/takahashi/ましましのしま/あさごはんの神回(2)/B群/わんぱく大盛カレーライス
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,4位,たこかいな,4歳が半年後を楽しみにするわけないでしょ,22,72.79,存奈バナ乃/ちきちきた/武山/春屋○イ/ヒトーン(2)/バジルごはん/また師走が来たよ(3)/キタムランド(3)/きゅーきゅー/うわぁ/パピ4/ましましのしま(2)/あさごはんの神回(2)/さいころちゃらみん/セトピア
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,5位,つくり真顔,いいおかずと出会えますように,20,69.41,存奈バナ乃(2)/机上で実演/ちきちきた/秋(2)/hp/渡利　巣手呂/たこかいな/しゅうぴょんz/バジルごはん/また師走が来たよ(2)/業務用虚無/ンツ/ネオ/うなな/きゅーきゅー/パピ4/さいころちゃらみん
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,6位,ネオ,熱いお茶を出されて怖かったです,19,67.72,架空/魂の裏切りの夜/秋(2)/れれれのれき/カタン/ニンニキニキニキ(2)/解毒(2)/業務用虚無/tomo/うなな/寺井/うわぁ/さいころちゃらみん/水谷新太郎(3)
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,6位,長谷川キモ彦,イネ組じゃなくてよかった,19,67.72,存奈バナ乃/机上で実演/Longab/渡利　巣手呂/武山/はっぴーえんど/ヒトーン/ニンニキニキニキ/バジルごはん/ンツ/シュヴァルツ(2)/キタムランド/ネオ/うんも/うなな/ましましのしま/あさごはんの神回/メロディックストーム
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,8位,tomo,今日は絵本読んでもらう前に寝そう,18,66.03,ちきちきた/たる棒/Longab/@obasuma/業務用虚無(3)/つくり真顔/キタムランド(2)/うわぁ(2)/あさごはんの神回(2)/B群/ウッド原動機(2)/水谷新太郎
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,9位,秋,これは流行らないね,17,64.35,架空/八子八百/のの/＃の中のカマ吉くん/キーちゃん/また師走が来たよ(2)/ンツ/シュヴァルツ/薬味乱用/うんも(2)/きゅーきゅー/サメVS巨大タコス/takahashi(2)/後藤単独ライブ
8520_2457_GIX,2022-05-28,96人,田植えを初めて体験した幼稚園児が一言,NA,10位,ハミカワ,いや大変でした 保育園の連中には難しいんじゃないでしょうか笑,16,62.66,存奈バナ乃(2)/かぎの/まつもとたろう/Longab(2)/3ねこ/れれれのれき(2)/@obasuma/業務用虚無/つくり真顔/薬味乱用/キタムランド/一石投じ男/ましましのしま
