お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,1位,れれれのれき,カラオケで4曲連続この映像,52,88.01,＃の中のカマ吉くん(2)/うわぁ/灰根(2)/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ザイチェフ閣下/シュヴァルツ/こむら返り/ハコダイオ(2)/及川広大/サメVS巨大タコス/ふもー(2)/takahashi(2)/ましましのしま(2)/hp(2)/みやまる(2)/山渕(2)/さざなみのユウ(2)/少しだけ賢い/seno/秋/インド哲学/業務用虚無(2)/さけのなかのいくら/ばいなら(2)/水猫ラテ/こっぺ(2)/3ねこ(3)/モー点レギュラー(3)/齋藤(3)/A味噌汁/アポロっち(2)/ハミカワ
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,2位,アイヘイトウィンター,ミニストップが5個も見える、キモい地元ね,46,82.13,高卒/うわぁ/また師走が来たよ(2)/薬味乱用/春屋○イ/ザイチェフ閣下/こむら返り/気球マイスター(3)/沼田/ンツ(2)/及川広大/サメVS巨大タコス/キーちゃん/道化(2)/ましましのしま/hp/きじがしま/さいころちゃらみん/seno/魂の裏切りの夜/実家に帰った鶴/秋/ニンニキニキニキ/さけのなかのいくら/ネオ/ひが/カタン/たんぱく室(2)/ばいなら(2)/男も育休(3)/ワッショイサンバ(2)/モー点レギュラー(3)/れれれのれき/ハミカワ
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,3位,ムギヒッヒ,変なナレーションつけるのやめて,44,80.17,アイヘイトウィンター/うわぁ/また師走が来たよ(2)/メロディックストーム/きゅーきゅー(2)/ぽにょ/薬味乱用/のの/武山(2)/春屋○イ/シーサイド品川/シュヴァルツ/ねこライト(3)/道化(2)/ましましのしま/八子八百/hp/みやまる(2)/山渕/さざなみのユウ(2)/渡利　巣手呂/資本ネコ/tomo/seno/Longab/秋/うなな/ニンニキニキニキ/ウラニワ(2)/長谷川キモ彦/カクレミノムシ/キャッツアイ/こっぺ/齋藤/ハミカワ
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,4位,ねこライト,"フラッシュモブが遠すぎるわよ
",39,75.27,高卒/＃の中のカマ吉くん/ぽにょ/薬味乱用/灰根(2)/シュヴァルツ/kamenoue/ンツ/サメVS巨大タコス/ふもー/水谷新太郎/takahashi/シャーティ/ます/猫屋敷/ましましのしま/ムエタイ/hp/寺井/seno/実家に帰った鶴/ケムケムケムッソ(2)/ニンニキニキニキ/業務用虚無/思想半/さけのなかのいくら/カタン/男も育休(3)/A味噌汁/すらさん/アポロっち(2)/れれれのれき(2)/ハミカワ
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,4位,ます,これ、給料3ヶ月分入れたから好きなだけ見て,39,75.27,高卒(2)/Ｓ.虚無(2)/takumidori(3)/のの(2)/シュヴァルツ/ンツ(2)/サメVS巨大タコス/ラメ絶対/キーちゃん/takahashi(2)/hp(2)/前後左右/山渕/きじがしま/遠くを見ている/実家に帰った鶴/ケムケムケムッソ/うなな/業務用虚無/さけのなかのいくら/長谷川キモ彦/ネオ(2)/カクレミノムシ(2)/B群/ケイト(2)/れれれのれき(3)
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,6位,前後左右,すごい力で大仏の方向に固定してるね,37,73.31,アイヘイトウィンター(2)/うわぁ/また師走が来たよ(3)/ハコダイオ(3)/ねこライト/キーちゃん/シャーティ/ましましのしま(2)/ムエタイ/八子八百(2)/きじがしま/渡利　巣手呂/さいころちゃらみん/魂の裏切りの夜(2)/Longab/ニンニキニキニキ(3)/思想半(2)/はさあかた(2)/ひが/カタン(2)/ばいなら(2)/すらさん/ハミカワ
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,7位,Normal boy,勝訴だって,34,70.37,また師走が来たよ(2)/薬味乱用/うんも/ザイチェフ閣下/及川広大(2)/サメVS巨大タコス/ラメ絶対(2)/ふもー(3)/水谷新太郎(3)/バルミューダ大佐(3)/ましましのしま/渡利　巣手呂(2)/Longab(2)/業務用虚無(3)/たんぱく室(3)/齋藤(2)/A味噌汁/ハミカワ
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,8位,tomo,あの子リフティングどんどん上手くなってる,33,69.39,アイヘイトウィンター/うわぁ/春屋○イ/ザイチェフ閣下/パピ4/こむら返り/Normal boy(2)/沼田/及川広大(2)/サメVS巨大タコス(2)/水谷新太郎/シャーティ/ます/猫屋敷/バルミューダ大佐/hp/山渕/きじがしま/さいころちゃらみん/seno/秋(2)/うなな/思想半(2)/はさあかた/水猫ラテ/キャッツアイ/ワッショイサンバ(2)
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,8位,魂の裏切りの夜,警察まだ別の建物探してるね,33,69.39,きゅーきゅー(2)/takumidori(3)/パパのミルク/机上で実演/ねこライト(3)/ふもー/takahashi(2)/hp/みやまる/前後左右(2)/山渕/遠くを見ている/うなぎごまたろう(2)/seno/うなな/業務用虚無(2)/カクレミノムシ/カタン(2)/B群(3)/まつもとたろう/ハミカワ
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,10位,当時若者,昭和の娯楽だね,32,68.4,うわぁ/Ｓ.虚無(2)/きゅーきゅー/ぽにょ/うんも/春屋○イ/シーサイド品川/シュヴァルツ/kamenoue/しぶがき/及川広大/みやまる/山渕/さざなみのユウ(2)/資本ネコ/うなぎごまたろう(2)/さいころちゃらみん/実家に帰った鶴/秋/インド哲学(2)/業務用虚無(2)/カクレミノムシ/男も育休(3)/3ねこ/A味噌汁
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,11位,ひが,緑見たら負けね,30,66.44,うわぁ/また師走が来たよ/メロディックストーム/ぽにょ/薬味乱用/春屋○イ/机上で実演/こむら返り/Normal boy/しぶがき/とろ/ましましのしま/ムエタイ/八子八百/前後左右/渡利　巣手呂/資本ネコ/寺井/うなぎごまたろう/秋/ケムケムケムッソ/ニンニキニキニキ/ウラニワ/思想半(3)/キャッツアイ/ワッショイサンバ/すらさん/ハミカワ
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,12位,ばいなら,家探しってそういう事じゃなくて、不動産屋行こうよ,29,65.46,＃の中のカマ吉くん/Ｓ.虚無/きゅーきゅー/机上で実演/揚げたてメンチメン/ふもー/takahashi(2)/ます/猫屋敷/hp(2)/seno/実家に帰った鶴(2)/ケムケムケムッソ(2)/うなな/業務用虚無(2)/さけのなかのいくら/はさあかた/たんぱく室(2)/水猫ラテ/ワッショイサンバ/まつもとたろう/れれれのれき(2)
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,13位,キャッツアイ,いつもの人とまた目が合ったよ,28,64.48,うわぁ/メロディックストーム/ぽにょ/うんも/シーサイド品川/ねこライト/及川広大/ます/猫屋敷/ましましのしま(2)/ムエタイ/前後左右(2)/資本ネコ/うなぎごまたろう/seno/秋/インド哲学(2)/ケムケムケムッソ/業務用虚無/さけのなかのいくら/カタン/はっぴーえんど/まつもとたろう/ハミカワ(2)
7149_2044_HNT,2022-06-05,113人,写真で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7149_2044_HNT.jpg,14位,ラスター,集中したいから別れてくれる？,27,63.5,アイヘイトウィンター/Ｓ.虚無/きゅーきゅー(2)/薬味乱用/のの/春屋○イ/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ねこライト(2)/ンツ/及川広大(2)/水谷新太郎/シャーティ/前後左右/山渕(2)/遠くを見ている/うなな/ニンニキニキニキ(3)/はさあかた/ネオ/カタン/ハミカワ
