お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,1位,たんひな,アンミカから見たシロクマ,48,84.93,揚げたてメンチメン/前後左右/さざなみのユウ(2)/白黒まみれ/バルミューダ大佐(2)/猫屋敷/ぴのこ/また師走が来たよ(2)/さけのなかのいくら/春屋○イ/ふもー(2)/アポロっち(2)/散々七拍子(2)/ましましのしま(3)/シュヴァルツ/山渕(3)/うなな/机上で実演/ばいなら(2)/水猫ラテ/キーちゃん/確率論のパラテママ/みやまる/かるかん圭/れれれのれき(3)/業務用虚無/Normal boy/ティーサ/ザイチェフ閣下/うわぁ/ゴボウボゴ(2)/灰根(3)
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,2位,kamenoue,撃ってもいいけど芸術も死ぬよ,45,81.91,前後左右/白黒まみれ(2)/一石投じ男(2)/kevin(2)/きゅーきゅー/キタムランド/お吸い物/さけのなかのいくら(2)/たる棒/こむら返り(2)/はっぴーえんど/散々七拍子/ましましのしま(2)/コモリヤ/hp/0Shara(2)/ニューロン/有名私立(2)/うなな/旧式(2)/ケムケムケムッソ(2)/セトピア/確率論のパラテママ(2)/サメVS巨大タコス/みやまる/業務用虚無(3)/Normal boy(2)/ティーサ/うわぁ/カタン(2)
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,3位,ンツ,取り締まる法もないくせに,43,79.9,うんも/前後左右/白黒まみれ/バルミューダ大佐(3)/ねこライト(2)/kevin/常時と乗馬/さけのなかのいくら/渡利　巣手呂/3ねこ/B群/春屋○イ/AYAKA(2)/ましましのしま/ニューロン(2)/山渕/みささぎ(2)/寺井(2)/有名私立/kamenoue(2)/遠くを見ている/よしんば(3)/八子八百/座椅子(3)/北戸田スイッチ/ネオ/Normal boy/うわぁ/たんぱく室(2)/カタン
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,4位,ラスター,これやるとまた1色貰える,39,75.87,揚げたてメンチメン/小春製菓/きゅーきゅー(2)/ぴのこ/また師走が来たよ(3)/たる棒/B群(2)/AYAKA/アポロっち/はっぴーえんど/シュヴァルツ/コモリヤ(2)/hp(2)/ニンニキニキニキ/0Shara/みささぎ/キャッツアイ/水猫ラテ/omiun(2)/tennguman(2)/ケムケムケムッソ/確率論のパラテママ/薬味乱用/八子八百/茹で腕/座椅子(2)/メロディックストーム/はさあかた/ティーサ/のの
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,5位,春屋○イ,キモい比喩が現実になってしまった,37,73.86,前後左右/一石投じ男/seno/また師走が来たよ(2)/B群/こむら返り/アポロっち/散々七拍子/ましましのしま/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/コモリヤ/ニューロン/山渕/みささぎ/机上で実演/ばいなら/水猫ラテ/ケムケムケムッソ/水谷新太郎/魂の裏切りの夜/セトピア(2)/確率論のパラテママ/薬味乱用/座椅子/かるかん圭(3)/れれれのれき/ネオ/業務用虚無(2)/Normal boy/ティーサ/たんぱく室(2)
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,6位,ハコダイオ,行けるけどその後のチヤホヤがいやなんだよ,34,70.83,ワッショイサンバ(3)/うんも(2)/白黒まみれ/つくり真顔(2)/ンツ/ぴのこ/お吸い物/春屋○イ/AYAKA/アポロっち/キャッツアイ/うなな/旧式(2)/ラスター(3)/水谷新太郎/よしんば(3)/座椅子/北戸田スイッチ/業務用虚無(2)/はさあかた(2)/Normal boy/ティーサ/カタン
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,7位,tomo,森から都会の方が合ってると言われた,33,69.83,揚げたてメンチメン/小春製菓/seno/キタムランド(2)/また師走が来たよ/3ねこ(2)/Ｓ.虚無(2)/シュヴァルツ/hp(2)/0Shara(2)/ニューロン(2)/有名私立/うなな/ます/確率論のパラテママ(2)/サメVS巨大タコス/みやまる/茹で腕(2)/北戸田スイッチ(2)/ネオ/業務用虚無(3)/Normal boy
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,7位,ｼｰｽﾞｰｷｬﾊﾞﾘｱ,どれだけ償えばいいのか,33,69.83,前後左右/バルミューダ大佐(2)/きゅーきゅー/お吸い物/渡利　巣手呂(2)/ひが(2)/アイヘイトウィンター/散々七拍子(2)/ニンニキニキニキ/米津倫理(3)/みささぎ/机上で実演/omiun/旧式(2)/kamenoue(2)/魂の裏切りの夜/みやまる(2)/八子八百(2)/れれれのれき/業務用虚無/Normal boy/ザイチェフ閣下/たんぱく室
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,9位,白黒まみれ,鮭見せると立ち漕ぎに変わる,32,68.82,前後左右(2)/つくり真顔/さいころちゃらみん(2)/seno/ねこライト/常時と乗馬/さけのなかのいくら/たる棒/春屋○イ/アイヘイトウィンター/ましましのしま/omiun/パピ4(2)/tennguman/ケムケムケムッソ/ラスター(2)/薬味乱用/八子八百(2)/かるかん圭(2)/chopman(2)/業務用虚無(2)/ゴボウボゴ(2)/のの
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,10位,はさあかた,まず僕、その次テクニック,31,67.81,うんも(2)/つくり真顔(2)/ねこライト/kevin/常時と乗馬/さけのなかのいくら/渡利　巣手呂(2)/B群/ましましのしま/ニューロン/みささぎ(2)/キャッツアイ/有名私立/うなな(2)/旧式(2)/ケムケムケムッソ/遠くを見ている/サメVS巨大タコス/かるかん圭/メロディックストーム/ネオ/Normal boy/ザイチェフ閣下/のの(2)
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,11位,あさごはんの神回,何かの風刺でないと説明がつかない,29,65.8,さざなみのユウ(3)/白黒まみれ/ンツ/一石投じ男/ねこライト/きゅーきゅー(2)/男も育休(3)/アポロっち/ましましのしま(2)/シュヴァルツ/ニューロン/山渕/みささぎ/寺井/机上で実演/ケムケムケムッソ/確率論のパラテママ/みやまる/よしんば/座椅子/業務用虚無(2)/灰根
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,11位,北戸田スイッチ,落ちたら黒を知れるんだろな,29,65.8,ワッショイサンバ(3)/つくり真顔/きゅーきゅー(3)/お吸い物/渡利　巣手呂/こむら返り/アポロっち/散々七拍子/シュヴァルツ/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/hp/ニューロン/山渕/omiun/tennguman(2)/ケムケムケムッソ/セトピア(3)/遠くを見ている/かるかん圭/メロディックストーム/ネオ/業務用虚無
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,11位,白滝BOX,おっと、芸術には荷が重いぞ,29,65.8,ワッショイサンバ/さいころちゃらみん/ねこライト/kevin/きゅーきゅー/常時と乗馬/お吸い物/ひが/こむら返り(2)/ましましのしま/コモリヤ/山渕/みささぎ(3)/机上で実演/パピ4/kamenoue/ラスター(2)/セトピア/確率論のパラテママ/座椅子/れれれのれき/業務用虚無/はさあかた/Normal boy/のの
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,14位,机上で実演,変な眼科だな,28,64.79,揚げたてメンチメン/うんも/小春製菓/seno/きゅーきゅー/キタムランド/さけのなかのいくら/3ねこ(3)/アイヘイトウィンター/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/hp/ニューロン/キャッツアイ/ばいなら/旧式/tomo(3)/遠くを見ている/サメVS巨大タコス/八子八百/ゴボウボゴ(2)/たんぱく室(3)
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,15位,ニューロン,パリコレを食べたクマはファッションの味を覚えてしまい,27,63.78,白黒まみれ(2)/ンツ/一石投じ男/猫屋敷/ぴのこ/さけのなかのいくら/3ねこ/アポロっち/ましましのしま(2)/シュヴァルツ/コモリヤ(2)/山渕/机上で実演/ます/板野/水谷新太郎/確率論のパラテママ(2)/業務用虚無(3)/うわぁ(2)/たんぱく室
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,16位,Gully,この絵が後ろに描いてあるキモい銭湯,26,62.78,前後左右/さざなみのユウ(2)/小春製菓/seno/常時と乗馬/さけのなかのいくら(2)/男も育休(3)/こむら返り/アポロっち/ましましのしま/山渕(2)/omiun/魂の裏切りの夜/サメVS巨大タコス(2)/薬味乱用/よしんば/業務用虚無/ティーサ/うわぁ/たんぱく室
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,17位,旧式,速報出ないうちに帰りますね,25,61.77,つくり真顔/さいころちゃらみん/seno/ねこライト/猫屋敷/渡利　巣手呂/アイヘイトウィンター/はっぴーえんど/散々七拍子/シュヴァルツ/ニンニキニキニキ/ニューロン/キャッツアイ/ます/tomo/kamenoue(2)/キーちゃん/tennguman/魂の裏切りの夜/確率論のパラテママ/座椅子/北戸田スイッチ/業務用虚無/ティーサ
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,18位,ケムケムケムッソ,これで目立てないならもう爆発するしかない,24,60.76,うんも/さざなみのユウ(2)/小春製菓/seno/きゅーきゅー/キタムランド/春屋○イ/男も育休(3)/こむら返り/はっぴーえんど/ましましのしま/机上で実演/遠くを見ている/薬味乱用/座椅子/北戸田スイッチ(2)/業務用虚無/はさあかた/Normal boy/ティーサ
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,19位,キタムランド,お嬢ちゃんはトトロを見たらしいけど、おじさんはこれを見たよ,23,59.76,揚げたてメンチメン/一石投じ男(2)/seno/きゅーきゅー/さけのなかのいくら(2)/アイヘイトウィンター(2)/アポロっち/ましましのしま/シュヴァルツ/米津倫理(3)/山渕/有名私立/ます(2)/確率論のパラテママ(2)/かるかん圭(2)
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,19位,茹で腕,見た鮭が急いで産卵した,23,59.76,うんも(3)/白黒まみれ(2)/つくり真顔/また師走が来たよ/3ねこ(2)/ましましのしま/hp/ニューロン/机上で実演/tomo(2)/パピ4(2)/ケムケムケムッソ/薬味乱用/八子八百/れれれのれき/Normal boy/うわぁ
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,19位,＃の中のカマ吉くん,僕は病気だけど、みんなに勇気を与えるんだ,23,59.76,kevin/ぴのこ/常時と乗馬/ひが(2)/Ｓ.虚無(2)/ニンニキニキニキ/ニューロン(3)/キャッツアイ/有名私立/omiun/資本ネコ/かるかん圭/業務用虚無(2)/ティーサ(2)/ザイチェフ閣下(2)/のの
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,22位,沼田,LSDに手を出したプーさんの幻覚,22,58.75,ンツ/キタムランド/常時と乗馬/さけのなかのいくら/アポロっち/hp/ニューロン/キーちゃん/道化(2)/少しだけ賢い(3)/よしんば(2)/業務用虚無/takumidori(3)/ザイチェフ閣下(2)/灰根
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,23位,Kazuword,完成品はモノクロ印刷になります,21,57.74,seno/キタムランド/さけのなかのいくら(2)/B群/ふもー(3)/ましましのしま/0Shara(2)/うなな/キーちゃん(2)/確率論のパラテママ/薬味乱用/茹で腕/座椅子/業務用虚無(3)
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,23位,いちまはん＠人権問題,帰りは下道で帰ろか,21,57.74,ンツ(2)/seno/きゅーきゅー/ぴのこ/たる棒/0Shara/水猫ラテ/旧式/tomo/kamenoue/tennguman(2)/遠くを見ている/よしんば(2)/八子八百/ネオ/業務用虚無/うわぁ/カタン
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,25位,さいころちゃらみん,必死すぎて好きにはなれないかも,19,55.73,ワッショイサンバ/うんも/seno/きゅーきゅー/渡利　巣手呂/アイヘイトウィンター/こむら返り(2)/hp/寺井/キャッツアイ/有名私立/omiun/資本ネコ/みやまる(2)/はさあかた(2)/のの
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,25位,バルミューダ大佐,パンダに勝ちたい,19,55.73,ワッショイサンバ/つくり真顔/また師走が来たよ/常時と乗馬/さけのなかのいくら/3ねこ(2)/アイヘイトウィンター/アポロっち/はっぴーえんど/散々七拍子(2)/ましましのしま/Ｓ.虚無/水猫ラテ/キーちゃん/座椅子/メロディックストーム/ネオ
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,25位,渡利　巣手呂,雷雨で洗い流すと祝日がはじまる,19,55.73,たる棒/3ねこ/春屋○イ/ニューロン(2)/みささぎ/寺井(2)/旧式/tennguman(2)/遠くを見ている/茹で腕(2)/かるかん圭/北戸田スイッチ(3)/業務用虚無
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,25位,私たち,これ本当にクマ用の最短ですか,19,55.73,白黒まみれ/一石投じ男/小春製菓/seno/お吸い物(2)/アイヘイトウィンター/ましましのしま/山渕/有名私立/旧式/ケムケムケムッソ/水谷新太郎/魂の裏切りの夜/セトピア/遠くを見ている/確率論のパラテママ/メロディックストーム/はさあかた
2847_4433_SNA,2022-06-07,126人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2847_4433_SNA.jpeg,29位,揚げたてメンチメン,昨夜シャケ食べすぎたとこまでは覚えてる,18,54.72,前後左右/猫屋敷/キタムランド/ぴのこ(2)/たる棒/ましましのしま/山渕(2)/ケムケムケムッソ/chopman(3)/takumidori(3)/カタン(2)
