お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,1位,tomo,こんな面白いのに東京行くのね,39,76.73,Longab(2)/山渕/seno/アポロっち/泥(2)/ありすbot/カクレミノムシ/きゅーきゅー/確率論のパラテママ(2)/遠くを見ている/カタン(2)/さけのなかのいくら(2)/サーベルタイガー/うわぁ(2)/水猫ラテ/速水 京香/こむら返り/魂の裏切りの夜/四の五の/寺井/こくもつの試食/ワッショイサンバ/茹で腕/白黒まみれ/パセリを添えて(2)/きまぐれ(3)/ハコダイオ/春屋○イ/kamenoue(2)
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,2位,ケイト,違う出会い方をしても他人だと思う,38,75.63,やる/ニューロン(2)/インド哲学/ありすbot/揚げたてメンチメン/齋藤/ケムケムケムッソ(2)/よしんば(2)/たんぱく室/きゅーきゅー/ましましのしま/まつもとたろう/さざなみのユウ(2)/実家に帰った鶴/シュヴァルツ/業務用虚無(2)/メロディックストーム/つくり真顔(2)/こむら返り/白滝BOX/四の五の/アイヘイトウィンター/寺井(2)/こくもつの試食/うなな/短米/kamenoue/3ねこ/シンセ(3)
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,2位,懸垂ができる,3位からいきます,38,75.63,ニューロン/ありすbot/揚げたてメンチメン/はさあかた/よしんば/大納言/また師走が来たよ(2)/水谷新太郎/のの/渡利　巣手呂(2)/Kazuword/座椅子/遠くを見ている/納屋の様子/うんも(2)/みささぎ(3)/セトピア/つくり真顔/気球マイスター/寺井/omiun/糸目の鮟鱇/ケイト/茹で腕/白黒まみれ/かたくりこな/短米/さいころちゃらみん/パピ4/春屋○イ/道化/架空/シーサイド品川
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,4位,きまぐれ,みんな大学行ったら変わっちゃったね,36,73.44,メスカマキリ/山渕/ありすbot/大残渣/カクレミノムシ/ケムケムケムッソ(2)/よしんば/キーちゃん/たんぱく室(2)/きゅーきゅー(2)/AYAKA(2)/渡利　巣手呂/ましましのしま/猫屋敷/びろびろーん/みささぎ/うわぁ/水猫ラテ/前後左右/ワッショイサンバ/ケイト/茹で腕/＃の中のカマ吉くん/短米/春屋○イ/みやまる/kamenoue(2)/3ねこ(3)/シーサイド品川
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,4位,メロディックストーム,勇者たち、快速で通過していったな,36,73.44,やる/Longab(2)/メスカマキリ/山渕(2)/揚げたてメンチメン/ゴボウボゴ/はさあかた/ケムケムケムッソ/きゅーきゅー/AYAKA/水谷新太郎/座椅子/月曜ビ/まつもとたろう/hp/猫屋敷/びろびろーん(2)/たる棒/業務用虚無(2)/さけのなかのいくら/水猫ラテ/つくり真顔/白滝BOX/アイヘイトウィンター/うなな/コラット(2)/デミ侍/パセリを添えて(2)/短米/みやまる
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,6位,よしんば,共通の話題は探せばあると思う,31,67.97,メスカマキリ(2)/0Shara/揚げたてメンチメン/齋藤/暴風よ吹け(2)/ケムケムケムッソ/たんぱく室/きゅーきゅー(2)/水谷新太郎/ましましのしま/月曜ビ/遠くを見ている/びろびろーん/tomo(2)/うんも/業務用虚無(2)/カタン/速水 京香/キャッツアイ/こむら返り/四の五の/ワッショイサンバ(2)/omiun/ケイト/短米
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,6位,セトピア,化学に基づいた雨乞いらしい,31,67.97,Ｓ.虚無(2)/メスカマキリ(2)/山渕/ニューロン(2)/ウェイトレスのひみつ/お吸い物/アポロっち/トモッ(2)/泥/ねこライト/はさあかた/しゅうぴょんz/暴風よ吹け(2)/カクレミノムシ(3)/ましましのしま/まつもとたろう/確率論のパラテママ/シュヴァルツ/業務用虚無/A味噌汁/デミ侍/ザイチェフ閣下/長谷川キモ彦/シンセ
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,6位,確率論のパラテママ,外れた予言の一つ,31,67.97,山渕/ウェイトレスのひみつ/B群(2)/はさあかた/水谷新太郎/のの/さざなみのユウ(2)/うんも/業務用虚無/みささぎ/セトピア/つくり真顔/魂の裏切りの夜/気球マイスター/白滝BOX/八子八百(2)/かたくりこな/ザイチェフ閣下/＃の中のカマ吉くん(2)/短米/さいころちゃらみん/春屋○イ/kamenoue(2)/シンセ(2)/架空
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,6位,Ｓ.虚無,胃カメラに写っていい光景じゃない,31,67.97,ウェイトレスのひみつ/しっとりペンチ(2)/seno/B群/はさあかた/大残渣/ネオ/ましましのしま/月曜ビ/猫屋敷/びろびろーん/たる棒/業務用虚無(2)/サーベルタイガー/セトピア(2)/前後左右/気球マイスター(2)/こくもつの試食/どぅるどぅるワカメ(2)/ワッショイサンバ/糸目の鮟鱇/茹で腕/ザイチェフ閣下/＃の中のカマ吉くん/長谷川キモ彦/3ねこ
1763_0936_UTN,2022-06-13,131人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1763_0936_UTN.jpeg,10位,魂の裏切りの夜,我々についてもっと調べなさい,30,66.87,お吸い物/B群(2)/かくれどり/ゴボウボゴ/AYAKA/のの/渡利　巣手呂/ましましのしま/まつもとたろう/遠くを見ている/納屋の様子/うんも/業務用虚無/メロディックストーム/カタン/さけのなかのいくら/みささぎ(2)/つくり真顔/キャッツアイ/ケイト/かたくりこな(2)/長谷川キモ彦/3ねこ(2)/架空(2)/シーサイド品川
