お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,1位,少しだけ賢い,敵を殺すことを「ごめんなさいする」と言っている,49,83.87,まつもとたろう/きゃすが/カクレミノムシ/ケムケムケムッソ/ティーサ/武山/水谷新太郎(3)/キーちゃん/糸目の鮟鱇/机上で実演(2)/秋(2)/@obasuma/確率論のパラテママ(2)/泥(2)/たんひな/さざなみのユウ(2)/遠くを見ている/座椅子/八子八百(2)/ワッショイサンバ/シュヴァルツ/月曜ビ/業務用虚無/メスカマキリ/気球マイスター/omiun/つくり真顔/大納言/生物多様性(2)/はっぴーえんど/くじ/短米/たこ焼きボンバー/たる棒/パピ4(3)/インド哲学/ゴボウボゴ/懸垂ができる
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,2位,セトピア,ラジオネーム「ウサギとメカ」さん。,44,78.97,メロディックストーム/カクレミノムシ/はさあかた/少しだけ賢い(3)/ティーサ/武山/Kazuword/やる/秋(2)/@obasuma/確率論のパラテママ/ニューロン/座椅子/灰根/猫屋敷/齋藤/さいころちゃらみん/資本ネコ/業務用虚無(3)/サメVS巨大タコス/大納言/生物多様性(2)/ばいなら(2)/シンセ/くじ/うなな/ネオ/たこ焼きボンバー(2)/たる棒/Longab(3)/のの/また師走が来たよ(2)/及川広大
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,3位,武山,トーク力で売れたいらしい,42,77.01,まつもとたろう/はさあかた/シーサイド品川/少しだけ賢い/糸目の鮟鱇/デミ侍/机上で実演/よしんば/ありすbot/アイヘイトウィンター/座椅子/カタン/うわぁ/さいころちゃらみん/ろっく/Ｓ.虚無/業務用虚無(2)/メスカマキリ/気球マイスター(2)/サメVS巨大タコス/ちきちきた/揚げたてメンチメン(2)/つくり真顔/ます/大納言(2)/ばいなら(2)/シンセ(2)/はっぴーえんど/くじ/うなな/短米/山渕/納屋の様子/Longab/パピ4/懸垂ができる
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,4位,たんひな,ごめんねが言えなかった日は青く光る,40,75.05,まつもとたろう/きゃすが(2)/カクレミノムシ(2)/shu/ティーサ/どぅるどぅるワカメ/糸目の鮟鱇/おにぎり食べ食べ丸(2)/やる/寺井(2)/ニューロン(2)/さざなみのユウ(2)/遠くを見ている/速水 京香(2)/魂の裏切りの夜/白黒まみれ/猫屋敷/齋藤/ワッショイサンバ(2)/カタン/うわぁ(2)/さいころちゃらみん/メスカマキリ/つくり真顔/RANRANRAN/たる棒/Longab/B群/前後左右/及川広大/懸垂ができる
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,5位,アイヘイトウィンター,ビタミンを嘘だと思っている,39,74.06,ねこライト/メロディックストーム/シーサイド品川/ケムケムケムッソ(2)/水猫ラテ/糸目の鮟鱇/ウッド原動機/渡利　巣手呂(3)/ニューロン(2)/遠くを見ている/速水 京香/座椅子/八子八百/tomo(3)/魂の裏切りの夜/うわぁ/kevin/シュヴァルツ/Ｓ.虚無/月曜ビ/春屋○イ/セトピア/3ねこ/seno/ネオ(2)/短米/RANRANRAN/＃の中のカマ吉くん/納屋の様子/こっぺ/前後左右/懸垂ができる
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,6位,デミ侍,モード学園のAO入試に落ちた,36,71.12,きゃすが/shu/武山/おにぎり食べ食べ丸/よしんば/Kazuword/ウッド原動機/やる/@obasuma(2)/みやまる/たんひな/さざなみのユウ/齋藤/ワッショイサンバ(2)/カタン/月曜ビ(2)/資本ネコ/セトピア/サメVS巨大タコス/ちきちきた/ばいなら(2)/seno/くじ/うなな/ふもー/ネオ/茹で腕/B群(2)/ﾗﾌﾞﾐｰ/インド哲学/及川広大
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,6位,渡利　巣手呂,色んな主語を使い分ける,36,71.12,ねこライト/きまぐれ/きゃすが/カクレミノムシ(2)/シーサイド品川/架空/どぅるどぅるワカメ/糸目の鮟鱇/ウッド原動機/やる/秋/確率論のパラテママ/さざなみのユウ(2)/遠くを見ている/座椅子/カタン/kevin(2)/ろっく(2)/春屋○イ/業務用虚無/メスカマキリ/ニンニキニキニキ/サメVS巨大タコス/つくり真顔/はっぴーえんど/RANRANRAN(2)/たこ焼きボンバー/納屋の様子/びろびろーん/ﾗﾌﾞﾐｰ/ケイト
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,6位,魂の裏切りの夜,父親は反対してる,36,71.12,ねこライト/ケムケムケムッソ/どぅるどぅるワカメ/キーちゃん/糸目の鮟鱇/よしんば/やる/ありすbot/うんも/確率論のパラテママ/ニューロン/たんひな/灰根/ワッショイサンバ/kevin/Ｓ.虚無(3)/業務用虚無/ニンニキニキニキ/サメVS巨大タコス/3ねこ(2)/くじ/うなな/ふもー/短米/RANRANRAN/＃の中のカマ吉くん(2)/Longab/きゅーきゅー/B群/たんぱく室/また師走が来たよ/及川広大
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,9位,shu,右武器から洗う,35,70.14,カクレミノムシ/架空/武山/Kazuword/ありすbot/確率論のパラテママ/渡利　巣手呂/速水 京香/白黒まみれ(2)/齋藤/omiun/ましましのしま/揚げたてメンチメン/大納言/生物多様性(2)/はっぴーえんど/くじ/うなな/ふもー(2)/たる棒/きゅーきゅー(2)/ウェイトレスのひみつ(2)/ﾗﾌﾞﾐｰ(3)/たんぱく室/前後左右/及川広大/ケイト(2)
4169_0939_UNH,2022-06-14,138人,この人について知ってることを一つ教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4169_0939_UNH.png,10位,かくれどり,"流しそうめんを""ながそめ""と略す",34,69.16,メロディックストーム/シーサイド品川/水猫ラテ/ティーサ/キーちゃん/糸目の鮟鱇/Kazuword/寺井(2)/ニューロン(2)/たんひな/遠くを見ている/灰根/Ｓ.虚無(2)/セトピア/メスカマキリ(3)/omiun/つくり真顔/大納言/白滝BOX/ふもー/ネオ/たこ焼きボンバー/B群(2)/また師走が来たよ(3)/及川広大(2)
