お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,1位,ウッド原動機,なんだ一体感だけか,56,88.82,齋藤/tomo/よしんば/ケムケムケムッソ/くがじゅう/メロディックストーム/しっとりペンチ/暴風よ吹け/架空/omiun/なむなむえふぇくと(2)/こむら返り/少しだけ賢い/泥/RANRANRAN/業務用虚無(2)/太極拳のカリスマ/クロネコ/A味噌汁/枠の外(2)/ブラックパンダー/きゅーきゅー/＃の中のカマ吉くん/シンカー/3ねこ(2)/うんも(2)/春屋○イ(2)/おさかな水溶液/カタン/白滝BOX/ウラニワ/ましましのしま/かくれどり(2)/サメVS巨大タコス/祭囃子(2)/さいころちゃらみん(2)/旧式(2)/キャッツアイ/kamenoue/及川広大/渡利　巣手呂(2)/ミヤモト/ラメ絶対/つくり真顔/ダンボール重戦車
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,2位,kevin,まだ始まらないのか、感想言うぞ,49,82.04,ケムケムケムッソ/シュヴァルツ/くがじゅう(3)/前後左右/メロディックストーム/たきざき(2)/赤ぺこり/なむなむえふぇくと/ちきちきた(2)/業務用虚無/ザイチェフ閣下/太極拳のカリスマ/A味噌汁/机上で実演/枠の外(2)/ブラックパンダー/ラスター/水分補給は牛乳/男も育休(3)/ウッド原動機(3)/秋(2)/うんも/カタン(2)/白滝BOX/タゲック/ネオ/かーたー/さけのなかのいくら(3)/Longab/旧式(2)/キャッツアイ/渡利　巣手呂/ミヤモト/つくり真顔/ダンボール重戦車
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,3位,さいころちゃらみん,石をひっくり返すと全米があった,47,80.1,まーちょん(3)/tomo/遠くを見ている(2)/ばいなら(2)/前後左右/暴風よ吹け/omiun/こむら返り/机上で実演/ブラックパンダー/また師走が来たよ(3)/おでんスパイラル/＃の中のカマ吉くん(2)/八子八百/しもむら/カクレミノムシ(3)/水分補給は牛乳/水谷新太郎/TwistNight/うんも/茹で腕(2)/インド熊(2)/マチ/ニンニキニキニキ/ましましのしま(2)/揚げたてメンチメン/ダンシング爆弾/初期装備(2)/Longab/旧式/kamenoue/及川広大/ミヤモト(2)
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,4位,男も育休,多モリ,44,77.19,齋藤/みやまる(3)/ばいなら(2)/水猫ラテ(2)/モロコシ(2)/メロディックストーム/暴風よ吹け/灰根(3)/泥/アガリブル/クロネコ/A味噌汁/きゅーきゅー/きまぐれ/ありがとちゃん/猫屋敷/TwistNight/おさかな水溶液(2)/たいぽこまむし/ホールド・ナッツ(2)/タゲック/B群/ましましのしま(2)/揚げたてメンチメン/かくれどり/祭囃子/気球マイスター/えふらん/さいころちゃらみん(3)/たくさん応援(3)
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,5位,秋,かけないとわからない伏線がある,43,76.22,まーちょん/ばいなら/メロディックストーム/しっとりペンチ/暴風よ吹け/実家に帰った鶴/こむら返り/少しだけ賢い/キーちゃん/業務用虚無(2)/ザイチェフ閣下/アガリブル/糸目の鮟鱇/机上で実演/ブラックパンダー/また師走が来たよ/魂の裏切りの夜/カクレミノムシ/丸山/シンカー/TwistNight(2)/春屋○イ/うわぁ/超熟/セトピア/B群/NO.66(2)/マチ(3)/ウラニワ/ましましのしま/ダンシング爆弾/さけのなかのいくら/祭囃子/さいころちゃらみん/きんめじろう/ラメ絶対/ダンボール重戦車(2)
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,6位,パピ4,卒アル尖りすぎだろ,38,71.37,齋藤/みやまる/よしんば/ムエタイ/くがじゅう/みささぎ/暴風よ吹け/実家に帰った鶴/泥/ちきちきた/キーちゃん/業務用虚無/アガリブル/＃の中のカマ吉くん/TwistNight/3ねこ(3)/たいぽこまむし/Hq49o(2)/超熟/すらさん/そらをとぶ(2)/セトピア/はっぴーえんど/加藤大貴(2)/NO.66/インド熊/ニンニキニキニキ/ましましのしま/ダンシング爆弾/サメVS巨大タコス/青色迷子/さいころちゃらみん/ミヤモト
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,6位,ラスター,世界のおもしろ宗教3選,38,71.37,実家に帰った鶴/業務用虚無(2)/太極拳のカリスマ(3)/A味噌汁/ちくわうし/机上で実演/武山/きまぐれ/水分補給は牛乳(2)/水谷新太郎/TwistNight(2)/おさかな水溶液(3)/Hq49o(3)/カタン/セトピア/B群/NO.66(2)/インド熊/ネオ(2)/ましましのしま/まつもとたろう/初期装備/祭囃子/青色迷子/気球マイスター(2)/きんめじろう
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,8位,ウラニワ,他人の不幸が飛び出すの楽し過ぎる,37,70.4,tomo/遠くを見ている/ムエタイ/前後左右/ニューロン(3)/omiun(2)/少しだけ賢い/ちきちきた/業務用虚無(2)/太極拳のカリスマ/糸目の鮟鱇/枠の外(2)/また師走が来たよ/きゅーきゅー/八子八百/水分補給は牛乳(2)/男も育休(3)/シンカー/TwistNight(3)/3ねこ/春屋○イ/うわぁ/ネオ/ましましのしま/まつもとたろう/Longab/kamenoue
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,9位,アガリブル,次の元号は飛び出るのか,35,68.46,tomo/モロコシ/シュヴァルツ/ニューロン/暴風よ吹け/赤ぺこり/こむら返り/RANRANRAN/ザイチェフ閣下(2)/太極拳のカリスマ(2)/おでんスパイラル/水谷新太郎/シンカー/TwistNight/うわぁ/タゲック/はっぴーえんど/ウラニワ(2)/ましましのしま/まつもとたろう/さけのなかのいくら(2)/かくれどり(2)/祭囃子(2)/青色迷子/Longab/kamenoue(2)/及川広大/ダンボール重戦車
3999_0585_NBD,2022-06-24,150人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3999_0585_NBD.jpeg,10位,こむら返り,「立ち上がるほどではないが、面白い」「すごいわ、立たないけど」「よかった、立ってないの私だけじゃなかった」,34,67.49,遠くを見ている(2)/omiun/泥/業務用虚無/アガリブル(2)/糸目の鮟鱇(2)/頭骨(3)/また師走が来たよ/きゅーきゅー(2)/アスパラギン/ありがとちゃん(2)/よんずい/水分補給は牛乳(2)/丸山/おさかな水溶液/うわぁ/ホールド・ナッツ/セトピア/はっぴーえんど/ましましのしま/かーたー/初期装備/かくれどり(2)/Longab/ダンボール重戦車
