お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,1位,みささぎ,ごめんねうちは共働きだからね,44,83.62,マチ/つくり真顔/初期装備/褐色のチキータ(2)/研究会員(2)/コッパー/harvest/サメVS巨大タコス(2)/うんも/さざなみのユウ/茹で腕(2)/山渕/みやまる/ムラサキ野菜(2)/水谷新太郎(3)/じゃん(3)/りんかんがっこう(2)/よしんば/中身(2)/青色迷子/tomo/金玉3倍デー/sakamata2/ちくわうし(2)/超熟/渡利　巣手呂/旧式/ましましのしま/ポンサ/ジェンツーペンギン(2)/八子八百
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,2位,tomo,あなた、この子いま喋った,41,80.33,omiun/松竹梅バイキン(2)/きまぐれ/よんずい/つくり真顔/業務用虚無(2)/糸目の鮟鱇/揚げたてメンチメン/コッパー/おたえ/ゆげ/猫屋敷/ふもー/はっぴーえんど/寺井(3)/資本ネコ/水谷新太郎/じゃん(2)/よしんば/中身(2)/こむら返り(2)/遠くを見ている(2)/sakamata2/メロディックストーム/ちくわうし/ねこライト(2)/きゅーきゅー/渡利　巣手呂/少しだけ賢い(2)/八子八百(2)
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,2位,セトピア,チョキのピクルス,41,80.33,インド哲学/omiun/三収組/ニュー文字(2)/かね(2)/アポロっち/架空(3)/A味噌汁/月曜ビ/アガリブル/ワッショイサンバ(2)/寺井/茹で腕(2)/ぴぐフライ/齋藤/ムラサキ野菜/3ねこ(2)/青色迷子/及川広大(2)/遠くを見ている/ネオ/tomo/魂の裏切りの夜(2)/赤黄色/帆乃(3)/旧式(2)/ちきちきた/さいころちゃらみん/八子八百
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,4位,アガリブル,彦摩呂は１日の終わりに母親のメシをけなすことでバランスをとってる,40,79.23,板野/三収組/よんずい(2)/褐色のチキータ/業務用虚無(2)/コッパー(2)/harvest(2)/アポロっち/ゆげ(2)/うんも(2)/資本ネコ/山渕/みやまる/じゃん/りんかんがっこう(3)/よしんば/北戸田スイッチ/あきのこがに(3)/中身(2)/セトピア/特効さん/tomo/ちくわうし/さけのなかのいくら/超熟/きゅーきゅー(2)/ましましのしま/座椅子
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,4位,ハコダイオ,正解は消化の後で！,40,79.23,インド哲学/omiun/三収組/よんずい/業務用虚無(2)/こんみ(2)/ホールド・ナッツ(3)/はっぴーえんど/寺井(2)/山渕/シュヴァルツ(2)/齋藤/デミ侍/水谷新太郎/北戸田スイッチ(2)/たる棒/大残渣/暴風よ吹け/sakamata2/赤黄色/また師走が来たよ(2)/ケムケムケムッソ/さけのなかのいくら/帆乃(2)/ましましのしま/ポンサ/ジェンツーペンギン(3)/机上で実演/座椅子
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,6位,ムラサキ野菜,空ばかり見ていたシャケ,34,72.65,らぴす(3)/omiun/きまぐれ/ニュー文字/サメVS巨大タコス/ほ/ホールド・ナッツ(2)/架空(2)/＃の中のカマ吉くん/ニューロン/アガリブル(2)/ワッショイサンバ/二頭を持つキングレックス(2)/北戸田スイッチ/特効さん/こむら返り/遠くを見ている/tomo/魂の裏切りの夜/金玉3倍デー/赤黄色(2)/ケムケムケムッソ/ちくわうし/渡利　巣手呂(2)/旧式/八子八百
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,7位,机上で実演,あなた！この子喋ったわ！,31,69.35,よんずい/つくり真顔/てんぱるんば/褐色のチキータ(2)/業務用虚無(2)/糸目の鮟鱇(2)/揚げたてメンチメン/コッパー/ゆげ/猫屋敷/A味噌汁/ニューロン/寺井(2)/水谷新太郎/じゃん(2)/うわぁ(2)/よしんば/白黒まみれ/また師走が来たよ/ねこライト(2)/きゅーきゅー(2)/渡利　巣手呂/ましましのしま
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,8位,ワッショイサンバ,💢لا تشكو من تناول هذا الأرز بدون إذن,30,68.26,一石投じ男(2)/松竹梅バイキン(2)/ます/てんぱるんば/業務用虚無/アポロっち/ゆげ/ホールド・ナッツ/かくれどり/さざなみのユウ(2)/水谷新太郎/うわぁ/北戸田スイッチ(3)/特効さん/たくさん応援(3)/金玉3倍デー/sakamata2/クロネコ(3)/メロディックストーム/さけのなかのいくら/ましましのしま
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,8位,研究会員,こういうときだけ関西弁か,30,68.26,一石投じ男/てんぱるんば/キウイ(3)/褐色のチキータ/業務用虚無/ニュー文字(2)/コッパー(2)/harvest/桜もにゅ/気球マイスター/月曜ビ(2)/さざなみのユウ/茹で腕/シュヴァルツ/齋藤/みやまる(2)/対義語ん/sakamata2/ケムケムケムッソ/さけのなかのいくら/ましましのしま/机上で実演/座椅子(2)
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,10位,遠くを見ている,声だけで生きてる鳥,29,67.16,パピ4/よんずい(2)/褐色のチキータ/ニュー文字(2)/かね/架空(3)/うんも/ぴぐフライ/二頭を持つキングレックス(2)/水分補給は牛乳(3)/及川広大/白黒まみれ/tomo(3)/魂の裏切りの夜/赤黄色/みささぎ/ねこライト/旧式(2)/八子八百
6969_3342_CUP,2022-07-01,163人,"まっっっっず！
何食わしとんねん",NA,11位,deepnavy,雑草主食芸人「ほら、蛍原さんも食べてみてくださいよ」,28,66.06,アポロっち/ゆげ(2)/サメVS巨大タコス/ほ/ホールド・ナッツ/A味噌汁(2)/アガリブル/かくれどり/ぴぐフライ/シュヴァルツ/みやまる/水分補給は牛乳(2)/対義語ん/よしんば/北戸田スイッチ(3)/特効さん/魂の裏切りの夜/金玉3倍デー/sakamata2/クロネコ/ちくわうし/きゅーきゅー/ましましのしま
