お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,1位,春屋○イ,寝るときに「これがシャットダウンね」と笑った,53,83.93,こんみ/超熟/りんかんがっこう/れれれのれき/業務用虚無(2)/つくり真顔/さいころちゃらみん/実家に帰った鶴/ホールド・ナッツ(3)/ニューロン/たこ焼きボンバー/おあつらえ/うわぁ/ぷろみん/対義語ん/少しだけ賢い/kevin(2)/AIEE(2)/ましましのしま/AYAKA(3)/フクリク/石原消し炭(2)/ケムケムケムッソ(2)/机上で実演/たる棒/おたえ/メロディックストーム(3)/月曜ビ/Longab/ちくわうし/2番管(2)/ワッショイサンバ(2)/カタン/A味噌汁/harvest(2)/パピ4/セトピア/3ねこ(2)
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,1位,赤黄色,「あらあらあら」と言いながらエクセル1万行目まで行った,53,83.93,れれれのれき/シュヴァルツ/遠くを見ている/はっぴーえんど/こたつ/よしんば/糸目の鮟鱇/ふもー/ミフィ/実家に帰った鶴(2)/ビデ/きゅーきゅー/＃の中のカマ吉くん/みささぎ(2)/たこ焼きボンバー/おあつらえ/クロネコ/うわぁ(2)/ぷろみん(2)/板野/アガリブル(2)/ましましのしま/フクリク/熱と気体(2)/Kit/ケムケムケムッソ/よんずい/tomo/メロディックストーム/猫屋敷/月曜ビ(3)/ちくわうし(2)/らぴす/春屋○イ/男も育休(3)/及川広大/harvest/齋藤/3ねこ(3)/B群
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,3位,ゆげ,「何もしていないのに」が口癖になる,46,77.37,超熟/業務用虚無/シュヴァルツ/こたつ/つくり真顔/よしんば/ふもー/ミフィ/青色迷子/カリウム不足/じゃん/さいころちゃらみん/水猫ラテ(2)/ビデ/kamenoue/＃の中のカマ吉くん(2)/おあつらえ/クロネコ/うわぁ/対義語ん(2)/少しだけ賢い/日本人はお米が大好き/AIEE(2)/フクリク/蟹/Kit/確率論のパラテママ/納屋の鍵/おたえ(2)/キーちゃん/マチ/猫屋敷/かくれどり/アポロっち/桜もにゅ/男も育休/A味噌汁/八子八百(2)/初期装備(2)
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,3位,熱と気体,家族に「お母さん先シャットダウンするから」と言って寝た,46,77.37,ダイチリーマン/こんみ/超熟/れれれのれき/ゆげ(2)/リボンちゃん/業務用虚無/カリウム不足/ホールド・ナッツ(2)/kamenoue/幻聴ハシビロコウ(2)/きゅーきゅー/あだちゃ/＃の中のカマ吉くん(2)/たこ焼きボンバー/おあつらえ/うわぁ(3)/対義語ん(2)/アガリブル(2)/アウク(2)/フクリク/石原消し炭(3)/机上で実演/みやまる/納屋の鍵/キーちゃん/Longab(2)/アポロっち/男も育休/ます/harvest/うーん2ポイント/山渕(2)
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,5位,ナカウラ,最近の若いCore…,45,76.44,超熟/揚げたてメンチメン(2)/アカイダダリオのD/ふもー/カリウム不足/じゃん/ホールド・ナッツ/大残渣/ビデ(3)/きゅーきゅー/みささぎ(3)/クロネコ/うわぁ/アガリブル/少しだけ賢い/ましましのしま/AYAKA(2)/tomo/サメVS巨大タコス/確率論のパラテママ/納屋の鍵(2)/特効さん(2)/メロディックストーム/たくさん応援(3)/白黒まみれ/らぴす/男も育休(2)/A味噌汁(2)/小粒庵(2)/齋藤/3ねこ/初期装備
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,6位,きゅーきゅー,あとはインターネットを買えばいいのね,44,75.5,RANRANRAN/omiun/リボンちゃん/業務用虚無(2)/シュヴァルツ/遠くを見ている/揚げたてメンチメン/はっぴーえんど/ザイチェフ閣下/青色迷子/カリウム不足/じゃん/ちきちきた/あだちゃ/＃の中のカマ吉くん/たこ焼きボンバー/おあつらえ/百ねずみ/うわぁ/対義語ん/アガリブル(2)/大至急/少しだけ賢い/また師走が来たよ/ましましのしま/石原消し炭/まーちゃんす/蟹/こしあんゼリー(2)/机上で実演/逆さ傘傘/2番管/ワッショイサンバ(2)/カタン/桜もにゅ/インド哲学/小粒庵/セトピア/3ねこ(2)
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,7位,恥知らずな金玉,「おばさん　過ごし方」,43,74.56,omiun/リボンちゃん(2)/デミ侍/つくり真顔/よしんば/さいころちゃらみん/実家に帰った鶴(2)/あだちゃ(2)/みささぎ/たこ焼きボンバー/クロネコ/なむなむえふぇくと/アガリブル(3)/しゅ(3)/アウク/ニュー文字/ましましのしま/AYAKA/ケムケムケムッソ(2)/机上で実演(2)/tomo/たる棒/みやまる(2)/Longab(2)/アポロっち/及川広大/A味噌汁(3)/パピ4(3)
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,8位,はさあかた,パソコンを買ったおばさんとして言わせてもらうけど、,41,72.69,ダイチリーマン/こんみ/omiun/りんかんがっこう/れれれのれき(3)/業務用虚無/シュヴァルツ/揚げたてメンチメン/青色迷子(2)/魂の裏切りの夜/実家に帰った鶴/kamenoue/恥知らずな金玉/板野/アウク(2)/大至急/ましましのしま/熱と気体/Kit/ケムケムケムッソ/よんずい/確率論のパラテママ/白黒まみれ/アポロっち/研究会員(2)/ワッショイサンバ/春屋○イ/男も育休/インド哲学/A味噌汁/小粒庵/セトピア(3)/山渕/齋藤
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,9位,omiun,宅配業者に「セットアップしますか？」と聞かれて「いいのよそんな！」と言ったあとガスの点検の人にやらせた,39,70.82,りんかんがっこう(2)/れれれのれき/シュヴァルツ/よしんば/ふもー/ホールド・ナッツ/ちきちきた/kamenoue/きゅーきゅー/みささぎ/さぬこラーメン(2)/百ねずみ/なむなむえふぇくと/ぷろみん(2)/ROUVIS(2)/アガリブル(2)/ましましのしま/こしあんゼリー/よんずい/サメVS巨大タコス/特効さん/水谷新太郎/Longab(2)/アポロっち/らぴす(3)/カタン/桜もにゅ/男も育休/小粒庵/harvest(2)
7892_8783_KAQ,2022-07-06,174人,パソコンを買ったおばさんの一日,NA,9位,つくり真顔,何でも教えてくれるけど好きとは違うわね,39,70.82,RANRANRAN/omiun/りんかんがっこう(2)/渡利　巣手呂/はっぴーえんど/青色迷子(2)/ビデ/幻聴ハシビロコウ(2)/たこ焼きボンバー(2)/おあつらえ(2)/うわぁ/なむなむえふぇくと/アガリブル(3)/少しだけ賢い/ましましのしま/AYAKA/蟹/ケムケムケムッソ(2)/逆さ傘傘/三収組/確率論のパラテママ/納屋の鍵/特効さん/メロディックストーム/眠気/2番管/A味噌汁/北戸田スイッチ/小粒庵/セトピア/山渕
