お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,1位,シンカー,国境くるよ、しっかり掴まってて,76,93.52,入江(3)/sette(2)/春屋○イ/ケムケムケムッソ(2)/瀬戸際ヤゴ/百ねずみ/ガッボデ/太陽(2)/中身(2)/机上で実演(2)/メスカマキリ/ごまいぬ(2)/open/きゅーきゅー/ましましのしま/灰色胡椒/シュヴァルツ/No Image/業務用虚無(2)/@obasuma/研究会員/アボ丸(2)/よんずい/ワッショイサンバ(2)/米(おこめ)/税金ザウルス/GYAI/少しだけ賢い(2)/糸目の鮟鱇/及川広大/つくり真顔/カタン/omiun(2)/石原消し炭(2)/ちくわうし/猫屋敷/ちきちきた/射的屋(2)/じゃん/デミ侍/たくりむ/D-6/白黒まみれ/ニューロン(3)/ゆげ/鬼山田/水谷新太郎/天津飯/ドブ(2)/静かの海(2)/いずみ協同組合/マチ/里見英次郎/ゆきみ/インド哲学/赤い髪/爆介
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,2位,カタン,まだ追ってくるわ、しつこい海の家ね,67,86.73,納屋の鍵/揚げたてメンチメン/ケムケムケムッソ/ＣＭＣ/百ねずみ/ガッボデ/太陽/赤ぺこり/机上で実演/武山/open/きゅーきゅー/ましましのしま/シュヴァルツ/No Image/業務用虚無(3)/Longab/アボ丸/よんずい(2)/米(おこめ)/税金ザウルス(3)/GYAI(2)/少しだけ賢い/ぷろみん(2)/温野菜(2)/シーサイド品川/カリウム不足(2)/ちくわうし/はさあかた/ちきちきた/小倉/射的屋/桜もにゅ/じゃん(2)/たくりむ/白黒まみれ/ふもー/ぼーるぺん/ゆげ(2)/アウク(2)/0Shara(3)/金庫番(2)/秋(2)/静かの海/みささぎ/マチ/里見英次郎(3)/特効さん/ゆきみ
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,3位,白黒まみれ,「沖！もっと沖！」ってスイカ割りで指示されたの初めて,58,79.94,入江(3)/納屋の鍵/春屋○イ/ケムケムケムッソ(2)/アガリブル/太陽(3)/アナゴさん(2)/八子八百/MT/ましましのしま/灰色胡椒/シュヴァルツ(2)/美味い焼肉屋/No Image/業務用虚無(2)/Longab(2)/よんずい/税金ザウルス/一石投じ男/少しだけ賢い(2)/ぷろみん/カタン(2)/ちくわうし/猫屋敷/小倉(3)/射的屋/じゃん/後悔しない名前を付けよう/ふもー(2)/ぼーるぺん(3)/ゆげ/アウク/鬼山田/ドブ(2)/静かの海/里見英次郎(2)/特効さん/赤い髪/サメVS巨大タコス/千代
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,4位,きゅーきゅー,この罰、人気出てきちゃったな,57,79.18,sette/揚げたてメンチメン/春屋○イ/ケムケムケムッソ/カクレミノムシ/メロディックストーム/瀬戸際ヤゴ/ＣＭＣ/百ねずみ/メスカマキリ(2)/武山/open/ましましのしま/シュヴァルツ(2)/うんも/ます/Longab(2)/研究会員/アボ丸(2)/Normal boy/よんずい/ワッショイサンバ(2)/米(おこめ)(2)/はっぴーえんど/青色迷子/一石投じ男/mississippi/りんかんがっこう(2)/シーサイド品川/及川広大(2)/資本ネコ/ちきちきた/大残渣/デミ侍/後悔しない名前を付けよう/ウラニワ(2)/鬼山田/三丸(2)/秋/うわぁ/ドブ/いずみ協同組合/マチ/インド哲学/赤い髪/爆介/千代
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,5位,覇道きてぃ,Googleマップが言うには、この先に牛角があるわよ,53,76.17,納屋の鍵(2)/揚げたてメンチメン/メロディックストーム/また師走が来たよ(3)/まこっちゃん(3)/ＣＭＣ(2)/ガッボデ/アガリブル(2)/赤ぺこり/中身(2)/AIEE/シュヴァルツ/No Image/3ねこ(2)/ます/よんずい/たいら(2)/シンカー/なぎさ(2)/よしんば/ちきちきた/射的屋/月曜ビ/桜もにゅ/後悔しない名前を付けよう(2)/D-6/白黒まみれ/銀のチャリ/アウク/水谷新太郎/金庫番/暴風よ吹け/しゅ/みやまる(2)/静かの海(3)/チャンジャ/ゆきみ/satoo
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,6位,ガッボデ,月曜が来る、スピード上げて,51,74.66,春屋○イ/メロディックストーム/瀬戸際ヤゴ/まこっちゃん(2)/ＣＭＣ/アガリブル(2)/太陽/武山/AIEE/きゅーきゅー/灰色胡椒(2)/No Image/業務用虚無(3)/@obasuma/研究会員/アボ丸/はっぴーえんど/たいら/GYAI/mississippi/温野菜(2)/シーサイド品川/リトラ文庫(2)/よしんば/猫屋敷/大残渣/月曜ビ/桜もにゅ/デミ侍(3)/後悔しない名前を付けよう(2)/ニューロン/秋(2)/しゅ(2)/いずみ協同組合/里見英次郎/ゆきみ/インド哲学/赤い髪/千代
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,6位,懸垂ができる,ほんと塾ってなんでも教えるな,51,74.66,入江(2)/納屋の鍵/第五関節/ケムケムケムッソ(2)/瀬戸際ヤゴ(2)/ＣＭＣ/中身/現にンゲ(3)/魂の裏切りの夜/メスカマキリ/齋藤/八子八百/ましましのしま/シュヴァルツ/セトピア/うんも(2)/業務用虚無(2)/アボ丸/Normal boy/よんずい/ワッショイサンバ(2)/青色迷子/税金ザウルス/たいら(3)/一石投じ男/糸目の鮟鱇/シーサイド品川/及川広大(2)/やまだひらいた/桶狭間/射的屋(2)/白黒まみれ/鬼山田/三丸/秋/ドブ/みささぎ/赤い髪/千代
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,8位,ジェンツーペンギン,意外と脳が一番疲れる,50,73.9,第五関節/PD/メロディックストーム/メスカマキリ/open/八子八百/きゅーきゅー/渡利　巣手呂(2)/シュヴァルツ(2)/うんも/3ねこ/業務用虚無/研究会員/眠気/ワッショイサンバ(2)/青色迷子/赤黄色/一石投じ男/糸目の鮟鱇/りんかんがっこう/シーサイド品川/及川広大/つくり真顔/リトラ文庫/資本ネコ/はさあかた/射的屋/がんばりま翔/大残渣/セブ牛/ニューロン/ぼーるぺん(3)/ゆげ/金庫番/かくれどり(2)/秋/ドブ/みやまる/チャンジャ/サメVS巨大タコス(2)/satoo(3)
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,9位,セトピア,VRで三人称視点なことあるんだ,48,72.39,納屋の鍵/第五関節/カクレミノムシ/また師走が来たよ/現にンゲ(3)/水猫ラテ(2)/メスカマキリ/ましましのしま/シュヴァルツ(3)/業務用虚無(2)/よんずい/ワッショイサンバ/税金ザウルス(2)/ぷろみん/つくり真顔/石原消し炭/よしんば/ちくわうし/小倉(2)/射的屋/桜もにゅ/じゃん(2)/後悔しない名前を付けよう(2)/ふもー(2)/ゆげ/0Shara(3)/かくれどり(3)/しゅ/静かの海/弐祭/昨日のおみや(2)/特効さん
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,10位,つくり真顔,もっと高く上げて！飽きちゃう,44,69.38,春屋○イ/ケムケムケムッソ/ＣＭＣ/赤ぺこり/水猫ラテ(2)/魂の裏切りの夜(2)/齋藤/きゅーきゅー/ましましのしま/シュヴァルツ/セトピア/うんも(2)/3ねこ(2)/研究会員/アボ丸/眠気(2)/青色迷子/一石投じ男/シンカー(2)/りんかんがっこう/カタン(2)/大残渣/ウラニワ(2)/ゆげ/アウク/金庫番/秋/ドブ(2)/弐祭(2)/みささぎ(2)/インド哲学/爆介/千代
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,11位,渡利　巣手呂,長女の私が頑張らなきゃ,43,68.62,カクレミノムシ/ＣＭＣ/百ねずみ(2)/中身(2)/メスカマキリ/武山/齋藤/アナゴさん/八子八百/きゅーきゅー(2)/ましましのしま/シュヴァルツ/研究会員/ワッショイサンバ/米(おこめ)/tomo/mississippi/シーサイド品川/よしんば/ちきちきた/射的屋/白黒まみれ/ウラニワ(2)/三丸/金庫番(3)/小粒庵/うわぁ/ドブ/マチ/ゆきみ/日本国憲法/赤い髪/satoo(3)/千代(2)
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,12位,秋,休職中には見えないよな,42,67.87,メスカマキリ/武山/ゆう(3)/齋藤/open/AIEE/シュヴァルツ/美味い焼肉屋/うんも(2)/No Image/3ねこ/業務用虚無/Normal boy/tomo/たいら(2)/GYAI/つくり真顔/たる棒/桶狭間/omiun/石原消し炭(2)/よしんば/はさあかた/ちきちきた/射的屋/桜もにゅ/ニューロン/鬼山田/水谷新太郎/しゅ/うわぁ/弐祭(2)/いずみ協同組合/みささぎ/マチ/爆介
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,13位,たる棒,これ「空」の楽しさだな,39,65.61,春屋○イ/ケムケムケムッソ/また師走が来たよ/机上で実演(2)/武山/美味い焼肉屋(2)/うんも(2)/業務用虚無/アボ丸/はっぴーえんど/税金ザウルス/おのころ(3)/りんかんがっこう/及川広大(2)/やまだひらいた/omiun(2)/ちくわうし/小倉/射的屋/がんばりま翔/デミ侍/D-6/ニューロン(2)/ゆげ/金庫番/かくれどり(2)/小粒庵/特効さん/インド哲学/千代
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,13位,現にンゲ,180円のAV,39,65.61,納屋の鍵/栄治(3)/PD/まこっちゃん(2)/ＣＭＣ/ガッボデ/赤ぺこり/open/アナゴさん(2)/シュヴァルツ/セトピア/@obasuma/青色迷子/一石投じ男/少しだけ賢い/リトラ文庫/寝むたい(2)/たる棒/射的屋/桜もにゅ/たくりむ/ニューロン/ふもー/銀のチャリ(3)/ぼーるぺん(2)/きみをゆるさない。/水谷新太郎/天津飯/弐祭/みささぎ/日本国憲法
5451_7032_XWW,2022-07-23,186人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5451_7032_XWW.jpeg,15位,アガリブル,空と海が親権を争ってる,38,64.85,sette/第五関節/栄治/瀬戸際ヤゴ/太陽/メスカマキリ(2)/シュヴァルツ/業務用虚無/Longab/アボ丸/米(おこめ)/税金ザウルス(2)/少しだけ賢い/及川広大/桶狭間(2)/カリウム不足/ちきちきた/小倉(2)/射的屋/後悔しない名前を付けよう(2)/ゆげ(2)/水谷新太郎/0Shara/秋(2)/ドブ/静かの海(2)/特効さん/日本国憲法/インド哲学/赤い髪
