お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,1位,かくれどり,9次会裏まであった,140,112.46,しもむら/ペッタ/乳白色の駱駝(2)/ぷろみん(2)/3ねこ(2)/仮面ペンギン(3)/カーテンは夜ひらく/びろびろーん/もぐろ(3)/ほかほかの海/Eito1379(2)/磯野ワイニーしようぜ(3)/アウク/guniguni(2)/ゆうう/及川広大(2)/けやきぃぃぃぃ/解毒/マチ/おここ/とびこむケロッグ/一石投じ男/うえじゅん/さざなみのユウ(2)/せんだい/武山(2)/omiun/莉蒼(2)/のとさわ/カタン/さけのなかのいくら/銀のチャリ(3)/BB/ふもー/静かの海/懸垂ができる(2)/たにざき/さいころちゃらみん/ましましのしま/後悔しない名前を付けよう(2)/白黒まみれ/みやまる(2)/がんばりま翔/猫屋敷/青藍島の青い鳥/しらんけど/送風(2)/tsukil(3)/フーガ(3)/なぎさ/ちくわうし/水谷新太郎(2)/ここはが/＃の中のカマ吉くん/名詞句移動(2)/射的屋/オールド/せんにん/バイト/たこかいな/vio(2)/糸目の鮟鱇(2)/よんずい(2)/少しだけ賢い/Longab/絶対倫理/きゅーきゅー/びみめし/ちきちきた/れれれのれき(2)/もちきんちゃく(2)/業務用虚無(2)/open(2)/ほぼ赤ちゃん(3)/ラジウス(2)/金庫番/AIEE(2)/赤ぺこり/たまお/夢描めろん/メスカマキリ(2)/サメVS巨大タコス/ぼーるぺん(2)/柴助(2)/イカリモドキ/中サラ/ネオ(2)/千代/対義語ん/やまだひらいた/のりなが/たむ子(2)/たくさん応援(3)/里見英次郎(2)
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,2位,百ねずみ,"監督から「楽しめ」のサインが出ず、静かなまま終わった

",94,87.37,仮面ペンギン/もぐろ/ほかほかの海/磯野ワイニーしようぜ/ポンサ/guniguni(2)/恥知らずな金玉/ゆうう(2)/おここ/とびこむケロッグ/灰色胡椒(2)/ふぉとん(2)/ケムケムケムッソ(2)/一石投じ男(2)/狂坂(くるいざか)(2)/山渕/武山(2)/小倉/omiun(2)/昨日のおみや/2000年代初期、夏の街/よしんば/tomo/カタン/弐祭(2)/例のイルカ(2)/錯乱(2)/ましましのしま/白黒まみれ(2)/＃の中のカマ吉くん/アボ丸(2)/射的屋/@obasuma/せんにん/モモンガの絨毯/B群/たこかいな/栄治/仲人さんだー(2)/Longab(2)/☃❄/びみめし/ワッショイサンバ/ちきちきた/業務用虚無(3)/とりふぐ(2)/小粒庵/ねこライト(2)/ラジウス(2)/はっぴーえんど/金庫番(2)/夢描めろん/メスカマキリ/ぼーるぺん/メロディックストーム/つくり真顔(2)/インド哲学/アガリブル(2)/2番管/対義語ん(2)/ゆきみ/やまだひらいた/たむ子(2)/八子八百(2)/難攻不落(2)/里見英次郎
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,3位,さくM,負けた高校の校歌を聴いて納得している,92,86.28,ペッタ/乳白色の駱駝/ぷろみん/鮭の皮/（かぜの）すぱさぶろう/スエ(2)/ほかほかの海(2)/うわぁ/アウク(3)/大至急(3)/Kit/解毒/おここ/とびこむケロッグ/リナちゃそ(2)/ふぉとん(3)/久民(2)/武山/小倉/よしんば(2)/魂の裏切りの夜(2)/資本ネコ/研究会員(2)/三収組(2)/弐祭(3)/さいころちゃらみん/錯乱(2)/ましましのしま/板野/猫屋敷/渡利　巣手呂(3)/フーガ/ここはが/アボ丸/射的屋/@obasuma(2)/モモンガの絨毯(2)/vio(2)/蟹マン/実家に帰った鶴/ゴングの音(2)/副編集長/少しだけ賢い/栄治/Longab/絶対倫理(2)/びみめし/業務用虚無(3)/open/小粒庵/大残渣/赤ぺこり(2)/メスカマキリ(2)/シュヴァルツ/つくり真顔/柴助(3)/千代/RANRANRAN/八子八百/はさあかた(3)
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,4位,長谷川キモ彦,自分らのゲロを拭いてる店員に「甲子園負けたみたいっすね」と言ってる,83,81.37,ペッタ/乳白色の駱駝/harvest/カーテンは夜ひらく/釜ちびちび/（かぜの）すぱさぶろう(3)/びろびろーん/ポンサ/アウク/大至急/恥知らずな金玉/ゆうう(3)/おここ(2)/リナちゃそ/うえじゅん/さざなみのユウ(2)/きらきらとした壁(2)/Welwyn(3)/せんだい/久民/2000年代初期、夏の街(2)/よしんば/sakamata2/鬼山田(3)/弐祭/ふもー/たにざき/こたつ/錯乱/おのころ(2)/白黒まみれ/青藍島の青い鳥/tsukil(3)/水谷新太郎/名詞句移動(3)/D-6/オールド/@obasuma/バイト/蟹マン/実家に帰った鶴/ゴングの音/仲人さんだー/絶対倫理/びみめし/ワッショイサンバ/ちきちきた/れれれのれき(3)/もちきんちゃく/業務用虚無/ねこライト(3)/ラジウス/たる棒/金庫番/錆缶/机上で実演(2)/インド哲学/イカリモドキ/中サラ/デジタル奏でる/のりなが
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,5位,ペッタ,試合より声出てる,72,75.37,びろびろーん(2)/スエ(2)/Eito1379(2)/ポンサ/guniguni/及川広大/けやきぃぃぃぃ/うえじゅん/さざなみのユウ(2)/狂坂(くるいざか)(2)/山渕/きらきらとした壁/武山/omiun/よしんば/tomo/魂の裏切りの夜/のとさわ/カタン/きりまる/ふもー/懸垂ができる/頭炭酸(3)/ましましのしま(2)/後悔しない名前を付けよう(2)/白黒まみれ/くじ/みささぎ(2)/まーちゃんす/ちくわうし/ここはが/D-6/射的屋/きみをゆるさない。/たこかいな/齋藤/よんずい/少しだけ賢い/仲人さんだー/爆介(2)/Longab/絶対倫理/もちきんちゃく/じゃん/小粒庵/ねこライト/赤ぺこり/夢描めろん/メロディックストーム/机上で実演/つくり真顔(2)/ナンテコッター山口/デジタル奏でる/ゆきみ/のりなが/八子八百(2)/りゔぁ/kevin(2)
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,6位,じゃん,床に落とした揚げ物を「犠牲フライ」と言って盛り上がってた,66,72.09,ぷろみん(2)/harvest/びろびろーん/うわぁ/及川広大/Kit/けやきぃぃぃぃ/おここ(2)/かくれどり/とびこむケロッグ/狂坂(くるいざか)/きらきらとした壁/昨日のおみや(2)/2000年代初期、夏の街/のとさわ(2)/カタン(2)/ふもー/例のイルカ(2)/ましましのしま/白黒まみれ/がんばりま翔/猫屋敷/アバオー/送風/tsukil(3)/なぎさ/ちくわうし/せんにん/ブロード(2)/バイト/vio/Longab/☃❄(2)/道路(2)/きゅーきゅー/ちきちきた/業務用虚無(2)/ほぼ赤ちゃん(2)/たる棒/赤ぺこり/メスカマキリ/サメVS巨大タコス(2)/シュヴァルツ(2)/中サラ(2)/ゆきみ/RANRANRAN/たむ子/難攻不落/はさあかた(2)
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,7位,赤黄色,1年生に小さいトンボで机きれいにさせてた,65,71.55,乳白色の駱駝/カーテンは夜ひらく/釜ちびちび/びろびろーん/アウク/大至急(2)/ゆうう/コケダーマ/けやきぃぃぃぃ/解毒(2)/デミ侍/かくれどり(2)/こむら返り/せんだい/omiun/2000年代初期、夏の街/tomo(3)/魂の裏切りの夜/三収組/鬼山田/例のイルカ(2)/さいころちゃらみん/ましましのしま/後悔しない名前を付けよう(2)/みやまる/自堕落本舗(2)/tsukil(3)/フーガ(2)/＃の中のカマ吉くん/アボ丸/名詞句移動(2)/オールド/@obasuma/蟹マン(2)/実家に帰った鶴/仲人さんだー/もちきんちゃく/業務用虚無(2)/じゃん/ねこライト(2)/ラジウス(2)/たる棒/メスカマキリ/サメVS巨大タコス/イカリモドキ/中サラ/ネオ/里見英次郎/はさあかた
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,8位,白滝BOX,ドリンクバーで靴の汚れを落としてる,64,71.0,乳白色の駱駝(2)/カーテンは夜ひらく/釜ちびちび/ほかほかの海/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/及川広大/セトピア(3)/解毒/かくれどり(3)/久民/スクラントン現実錨(3)/2000年代初期、夏の街/tomo/魂の裏切りの夜/さけのなかのいくら/研究会員/鬼山田/銀のチャリ/懸垂ができる/こたつ/さいころちゃらみん/錯乱/白黒まみれ(3)/板野(2)/みささぎ(2)/ここはが/さくM/名詞句移動(2)/@obasuma(2)/バイト(3)/糸目の鮟鱇/少しだけ賢い/仲人さんだー/きゅーきゅー/びみめし/れれれのれき(3)/業務用虚無(2)/ねこライト/百ねずみ/やまだひらいた/八子八百/里見英次郎(2)/はさあかた/りゔぁ/kevin
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,9位,＃の中のカマ吉くん,さっき引退した3年、もう髪伸びてる,63,70.46,赤黄色/harvest/カーテンは夜ひらく/ウラニワ(3)/スエ/探偵Ｏ/及川広大(2)/けやきぃぃぃぃ/解毒/かくれどり(2)/ふぉとん/ケムケムケムッソ/インターネット自由業(3)/きらきらとした壁/こむら返り/せんだい/小倉/さけのなかのいくら/研究会員/ふもー/懸垂ができる/たにざき/ましましのしま/がんばりま翔/熱と気体/送風(2)/ちくわうし/さかもっさん/名詞句移動/D-6/射的屋/バイト(3)/少しだけ賢い(2)/仲人さんだー/私(2)/ワッショイサンバ/ちきちきた/もちきんちゃく/open/小粒庵/メスカマキリ(2)/シュヴァルツ/2番管/たむ子(3)/たくさん応援/難攻不落(2)/里見英次郎/りゔぁ
7581_6115_ORU,2022-07-29,250人,野球部の打ち上げに参加して「良くないなあ」と思った出来事,NA,10位,鮭の皮,相手チームの校歌を歌った後、店で暴れ回る,61,69.37,カーテンは夜ひらく/ウラニワ/スエ/みんず/カリウム不足/ゆうう(2)/セトピア/マチ/かくれどり/とびこむケロッグ(2)/ケムケムケムッソ(2)/きらきらとした壁(2)/資本ネコ(3)/鬼山田(2)/たにざき(2)/ニューロン(2)/ましましのしま/熱と気体(2)/自堕落本舗(3)/＃の中のカマ吉くん(2)/D-6/射的屋/たこかいな/実家に帰った鶴/絶対倫理(2)/きゅーきゅー(2)/びみめし/れれれのれき(3)/業務用虚無/ほぼ赤ちゃん/じゃん/ねこライト/たる棒(3)/メスカマキリ(2)/机上で実演(3)/アガリブル/2番管/イカリモドキ/RANRANRAN
