お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,1位,3ねこ,3F 暮らしと淡水魚のフロア,103,92.95,ちきちきた/齋藤(2)/おのころ/satoo(2)/tomo(3)/しらんけど(2)/がんばりま翔/千代/れれれのれき(3)/momi(2)/蟹マン/第8項/ミフィ(2)/みやまる(2)/ＣＭＣ(2)/石と日曜日/うわぁ/よしんば/たこかいな/カタン(2)/よんずい/ブロード/ナンテコッター山口/やまだひらいた(2)/柴助/ドブ/BB/米(おこめ)/後悔しない名前を付けよう(2)/こたつ/りゔぁ/名詞句移動(3)/みんず/仲人さんだー/みささぎ(2)/中サラ(3)/バクセン/ねこライト(3)/デミ侍/ニューロン(2)/のとさわ/炎/リボンちゃん/灰根/業務用虚無(2)/春巻き、咲いちゃいました(2)/ぼーるぺん(2)/夢描めろん/シュヴァルツ/とびこむケロッグ/ゆきみ/メロディックストーム/なぎさ/ざき(3)/アウク/臀み(2)/納屋の鍵(2)/秋(2)/金庫番/解毒/A味噌汁(2)/昨日のおみや(2)/シンカー/大残渣/きらら(2)/カニカニパニック/tsukil(3)/錯乱
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,1位,アガリブル,オスが時間を潰す泳ぎ方してる,103,92.95,例のイルカ(3)/齋藤/sette/ましましのしま/tomo(2)/仮面ペンギン(3)/ふもー/ちくわうし(2)/ラジウス(2)/ペッタ(3)/omiun/蟹マン/鮭の皮/ＣＭＣ/赤ぺこり/八子八百/暴風よ吹け/たこかいな/カタン(2)/送風/三収組(2)/よんずい/やまだひらいた/柴助(2)/きゅーきゅー(2)/板野/米(おこめ)/後悔しない名前を付けよう/@obasuma(2)/2番管/オズ(3)/ネオ/バクセン/ねこライト(3)/ほかほかの海/デミ侍/ニューロン(2)/中身(2)/探偵Ｏ/とりふぐ(3)/魂の裏切りの夜/狂坂(くるいざか)(3)/ここはが/とびこむケロッグ/guniguni(2)/メロディックストーム/弐祭/ふぉとん/2000年代初期、夏の街(2)/アバオー/ざき(3)/渡利　巣手呂(2)/ArmyGreen/白黒まみれ(3)/＃の中のカマ吉くん/秋/金庫番/山渕(2)/A味噌汁/百ねずみ/Eito1379(2)/さくM(3)/3ねこ/amagi.01/さかもっさん/カニカニパニック(2)/錯乱
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,3位,探偵Ｏ,前にここにいた魚がどうしても思い出せない,83,81.87,satoo/ましましのしま/静脈ココアマン(2)/ちくわうし(2)/ラジウス/ウラニワ(3)/ペッタ/きりまる(2)/データニキ/第8項/うえじゅん/イカリモドキ/アガリブル(3)/旧式/石と日曜日(2)/八子八百/うわぁ(2)/よしんば/たこかいな(2)/川淵/赤黄色(2)/糸目の鮟鱇/よんずい(3)/伊勢八/vio/Kit/猫屋敷/きゅーきゅー(2)/きみをゆるさない。/BB/じゃん/オズ(2)/仲人さんだー/みささぎ/PD/中サラ/バクセン/難攻不落/D-6/のとさわ/炎/副編集長/業務用虚無(2)/出入/狂坂(くるいざか)/大至急/ここはが/シュヴァルツ/ゆきみ/ふぉとん/アバオー(3)/ざき/遠くを見ている/渡利　巣手呂(3)/ケムケムケムッソ/乳白色の駱駝/＃の中のカマ吉くん/解毒/セトピア/昨日のおみや/amagi.01/デジタル奏でる/カニカニパニック
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,4位,きりまる,イルカがジャンプすると「空」が点灯して着水すると「満」が点灯する,82,81.32,ちきちきた/satoo(2)/静脈ココアマン(2)/がんばりま翔/ウラニワ/たる棒/omiun(3)/第8項/うえじゅん/ＣＭＣ/イカリモドキ/アガリブル(3)/旧式(2)/石と日曜日/ぷろみん/稲妻圭介/私(2)/送風(2)/三収組/糸目の鮟鱇/伊勢八(3)/Kit(2)/柴助(3)/きゅーきゅー/後悔しない名前を付けよう(2)/@obasuma/里見英次郎/オズ/仲人さんだー/ネオ/バクセン/ねこライト/鬼山田(2)/炎/副編集長/とびこむケロッグ(2)/guniguni/ざき/ケムケムケムッソ(2)/白黒まみれ(2)/乳白色の駱駝/臀み/納屋の鍵/秋/かくれどり(2)/金庫番(3)/解毒/ひっそりおにぎり(3)/おひや/さかもっさん(3)/きらら(2)/カニカニパニック(2)/tsukil/錯乱
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,4位,渡利　巣手呂,何が1番見たかったのか忘れる,82,81.32,例のイルカ(2)/齋藤/ましましのしま/tomo/しらんけど/静脈ココアマン/ラジウス/くじ(2)/千代/きりまる/momi(3)/omiun(2)/ミフィ/鮭の皮/机上で実演/赤ぺこり/八子八百(2)/うわぁ/よしんば/カタン(3)/赤黄色/糸目の鮟鱇/よんずい(3)/ブロード/やまだひらいた(2)/Kit/きみをゆるさない。(2)/後悔しない名前を付けよう/じゃん/@obasuma/現にンゲ(2)/2番管/名詞句移動(2)/ネオ(2)/バクセン/ねこライト/莉蒼/デミ侍/D-6/中身/のとさわ/探偵Ｏ(2)/副編集長(2)/リボンちゃん/業務用虚無(2)/ワッショイサンバ/出入(2)/大至急/ここはが/guniguni(2)/アバオー(2)/遠くを見ている/臀み/かくれどり/石原消し炭/けやきぃぃぃぃ/ひっそりおにぎり/大残渣/3ねこ/amagi.01(2)
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,6位,大至急,女性向けっぽい水槽から目を逸らして通る,79,79.66,satoo(3)/静脈ココアマン(2)/がんばりま翔/momi/omiun/蟹マン/第8項/鮭の皮/ＣＭＣ/イカリモドキ/アガリブル(2)/石と日曜日(2)/うわぁ/よしんば/カタン(2)/及川広大(2)/糸目の鮟鱇/Kit/きゅーきゅー/米(おこめ)(2)/B群(2)/現にンゲ(3)/里見英次郎/みんず/ネオ/バクセン/莉蒼/ほかほかの海(2)/ニューロン/中身(2)/探偵Ｏ(2)/副編集長/ぼーるぺん/出入(2)/狂坂(くるいざか)(2)/ここはが/シュヴァルツ(3)/メロディックストーム/弐祭(3)/ふぉとん/懸垂ができる(2)/乳白色の駱駝/秋/Welwyn(3)/かくれどり(2)/山渕(2)/shimako(3)/Eito1379/さかもっさん(2)/きらら/錯乱
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,7位,錯乱,空っぽで何も入ってない水槽のガラスに「coming soon!」と書かれた紙が貼られてる,78,79.1,のりなが(2)/例のイルカ(3)/ましましのしま/しらんけど/がんばりま翔/ウラニワ(3)/れれれのれき/オールド/そばをまぜる(2)/データニキ(3)/蟹マン/みやまる/錆缶/よしんば/たこかいな/稲妻圭介(2)/インド哲学/川淵(2)/やまだひらいた/伊勢八(3)/猫屋敷/柴助/米(おこめ)/後悔しない名前を付けよう(2)/現にンゲ/里見英次郎(2)/りゔぁ(2)/せんにん(2)/名詞句移動/バクセン/はちわれ/鬼山田(2)/リボンちゃん/灰根(2)/業務用虚無/春巻き、咲いちゃいました/夢描めろん/ごめんねしぐしぐ (3)/シュヴァルツ/一石投じ男/ゆうう(2)/乳白色の駱駝/＃の中のカマ吉くん(3)/かくれどり(3)/金庫番/山渕/石原消し炭/昨日のおみや/Eito1379/大残渣/きらら/カニカニパニック/tsukil
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,8位,ケムケムケムッソ,ずっと「死にそうセール」をしてる魚がいる,75,77.44,のりなが(2)/ちきちきた/つくり真顔/おのころ/ましましのしま/仮面ペンギン/しらんけど(2)/静脈ココアマン/あんかけ/ラジウス/くじ/たる棒/そばをまぜる(2)/データニキ(2)/omiun(2)/蟹マン/ＣＭＣ/イカリモドキ/アガリブル(3)/ぷろみん/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/稲妻圭介/カタン/インド哲学/川淵(2)/赤黄色/及川広大/ブロード(2)/vio(2)/BB/B群/現にンゲ/里見英次郎(3)/せんにん/名詞句移動/ネオ/バクセン/莉蒼(2)/ほかほかの海(2)/D-6/ニューロン/のとさわ/カリウム不足/一石投じ男(2)/弐祭(2)/2000年代初期、夏の街/ゆうう(2)/＃の中のカマ吉くん(2)/臀み/かくれどり(3)/百ねずみ/さくM(2)/amagi.01/錯乱
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,9位,バクセン,5のつく日はペンギンの数が2倍になる,69,74.12,齋藤/ましましのしま/tomo/ラジウス/たる棒/そばをまぜる(2)/熱と気体/omiun/針山天国/第8項/ＣＭＣ/イカリモドキ/アガリブル/机上で実演/ぷろみん/たこかいな(3)/私(2)/川淵/ブロード/やまだひらいた/後悔しない名前を付けよう(2)/じゃん(2)/んこもし(3)/里見英次郎(2)/こたつ/2番管(2)/名詞句移動/みんず/PD/莉蒼/D-6/業務用虚無(2)/ワッショイサンバ/こんみ(2)/出入/夢描めろん/メロディックストーム/ふぉとん/なぎさ/懸垂ができる/ArmyGreen/ゆうう(3)/ケムケムケムッソ/アウク/納屋の鍵/解毒/けやきぃぃぃぃ(2)/A味噌汁/きらら/デジタル奏でる/tsukil/錯乱(3)
5467_0878_JFY,2022-07-30,235人,ショッピングモールみたいな水族館,NA,9位,ｼｰｽﾞｰｷｬﾊﾞﾘｱ,自社ブランドの魚がいる,69,74.12,のりなが(2)/齋藤/satoo(2)/ましましのしま/tomo/ふもー/くじ/熱と気体/きりまる/omiun/針山天国(2)/ミフィ/ＣＭＣ/イカリモドキ/アガリブル/石と日曜日/赤ぺこり/よしんば/赤黄色/板野/米(おこめ)/さざなみのユウ/B群(2)/現にンゲ(2)/里見英次郎/こたつ/2番管/仲人さんだー(2)/みささぎ/PD/中サラ/バクセン/ほかほかの海/ニューロン/炎/ぼーるぺん(2)/ワッショイサンバ/魂の裏切りの夜/大至急(3)/ここはが/ゆきみ/はっぴーえんど(2)/もちきんちゃく(2)/渡利　巣手呂/乳白色の駱駝/臀み/ヤドカリ/山渕(2)/おひや/百ねずみ/昨日のおみや/Eito1379(2)/amagi.01/デジタル奏でる/tsukil/錯乱
