お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,1位,かくれどり,お前がすごいって言えば終わるのに,129,120.81,のとさわ/シャーティ(3)/机上で実演(2)/mississippi/とりふぐ(2)/ましましのしま/nullmori/よしんば/否定から入るオンザビーチ(2)/よんずい(2)/白羽/春巻き、咲いちゃいました(2)/ペッタ(2)/ポンサ(3)/デミ侍/こんみ(2)/小粒庵/バイト(2)/中原ぽ麦/くわす/ぐりる(3)/osakana(3)/りゔぁ/音の里(3)/ArmyGreen/ぐみ/さくM/電磁うに/秋/鬼山田(2)/遺跡発掘調査補助員(2)/難攻不落/ミヤモト(2)/炎/射的屋/赤ぺこり/sette/シンカー/ニューロン/渡利　巣手呂/satoo/錯乱(2)/ドブ/ラジウス/vio/うわぁ/ざき(2)/里見英次郎(2)/遠くを見ている(2)/たこかいな/BB/待ち犬(3)/＃の中のカマ吉くん/2番管(2)/魔球(3)/アナゴさん/ガッボデ(2)/harvest(2)/千代/大残渣/Longab/山渕(2)/第8項/福仁漬/つくり真顔(2)/バクセン/水谷新太郎(3)/南部屋敷(3)/omiun(2)/カニカニパニック/師匠/夏目(兄)/ぼーるぺん(2)/ちきちきた/風邪め(3)/出入(3)/ここはが(3)/米(おこめ)(2)/akamutu/魂の裏切りの夜/白黒まみれ/ターンブル
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,2位,柴助,「まずこの形を覚えてください」,87,93.05,私/赤い髪/揚げたてメンチメン(2)/マチ/Eito1379(2)/シャーティ/机上で実演/静脈ココアマン(3)/ちくわうし/タニグチ/よんずい/まーちゃんす/白羽/ビーム/データニキ(2)/ポンサ/日野ヤヨイ/こんみ/世界/バイト(2)/くわす(2)/Welwyn(3)/さいころちゃらみん/秋/さけのなかのいくら(2)/たこ焼きボンバー(2)/ミヤモト(2)/百ねずみ/射的屋/赤ぺこり/そにぃ/satoo(3)/錯乱/きゅーきゅー/アガリブル/ドブ/ふもー/ラジウス(3)/うわぁ/シードル/BB/＃の中のカマ吉くん/ます/2番管/ガッボデ/harvest/ばっは/千代(2)/Longab/第8項/インターネット自由業/つくり真顔(2)/バクセン(3)/omiun/師匠/Kit/あっきーな(3)/探偵Ｏ(2)/業務用虚無(2)/糸目の鮟鱇/魂の裏切りの夜/イカリモドキ/齋藤
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,3位,メロディックストーム,富山県です。次、石川県いきます,72,83.14,9快速(2)/揚げたてメンチメン/臀み/mississippi/tlicia(3)/ちくわうし/よしんば/じゃん/春巻き、咲いちゃいました(2)/ペッタ/ポンサ/小粒庵/ぷろみん/osakana/さいころちゃらみん(2)/かくれどり/さけのなかのいくら(2)/もちきんちゃく/後悔しない名前を付けよう(2)/百ねずみ/炎(2)/virus菌(2)/カタン/実家に帰った鶴/シンカー/きゅーきゅー/ドブ/けやきぃぃぃぃ/里見英次郎/BB/サメVS巨大タコス/＃の中のカマ吉くん/みやまる/ばっは(2)/中サラ(2)/千代(2)/Longab/山渕(2)/イチナリ/第8項(3)/福仁漬(2)/静かの海/たる棒/水谷新太郎/omiun(2)/カニカニパニック(2)/夏目(兄)/3ねこ/シュヴァルツ/TwistNight(2)/D-6/イカリモドキ/白黒まみれ
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,4位,小粒庵,ええ、復讐です,64,77.85,資本ネコ/シャーティ/mississippi/ましましのしま/nullmori/ちくわうし/タニグチ/及川広大(2)/ペッタ/デミ侍/温野菜/音の里/電磁うに(3)/遺跡発掘調査補助員/難攻不落/もちきんちゃく/ミヤモト/炎(2)/射的屋(2)/赤ぺこり/渡利　巣手呂(2)/きゅーきゅー(2)/けやきぃぃぃぃ/sabire/こたつ/大残渣/イチナリ(2)/第8項(2)/福仁漬(2)/インターネット自由業(2)/アウク(3)/水谷新太郎(2)/中身/カニカニパニック/師匠/夏目(兄)/Kit/ネオ/あっきーな(2)/出入/探偵Ｏ(2)/D-6/業務用虚無/糸目の鮟鱇/魂の裏切りの夜/PD(2)/RANRANRAN
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,5位,あっきーな,食器は粗末にしてもいいです、農家が悲しまないので,62,76.53,aisaka_saika/机上で実演(2)/よんずい/じゃん(2)/ビーム(2)/日野ヤヨイ/バイト(3)/そばをまぜる/ワッショイサンバ(2)/さくM(2)/鬼山田(2)/少しだけ賢い/もちきんちゃく/後悔しない名前を付けよう/射的屋/となかい(2)/ニューロン(2)/そにぃ/satoo/錯乱/オム子/ざき/たこかいな/（かぜの）すぱさぶろう(3)/シードル/はさあかた(2)/2番管/彼方のカステラ/がんばりま翔/Longab/第8項(2)/つくり真顔/アウク(3)/ぼーるぺん(2)/シュヴァルツ/TwistNight(3)/石原消し炭/出入/akamutu/業務用虚無/イカリモドキ/白黒まみれ(2)
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,5位,おにぎりじゃんけん,こっからさらに全部小さじにします,62,76.53,赤い髪/マチ/Eito1379/ちくわうし/よんずい(2)/白羽/じゃん/ビーム(3)/小粒庵/音の里/Welwyn(2)/ArmyGreen/さいころちゃらみん/秋(2)/鬼山田(2)/少しだけ賢い/ミヤモト(2)/百ねずみ/射的屋/satoo(3)/錯乱(3)/アガリブル(2)/ドブ/うわぁ/けやきぃぃぃぃ/BB/はさあかた/2番管/harvest/中サラ(2)/インド哲学/がんばりま翔/Longab/インターネット自由業(3)/静かの海/バクセン/omiun/カニカニパニック(2)/ちきちきた/Kit/出入/米(おこめ)/D-6/イカリモドキ/なめくじの乱舞/齋藤
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,7位,3ねこ,私はきっかけにすぎませんよ,60,75.21,揚げたてメンチメン/マチ/mississippi/ちくわうし/ビーム(2)/ポンサ/無題(2)/こんみ/小粒庵(2)/中原ぽ麦/りゔぁ/ArmyGreen/三丸/電磁うに/秋(2)/遺跡発掘調査補助員(2)/難攻不落/ミヤモト/柴助/炎/virus菌/射的屋(2)/カタン/メロディックストーム/渡利　巣手呂(2)/おのころ/錯乱/vio(2)/けやきぃぃぃぃ/待ち犬(3)/こたつ/魔球/ガッボデ/千代/熱と気体(2)/赤黄色/第8項/つくり真顔/バクセン/師匠/シュヴァルツ/Kit(2)/風邪め/米(おこめ)/探偵Ｏ/魂の裏切りの夜/齋藤/RANRANRAN
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,7位,ちくわうし,すみません、やっぱりお箸もらえますか？,60,75.21,私(3)/9快速/揚げたてメンチメン/ペッタ/ポンサ/温野菜/そばをまぜる(2)/銀のチャリ(3)/ホールド・ナッツ/くわす/ぷろみん(2)/音の里/ワッショイサンバ/はっぴーえんど/もちきんちゃく/後悔しない名前を付けよう/ミヤモト/炎(2)/射的屋/猫屋敷/sette/きゅーきゅー(2)/ドブ/（かぜの）すぱさぶろう(2)/シードル/BB/みやまる/オールド/サーベルタイガー/アナゴさん/ばっは/千代(2)/山渕(2)/イチナリ/福仁漬/omiun/シュヴァルツ/Kit(2)/風邪め(2)/探偵Ｏ(3)/akamutu(3)/なめくじの乱舞/ターンブル
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,7位,及川広大,ラジオですんな,60,75.21,揚げたてメンチメン/Eito1379/ましましのしま/ちくわうし/オリガサ/日野ヤヨイ/中原ぽ麦/銀のチャリ(3)/ワッショイサンバ/Welwyn/かくれどり/電磁うに/鬼山田/さけのなかのいくら(2)/少しだけ賢い(2)/たこ焼きボンバー(2)/遺跡発掘調査補助員/ミヤモト/virus菌(2)/実家に帰った鶴/そにぃ/vio(2)/うわぁ/ざき/里見英次郎(2)/遠くを見ている/シードル/サメVS巨大タコス/みやまる/オールド(2)/灰色こたつ(2)/暴風よ吹け/サーベルタイガー/彼方のカステラ/魔球/harvest/ばっは(2)/千代/大残渣/山渕(2)/中身(3)/カニカニパニック/3ねこ/石原消し炭/糸目の鮟鱇/やまだひらいた
0943_9705_AXY,2022-08-04,292人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0943_9705_AXY.jpg,10位,とりふぐ,誰？ポケットに入れたまま洗濯機に入れたの,53,70.58,揚げたてメンチメン/机上で実演(2)/静脈ココアマン/よしんば/白羽(2)/しゅ/世界/くわす/ぐみ(2)/三丸/射的屋(2)/きゅーきゅー(2)/ドブ/オム子(2)/ふもー/うわぁ(2)/（かぜの）すぱさぶろう(2)/自由人(2)/2番管/なぎさ(2)/千代/熱と気体/Longab(2)/イチナリ(2)/静かの海(2)/バクセン/南部屋敷/ナンテコッター山口/omiun/ぼーるぺん/シュヴァルツ(2)/風邪め/石原消し炭(2)/あっきーな(2)/米(おこめ)/業務用虚無(2)
