お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,1位,ガッボデ,だんだん強く、の意,78,98.84,業務用虚無(2)/鬼山田(2)/電磁うに/ぱにゃ(2)/山渕(2)/仲人さんだー/渡利　巣手呂/射的屋(2)/南部屋敷(2)/きらら/3ねこ(2)/nullmori/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/水谷新太郎(3)/K(3)/ねこライト(2)/恥知らずな金玉/マチ/きゅーきゅー(2)/たる棒/りゔぁ(2)/Kit(2)/メロディックストーム/うえじゅん/出入/静かの海/遺跡発掘調査補助員/齋藤/赤い髪/さくM/つくり真顔/よんずい(2)/vio/六銘菓(2)/ポンサ/軍手/satoo(3)/大残渣/水猫ラテ/リナちゃそ(3)/第8項/米(おこめ)(2)/（かぜの）すぱさぶろう(3)/ドゥラちゃん/ムジ子/osakana(2)/ちきちきた/もちきんちゃく/メロウ/オールド/後悔しない名前を付けよう/鮭の皮/GOMI
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,2位,みやまる,童謡03,69,91.37,業務用虚無(2)/9快速(2)/ばっは(2)/電磁うに/ぱにゃ/仲人さんだー/射的屋/南部屋敷/イチナリ(3)/きらら/ネクストン/3ねこ/TwistNight(3)/ねこライト/ラジウス/恥知らずな金玉/シードル/下人with羅生門/そばをまぜる/きゅーきゅー/omiun(2)/ふもー/かにスープ(2)/ホールド・ナッツ(3)/名詞句移動(2)/出入/アガリブル(2)/よしんば/中原ぽ麦/satoo(2)/ジェンツーペンギン/大残渣/じゃん/カラス(2)/音の里(2)/がんばりま翔/米(おこめ)(2)/ネオ(3)/里見英次郎/ムジ子(2)/シュヴァルツ/はさあかた(2)/Welwyn(3)/後悔しない名前を付けよう/善意の第三者/パンジ
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,3位,マチ,音程を外すと出てくる,61,84.72,9快速/鬼山田/渡利　巣手呂/射的屋(2)/揚げたてメンチメン/ちくわうし/3ねこ(2)/炎(2)/はっぴーえんど/錯乱(3)/及川広大(2)/風邪め/探偵Ｏ/びみめし/きゅーきゅー/ふもー/かにスープ/ペッタ/メロディックストーム/うえじゅん/ホールド・ナッツ(2)/出入/うわぁ/やまだひらいた/ビーム(2)/カニッツァー/RANRANRAN/齋藤/tlicia/Eito1379/ゆうや.com/赤黄色/みささぎ/旧式/ポンサ/夏目(兄)/ぐりる/ArmyGreen/たこかいな(2)/大残渣/のとさわ(2)/じゃん/ドゥラちゃん/里見英次郎(2)/ムジ子/もちきんちゃく(2)/＃の中のカマ吉くん(2)/ざき
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,4位,はさあかた,「君たちのおままごとは設定が甘い」だって,60,83.89,9快速/すず太郎/仲人さんだー/サメVS巨大タコス/射的屋(2)/南部屋敷(2)/きらら/ちくわうし/3ねこ/K(3)/ひなた(2)/ラジウス/シードル/風邪め(2)/きゅーきゅー/たる棒/omiun/ナンテコッター山口/ターンブル/みやまる/昨日のおみや(2)/Kit/ペッタ/ゆずレモンサイダー(3)/さいころちゃらみん/中サラ(2)/やまだひらいた/アガリブル/RANRANRAN/よしんば/齋藤/さくM/つくり真顔(2)/たこかいな/水猫ラテ/赤ぺこり/リナちゃそ/カラス(2)/米(おこめ)/2000年代初期、夏の街(2)/あっきーな(2)/osakana/シュヴァルツ/ちきちきた/アナゴさん/ざき
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,5位,やる,ダメよ。その人は世界観にそぐわない,50,75.58,業務用虚無(2)/9快速/ぱにゃ(2)/仲人さんだー/サメVS巨大タコス/揚げたてメンチメン/sabire/ねこライト/ひなた(2)/風邪め(2)/マチ/デミ侍/昨日のおみや(3)/Kit(2)/うえじゅん/静かの海(3)/よしんば/Eito1379/実家に帰った鶴/みささぎ/B群/よんずい/たこかいな/大残渣/A味噌汁/きりまる/カラス(2)/音の里/ましましのしま/あっきーな(2)/里見英次郎(2)/osakana/ちきちきた/アナゴさん(2)/オールド/ざき/GOMI
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,6位,実家に帰った鶴,芸人以外への笑顔だったわ,46,72.26,鬼山田(2)/ぱにゃ/山渕/仲人さんだー/渡利　巣手呂/糸目の鮟鱇/揚げたてメンチメン/ちくわうし/nullmori/机上で実演/TwistNight(2)/ねこライト/川淵(2)/繁華街/そばをまぜる/きゅーきゅー(2)/りゔぁ(2)/かにスープ/メロディックストーム/名詞句移動/春巻き、咲いちゃいました/齋藤/赤い髪/Eito1379/vio/中原ぽ麦/ポンサ(2)/ぐりる/A味噌汁/のとさわ/ケムケムケムッソ/白黒まみれ/がんばりま翔(2)/インド哲学/ネオ/シュヴァルツ/はさあかた/白羽/＃の中のカマ吉くん
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,7位,机上で実演,サンミュージックの方が私達向けよ,44,70.6,ぱにゃ/山渕(2)/仲人さんだー/射的屋/南部屋敷/イチナリ(2)/揚げたてメンチメン/セトピア/TwistNight/ねこライト(2)/ラジウス/及川広大/シードル/かくれどり/びみめし/きゅーきゅー/みやまる/中サラ/鈴木(2)/遺跡発掘調査補助員/アガリブル(3)/氷堂/実家に帰った鶴/B群/よんずい(2)/中原ぽ麦/軍手/水猫ラテ/がんばりま翔/ましましのしま/ネオ/（かぜの）すぱさぶろう(2)/ドゥラちゃん/ムジ子(2)/シュヴァルツ
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,8位,シードル,あの人なら、こんな台本書かないだろうなぁ,43,69.77,魂の裏切りの夜/糸目の鮟鱇/そにぃ/セトピア/炎(2)/ねこライト/風邪め/マチ/そばをまぜる(2)/きゅーきゅー(2)/たる棒/omiun/ターンブル/ちゃーぱ(2)/Kit/メロディックストーム/静脈ココアマン/鈴木/やまだひらいた/ビーム(2)/アガリブル/資本ネコ/おさかな水溶液/Eito1379/実家に帰った鶴/みささぎ/中原ぽ麦/ポンサ/ぐりる/赤ぺこり/がんばりま翔/インド哲学/2000年代初期、夏の街/里見英次郎/Welwyn/善意の第三者(2)/百ねずみ
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,8位,＃の中のカマ吉くん,あの人だけ音量、大きかったね,43,69.77,業務用虚無(2)/9快速/すず太郎/渡利　巣手呂/サメVS巨大タコス/糸目の鮟鱇/nullmori/TwistNight/ねこライト/川淵/風邪め/マチ/ターンブル/かにスープ/メロディックストーム/出入/うわぁ/遠くを見ている(2)/アガリブル/よしんば/氷堂/Eito1379/さくM/ArmyGreen(3)/赤ぺこり/リナちゃそ(2)/ケムケムケムッソ/じゃん/きりまる/白黒まみれ/がんばりま翔/ドゥラちゃん/あっきーな(2)/osakana/シュヴァルツ/はさあかた/百ねずみ
3361_0797_VXG,2022-08-05,213人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3361_0797_VXG.jpeg,10位,A味噌汁,次のお父さん、お父さんすぎる,40,67.28,福仁漬(2)/山渕(2)/仲人さんだー/射的屋/ネクストン/nullmori/ます/ｼｰｽﾞｰｷｬﾊﾞﾘｱ(2)/水谷新太郎/ラジウス/恥知らずな金玉/そばをまぜる/omiun(2)/ペッタ/メロディックストーム/名詞句移動/Longab/鈴木/遠くを見ている/遺跡発掘調査補助員/つくり真顔/vio/少しだけ賢い/ぐりる/たこかいな/ケムケムケムッソ(2)/白黒まみれ/ましましのしま/ネオ/ドゥラちゃん/シュヴァルツ/もちきんちゃく(2)/＃の中のカマ吉くん/GOMI
