お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,1位,ふもー,聞いたことない政府からだったわ,78,89.04,川淵/灰色胡椒/ちきちきた/さいころちゃらみん/さけのなかのいくら/ペッタ/カタン/弐祭/音の里/世界/ひじかた/納屋の鍵/ArmyGreen/遠くを見ている/あっきーな(2)/ポンサ/オレンジ(2)/Welwyn(2)/（かぜの）すぱさぶろう(2)/ハシビロコウ/灰色こたつ/百ねずみ/千代(2)/誓約/Eito1379/研究会員/マチ/寺井/じゃん(2)/うわぁ/水谷新太郎/ソテツ哲夫(2)/ミフィ(2)/机上で実演(2)/tlicia/暴風よ吹け/Kit(2)/ざき/シュヴァルツ/福仁漬/52へるつ(3)/日本国憲法/八子八百/こしあんゼリー/☆シナモン☆/ゆきみ/鮭の皮/師匠/2番管/かにスープ(2)/ホールド・ナッツ(3)/osouonna(2)/難攻不落(2)/そにぃ/昨日のおみや/きゅーきゅー/カンガルーノート(3)/米(おこめ)/＃の中のカマ吉くん
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,1位,糸目の鮟鱇,間違えてデカい岩を5年も介護してたってワケ,78,89.04,ちきちきた/かくれどり(2)/こんみ(2)/中沢の人(2)/ペッタ/弐祭(2)/アルゴリアン(3)/里見英次郎(2)/納屋の鍵/合鴨の世界/ましましのしま/ぽ/あっきーな/魂の裏切りの夜/ガッボデ/仲人さんだー/（かぜの）すぱさぶろう(3)/sakamata2/白黒まみれ(2)/shimako(3)/百ねずみ/氷堂/のとさわ/アウク/TwistNight/琵琶湖丼/後悔しない名前を付けよう(2)/机上で実演/びみめし(3)/tlicia(2)/ナカウラ(3)/Kit/ぷろみん(3)/山渕(2)/福仁漬(2)/こしあんゼリー(2)/ゆきみ(2)/スカー/師匠/ドブ/藻(3)/板野(2)/かにスープ/当初/赤ぺこり/9快速/harvest/錆缶/米(おこめ)/こくもつの試食(2)
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,3位,あっきーな,分かった上で振り込むの、それでも詐欺かしら,69,82.88,川淵(2)/ビーム/さけのなかのいくら/ねこライト(2)/ペッタ/静脈ココアマン(2)/カタン/音の里/納屋の鍵/合鴨の世界/たる棒(2)/ムサブ/ガッボデ/業務用虚無(2)/仲人さんだー/オレンジ(2)/夏目(兄)(2)/鬼山田(2)/ぐみ(2)/白黒まみれ/氷堂/アウク/研究会員/うわぁ/水谷新太郎/TwistNight(3)/びみめし(2)/ナカウラ(3)/そばをまぜる(2)/Kit(2)/ざき/シュヴァルツ(2)/塩鮭/日本国憲法/やまだひらいた/こしあんゼリー/Longab/ゆきみ/鮭の皮/もちきんちゃく/師匠/2番管/かにスープ/当初(3)/たいら/ナンテコッター山口(2)/きゅーきゅー/うえじゅん/米(おこめ)
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,4位,B群,葬式って黒なのね,63,78.78,ラジウス(2)/私(2)/川淵/sette/繁華街(2)/ねこライト/待ち犬(2)/静脈ココアマン/カタン/世界(2)/ましましのしま/たる棒/及川広大(2)/ポンサ/業務用虚無/オレンジ(3)/シーサイド品川/鬼山田/Welwyn/サイ・ヤング爺ちゃん(3)/ハシビロコウ/灰色こたつ/のとさわ/寺井/じゃん/善意の第三者(2)/ネクストン/ミフィ/tlicia(2)/ざき/ぷろみん(2)/シュヴァルツ/福仁漬(2)/下人with羅生門/Longab/2番管(2)/サメVS巨大タコス/ふもー/ホールド・ナッツ/当初/ムーさん/osouonna(2)/うえじゅん/9快速/米(おこめ)/メロディックストーム/＃の中のカマ吉くん
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,4位,弐祭,やっぱり無料のピザってないみたい,63,78.78,私/川淵/ちきちきた/ビーム/糸目の鮟鱇/石原消し炭/静脈ココアマン/ターンブル/鈴木/納屋の鍵(2)/遠くを見ている(2)/ガッボデ/B群/業務用虚無(2)/仲人さんだー(2)/オレンジ/シーサイド品川/Welwyn/（かぜの）すぱさぶろう(2)/ハシビロコウ/千代/Eito1379/研究会員/ネオ/狂坂(くるいざか)(2)/TwistNight/tlicia(2)/そばをまぜる/ニューロン/塩鮭/赤黄色/八子八百/やまだひらいた/ちくわうし/シャーティ(2)/鮭の皮/ドブ/2番管/板野/かにスープ/当初(3)/赤ぺこり/osouonna(3)/そにぃ/きゅーきゅー(2)/うえじゅん/カンガルーノート(3)/＃の中のカマ吉くん
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,6位,RANRANRAN,空気的に多分敗訴だわ,62,78.09,私(2)/さいころちゃらみん/高見盛/さけのなかのいくら/ねこライト/弐祭/マタニティ山椒魚/音の里/世界/アルゴリアン(2)/鈴木/たる棒/あっきーな(2)/及川広大/くろぽんず/B群/業務用虚無/鬼山田/Welwyn/お汁かける(3)/百ねずみ/千代/のとさわ/誓約/無/研究会員(2)/マチ/善意の第三者(2)/TwistNight(2)/Kit/ぷろみん/シュヴァルツ/福仁漬/デミ侍/シャーティ/ゆきみ/サメVS巨大タコス/ふもー(3)/当初(3)/赤ぺこり/たいら(2)/ムーさん/osouonna(3)/難攻不落/きゅーきゅー/harvest/米(おこめ)
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,7位,2番管,知らない人の結婚式だったわ,61,77.41,灰色胡椒(2)/さいころちゃらみん/探偵Ｏ/はっぴーえんど/糸目の鮟鱇/高見盛/ねこライト/待ち犬(2)/カタン/納屋の鍵/ArmyGreen/遠くを見ている/パンジ/ましましのしま/中サラ/業務用虚無/仲人さんだー/オレンジ/シーサイド品川/鬼山田/猫屋敷/白黒まみれ/灰色こたつ/千代/のとさわ/無/😟/こたつ/マチ/じゃん(2)/水谷新太郎/ソテツ哲夫(2)/コルク（高砂部屋）/ミフィ/そばをまぜる(3)/ざき(3)/ぷろみん/山渕/赤黄色/やまだひらいた/ちくわうし/こしあんゼリー/☆シナモン☆(2)/ゆきみ/もちきんちゃく/ドブ/ひっそりおにぎり/ふもー/赤ぺこり/きゅーきゅー/齋藤/＃の中のカマ吉くん
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,8位,パンジ,支払いの時だけ日本語わからなくなる,56,73.98,ラジウス/灰色胡椒(3)/アズラス力ル(2)/やる/弐祭/里見英次郎/ましましのしま/中サラ(3)/ムサブ/あっきーな(3)/ガッボデ(2)/業務用虚無(2)/夏目(兄)(2)/鬼山田/氷堂/ネオ/tlicia/黒船(3)/そばをまぜる/シュヴァルツ(2)/八子八百/ちくわうし/デミ侍/Longab/なぎさ/2番管/たくさん応援(3)/かにスープ/名・芸名(3)/当初(3)/ムーさん/昨日のおみや/9快速/おもちばやし(2)/＃の中のカマ吉くん(2)
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,9位,ドブ,全焼だって,55,73.3,かくれどり/糸目の鮟鱇/高見盛/石原消し炭/ペッタ(2)/待ち犬(2)/やる/静脈ココアマン/カタン/音の里/ひじかた/パンジ(2)/ます/及川広大/魂の裏切りの夜/ポンサ(2)/業務用虚無/シーサイド品川/千代/アウク(3)/水谷新太郎/ソテツ哲夫(2)/琵琶湖丼(2)/ミフィ/机上で実演/ざき/シュヴァルツ/きらら(3)/塩鮭/八子八百/やまだひらいた/ちくわうし/デミ侍/鮭の皮/もちきんちゃく(2)/たいら/osouonna(2)/3ねこ(2)/昨日のおみや/9快速/米(おこめ)/齋藤
5824_9426_FTV,2022-08-08,246人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5824_9426_FTV.jpg,10位,かいけつ,ごめんなさいね今両手が塞がってるの,54,72.62,ラジウス(2)/sette/ビーム(2)/はっぴーえんど/高見盛/繁華街/ペッタ(2)/りゔぁ/カタン/ターンブル/ひじかた/里見英次郎(2)/ArmyGreen/水猫ラテ/業務用虚無/オレンジ/千代/無/ネオ/マチ/じゃん(2)/ネクストン/ぷろみん/シュヴァルツ/福仁漬(3)/日本国憲法/下人with羅生門/ちくわうし/こしあんゼリー(2)/シャーティ/なぎさ/師匠/2番管/板野/ふもー/かにスープ(2)/当初(3)/きゅーきゅー(2)/うえじゅん/harvest(2)/＃の中のカマ吉くん
