お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,1位,＃の中のカマ吉くん,わり算も使う,47,82.2,さいころちゃらみん/ハシビロコウ(3)/さとう軽薄/りゔぁ/べーつる/t5heitai/Rui/特効さん/すーず/ヌペシコ(2)/☆シナモン☆(2)/ちくわうし/きんめじろう/八子八百/懸垂ができる/オレンジ/白黒まみれ/うえじゅん/ウラニワ(3)/研究会員/便シモンズ(2)/デミ侍/みょん(2)/Honki(3)/TwistNight(2)/ドブ/ろか/アナゴさん/音の里(2)/僕は純粋/そにぃ(2)/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,2位,僕は純粋,1度も「うんち」と言ってくれない,46,81.15,Y氏/ハシビロコウ/右乳首が性感帯ズラ(3)/ざき/パサ(2)/t5heitai(2)/ナンの一部(2)/Rui/びみめし/青いかさ/への字睡眠/高見盛/やる/アウク(3)/☆シナモン☆/山渕(2)/師匠/＃の中のカマ吉くん/懸垂ができる/ダイナマイト鈴木/まつお/白黒まみれ/研究会員/便シモンズ(3)/みょん/Honki/かくれどり(2)/のとさわ/ごめんねしぐしぐ /そにぃ(3)/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,3位,ポンサ,「包丁持ってんだぞ！」って怒鳴られてから会話がない,40,74.87,Kit/さとう軽薄(2)/パサ/べーつる(2)/ナンの一部/Rui/ROUVIS/びみめし/高見盛/やる/☆シナモン☆/ちくわうし/師匠/ネクストン(2)/さっつん(2)/実家に帰った鶴(2)/オレンジ/白黒まみれ/みょん(2)/石原消し炭/TwistNight(3)/お汁かける/ドブ(2)/ろか(2)/川淵/納屋の鍵/僕は純粋/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,4位,やる,命を奪うシーンをしっかり写す,39,73.82,さいころちゃらみん/パサ/鹿ヶ谷の繁忙/ナンの一部/青いかさ/ヌペシコ/ソン・フンミン(3)/ネクストン(2)/＃の中のカマ吉くん(2)/ﾋﾞｰﾄ糖/懸垂ができる/パンジ/諂国模様/くちおば/日本国憲法/シーサイド品川/黒船(2)/かくれどり/TwistNight/ニューロン(2)/（かぜの）すぱさぶろう/赤ぺこり/ドブ(2)/ごめんねしぐしぐ (2)/アナゴさん/音の里/僕は純粋/パペットパレット/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,5位,ハシビロコウ,煮込む時間で勉強を勧めてくる,36,70.68,さいころちゃらみん/ざき/さとう軽薄(2)/パサ/りゔぁ/ナンの一部/びみめし(2)/すーず/への字睡眠(2)/赤い髪/ちくわうし/さっつん/きんめじろう/白黒まみれ/マチ(2)/石原消し炭/Honki(3)/ニューロン/（かぜの）すぱさぶろう/赤ぺこり/はんぺん/アナゴさん/川淵/弐祭/僕は純粋/そにぃ/パペットパレット/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,6位,ウラニワ,同じ料理を異なる家庭環境で,35,69.63,さいころちゃらみん/ざき/さとう軽薄(2)/パサ/ROUVIS/びみめし/特効さん/すーず(2)/ポンサ/ヌペシコ/中身/師匠/さっつん(2)/後悔しない名前を付けよう(2)/実家に帰った鶴/うえじゅん/日本国憲法/研究会員/石原消し炭/のとさわ/ドブ(2)/アナゴさん(2)/弐祭/音の里/そにぃ(2)/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,7位,デミ侍,知らない師匠の話で盛り上がる,34,68.58,さいころちゃらみん/Kit(2)/さとう軽薄/パサ(2)/鹿ヶ谷の繁忙/びみめし(3)/特効さん/すーず/高見盛/やる/☆シナモン☆/師匠/ましましのしま(2)/パピ4/八子八百/実家に帰った鶴/うえじゅん/シーサイド品川/ウラニワ/ニューロン/（かぜの）すぱさぶろう/アナゴさん/僕は純粋/そにぃ(2)/パペットパレット/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,8位,パピ4,悟空とルフィを敬語で喋らせている,33,67.53,あさごはんの神回(2)/さとう軽薄(2)/パサ/鹿ヶ谷の繁忙(2)/べーつる/Rui/ROUVIS/青いかさ/師匠/さっつん/八子八百/実家に帰った鶴/パンジ/うえじゅん/シーサイド品川/（かぜの）すぱさぶろう/のとさわ/お汁かける(3)/アナゴさん(2)/川淵(2)/弐祭(2)/そにぃ/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,9位,くすも,※子供だから許されているミスです,32,66.49,さいころちゃらみん/さとう軽薄(2)/鹿ヶ谷の繁忙/青いかさ/ポンサ/さっつん/ましましのしま(3)/後悔しない名前を付けよう/町の電気屋さん/日本国憲法/かくれどり(2)/TwistNight(3)/赤ぺこり/お汁かける/ドブ/ごめんねしぐしぐ /アナゴさん(2)/弐祭/納屋の鍵/アカイダダリオのD(2)/音の里(2)/僕は純粋/そにぃ
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,9位,ﾋﾞｰﾄ糖,今まで食べなかった野菜の生産者がずっとこちらを見ている,32,66.49,Y氏/Kit(2)/さとう軽薄(2)/パサ/ナンの一部/特効さん/ヌペシコ/への字睡眠(3)/ソン・フンミン(3)/師匠/後悔しない名前を付けよう/まつお/白黒まみれ/マチ(2)/石原消し炭/赤ぺこり/はんぺん/ごめんねしぐしぐ (3)/納屋の鍵/音の里/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,11位,赤ぺこり,観てないし応募もしてないのに漬物石が当たる,30,64.39,あさごはんの神回/さとう軽薄(3)/びみめし/YoSKee0222/☆シナモン☆(2)/ちくわうし(2)/山渕/師匠/＃の中のカマ吉くん/ましましのしま/後悔しない名前を付けよう/町の電気屋さん(2)/白黒まみれ/TwistNight/ごめんねしぐしぐ (2)/ろか/弐祭(3)/納屋の鍵/そにぃ/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,12位,水谷新太郎,まずシェフの政治的主張をきかされる,28,62.3,Y氏/右乳首が性感帯ズラ(3)/ざき/れれれのれき(3)/特効さん/ヌペシコ(2)/赤い髪/ネクストン(3)/＃の中のカマ吉くん/後悔しない名前を付けよう/きんめじろう/オレンジ/うえじゅん/諂国模様/シーサイド品川/便シモンズ/赤ぺこり/お汁かける(2)/弐祭/納屋の鍵
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,13位,高見盛,意味もなくアンパンマンを潰すことから始まる,26,60.2,Y氏/りゔぁ/れれれのれき/アウク(2)/さっつん/ﾋﾞｰﾄ糖/パピ4/まつお/暴風よ吹け/かくれどり(3)/TwistNight(3)/ごめんねしぐしぐ (2)/アナゴさん/川淵/弐祭/納屋の鍵/僕は純粋/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,14位,ちくわうし,シェフと女子アナが冷蔵庫のドアで見えなくなる数分がある,25,59.15,あさごはんの神回/ざき/さとう軽薄(3)/パサ/びみめし/ヌペシコ(2)/赤い髪/ﾋﾞｰﾄ糖/実家に帰った鶴/オレンジ(2)/白黒まみれ/うえじゅん/みょん/暴風よ吹け/ごめんねしぐしぐ (3)/納屋の鍵/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,14位,のとさわ,みのもんたが険しい顔で、おでんを見つめてる,25,59.15,さいころちゃらみん/Kit/さとう軽薄/ポンサ/高見盛/師匠(2)/実家に帰った鶴(2)/オレンジ/まつお/日本国憲法/シーサイド品川/TwistNight(2)/赤ぺこり/アナゴさん/川淵/弐祭/納屋の鍵/僕は純粋/そにぃ/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,14位,出入,雅楽が流れている,25,59.15,ハシビロコウ/鹿ヶ谷の繁忙/べーつる/t5heitai(2)/青いかさ/ヌペシコ(3)/ましましのしま/八子八百(2)/懸垂ができる/オレンジ/町の電気屋さん(2)/うえじゅん/日本国憲法/シーサイド品川/デミ侍/TwistNight/ドブ/ごめんねしぐしぐ /弐祭/僕は純粋
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,14位,懸垂ができる,牛が踊りながら焼かれていく,25,59.15,あさごはんの神回/Kit/さとう軽薄/びみめし/ポンサ/YoSKee0222/中身/＃の中のカマ吉くん/パピ4/実家に帰った鶴/オレンジ/うえじゅん/日本国憲法/研究会員/TwistNight/ニューロン(3)/はんぺん/ろか/アナゴさん/納屋の鍵/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,18位,t5heitai,3時間スペシャルでドラえもんクレヨンしんちゃん潰した,24,58.11,ｼｰｽﾞｰｷｬﾊﾞﾘｱ/れれれのれき(2)/やる/ソン・フンミン/山渕/ましましのしま/きんめじろう/かくれどり(2)/TwistNight(3)/ドブ/ごめんねしぐしぐ (3)/アナゴさん/アカイダダリオのD/僕は純粋/そにぃ/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,18位,ニューロン,泣かしたキッズを見てご飯をかき込む,24,58.11,さとう軽薄(2)/べーつる(2)/Rui/中身(2)/3ねこ/さっつん/ﾋﾞｰﾄ糖/くちおば/ウラニワ/デミ侍/みょん/かくれどり/のとさわ/はんぺん/ごめんねしぐしぐ /アナゴさん/弐祭/僕は純粋/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,18位,川淵,実際に3時間待たせる,24,58.11,パサ/りゔぁ/青いかさ/特効さん/ポンサ/への字睡眠(2)/やる/山渕/ネクストン(2)/＃の中のカマ吉くん/きんめじろう/八子八百(2)/オレンジ/諂国模様/のとさわ/ろか(2)/僕は純粋/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,21位,シーサイド品川,美川憲一のおだまりクッキング,23,57.06,さとう軽薄/赤い髪/山渕(2)/ネクストン(3)/ましましのしま/懸垂ができる/パンジ/くちおば/デミ侍/かくれどり/第8項(2)/ごめんねしぐしぐ /アナゴさん/納屋の鍵(2)/音の里/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,21位,ｼｰｽﾞｰｷｬﾊﾞﾘｱ,週3でおひたし作ってる,23,57.06,t5heitai/ROUVIS/青いかさ/特効さん/赤い髪/3ねこ/ましましのしま/きんめじろう/オレンジ/くちおば/Honki(3)/はんぺん/ごめんねしぐしぐ (3)/川淵/アカイダダリオのD/そにぃ/投票ボーナス(3)
6824_6976_PFJ,2022-08-13,97人,子供人気がない料理番組,NA,23位,ごめんねしぐしぐ ,永遠に米兵から貰ったチョコレートの話してる,22,56.01,右乳首が性感帯ズラ(3)/ROUVIS/YoSKee0222/赤い髪/やる/山渕/ネクストン(2)/後悔しない名前を付けよう/八子八百/町の電気屋さん/まつお/日本国憲法/研究会員/かくれどり(2)/のとさわ/投票ボーナス(3)
