お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,1位,たこかいな,親世代は「それでもした方がいい」と思ってる,58,84.88,静かの海/高見盛/少しだけ賢い/ゆるふわ冬至/鬼山田(2)/灰色こたつ/みやまる(2)/ぷにぷにメタル(2)/ケイト/てかエモい/旋風客(3)/かにスープ/こしあんゼリー(2)/ななほし/六銘菓/古本屋/芽衣/への字睡眠(2)/ラジウス/アガリブル/大喜利の母/しゅうぴょんz(2)/射的屋(2)/さくM/実家に帰った鶴/米(おこめ)(2)/たまし/磯野ワイニーしようぜ/ヌペシコ/ねとまり(2)/バズ男/さけのなかのいくら/地球島　永遠子/ぜっとくん/アナゴさん/山渕/ラスター(3)/ちくわうし/すーず/ワッショイサンバ/たいら/hikage/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,2位,ヌペシコ,あいつ体育館裏で吸ってたのバレたらしいよ,53,80.3,静かの海/少しだけ賢い(2)/鬼山田/塩鮭(2)/deepnavy/試家軽気/そで/ＣＭＣ/何がしたいベン/仲人さんだー/osouonna/ゆーびっく(3)/古本屋/mada/大喜利の母(3)/松竹梅バイキン/kUmo/ふくつう/真面目なパンプキン/はんぺん(3)/特効さん/なぎさ/パペットパレット/TwistNight/Kuramo/赤黄色/ぜっとくん/アナゴさん/後悔しない名前を付けよう/アポロっち/ラスター(3)/ムー/かくれどり(2)/ジントニック/デジタル奏でる/鮒侍(3)/福井とマルコ/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,3位,堅あげポテト好き,呼吸してる時に限って母がノックせず入室してきて慌ててやめる,51,78.47,静かの海/高見盛/鬼山田(2)/塩鮭/みやまる/伊勢八/ぷにぷにメタル(3)/deepnavy/試家軽気/てかエモい/ＣＭＣ/中身/sette/仲人さんだー/サイコパス金子/六銘菓/静脈ココアマン/石原消し炭/への字睡眠/アガリブル/射的屋/さくM/青いかさ/ポンサ/ただし/磯野ワイニーしようぜ/しゃちほこ/なぎさ/ヌペシコ(2)/パペットパレット(2)/ねとまり/バズ男/白滝BOX/枠の外/ぜっとくん/アナゴさん(2)/山渕/Y氏/アポロっち(2)/ちくわうし/覇道きてぃ/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,4位,あっきーな,老人の喉に餅が蓄積されていく,48,75.72,カタン/みやまる(2)/伊勢八/deepnavy/ケイト/てかエモい(2)/うえじゅん/仲人さんだー/かにスープ/ゆーびっく(3)/堅あげポテト好き/ラジウス/アガリブル/否定から入るオンザビーチ/射的屋(2)/液体酸素(2)/ドゥラちゃん/ポンサ/真面目なパンプキン/たまし/ただし(3)/（かぜの）すぱさぶろう/なぎさ/ヌペシコ/ねとまり/TwistNight/さけのなかのいくら(3)/糸目の鮟鱇/アナゴさん/ムー(3)/覇道きてぃ/新築(2)/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,5位,B群,アメリカの教授に「日本人は周りがしているからという理由で呼吸をしている」と怒られる,45,72.98,寝坊/少しだけ賢い/鬼山田/ＣＭＣ/何がしたいベン/こしあんゼリー/あさごはんの神回/古本屋/静脈ココアマン/への字睡眠(2)/アガリブル/射的屋/さくM/松竹梅バイキン/ドゥラちゃん/青いかさ/真面目なパンプキン(2)/たまし/はんぺん/カクレミノムシ/なぎさ/ばっは/TwistNight/バズ男(2)/ひろろん/さけのなかのいくら/無味/地球島　永遠子/山渕/アポロっち/かくれどり(3)/ちくわうし/鮒侍(3)/すーず(2)/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,6位,akamutu,溺れ続けてる人がいる,44,72.06,風邪め/灰色こたつ/伊勢八/ケイト/てかエモい(2)/sette/＃の中のカマ吉くん/かにスープ(2)/あっ喜び(3)/9月が終わったら起こして/芽衣/否定から入るオンザビーチ/射的屋/ここはが/さくM/磯野ワイニーしようぜ(2)/カクレミノムシ/（かぜの）すぱさぶろう/バズ男(2)/Kuramo/パサ/糸目の鮟鱇/地球島　永遠子(2)/枠の外/赤黄色/ぜっとくん/たこかいな/Y氏/かくれどり(3)/デジタル奏でる(3)/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,7位,ラスター,ひろゆきは絶対しろって言ってた,42,70.23,少しだけ賢い/ゆるふわ冬至/塩鮭/灰色こたつ/ＣＭＣ/中身/ななほし/堅あげポテト好き/アガリブル/ガッボデ/ドゥラちゃん/A味噌汁/ネオ/カクレミノムシ(2)/カンガルーノート(2)/ヌペシコ/パペットパレット/バズ男(2)/Kuramo(3)/guniguni/ディアルガ/無味/探偵Ｏ/後悔しない名前を付けよう(2)/B群/アポロっち/ムー(3)/デジタル奏でる/覇道きてぃ/たいら/福井とマルコ/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,8位,ディアルガ,名残りで口開いてるおばさんがいる,41,69.31,高見盛/カタン/塩鮭/ＣＭＣ/トフィー/かにスープ/こんみ/あさごはんの神回/堅あげポテト好き/への字睡眠(2)/ガッボデ/射的屋/ドゥラちゃん/米(おこめ)(2)/ポンサ/懸垂ができる/YoSKee0222/ざき/はんぺん/磯野ワイニーしようぜ/カクレミノムシ/TwistNight/パサ/枠の外(2)/赤黄色/たこかいな(2)/ムー(3)/ちくわうし/すーず/ワッショイサンバ/たいら/つくり真顔/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,8位,射的屋,思春期に酸素を吸ってると「あらっ、色気づいちゃって」と言われる,41,69.31,高見盛/ゆるふわ冬至/鬼山田/ぷにぷにメタル/試家軽気/そで/ＣＭＣ/ふぉんふぉん/＃の中のカマ吉くん/への字睡眠/キリマンジャロ²/ラジウス/アガリブル/しゅうぴょんz/松竹梅バイキン/kUmo/ふくつう/真面目なパンプキン/懸垂ができる/特効さん/バズ男/ひろろん/Kuramo(2)/ディアルガ/無味/アナゴさん/後悔しない名前を付けよう(2)/山渕/Y氏/アポロっち/ラスター(2)/ムー/かくれどり(2)/ジントニック/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,10位,覇道きてぃ,ホリエモンは呼吸が好きだから呼吸してる,40,68.4,鬼山田/塩鮭/ＣＭＣ/中身(3)/仲人さんだー/あさごはんの神回/堅あげポテト好き/ラジウス/アガリブル(2)/否定から入るオンザビーチ/大喜利の母/ここはが/ドゥラちゃん/真面目なパンプキン/カクレミノムシ/（かぜの）すぱさぶろう/バズ男(2)/ひろろん/白滝BOX/Kuramo/糸目の鮟鱇/無味/地球島　永遠子(2)/枠の外/探偵Ｏ/後悔しない名前を付けよう/山渕/アポロっち/ワッショイサンバ(2)/たいら/新築/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,11位,世界を変えるブー太郎,久々に吸ったら不味すぎる,39,67.48,鬼山田(2)/絶対倫理/ＣＭＣ/ふぉんふぉん(2)/仲人さんだー/机上で実演/くちおば/こしあんゼリー/送風/ななほし/きらら/六銘菓/ラジウス/大喜利の母/射的屋/液体酸素/ドゥラちゃん/巾/懸垂ができる/YoSKee0222/磯野ワイニーしようぜ/パペットパレット/ねとまり/糸目の鮟鱇(2)/薫(2)/後悔しない名前を付けよう/B群/あっきーな/アポロっち/ムー(3)/たいら/新築/つくり真顔
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,12位,2階からシュクメルリ,呼吸をするのが好きなんじゃなくて、呼吸をしてる自分が好き,38,66.57,高見盛/寝坊/ゆるふわ冬至(2)/カタン/鬼山田/伊勢八/そで/旋風客/仲人さんだー/＃の中のカマ吉くん/あっ喜び/こんみ(2)/堅あげポテト好き(2)/への字睡眠(2)/射的屋/実家に帰った鶴/青いかさ/ポンサ/真面目なパンプキン(2)/懸垂ができる/パペットパレット/TwistNight(2)/ひろろん/無味/枠の外/アナゴさん/アポロっち/ムー(2)/すーず/たいら/新築
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,13位,懸垂ができる,テレビで紹介されてて久しぶりに吸ってみる,37,65.65,高見盛/少しだけ賢い/風邪め/そで/ＣＭＣ/六銘菓/静脈ココアマン/ラジウス/アガリブル/射的屋/ドゥラちゃん/A味噌汁/巾/米(おこめ)/ポンサ/たまし(2)/ただし/ざき/磯野ワイニーしようぜ/パペットパレット(2)/さけのなかのいくら/白滝BOX/糸目の鮟鱇/枠の外/赤黄色/後悔しない名前を付けよう/たこかいな(3)/山渕/ムー/新築/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,13位,静脈ココアマン,おじいさんが餅を喉に詰まらせたまま暮らしてる,37,65.65,寝坊/カタン/伊勢八/うえじゅん/こしあんゼリー(2)/サイコパス金子/キリマンジャロ²/アガリブル/否定から入るオンザビーチ/射的屋/さくM(2)/ドゥラちゃん(2)/カクレミノムシ/（かぜの）すぱさぶろう/しゃちほこ(2)/なぎさ/ヌペシコ/ばっは/ねとまり/バズ男/ひろろん/地球島　永遠子/枠の外(2)/ぜっとくん/氷の女王/アナゴさん/後悔しない名前を付けよう/すーず/新築/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,13位,風邪め,マラソンが一気に面白くなる,37,65.65,灰色こたつ/てかエモい(2)/＃の中のカマ吉くん(2)/トフィー/かにスープ/あっ喜び/石原消し炭/アガリブル/否定から入るオンザビーチ/ガッボデ/射的屋/A味噌汁/ふくつう/たまし/懸垂ができる/YoSKee0222/磯野ワイニーしようぜ/akamutu(2)/Kuramo/guniguni/糸目の鮟鱇/無味/☆シナモン☆/薫(3)/あっきーな(2)/ワッショイサンバ(2)/加藤大貴/投票ボーナス(3)
7302_9723_KKA,2022-08-19,153人,呼吸をしなくてもいい世界,NA,16位,寝坊,隠れんぼに水中という選択肢が増える,36,64.74,風邪め/伊勢八/deepnavy/試家軽気/ケイト/そで/ＣＭＣ/何がしたいベン/中身/机上で実演/osouonna(2)/六銘菓/石原消し炭/大喜利の母(3)/射的屋/巾/ネオ/はんぺん/磯野ワイニーしようぜ/ひろろん/さけのなかのいくら/赤黄色/後悔しない名前を付けよう/Y氏/アポロっち/ジントニック/D-6/新築(2)/つくり真顔/投票ボーナス(3)
