お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,1位,はっぴーえんど,色に惑わされたようね、こっちは女子トイレよ,77,87.09,武山/大残渣/ううここ/ミスティカティ/ＣＭＣ/狂坂(くるいざか)(2)/寺井/ちくわうし(2)/めろあめ/昨日のおみや(2)/胸肉デコレーション/ジェンツーペンギン/ひっそりおにぎり/やんばるた/ふぉとん(2)/カルボン酸/わんぱく大盛カレーライス/Longab(2)/蜻蛉日記(3)/のちほど(2)/カンガルーノート(2)/静脈ココアマン(2)/ほろほろ/harvest(3)/川淵/ドゥラちゃん/キャ馬/がんばりま翔/helma_chang(2)/シュヴァルツ/アズラス力ル(3)/かごの中の鳥/猫屋敷/Y氏/ワッショイサンバ/tlicia/ふくかま(3)/釜ちびちび/大至急(2)/大喜利の母(2)/Welwyn/鹿ヶ谷の繁忙/こくもつの試食/きゅーきゅー(2)/ホルマリン/メロディックストーム(2)/射的屋/ガッボデ/アナゴさん/うえじゅん/おおつか/すーず/ひでくそ/投票ボーナス(3)
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,2位,セトピア,おめでとう！ あなたはPhotoshopの基礎をマスターしたわ！,75,85.73,大残渣/ううここ/薫(3)/ＣＭＣ/国と鉄/泥だ/暴風よ吹け/世界/中沢の人/ちくわうし/めろあめ/昨日のおみや/寝坊/バトルアックス(3)/ジェンツーペンギン/弐祭(2)/ひっそりおにぎり(3)/くすも/松竹梅バイキン/やんばるた(2)/中身/カルボン酸/また師走が来たよ(2)/Longab/玄の字。(2)/そうすけ/中サラ(2)/少しだけ賢い/ドゥラちゃん/キャ馬/実家に帰った鶴/盛りすぎ店長(2)/スピ力/猫屋敷/お肉/大喜利の母(2)/カクレミノムシ(2)/Welwyn/鹿ヶ谷の繁忙(2)/たこかいな(3)/ペッタ(2)/ふもー/ホルマリン/射的屋(2)/うえじゅん/業務用虚無(2)/真面目なパンプキン/きらら(2)/おおつか/すーず(2)/投票ボーナス(3)
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,3位,森山,うお座の順位が上がっていくわよ,71,83.02,ノヨヒノ/ミスティカティ(2)/国と鉄(2)/ウラニワ(3)/寺井/めろあめ(3)/たいら(2)/寝坊/バトルアックス(2)/ジェンツーペンギン/ざき/まとこ/ニューロン/デミ侍/今川京子さん/カルボン酸/ペプシ非公式/また師走が来たよ(2)/新築(2)/シンカー(3)/静脈ココアマン(2)/ゆうとってゆうとるやん/ちきちきた/盛りすぎ店長/シュヴァルツ/akamutu/ワッショイサンバ(2)/tlicia(2)/釜ちびちび/赤い髪/宗教メモリー/シェリー(2)/たる棒/鹿ヶ谷の繁忙/合鴨の世界/machimura(2)/TwistNight(3)/ふもー/ホルマリン/メロディックストーム/ヌペシコ/射的屋/アナゴさん/うえじゅん/せいぎのみかたの片割れ/3ねこ(2)/おおつか/すーず/投票ボーナス(3)
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,4位,石と日曜日,あら、1Pより元気な2Pは初めて？,69,81.66,武山(2)/ノヨヒノ/のとさわ(2)/ミスティカティ/国と鉄/寺井/師匠/寝坊/倦怠感(2)/アルゴリアン/くすも/中身/また師走が来たよ(2)/のちほど(2)/静脈ココアマン/ほろほろ(2)/少しだけ賢い/気球マイスター/セトピア/がんばりま翔/実家に帰った鶴/ぴいけいぴい(3)/町の電気屋さん/ばっは/釜ちびちび/お汁かける/宗教メモリー(2)/大喜利の母/カクレミノムシ(2)/鹿ヶ谷の繁忙(3)/きゅーきゅー(2)/たこかいな/カタン/TwistNight/ネクストン(2)/深井あじわい/ホルマリン/メロディックストーム/ヌペシコ/射的屋/アナゴさん/ただし/せいぎのみかたの片割れ/業務用虚無/こしあんゼリー(2)/真面目なパンプキン/米(おこめ)(2)/みささぎ/きらら/おおつか(2)/こむら返り/ひでくそ
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,5位,GOMI,どう解釈してもこうなる小説,65,78.95,ノヨヒノ/薫(2)/国と鉄(2)/泥だ/狂坂(くるいざか)/蟹マン/たいら/寝坊/弐祭(2)/アルゴリアン/せんだい/パピ4/まとこ/中身/また師走が来たよ(2)/のちほど(2)/渡利　巣手呂/シードル/ドゥラちゃん/まつお(2)/helma_chang/実家に帰った鶴/シュヴァルツ/akamutu/猫屋敷/町の電気屋さん/Y氏/シーサイド品川/里見英次郎(2)/釜ちびちび/つくり真顔/大喜利の母/カクレミノムシ/Welwyn/鹿ヶ谷の繁忙/こくもつの試食/森山/カタン/合鴨の世界/machimura/TwistNight/ホルマリン/メロディックストーム/射的屋/対義語ん/ガッボデ/アナゴさん/ただし/業務用虚無(2)/こしあんゼリー(3)/真面目なパンプキン/みやまる/投票ボーナス(3)
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,6位,懸垂ができる,世界観だけのCMいくわよ,63,77.59,武山/ノヨヒノ/大残渣/薫/国と鉄(2)/ポンサ/狂坂(くるいざか)/蟹マン/中沢の人/たいら/寝坊/バトルアックス(3)/胸肉デコレーション/ジェンツーペンギン/ペプシ非公式/Longab/ほろほろ/ゆうとってゆうとるやん/川淵(2)/ちきちきた/シードル(2)/ドゥラちゃん(2)/盛りすぎ店長/アズラス力ル(2)/町の電気屋さん/tlicia/僕は純粋/シーサイド品川/RANRANRAN/Welwyn/たる棒/鹿ヶ谷の繁忙(2)/こくもつの試食/夏目(兄)/きゅーきゅー/TwistNight(3)/ふもー/深井あじわい/射的屋/対義語ん/アナゴさん/半丙太/ただし/せいぎのみかたの片割れ/業務用虚無/こしあんゼリー(2)/じゃん/きらら(2)/投票ボーナス(3)
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,7位,わんぱく大盛カレーライス,ママは中卒だから人を殴ってもいいのよ,61,76.23,ノヨヒノ/ミスティカティ/国と鉄/ひじかた/師匠/薬屋のコタロー/たいら/百ねずみ/胸肉デコレーション/ジェンツーペンギン(2)/まとこ/ニューロン(2)/ペプシ非公式/Longab/のちほど(2)/カンガルーノート(3)/玄の字。(3)/ほろほろ/harvest/川淵(2)/パンジ/秋/シードル/ドゥラちゃん(2)/シュヴァルツ/nk_(2)/スピ力(2)/お汁かける/赤い髪/宗教メモリー/大喜利の母/カタン/にゃん氏/深井あじわい/ヌペシコ/射的屋/ガッボデ/アナゴさん/うえじゅん/半丙太/せいぎのみかたの片割れ(2)/こしあんゼリー/じゃん/真面目なパンプキン/米(おこめ)(2)/投票ボーナス(3)
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,8位,武山,レフェリーが説明できない反則してる,57,73.51,ノヨヒノ/のとさわ/鬼山田(2)/ＣＭＣ/寝坊(2)/GOMI/ジェンツーペンギン/ざき(2)/まとこ/ニューロン(3)/やんばるた(2)/中身/ふぉとん/ペプシ非公式/蜻蛉日記/ゆうとってゆうとるやん/秋/セトピア/シードル/盛りすぎ店長/町の電気屋さん/tlicia/僕は純粋/里見英次郎(2)/赤い髪/大至急/RANRANRAN/つくり真顔/こくもつの試食/夏目(兄)(2)/ねこライト(2)/TwistNight(2)/ネクストン/メロディックストーム/射的屋/対義語ん/アナゴさん/ただし/業務用虚無(2)/真面目なパンプキン/おおつか/こむら返り(2)/投票ボーナス(3)
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,9位,おおつか,自己申告でも優勝できるのね,53,70.8,武山/のとさわ/薫/蟹マン/寺井/師匠/昨日のおみや(2)/百ねずみ/弐祭(2)/せんだい/さいころちゃらみん/ニューロン/デミ侍/渡利　巣手呂/川淵(2)/ちきちきた/気球マイスター/秋/ドゥラちゃん(2)/まつお/RANRANRAN/大喜利の母/たる棒/鹿ヶ谷の繁忙(2)/こくもつの試食/森山/たこかいな/TwistNight(2)/ヌペシコ(2)/射的屋/対義語ん(3)/半丙太/せいぎのみかたの片割れ(2)/業務用虚無/米(おこめ)/みささぎ(2)/きらら/3ねこ(2)/投票ボーナス(3)
0686_3420_ISG,2022-08-22,178人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0686_3420_ISG.jpeg,10位,弐祭,かけがえないものから壊していくわよ,51,69.44,ノヨヒノ/ＣＭＣ/国と鉄/ウラニワ(2)/ポンサ/ひじかた/世界/蟹マン/寺井/めろあめ/百ねずみ/寝坊/ジェンツーペンギン/くすも/わんぱく大盛カレーライス(2)/シンカー(2)/ゆうとってゆうとるやん/ちきちきた/秋(2)/ドゥラちゃん/シュヴァルツ/スピ力(3)/akamutu(2)/贖罪/シーサイド品川/里見英次郎/お肉/たる棒/カタン/ねこライト/にゃん氏/メロディックストーム/ヌペシコ/射的屋(2)/ガッボデ/アナゴさん/半丙太/せいぎのみかたの片割れ/業務用虚無/こしあんゼリー/投票ボーナス(3)
