お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,1位,ガッボデ,今から育ちが全部でるよ,78,92.95,赤黄色/ねむ(2)/ドゥラちゃん/カタン/はんぺん/ひじかた/A味噌汁/おまつり/中サラ/堅あげポテト好き(2)/苦肉の尺/ＣＭＣ/パサ(2)/及川広大/RANRANRAN/きゅーきゅー(2)/メロディックストーム/新築/ラジウス(2)/倉田 をるけ(2)/みょん(2)/遠くを見ている/薫(2)/業務用虚無(2)/薬屋のコタロー/かーたー(2)/ふぉとん/よしんば/ライトオンキュー/実家に帰った鶴(2)/警備員/ほろほろ(2)/机上で実演/やる/ありあ(3)/ビデ/おあつらえ/ウッド原動機(2)/白黒まみれ/スピ力(2)/カルボン酸/ドブ/灰色こたつ/真似き猫/安物/旋風客/巾/ひろろん/まにめに/ゆめみ/ゆるふわ冬至/シュヴァルツ/熱と気体/深井あじわい/にほんちゃ/やんばるた/じゃっくん/ただし/静脈ココアマン/投票ボーナス(3)
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,2位,おあつらえ,俺たち結婚してもう5年だろ、そろそろ、箸欲しくないか,71,87.66,ねむ/ドゥラちゃん(2)/名無し(3)/スパルタ/A味噌汁(2)/にゃん氏/ＣＭＣ/hikiniku/きゅーきゅー/メロディックストーム(2)/mississippi/cin-cin侍/昨日のおみや(2)/薫/業務用虚無(3)/がんばりま翔(2)/tlicia(2)/ひだりみみ/たいら/バトルアックス(3)/じゃん/机上で実演(2)/四つ葉の黒婆さん/糸目の鮟鱇/セトピア/Kit/toool/ジェリ/真似き猫/モチ/ジェンツーペンギン/akamutu(3)/大喜利/MODY(2)/巾/ワッショイサンバ(2)/まにめに/師匠/ゆめみ/ゆるふわ冬至/osouonna/ROUVIS/やんばるた/春屋○イ/川淵(2)/ふくつう(2)/ただし(3)/投票ボーナス(3)
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,3位,白黒まみれ,みんな僕らのこと無印生活って呼んでるよ,65,83.12,ｼｰｽﾞｰｷｬﾊﾞﾘｱ/サイコパス金子/カタン/スパルタ(3)/ましましのしま/鹿ヶ谷の繁忙/にゃん氏/秋(2)/堅あげポテト好き/パサ/hikiniku/きさらぎ　もっくん/きゅーきゅー/ぴいけいぴい(2)/mississippi/cin-cin侍/また師走が来たよ(2)/Kazuword(2)/みょん(2)/昨日のおみや(2)/ハルマレ/業務用虚無(2)/薬屋のコタロー/＃の中のカマ吉くん/おすし/カンガルーノート/ライトオンキュー/あっきーな(2)/ほろほろ/やる/高見盛/セトピア(2)/ビデ/toool(2)/うわぁ/巾/みやまる(2)/風邪め/ガッボデ/ワッショイサンバ/まにめに/ゆめみ/シュヴァルツ/ROUVIS/にほんちゃ/ううここ/川淵/ただし/半丙太/投票ボーナス(3)
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,4位,長谷川キモ彦,2人きりでも夫って呼ぶのやめてくれないか,63,81.6,サイコパス金子/ひじかた(2)/にゃん氏/秋/パサ/hikiniku/きさらぎ　もっくん/きゅーきゅー/メロディックストーム/ラジウス/mississippi/cin-cin侍/また師走が来たよ(2)/ドーナツを慈しむ/ハルマレ/遠くを見ている/業務用虚無(2)/がんばりま翔(2)/よしんば/ライトオンキュー(2)/とりふぐ(2)/のちほど/ねこライト(2)/あっきーな/MeT@/コッパー/ほろほろ/ハム86枚/中身/やる/糸目の鮟鱇/Kit/3ねこ/ほしこ/マチ/灰色こたつ/真似き猫/ジェンツーペンギン/旋風客/みやまる/風邪め/師匠/シュヴァルツ(2)/野島久助(2)/ここはが/にほんちゃ/やんばるた/ふくつう(2)/石原消し炭/半丙太/投票ボーナス(3)
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,5位,あっきーな,窓を見るな、お母さんだ,58,77.82,ドゥラちゃん/カタン/少しだけ賢い/かくれどり/A味噌汁/ペッタ/秋(2)/大喜利地域振興★パイロス/苦肉の尺/hikiniku/メロディックストーム(2)/ぴいけいぴい/ラジウス(2)/みょん(2)/遠くを見ている/ひだりみみ/おすし(2)/ふぉとん/のちほど/ねこライト/バトルアックス(3)/警備員/やまだひらいた/ハム86枚/四つ葉の黒婆さん/白黒まみれ(3)/水猫ラテ/長谷川キモ彦(3)/うわぁ/ガッボデ(2)/まにめに(2)/ちくわうし/プーアル茶/ここはが(2)/春屋○イ/B群/森山(3)/杏露酒(2)/投票ボーナス(3)
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,6位,師匠,今まで黙っててごめん、僕に毒は効かないんだ,52,73.28,サイコパス金子/胸肉デコレーション/はんぺん/ましましのしま/堅あげポテト好き(2)/パサ/きゅーきゅー/倉田 をるけ(3)/cin-cin侍/業務用虚無(3)/薬屋のコタロー/かーたー/おすし/カンガルーノート(2)/実家に帰った鶴/かごの中の鳥/やまだひらいた(2)/ほろほろ/机上で実演/高見盛/玄の字。/氷の女王/Kit(2)/toool/スピ力/マチ/灰色こたつ/モチ/うわぁ/MODY(3)/旋風客/風邪め/ゆめみ/うえじゅん/すーず/ここはが(3)/川淵/投票ボーナス(3)
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,7位,ハルマレ,俺が悪かったからどれが塩か教えてくれないか,50,71.77,胸肉デコレーション/はんぺん/名無し(3)/たる棒/中サラ/ましましのしま/きゅーきゅー(2)/ぴいけいぴい/新築/また師走が来たよ(2)/遠くを見ている/業務用虚無/とりふぐ(2)/のちほど/やまだひらいた/ほろほろ/じゃん(2)/セトピア/Kit/サメVS巨大タコス/白黒まみれ/ほしこ/水猫ラテ/灰色こたつ/大喜利(2)/MODY(2)/巾/風邪め/師匠/osouonna(2)/うえじゅん/ここはが/深井あじわい/青いかさ/春屋○イ/じゃっくん/ふくつう/静脈ココアマン/投票ボーナス(3)
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,7位,静脈ココアマン,我が家「ぬり絵」ってあだ名らしいぞ,50,71.77,ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ドゥラちゃん/かくれどり/中サラ/ましましのしま(3)/ＣＭＣ/及川広大/きさらぎ　もっくん/きゅーきゅー/新築/ドーナツを慈しむ(2)/昨日のおみや/世界/ハルマレ/業務用虚無/赤ぺこり/たいら/ねこライト/実家に帰った鶴(2)/あっきーな(2)/ほろほろ/ハム86枚/糸目の鮟鱇/玄の字。/3ねこ/白黒まみれ/大喜利/ふふふん(2)/みやまる(2)/風邪め/ワッショイサンバ/ゆるふわ冬至/osouonna/プーアル茶/じゃっくん/ううここ/れれれのれき(3)/杏露酒/投票ボーナス(3)
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,9位,ちくわうし,あの…結局 東京駅はどう行ったらいいんでしょうか？,46,68.74,少しだけ賢い/ひじかた/hikiniku/倉田 をるけ/ハルマレ/業務用虚無(2)/薬屋のコタロー/ひだりみみ(2)/ライトオンキュー(3)/とりふぐ/警備員(2)/コッパー/玄の字。(3)/toool(2)/ドブ(2)/長谷川キモ彦/ジェンツーペンギン/大喜利(2)/巾/ゆめみ(2)/うえじゅん/プーアル茶/ううここ/ふくつう/ただし(2)/れれれのれき(3)/静脈ココアマン(3)/投票ボーナス(3)
0525_0470_TDH,2022-08-27,179人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0525_0470_TDH.jpg,10位,ドゥラちゃん,8食目だと流石に手が止まるね,45,67.98,ねむ(2)/ひじかた/スパルタ(3)/ＣＭＣ/パサ/きさらぎ　もっくん(2)/mississippi/世界/ハルマレ/薫(3)/がんばりま翔/赤ぺこり/カンガルーノート(2)/ふぉとん/たいら/コッパー/千代田桃/やる/高見盛/おあつらえ/3ねこ/ドブ/うわぁ/旋風客/ひろろん(2)/ゆめみ/シュヴァルツ/深井あじわい/にほんちゃ/やんばるた/ううここ/川淵(2)/半丙太/投票ボーナス(3)
