お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,1位,のちほど,おっぱい揉むより半おっぱい２つ揉んだ方が安い,77,92.91,無題(3)/また師走が来たよ(3)/ナルシマアンバイ/獏/おもしろ王(2)/たいら/お肉(2)/旋風客(2)/アナゴさん/カルボン酸/メロディックストーム/Simomi/白黒まみれ/新築(2)/金庫番/実家に帰った鶴/少しだけ賢い/みやまる/hikiniku/昨日のおみや(3)/ましましのしま/まいく(2)/ドーナツを慈しむ(2)/地球島　永遠子/頻悪(2)/無学/机上で実演/任意の犬/ネオ/ドゥラちゃん/後悔しない名前を付けよう/3ねこ(2)/セトピア/かくれどり(3)/甘味キャットラーメン/サイ・ヤング爺ちゃん/玄の字。(3)/シュヴァルツ(2)/ひでくそ/遠くを見ている/つくり真顔(3)/石原消し炭/中身/うわぁ(3)/台湾まぜそば(3)/釘の漬物/ぷろみん/にゃん氏(2)/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,2位,3ねこ,券売機で変なボタンを見つけて始まる,57,77.29,無題(3)/また師走が来たよ/中サラ/獏/たこかいな/ringo6031/カタン/ホールド・ナッツ(2)/カルボン酸/泥だ/業務用虚無(3)/赤い髪/半丙太/ヤディ/新Goo/ぴいけいぴい(2)/ちくわうし/新築(2)/シンカー/難攻不落/hikiniku/ニューロン(2)/昨日のおみや(2)/ましましのしま(2)/釜ちびちび/ドゥラちゃん(2)/後悔しない名前を付けよう/猫屋敷/Kit/ライトオンキュー/たまし/甘味キャットラーメン/シュヴァルツ/てぃすこ/Kuramo(3)/ネスミス(2)/苦肉の尺/ゆめみ/すーず(2)/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,2位,さいころちゃらみん,おっぱいを１回、ご飯にバウンドさせてから食べてる,57,77.29,Kazuword/A味噌汁/はっぴーえんど/じゃん/ひろろん/ringo6031/よしんば/あっきーな(2)/アナゴさん/シーサイド品川/マイルドなグリンパーチ/リボンちゃん/Simomi/白黒まみれ/ランゲル・ハンス(2)/カナリカリガ・タカ(3)/ちくわうし/新築/サイコパス金子/少しだけ賢い/ダダダチョウ/harvest/頻悪(2)/机上で実演(3)/任意の犬/ドゥラちゃん/後悔しない名前を付けよう/液体酸素/世界/Kit/ちきちきた/ライトオンキュー/かくれどり(2)/サイ・ヤング爺ちゃん/シュヴァルツ/ひでくそ/PD/及川広大/Kuramo/きんめじろう/ゆめみ/釘の漬物/ぷろみん(2)/多屋光/中沢の人/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,4位,玄の字。,もうこんなにタルタルじゃないか…。,52,73.39,静かの海/また師走が来たよ/ﾋﾞｰﾄ糖/じゃん/ひろろん/よしんば/旋風客/シーサイド品川/業務用虚無/gas(2)/Simomi/白黒まみれ/ちくわうし/草津温泉(3)/サイコパス金子/ガッボデ(2)/ニューロン/地球島　永遠子/頻悪/無学/任意の犬/ドゥラちゃん/巾/ライトオンキュー(2)/まどろむROM専(2)/たまし/かくれどり(3)/甘味キャットラーメン/シュヴァルツ/ひでくそ/川淵(2)/ジロー(2)/石原消し炭/試家軽気/苦肉の尺/おすし/木暮のぶお/にゃん氏/ドブ/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,5位,ネスミス,何も知らずに食べ続けるおじさんもいる,51,72.61,また師走が来たよ/brooks/ナルシマアンバイ/赤黄色/ゆるふわ冬至(2)/ringo6031/カタン/アナゴさん/ホールド・ナッツ(3)/さくM/泥だ/業務用虚無(2)/マイルドなグリンパーチ/ヤディ(2)/シンカー/金庫番/実家に帰った鶴/ガッボデ/ニューロン/昨日のおみや(2)/ましましのしま/微分積分いい気分/さいころちゃらみん/頻悪/無学/釜ちびちび/ドゥラちゃん/後悔しない名前を付けよう/ライトオンキュー/まどろむROM専/たまし(3)/かくれどり(2)/サメVS巨大タコス/シュヴァルツ/ひでくそ(2)/遠くを見ている/ゆめみ/にゃん氏/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,6位,実家に帰った鶴,INK(居抜かれ),48,70.27,Kazuword/くりとりーむ(3)/A味噌汁(2)/たいら/あっきーな(2)/お汁かける/カルボン酸/業務用虚無(2)/白黒まみれ/ランゲル・ハンス/カナリカリガ・タカ/金庫番(2)/ましましのしま/まいく(2)/微分積分いい気分/寺井(2)/特効さん/机上で実演(2)/ネオ/巾/後悔しない名前を付けよう/たまし(2)/かくれどり(2)/てぃすこ(2)/Kuramo/台湾まぜそば(2)/葱仮面/ネスミス/釘の漬物/おすし/木暮のぶお/にゃん氏/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,6位,難攻不落,割り箸を少し開いて見せる,48,70.27,静かの海/デミ侍/brooks/ナルシマアンバイ(2)/赤黄色/たこかいな(3)/おもしろ王/ringo6031/架空/シーサイド品川/倉田 をるけ/半丙太/白黒まみれ/ランゲル・ハンス/ちくわうし/草津温泉/糸目の鮟鱇(2)/新築/シンカー(2)/みやまる/hikiniku/ニューロン/kevin/特効さん/任意の犬/ドゥラちゃん(2)/Kit/セトピア/遠くを見ている(2)/PD/つくり真顔/ジロー/石原消し炭/及川広大(2)/苦肉の尺/ゆめみ/にゃん氏/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,8位,あっきーな,包丁持つときは一旦やめる,46,68.7,ありあ/中サラ/赤黄色/齋藤(2)/ゆるふわ冬至/架空/よしんば/カタン/お肉/さくM(3)/泥だ/倉田 をるけ/新Goo/シンカー(2)/難攻不落/ダダダチョウ/ガッボデ/みやまる/ましましのしま/微分積分いい気分/寺井/さいころちゃらみん/机上で実演/ネオ/ちきちきた/セトピア/まどろむROM専/たまし(3)/シュヴァルツ/パンジ/PD/てぃすこ/Kuramo/きんめじろう/MODY/苦肉の尺/ドブ/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,8位,ゆめみ,内ももにおかわり無料と書かれてる,46,68.7,無題(3)/brooks(2)/架空/たいら/旋風客/カルボン酸/GOMI/さくM/業務用虚無/マイルドなグリンパーチ/赤い髪/リボンちゃん/実家に帰った鶴(2)/少しだけ賢い/ダダダチョウ/みやまる/hikiniku/昨日のおみや/harvest(2)/微分積分いい気分(2)/地球島　永遠子(2)/さいころちゃらみん/みささぎ/ばっは/釜ちびちび/ドゥラちゃん/Kit/たまし(2)/サイ・ヤング爺ちゃん/シュヴァルツ(2)/ジロー/MODY/苦肉の尺/にゃん氏/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,8位,ドーナツを慈しむ,お新香のシーンは飛ばす,46,68.7,また師走が来たよ/はっぴーえんど/中サラ(2)/brooks/じゃん/赤黄色/おもしろ王(2)/よしんば/プーアル茶(2)/美味い焼肉屋(3)/さくM/半丙太/帰る亭中野周辺/難攻不落/ガッボデ(2)/hikiniku/ニューロン/ましましのしま/まいく(2)/まとこ/ドゥラちゃん/後悔しない名前を付けよう/世界/まどろむROM専(3)/たまし(2)/のちほど/玄の字。/シュヴァルツ/パンジ/つくり真顔/Kuramo/多屋光/中沢の人/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,11位,たこかいな,サンプルだけで満足する,44,67.14,A味噌汁/brooks/ひろろん/おもしろ王(2)/あっきーな/カタン/アナゴさん/泥だ/業務用虚無/メロディックストーム/gas(3)/半丙太/hikiniku/ニューロン/kevin/まいく(2)/微分積分いい気分(3)/地球島　永遠子(2)/ネオ/巾/セトピア/たまし(2)/玄の字。/ひでくそ/PD/川淵(3)/石原消し炭/Kuramo/中沢の人(2)/シェリー/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,12位,齋藤,自分の番じゃないときに食べる,42,65.58,はっぴーえんど/中サラ/ナルシマアンバイ/おもしろ王/ringo6031/架空/たいら/あっきーな/リボンちゃん/メロディックストーム/半丙太/帰る亭中野周辺/新築/難攻不落/金庫番(2)/サイコパス金子/少しだけ賢い/ガッボデ/ニューロン/ましましのしま/寺井/地球島　永遠子/さいころちゃらみん/ばっは/ドゥラちゃん(2)/後悔しない名前を付けよう/Kit/シュヴァルツ/ひでくそ/石原消し炭/てぃすこ/及川広大/Kuramo/台湾まぜそば/ネスミス/多屋光/ドブ/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,13位,MODY,女優が「二人っきりね」って言うと周りの客が一気に会計した,41,64.8,Kazuword/また師走が来たよ/あっきーな(2)/お肉/旋風客/赤い髪/白黒まみれ/ランゲル・ハンス/カナリカリガ・タカ(2)/金庫番(2)/hikiniku/昨日のおみや(3)/ましましのしま/気球マイスター/寺井/地球島　永遠子/特効さん/巾/たまし(3)/かくれどり(2)/シュヴァルツ/パンジ/川淵(2)/Kuramo(2)/ぷろみん(2)/木暮のぶお/ドブ/投票ボーナス(3)
2035_3139_VUY,2022-08-31,146人,定食屋のAV,NA,13位,ネオ,男優の食レポ邪魔すぎる,41,64.8,静かの海/Kazuword/A味噌汁/はっぴーえんど/ﾋﾞｰﾄ糖/brooks/獏/齋藤/よしんば/たいら/シーサイド品川/泥だ/業務用虚無/メロディックストーム/糸目の鮟鱇/実家に帰った鶴/少しだけ賢い/ダダダチョウ/ましましのしま/気球マイスター/無学/ドゥラちゃん(2)/猫屋敷/Kit/3ねこ/かくれどり(2)/サメVS巨大タコス/サイ・ヤング爺ちゃん/シュヴァルツ/ジロー/中身/Kuramo(2)/MODY/ネスミス/ドブ/投票ボーナス(3)
