お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,1位,セトピア,人気になる過程が面白いのであって,53,88.3,あああ/うえじゅん/じゃん/業務用虚無(3)/倉田 をるけ/そばをまぜる/YUYUTA(3)/無学/ニューロン/苦肉の尺/鴨とサイコロ/かくれどり(2)/おあつらえ/おもしろ王(2)/はっぴーえんど/台湾まぜそば(2)/糸目の鮟鱇/たまし/又三郎/昨日のおみや/錯乱/毒桃(3)/にゃん氏/たこかいな(3)/じゃっくん/音の里/お肉/ペッタ/ダダダチョウ/激！ポチ/明石/AOKI/おやすみオイスター/TwistNight/tlicia/MeT@/白身魚のフライ/オールド/泥だ/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,2位,そばをまぜる,あとはやり込み要素しか残ってない感じだった,50,85.22,あああ/うえじゅん/青いかさ/バトルアックス(3)/業務用虚無(2)/無学/ニューロン/苦肉の尺/鴨とサイコロ/おあつらえ/おもしろ王/台湾まぜそば(3)/糸目の鮟鱇/たまし/又三郎(2)/昨日のおみや(2)/あっきーな/たこかいな/新Goo/お肉/ペッタ/ダダダチョウ/里見英次郎(2)/春屋○イ/さっつん/紫太郎/きゅーきゅー(2)/MODY/TwistNight/tlicia(3)/MeT@/さいころちゃらみん/ふふふん/しまつ(2)/うーん2ポイント/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,3位,ニューロン,馬しかならない病気になった,40,74.94,モチ/カナリカリガ・タカ/懸垂ができる(2)/倉田 をるけ(2)/遠くを見ている/苦肉の尺/鴨とサイコロ(2)/おあつらえ/おもしろ王/高見盛/薫/糸目の鮟鱇/たまし(3)/錯乱(2)/じゃっくん/音の里/お肉/ペッタ/半丙太/里見英次郎(2)/渡利　巣手呂/春屋○イ/モルヒネ夫/敬語2/紫太郎/ラジウス/3ねこ(2)/さいころちゃらみん/のちほど/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,4位,あっきーな,上皇みたいなポジションにつきたい,37,71.86,モチ/カナリカリガ・タカ/うえじゅん/そで/倉田 をるけ/気球マイスター/そばをまぜる/鴨とサイコロ/及川広大/たまし/yuki/昨日のおみや/錯乱(2)/にゃん氏/音の里/旧式/半丙太/B群(2)/春屋○イ/明石/さっつん/敬語2/なり(2)/うわぁ/TwistNight/秋/MeT@/ふふふん/また師走が来たよ(2)/のちほど/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,4位,じゃん,分岐も見ておきたい,37,71.86,懸垂ができる/業務用虚無(2)/無学/遠くを見ている/苦肉の尺/鴨とサイコロ/おあつらえ/はっぴーえんど/及川広大/たまし/yuki(2)/少しだけ賢い/昨日のおみや(2)/あっきーな(2)/毒桃(2)/音の里/旧式/ペッタ/ダダダチョウ/猫屋敷/渡利　巣手呂/春屋○イ/敬語2/9月が終わったら起こして/うわぁ/TwistNight(2)/秋/tlicia/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,6位,ヘルシー帝,置かれたマイクが転がってきて自分のところで止まった,36,70.83,バトルアックス(3)/ナルシマアンバイ/そばをまぜる/無学/セトピア/台湾まぜそば/高見盛/ばっは(2)/糸目の鮟鱇/yuki/昨日のおみや(3)/音の里/里見英次郎(3)/明石/入江/さっつん(2)/きゅーきゅー/MODY/うわぁ/TwistNight/秋/また師走が来たよ(2)/日直/泥だ/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,7位,泥だ,お姉ちゃんが勝手に辞表を送った,35,69.8,お汁かける/そばをまぜる/ライトオンキュー/ニューロン/苦肉の尺/かくれどり(2)/おあつらえ/おもしろ王/アズラス力ル/ばっは(3)/錯乱/毒桃/にゃん氏/カナン(2)/たこかいな/じゃっくん/新Goo(2)/音の里/きゅーきゅー/AOKI(3)/MODY/ラジウス/夢描めろん/オールド/のちほど/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,8位,ペッタ,「一日」でどうこうできる治安じゃなかった,32,66.72,カナリカリガ・タカ/ナルシマアンバイ/メロディックストーム/気球マイスター/プーアル茶/苦肉の尺/おもしろ王/及川広大/たまし(3)/yuki(2)/錯乱(3)/にゃん氏/たこかいな/じゃっくん/ダダダチョウ/里見英次郎(2)/きゅーきゅー/TwistNight/さいころちゃらみん/後藤日(3)/泥だ/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,9位,あああ,自分のファン層が大根と一緒だった,31,65.69,そで/懸垂ができる/倉田 をるけ(2)/気球マイスター/そばをまぜる/遠くを見ている/及川広大/かごの中の鳥/錯乱/あっきーな(3)/じゃっくん/音の里/ダダダチョウ/激！ポチ(3)/春屋○イ/さっつん/紫太郎/TwistNight/さいころちゃらみん/とりふぐ(3)/白身魚のフライ/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,9位,シーサイド品川,みんな引き留めてくれると思った,31,65.69,そで/青いかさ/じゃん/業務用虚無(2)/メロディックストーム/そばをまぜる/ニューロン/おもしろ王/はっぴーえんど/高見盛/薫/アズラス力ル(2)/たまし/昨日のおみや/新Goo/ペッタ/B群/猫屋敷/明石/きゅーきゅー/なり/ラジウス/tlicia/とりふぐ/泥だ/うーん2ポイント/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,11位,糸目の鮟鱇,これ珍獣の売れ方だ,30,64.66,カナリカリガ・タカ(2)/うえじゅん/そで/じゃん/業務用虚無(2)/倉田 をるけ(2)/メロディックストーム/ニューロン/かくれどり(2)/おあつらえ/ばっは/錯乱/にゃん氏/帰る亭中野周辺/音の里/旧式/お肉/半丙太/B群/春屋○イ/きゅーきゅー/うわぁ/白身魚のフライ/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,11位,音の里,「絶頂アイドル」というなんともいやらしい名前で呼ばれた,30,64.66,モチ/あああ/うえじゅん/青いかさ/業務用虚無/鴨とサイコロ/ホールド・ナッツ/高見盛/かごの中の鳥/ハングリー竹中(3)/又三郎/にゃん氏(3)/カナン/ダダダチョウ/ハム86枚/紫太郎(3)/なり/TwistNight/とりふぐ/しまつ/オールド/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,13位,YUYUTA,自分がメインのパチンコ台が出た,29,63.64,うえじゅん/業務用虚無/無学/かくれどり(2)/ホールド・ナッツ(3)/糸目の鮟鱇(2)/ドロップシンカー/にゃん氏/新Goo(3)/お肉/ダダダチョウ/紫太郎(2)/なり/MODY/うわぁ/TwistNight/3ねこ(2)/のちほど/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,13位,モチ,「自宅まで会いにいけるアイドル」は流石にきつい,29,63.64,業務用虚無/倉田 をるけ/気球マイスター/そばをまぜる/ライトオンキュー/YUYUTA(3)/おもしろ王/高見盛/ばっは/たまし/又三郎/カナン/お肉/ダダダチョウ/猫屋敷/春屋○イ/明石/入江/さっつん/きゅーきゅー/とりふぐ/しまつ/オールド/日直/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,15位,ふふふん,嘘でも野性爆弾以外で笑いたくなかった,27,61.58,気球マイスター/ライトオンキュー/セトピア/苦肉の尺/台湾まぜそば/たまし/にゃん氏/たこかいな/ペッタ/さっつん/おやすみオイスター(3)/ラジウス/MeT@/さいころちゃらみん(2)/後藤日(3)/また師走が来たよ(3)/しまつ/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,15位,ラジウス,パーマンとしての活動に専念するため,27,61.58,モチ/うえじゅん/懸垂ができる/そばをまぜる/ライトオンキュー/はっぴーえんど/及川広大/昨日のおみや(2)/錯乱(2)/カナン/じゃっくん(3)/新Goo/激！ポチ(2)/敬語2(2)/うわぁ/オールド(2)/泥だ/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,17位,さいころちゃらみん,握手会で自分より細いおじさんしか来なかった,26,60.55,モチ/気球マイスター/プーアル茶(2)/遠くを見ている(2)/ヘルシー帝(3)/糸目の鮟鱇/たまし(2)/あっきーな(2)/ペッタ(2)/パンパース/渡利　巣手呂/きゅーきゅー(2)/秋/また師走が来たよ(2)/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,17位,毒桃,クリアファイルだけで食っていける,26,60.55,カナリカリガ・タカ/ホールド・ナッツ(2)/糸目の鮟鱇/たまし(2)/少しだけ賢い/錯乱/あっきーな/新Goo/旧式/半丙太/激！ポチ(2)/明石/3ねこ(2)/tlicia(2)/さいころちゃらみん/とりふぐ/ふふふん/また師走が来たよ/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,19位,にゃん氏,そろそろ行かないと自動車教習所のお金が無駄になる,23,57.47,メロディックストーム/ライトオンキュー/YUYUTA/プーアル茶/ホールド・ナッツ/薫(2)/少しだけ賢い/新Goo(3)/リボンちゃん/きゅーきゅー/AOKI(3)/うわぁ/TwistNight/オールド/日直/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,19位,アズラス力ル,握手会が再開される気配を感じて,23,57.47,うえじゅん/バトルアックス/そばをまぜる/苦肉の尺/はっぴーえんど/ホールド・ナッツ(2)/高見盛/あっきーな(2)/帰る亭中野周辺/音の里/ペッタ/明石/きゅーきゅー/おやすみオイスター/TwistNight/夢描めろん/のちほど/日直/投票ボーナス(3)
6406_7413_WVT,2022-09-03,118人,人気絶頂のアイドルが引退した理由,NA,19位,オールド,仕事の内容がほぼ純烈と変わらなかった,23,57.47,ナルシマアンバイ/メロディックストーム/小さいサラダ(2)/YUYUTA/ヘルシー帝/高見盛/薫/昨日のおみや/帰る亭中野周辺/なり(2)/MODY/MeT@/夢描めろん/後藤日(3)/日直/うーん2ポイント/投票ボーナス(3)
