お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,1位,ジェリ,予選突破の顔してればバレないわよ,39,81.66,シーサイド品川/実家に帰った鶴/れれれのれき(3)/ライトオンキュー/のれん/中身(2)/tlicia(2)/塩ラーメン/多屋光/ほろほろ/謙Nightmare/とりかい(3)/カンガルーノート/納屋の鍵/やじうさん/MeT@/大至急(3)/ネオ/ジェンツーペンギン(2)/サメVS巨大タコス(2)/ましましのしま/ニューロン(2)/渡利　巣手呂(3)/投票ボーナス(3)
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,2位,ゆうとってゆうとるやん,いいのいいの、怒られるまで食べましょ,36,77.92,新築/らら/実家に帰った鶴(2)/キャッツアイ/真似き猫/さいころちゃらみん/れれれのれき(2)/多屋光/ほろほろ/フソ(2)/半丙太/島原てのべ/深井あじわい/アズラス力ル(2)/きのこ/じゃっくん(2)/にゃん氏/八子八百/森山(3)/難攻不落/中サラ(2)/赤い髪/ポンサ/渡利　巣手呂(2)/投票ボーナス(3)
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,2位,机上で実演,ぜんぶ煮込んじゃいなさい,36,77.92,リボンちゃん/ゆるふわ冬至/シーサイド品川/シンマイ子/灰色こたつ/ナルシマアンバイ/キャッツアイ/さいころちゃらみん/ジェリ/ライトオンキュー(2)/あっきーな(2)/防がなくても/カナリカリガ・タカ/シアン(3)/半丙太/後悔しない名前を付けよう/旋風客/くちおば/がんばりま翔(2)/Sane(2)/八子八百(2)/大至急/ジェンツーペンギン/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ましましのしま/中サラ/投票ボーナス(3)
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,4位,ライトオンキュー,初犯なら執行猶予がつくわよ,34,75.42,シーサイド品川/灰色こたつ/ジェリ/れれれのれき(2)/塩ラーメン/多屋光/ほろほろ/パンジ/しばえん/きのこ/りゔぁ(2)/A味噌汁/アガリブル(2)/後悔しない名前を付けよう/くちおば/とりかい(3)/カンガルーノート/やじうさん(2)/＃の中のカマ吉くん/さざなみのユウ(2)/ましましのしま/赤い髪/デミ侍/ジェネ半/投票ボーナス(3)
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,4位,真似き猫,ここお尻グイグイしたら座れるわよ,34,75.42,暴風よ吹け/リボンちゃん/シーサイド品川/灰色こたつ/新築/ YU-KIN☆(2)/実家に帰った鶴/キャッツアイ/赤ぺこり/れれれのれき(2)/ライトオンキュー/ミノルタ(2)/ちぇん/カナリカリガ・タカ/フソ/半丙太/ゆうとってゆうとるやん(2)/謙Nightmare/後悔しない名前を付けよう/机上で実演/MeT@/ジェンツーペンギン/春巻き、咲いちゃいました/モルヒネ夫/ましましのしま(2)/赤い髪/投票ボーナス(3)
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,6位,ランゲル・ハンス,そうなの、案外バレないのよ,31,71.67,ゆるふわ冬至/ナルシマアンバイ/ YU-KIN☆/さいころちゃらみん/れれれのれき/ライトオンキュー/防がなくても/フソ(2)/パンジ/深井あじわい/アズラス力ル/ゆうとってゆうとるやん(2)/旋風客/くちおば/机上で実演(2)/やじうさん/＃の中のカマ吉くん/Sane/八子八百/森山/ましましのしま(2)/中サラ(2)/ジェネ半/投票ボーナス(3)
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,7位,鬼山田,同じようなのダイソーでも売ってたよ,29,69.18,シーサイド品川/シンマイ子/ YU-KIN☆/猫屋敷/のれん(3)/入江/遠くを見ている/新Goo/きのこ/A味噌汁/じゃっくん/謙Nightmare/後悔しない名前を付けよう/机上で実演/やじうさん/八子八百/ネオ(2)/帰る亭中野周辺/モルヒネ夫/ましましのしま/ポンサ(3)/投票ボーナス(3)
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,8位,中サラ,お肉買わなくても牛脂、持って帰っちゃいなさいよ,26,65.43, YU-KIN☆/ライトオンキュー/ミノルタ(3)/ちぇん/tlicia(2)/入江/ほろほろ(3)/島原てのべ/まちぐまん/深井あじわい/納屋の鍵/やじうさん/がんばりま翔(2)/帰る亭中野周辺/モルヒネ夫/ましましのしま/ジェネ半/投票ボーナス(3)
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,9位,あっきーな,エコバッグなんか捨てちゃいな,25,64.18,リボンちゃん/新築/ YU-KIN☆/真似き猫/さいころちゃらみん/tlicia(2)/さかなへん(2)/遠くを見ている/多屋光/赤黄色/半丙太/島原てのべ/釜ちびちび/がんばりま翔/森山/モルヒネ夫(3)/ポンサ/デミ侍/投票ボーナス(3)
6772_8522_ZLN,2022-09-09,109人,悪魔のおばさんがささやいた、誘惑の言葉とは？,NA,9位,アガリブル,募金すればチャラになるわ,25,64.18,新築/れれれのれき(3)/あっきーな/半丙太/旋風客/机上で実演/カンガルーノート(2)/釜ちびちび/MeT@/ネオ/森山/ましましのしま(3)/ニューロン(2)/ポンサ(2)/デミ侍/投票ボーナス(3)
