お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,1位,ラジウス,1001日目で電通がグッズを出してくる,72,92.47,ほろほろ(2)/Longab/やじうさん/マルチスケイル(2)/MODY/ゆるふわ冬至/たんけだ/おあつらえ/なかにし/齋藤/納屋の鍵/コモリヤ(2)/ふもー/チャーハンセット290円(2)/春巻き、咲いちゃいました/氷の女王/アルゴリアン/ねこライト/156_910(2)/美味い焼肉屋(2)/ううここ/うましか(2)/暴風よ吹け/うわぁ/地面肉シリーズ(2)/後藤日(2)/ちーかま/ちくわうし/ハルマレ/泥だ/玄の字。/ましましのしま/おもしろ王(2)/うーん2ポイント/そにぃ/のちほど/ぽ/くりとりーむ/モチ/獏/気球マイスター(2)/osouonna(2)/ひなた/大喜利の母(2)/かくれどり(2)/ライトオンキュー/二階から手続き/スピ力(2)/旋風客/灰色こたつ(2)/福井とマルコ/錯乱/高見盛/投票ボーナス(3)
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,2位,春巻き、咲いちゃいました,固定資産税がかかる,55,78.34,無職のケン/マルチスケイル(2)/深井あじわい/きゅーきゅー/mada/あっきーな/まーちゃんす/コモリヤ(2)/シンマイ子/ドロップシンカー(2)/ワッショイサンバ/谷口POPCORN(3)/きれいな市役所/ネオ/ソングライン/ねこライト/明鏡シスコン/りぼんの武士/恐竜土偶(2)/＃の中のカマ吉くん/業務用虚無/地面肉シリーズ(3)/ちくわうし/玄の字。/うーん2ポイント/のちほど/倉田 をるけ/のとさわ/うえじゅん/幽体/カンガルーノート/ターンブル/学問のスズメ/寝坊/アズラス力ル/大喜利の母(2)/金庫番/二階から手続き/アキラ(湊一角)/毒桃(2)/旋風客/灰色こたつ/投票ボーナス(3)
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,3位,魂の裏切りの夜,今日何の日か覚えてる？って聞いてくる,51,75.01,シャケ野郎/akamutu/お汁かける(2)/深井あじわい/きゅーきゅー/なかにし/あっきーな/齋藤/ふもー/チャーハンセット290円(2)/ネオ/156_910/明鏡シスコン(2)/りぼんの武士/赤ぺこり/ううここ/大至急/＃の中のカマ吉くん/業務用虚無(2)/地面肉シリーズ/飯田しっぺ/ゆきみ/MeT@/続きを読む(2)/ちくわうし/泥だ/パサ/ましましのしま/中身/微分積分いい気分/のちほど/くりとりーむ/稲妻圭介/のとさわ/Y氏/気球マイスター/うえじゅん/真似き猫/毒桃/無学/ぽーるまっかーとにー(2)/錯乱/投票ボーナス(3)
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,4位,アズラス力ル,酷が出て不快味わいに,50,74.18,TwistNight(2)/ほろほろ(2)/カス=オカ/おあつらえ/納屋の鍵/パピ4/コモリヤ(2)/谷口POPCORN/きれいな市役所/馬鹿/明鏡シスコン/りぼんの武士/うわぁ(2)/恐竜土偶/ラジウス/業務用虚無(3)/MeT@/ハングリー竹中(2)/ちーかま/泥だ/玄の字。/パサ/そにぃ/薫(3)/ぽ/モチ(3)/ISSAYの部下A/osouonna/ひなた/大喜利の母/ライトオンキュー/二階から手続き/福井とマルコ(3)/高見盛/投票ボーナス(3)
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,5位,森山,ふた開けると自分で閉める,48,72.52,ほろほろ/無職のケン(2)/覇道きてぃ/深井あじわい/mada/オルゴイコイ(2)/耳ぶた/きれいな市役所/ネオ/馬鹿/アルゴリアン/ねこライト(2)/りぼんの武士/眠気/赤ぺこり/明石(3)/業務用虚無(3)/半丙太/ゆきみ/泥だ/ましましのしま(2)/中身/はさあかた(2)/のちほど/モチ(2)/ほに/のとさわ/たこかいな(2)/うえじゅん/学問のスズメ/やる/ひなた/ぽーるまっかーとにー/灰色こたつ/投票ボーナス(3)
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,5位,齋藤,鍋の底に「アリガト」の文字が残る,48,72.52,ほろほろ/Longab/カス=オカ/マルチスケイル(3)/赤い髪/MODY/納屋の鍵/シンマイ子(2)/ふもー(2)/氷の女王/きれいな市役所/アルゴリアン/ねこライト/カタン/りぼんの武士/大至急/ラジウス/ちくわうし/泥だ/スポーツバッグ/ましましのしま/はさあかた(2)/ぽ/Y氏/気球マイスター/うえじゅん/幽体/世界/各々の小野の斧/ひなた(2)/大喜利の母/かくれどり(2)/金庫番/アキラ(湊一角)/ぽーるまっかーとにー/旋風客/灰色こたつ/錯乱/投票ボーナス(3)
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,7位,谷口POPCORN,酷(こく)まろになる,46,70.85,ほろほろ/MODY/なかにし/PD(2)/特効さん/ソングライン(3)/156_910/カタン/美味い焼肉屋(3)/ううここ/大至急/暴風よ吹け/とぅみとぅく(3)/うわぁ/飯田しっぺ/ちーかま/ちくわうし/カナリカリガ・タカ/バトルアックス(2)/パサ/おもしろ王(2)/ぽ/ISSAYの部下A(3)/学問のスズメ/アズラス力ル(2)/真似き猫/大喜利の母(2)/ライトオンキュー/灰色こたつ/高見盛/投票ボーナス(3)
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,8位,ランゲル・ハンス,980晩目くらいからYouTubeが伸びる,45,70.02,シャケ野郎/カス=オカ/akamutu/無職のケン/赤い髪/深井あじわい/あっきーな(2)/納屋の鍵/シンマイ子(2)/ワッショイサンバ/あさごはんの神回/アルゴリアン(3)/ペプシ非公式/りぼんの武士/うましか/大至急(2)/恐竜土偶(2)/飯田しっぺ/ちーかま/ちくわうし/ハルマレ/泥だ/パサ/ましましのしま/のちほど/倉田 をるけ/獏/気球マイスター/世界/猫屋敷/osouonna(2)/ジェリ/ダダダチョウ/かくれどり/高見盛/投票ボーナス(3)
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,8位,泥だ,細菌が「幸せすぎて怖い」と言い出す,45,70.02,Longab/シャケ野郎/カス=オカ/akamutu/お汁かける/深井あじわい(2)/きゅーきゅー(3)/PD/ワッショイサンバ/特効さん/馬鹿/おここ/神になれ！/りぼんの武士/糸目の鮟鱇/うわぁ/ラジウス/業務用虚無/MeT@/ハルマレ(2)/カナリカリガ・タカ(2)/玄の字。/ましましのしま/中身/モチ(2)/倉田 をるけ/誤字/八子八百/気球マイスター/堅あげポテト好き/osouonna/アズラス力ル/ライトオンキュー/アキラ(湊一角)/スピ力/高見盛/投票ボーナス(3)
3735_1749_QUO,2022-09-20,182人,一晩寝かせたカレーは美味しくなります。では1000晩寝かせたカレーはどうなる？,NA,10位,MODY,愛着が湧いて命の授業みたいになる,44,69.19,TwistNight/Longab/深井あじわい/おあつらえ(2)/mada/コモリヤ/アウク(3)/ふもー/ワッショイサンバ/ネオ/おここ/yuki/明鏡シスコン/りぼんの武士/糸目の鮟鱇/恐竜土偶/業務用虚無(2)/半丙太/後藤日/ゆきみ/ちーかま/ハルマレ/スポーツバッグ/パサ/ぽ/のとさわ/たこかいな(2)/幽体/是非/しゅうぴょんz/ド下品(2)/大喜利の母/ダダダチョウ/金庫番/アキラ(湊一角)/投票ボーナス(3)
