お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,1位,はっぴーえんど,こういう一回もある,57,91.24,魂の裏切りの夜/デミ侍/また師走が来たよ(2)/資本ネコ/まーちゃんす/ペプシ非公式/みささぎ/りんかんがっこう/昨日のおみや(2)/ぱにょ(3)/セトピア(3)/osouonna(2)/スーパー棘皮動物(2)/眠気/kamenoue/マルチスケイル/ゆるふわ冬至/気球マイスター/そいそーす(3)/のちほど/糸目の鮟鱇/akamutu/（かぜの）すぱさぶろう(2)/バトルアックス(2)/ノビッタ/フスマ/うえじゅん/青いかさ/倉田 をるけ(2)/深井あじわい/谷口POPCORN(2)/二階から手続き/おもしろ王/野菜スティック/業務用虚無(2)/難攻不落/ぽ/せんだい(2)/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,2位,（かぜの）すぱさぶろう,見てるかAI  分かんねえだろ,50,83.71,カナリカリガ・タカ/まーちゃんす/ＣＭＣ/ペッタ/りんかんがっこう/TwistNight/南部屋敷/すあま御殿/osouonna/机上で実演(2)/takahashi(3)/ガッボデ(2)/きみをゆるさない。/シュヴァルツ(2)/パサ/カクレミノムシ/ゆるふわ冬至/今川京子さん/3ねこ/そいそーす(2)/地球島　永遠子(2)/フスマ/ほしかけ/進撃/No Image/Kit/後悔しない名前を付けよう/open/実家に帰った鶴(2)/倉田 をるけ/深井あじわい/業務用虚無(2)/夢描めろん/がんばりま翔(2)/なかにし/みどーかずまさ/副編集長/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,3位,kamenoue,好きじゃない人と結婚するんです,44,77.25,資本ネコ/まーちゃんす/ペッタ/森山/セトピア/あっきーな(2)/眠気/マルチスケイル(2)/ガッボデ/シュヴァルツ/中原ぽ麦(2)/カクレミノムシ(2)/ゆるふわ冬至(3)/むった/ひでくそ/糸目の鮟鱇/バトルアックス(2)/地球島　永遠子/ターンブル/青いかさ/open/＃の中のカマ吉くん/深井あじわい/谷口POPCORN(2)/野菜スティック/まらどーな(3)/少しだけ賢い/副編集長/是非(2)/mississippi/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,4位,6年2組の2組ちゃん,たまには縦にね,41,74.02,カナリカリガ・タカ/りんかんがっこう/昨日のおみや(2)/たんけだ/スーパー棘皮動物(2)/あっきーな/眠気/やまだひらいた/赤黄色/ガッボデ/ちぇん/シュヴァルツ/はっぴーえんど/気球マイスター/のちほど/ゆうらいど/akamutu/地球島　永遠子/ターンブル/ベコタ/うましか/うえじゅん/No Image/open/倉田 をるけ/＃の中のカマ吉くん/谷口POPCORN(3)/おもしろ王/新築/春巻き、咲いちゃいました/ソングライン/なかにし/brooks(2)/青い隼/mississippi/難攻不落
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,5位,みささぎ,また損しに来るぜ,38,70.8,りんかんがっこう(2)/昨日のおみや/特効さん/南部屋敷/すあま御殿/机上で実演/すーず/マルチスケイル/赤黄色/ちぇん/シュヴァルツ/パサ/今川京子さん/ゆうらいど/akamutu/PD/（かぜの）すぱさぶろう(2)/ノビッタ/鈴木/ほしかけ/うましか(2)/うえじゅん/倉田 をるけ/＃の中のカマ吉くん/業務用虚無(2)/夢描めろん/がんばりま翔/是非/mississippi/難攻不落/せんだい/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,5位,資本ネコ,そうそう、その「破るなよ」っていう目,38,70.8,ＣＭＣ/昨日のおみや/たんけだ/南部屋敷/ううここ/セトピア/スーパー棘皮動物(2)/やじうさん/ゆるふわ冬至/今川京子さん/スポーツバッグ/糸目の鮟鱇/三戸(3)/溢れ出る肉汁(3)/うえじゅん/No Image(3)/Kit/青いかさ/倉田 をるけ/二階から手続き/おもしろ王(2)/業務用虚無(2)/大至急/みどーかずまさ/せんだい(2)/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,7位,ガッボデ,最悪な旅にしよう,35,67.57,魂の裏切りの夜/TV/ペプシ非公式/南部屋敷/森山/ワッショイサンバ/あっきーな(2)/D-6/眠気/kamenoue/風邪め/パサ/ゆるふわ冬至/幽体/PD/バトルアックス(3)/地球島　永遠子(2)/ほしかけ(2)/青いかさ/業務用虚無(2)/大至急/brooks/副編集長/ミノルタ/難攻不落/せんだい/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,8位,ランゲル・ハンス,返すね,34,66.49,TV(2)/水谷新太郎/資本ネコ/ＣＭＣ/昨日のおみや(2)/ワッショイサンバ(2)/セトピア(2)/osouonna/MeT@/机上で実演/D-6/やまだひらいた/takahashi(2)/赤黄色/ガッボデ/ゆうらいど/cin-cin侍/地球島　永遠子/続きを読む/フスマ/おもしろ王(2)/齋藤/スーパーカミモかんだ/ぽ(2)/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,9位,パサ,半分、やるよ,33,65.42,水谷新太郎/まーちゃんす/ペプシ非公式/昨日のおみや(2)/サメVS巨大タコス/すあま御殿/やまだひらいた/takahashi(2)/ガッボデ/やじうさん/はっぴーえんど/ゆるふわ冬至/ISSAYの部下A/気球マイスター/ゆうらいど/cin-cin侍/PD/バトルアックス(2)/ダダダチョウ/ターンブル/青いかさ/後悔しない名前を付けよう/二階から手続き/おもしろ王/業務用虚無/ソングライン/ぽ/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,9位,鮭の皮,スウェットの奴は何してもいいの,33,65.42,デミ侍/みささぎ/赤ぺこり/森山/ランゲル・ハンス/ワッショイサンバ/D-6/takahashi(2)/ガッボデ/きみをゆるさない。/シュヴァルツ/パサ/カクレミノムシ(2)/ゆるふわ冬至/幽体/ひでくそ/地球島　永遠子/ほしかけ/白黒まみれ/渡利　巣手呂(2)/かごの中の鳥/新築/アガリブル(2)/是非/mississippi/難攻不落/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,9位,齋藤,一撃で決めるんで大丈夫です,33,65.42,恥さらしのスパゲッティ(2)/カナリカリガ・タカ/また師走が来たよ/ＣＭＣ/たんけだ/osouonna(2)/MeT@/マルチスケイル(2)/赤黄色/風邪め/シュヴァルツ/パサ/カクレミノムシ/幽体/ゆうらいど/ひでくそ/糸目の鮟鱇/地球島　永遠子(2)/青いかさ/新築/アガリブル/少しだけ賢い(2)/mississippi/ぽ(2)/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,12位,地球島　永遠子,君のもいいかな？,32,64.34,カナリカリガ・タカ/デミ侍/水谷新太郎/ＣＭＣ/納屋の鍵/すあま御殿/MeT@/あっきーな/やまだひらいた/赤黄色/パサ/むった/ゆうらいど/ひでくそ/PD/（かぜの）すぱさぶろう/バトルアックス(2)/鈴木/白黒まみれ(2)/谷口POPCORN(2)/夢描めろん/大至急/少しだけ賢い/なかにし/副編集長/mississippi/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,13位,みどーかずまさ,お得すぎないでほしい,31,63.27,また師走が来たよ/ペッタ/特効さん/osouonna/スーパー棘皮動物(2)/赤黄色/風邪め/中原ぽ麦/今川京子さん/PD/バトルアックス/ほしかけ/うえじゅん/渡利　巣手呂/Kit/ばっは/倉田 をるけ(2)/ひじかた/深井あじわい(2)/業務用虚無/brooks/スーパーカミモかんだ/ぽ(2)/せんだい/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,13位,シュヴァルツ,そろそろ終活のシメいくぞ,31,63.27,魂の裏切りの夜(3)/デミ侍/ペプシ非公式/昨日のおみや/osouonna(2)/すーず/kamenoue/カクレミノムシ/むった/糸目の鮟鱇/ターンブル/後悔しない名前を付けよう/open/実家に帰った鶴/深井あじわい/野菜スティック/アガリブル(2)/大至急(3)/がんばりま翔/みどーかずまさ/ミノルタ/難攻不落/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,15位,せんだい,アイディアは良かったんですけど,30,62.19,魂の裏切りの夜/カナリカリガ・タカ/ＣＭＣ/ペッタ/みささぎ(2)/りんかんがっこう(2)/特効さん/MeT@/すーず(2)/赤黄色/風邪め/今川京子さん/ゆうらいど/ノビッタ(3)/ターンブル/うましか/渡利　巣手呂/Kit(2)/新築/副編集長/mississippi/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,15位,りんかんがっこう,これも宵越しの金に当たるからね,30,62.19,水谷新太郎/玄の字。/ＣＭＣ/ペッタ/昨日のおみや(3)/特効さん/セトピア(2)/osouonna/パサ/はっぴーえんど/幽体/3ねこ/ゆうらいど/ダダダチョウ/地球島　永遠子/うましか(2)/アガリブル(2)/業務用虚無(3)/がんばりま翔/副編集長/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,15位,セトピア,乗車回数券が奇数で良いわけないだろ,30,62.19,TV(2)/また師走が来たよ/ＣＭＣ/りんかんがっこう/昨日のおみや/TwistNight/氷の女王/osouonna(2)/スーパー棘皮動物/kamenoue/パサ/気球マイスター/そいそーす/のちほど/スポーツバッグ/akamutu(3)/ノビッタ/ベコタ/うましか/実家に帰った鶴/深井あじわい/野菜スティック/アガリブル/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,15位,深井あじわい,お揃いの硬貨で払おう,30,62.19,魂の裏切りの夜/玄の字。/ＣＭＣ/ペッタ/りんかんがっこう/TwistNight/ワッショイサンバ(2)/鮭の皮/シュヴァルツ/パサ/はっぴーえんど/カクレミノムシ(2)/3ねこ/糸目の鮟鱇/PD/ターンブル/渡利　巣手呂/open(2)/ばっは/かごの中の鳥/ひじかた/新築/副編集長/ぽ/投票ボーナス(3)
7637_9060_RES,2022-09-22,149人,回数券を破って一言,NA,19位,掻痒,往復できねえよ三途の川なめんな,29,61.11,TV/デミ侍/玄の字。/ＣＭＣ(2)/みささぎ/りんかんがっこう(2)/昨日のおみや(2)/特効さん/kamenoue/今川京子さん/のちほど/（かぜの）すぱさぶろう(2)/うましか(3)/白黒まみれ/進撃/後悔しない名前を付けよう/業務用虚無(2)/夢描めろん/ぽ/投票ボーナス(3)
