お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,1位,寺井,忘れるな、おばあちゃんの家はガストの底に沈んだんだ,51,84.99,真似き猫/缶ポロ(2)/中身/後悔しない名前を付けよう(2)/中サラ/泥だ/たまゆら天国(2)/Mu/パサ/なかにし/くすも/ダダダチョウ/ホリ(2)/takahashi/ペッタ/yuki/実家に帰った鶴/小雀長吉/三戸(2)/シンオウ地方(2)/二階から手続き/まとこ/アウク/ううここ/のとさわ/地球島　永遠子/赤黄色/ピュレグミ(2)/とりふぐ/そいそーす(3)/ISSAYの部下A/mississippi/納屋の鍵/No Image(3)/うましか/harvest/ふもー/投票ボーナス(3)
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,2位,Longab,いいかい、お前は定食屋を継ぐんだ,46,79.9,ＣＭＣ(2)/はい(3)/ナイトクルーザー(3)/白黒まみれ(2)/白キごはん/凱旋の門/ホリ/水谷新太郎/ペッタ/小雀長吉/三戸(2)/寺井/老師(2)/シンオウ地方/きゅーきゅー/地球島　永遠子/赤黄色/ピュレグミ(2)/明鏡シスコン/ひなた/brooks/玄の字。/日本国憲法/mississippi/少しだけ賢い/にゃん氏/3ねこ/納屋の鍵/ハゲイナズマ/ランゲル・ハンス/うましか(2)/harvest/ふもー/投票ボーナス(3)
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,3位,まんたろう,「よく見ろ『サイゼリ“ア”』になってる。そういう擬態をしてるんだ」,42,75.82,とぅみとぅく/缶ポロ(2)/ＣＭＣ(2)/きりしまちゃん(2)/中サラ/泥だ/osouonna/たまゆら天国/パサ/山渕/高原キャベツ太郎(2)/凱旋の門/ダダダチョウ/机上で実演/takahashi/yuki/小雀長吉/生業焼き/三戸(3)/二階から手続き/きゅーきゅー/アウク/ううここ/地球島　永遠子/明鏡シスコン/そいそーす/あまるる/深井あじわい(2)/玉蜀黍/にゃん氏/納屋の鍵/No Image(2)/うましか/harvest
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,4位,山渕,あの店はお父さんが大きい声出しても提供スピードが変わらないんだ,41,74.8,缶ポロ(2)/泥だ/osouonna(2)/きまぐれ/フスマ(2)/パサ/ゆうとってゆうとるやん/高原キャベツ太郎/Longab(2)/きどさん/ベコタ/水谷新太郎/ペッタ/ノルマンディー(2)/yuki/生業焼き/お汁かける/地球島　永遠子(2)/ピュレグミ/ひなた/日本国憲法(2)/mississippi/ジェンツーペンギン(2)/納屋の鍵/ハゲイナズマ/うましか/きらら/長谷川キモ彦(2)/ヒカル/投票ボーナス(3)
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,5位,少しだけ賢い,あそこはもう食い逃げたからね,40,73.79,ＣＭＣ(2)/きりしまちゃん/泥だ/はい(3)/川淵/Sane/青い隼/ゆうとってゆうとるやん/なかにし/続きを読む(3)/高原キャベツ太郎/ダダダチョウ/机上で実演/釜ちびちび/ペッタ/生業焼き(3)/セコイア(2)/かねまる/そいそーす/brooks/玄の字。/ジェンツーペンギン/深井あじわい/玉蜀黍/にゃん氏/カンガルーノート/きらら/ふわっと/やまだひらいた/投票ボーナス(3)
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,6位,3ねこ,ファミレスが見えるのか　こっち来なさい,36,69.71,真似き猫/とぅみとぅく/缶ポロ(2)/ＣＭＣ/中サラ/川淵/白黒まみれ(2)/フスマ/青い隼/くすも/凱旋の門/たんけだ/ベコタ/実家に帰った鶴/小雀長吉/まあまあ(3)/のとさわ/ピュレグミ(2)/ホーミング/にゃん氏/納屋の鍵/ハゲイナズマ/No Image/うましか/きらら/harvest/長谷川キモ彦/ふもー/投票ボーナス(3)
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,6位,きらら,パパは水墨画しか見たくないんだ,36,69.71,ＣＭＣ/泥だ/osouonna(2)/中沢の人/たまゆら天国/Mu(2)/パサ/山渕/tomo/白キごはん/たんけだ/wawawa13013(3)/机上で実演/水谷新太郎/yuki/小雀長吉/ううここ/のとさわ/地球島　永遠子/ピュレグミ(2)/ひなた/あまるる/玄の字。/mississippi/暴風よ吹け/深井あじわい/きれいな市役所/ヒカル/投票ボーナス(3)
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,8位,きゅーきゅー,パパ以上ママ以下の料理を出すからだよ,34,67.67,缶ポロ(2)/後悔しない名前を付けよう/泥だ/にゃーたろう/フスマ/違うじゃん(3)/Longab/白キごはん/たんけだ/実家に帰った鶴/セコイア/寺井/二階から手続き/アウク/のとさわ/明鏡シスコン/ひなた/そいそーす(2)/brooks/日本国憲法/少しだけ賢い/ちりー/深井あじわい/にゃん氏/納屋の鍵/ふわっと/やまだひらいた/投票ボーナス(3)
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,8位,暴風よ吹け,ほら、傘がちょうど倒れる机の高さ,34,67.67,ｼｰｽﾞｰｷｬﾊﾞﾘｱ/とぅみとぅく/ＣＭＣ(2)/中沢の人/たまゆら天国/ハナゲール船長/ゆうとってゆうとるやん/Longab/ホリ(2)/yuki/赤黄色/ばっは/とりふぐ/ホーミング/okaka3(2)/mississippi/ちりー/ジェンツーペンギン(2)/納屋の鍵(2)/No Image/渡利　巣手呂(2)/きらら/ふわっと/長谷川キモ彦(2)/投票ボーナス(3)
3797_8413_LHB,2022-09-26,129人,パパー、どうしてあのファミレスにはいっちゃダメなの？,NA,8位,渡利　巣手呂,なんでもない日を特別な日にしてくる,34,67.67,ＣＭＣ(3)/中身/中沢の人/シーサイド品川/ハナゲール船長/ゆうとってゆうとるやん/山渕/tomo/くすも(2)/机上で実演/はぺこん/釜ちびちび/takahashi/yuki/生業焼き/シンオウ地方(2)/二階から手続き/明鏡シスコン/少しだけ賢い/ちりー/3ねこ(2)/納屋の鍵(2)/ハゲイナズマ/長谷川キモ彦/ふもー/投票ボーナス(3)
