お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,1位,akamutu,手術室の扉を縦に開ける,54,79.15,ＣＭＣ/はっぴーえんど/xixi(3)/白黒まみれ(2)/ましましのしま/たる棒/特効さん/ありあ/きらら(2)/クライムカイザーⅡ(2)/ケイト/やる/深井あじわい/きれいな市役所/ここはが(3)/仲人さんだー/ぽ(2)/カニビーム/倉田 をるけ/はさあかた/踊場/つくり真顔/じゃん/昨日のおみや/釜ちびちび/なめくじの乱舞(2)/ドゥラちゃん/カタン/マチ/ライトオンキュー/業務用虚無(2)/風邪め/瀬戸際ヤゴ/さいころちゃらみん/骨密度/机上で実演(2)/ゆうとってゆうとるやん/一流/デリカットケント(2)/投票ボーナス(3)
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,2位,長老_M,退院時に「完全制覇」とテロップが入る,53,78.27,あまるる/ＣＭＣ/良識/白黒まみれ/ましましのしま/たる棒/シンマイ子(2)/ありあ/クライムカイザーⅡ(2)/ぷろみん/灰色こたつ/tlicia(2)/りす/深井あじわい/ここはが/仲人さんだー(2)/ぽ/こそば/三戸/玉蜀黍(2)/akamutu(2)/ミスティカティ/昨日のおみや/ひなた/釜ちびちび/ちくわうし/葱仮面/及川広大/マチ/takahashi/業務用虚無/よしのうら/まーちゃんす/ノビッタ(2)/きみをゆるさない。/おあつらえ/田口さん🍙/静かの海(2)/大喜利の母(3)/二階から手続き/投票ボーナス(3)
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,3位,ワラピプロMEGAMAX,医療くんと呼ばれるとんでもない奴がいる,50,75.61,ＣＭＣ/食べて応援(2)/良識/ジェリ(2)/ましましのしま/おもしろ王(2)/まあまあ(2)/特効さん/クライムカイザーⅡ(3)/やる(2)/実家に帰った鶴/ハゲイナズマ/ほろほろ/テケ罪(2)/マービィ/こそば/踊場/フスマ(2)/akamutu/りんかんがっこう(3)/パピ4/葱仮面(3)/ラジウス/ドゥラちゃん(2)/カタン/マチ/さいころちゃらみん/骨密度/静かの海(3)/資本ネコ(2)/投票ボーナス(3)
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,3位,後悔しない名前を付けよう,待合室で99人脱落した回がある,50,75.61,ＣＭＣ/岡野トーチカ/yuki/中沢の人/ましましのしま/たる棒/まとこ/まあまあ(2)/特効さん/クライムカイザーⅡ(3)/ぷろみん/tlicia(2)/実家に帰った鶴/gas/しゅうぴょんz/マービィ/ビルさば/きょく/akamutu/ううここ/ミスティカティ/D-6/PD(3)/昨日のおみや/釜ちびちび/なめくじの乱舞/ラジウス/みやまる/ドゥラちゃん/キャッツアイ/takahashi/帰る亭中野周辺/まーちゃんす/五浪星/瀬戸際ヤゴ/さいころちゃらみん/こっぺ/ドロップシンカー/机上で実演(2)/二階から手続き/投票ボーナス(3)
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,5位,堅あげポテト好き,来なくても治る奴しか来ない,49,74.73,齋藤/yuki/食べて応援(2)/赤黄色/良識/ジェリ/白黒まみれ/ましましのしま(3)/おもしろ王/まあまあ/クライムカイザーⅡ/ケイト/ベンジャミン/のちほど(2)/藤の実(2)/RANRANRAN/三戸(2)/きょく/つくり真顔/じゃん/りんかんがっこう/昨日のおみや/今大会アイドル枠(3)/ちくわうし/及川広大/なめくじの乱舞/カタン/業務用虚無(3)/okaka3/モチ/brooks/瀬戸際ヤゴ(2)/大喜利の母(2)/ゆうらいど/飯田しっぺ/ゆうとってゆうとるやん(2)
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,6位,ありあ,次の患者さん、意気込みをどうぞ,44,70.3,あまるる/美味い焼肉屋(2)/はっぴーえんど/xixi/良識/まあまあ(2)/特効さん/旋風客/きらら(2)/灰色こたつ/深井あじわい/gas/ぽ/カニビーム/しゅうぴょんz/RANRANRAN/つくり真顔/じゃん/ミスティカティ/D-6/りんかんがっこう/釜ちびちび/ちくわうし/秋月杏子/及川広大(2)/マチ/業務用虚無(2)/風邪め/きみをゆるさない。/おあつらえ/瀬戸際ヤゴ/こっぺ/資本ネコ/飯田しっぺ/猫屋敷/学問のスズメ/投票ボーナス(3)
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,6位,中沢の人,今夜がクリフハンガーですね、と「山場」を難関ステージで例えてくる,44,70.3,あまるる/ＣＭＣ/美味い焼肉屋(3)/玄の字。/ましましのしま/ありあ/クライムカイザーⅡ(3)/灰色こたつ(2)/実家に帰った鶴/ハゲイナズマ/しゅうぴょんz/マービィ/きょく(2)/ミスティカティ/昨日のおみや(3)/みやまる(2)/カタン/Y氏/業務用虚無/まーちゃんす/okaka3/ノビッタ(2)/風邪め/静かの海/机上で実演(2)/二階から手続き/一流/学問のスズメ(2)/長老_M/投票ボーナス(3)
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,8位,食べて応援,常連のジジイは受付番号90番台に回される,43,69.42,ＣＭＣ/ましましのしま(3)/まとこ/きらら/りす/のちほど/きれいな市役所/仲人さんだー/しゅうぴょんz/テケ罪(3)/倉田 をるけ/マービィ/こそば/三戸(2)/踊場/PD/ひなた/今大会アイドル枠/釜ちびちび/後悔しない名前を付けよう/葱仮面/及川広大(2)/なめくじの乱舞/ドゥラちゃん/takahashi/ライトオンキュー/まーちゃんす/田口さん🍙/Sane/机上で実演/学問のスズメ(2)/長老_M/掻痒/投票ボーナス(3)
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,9位,おあつらえ,だいたいの手術が開始10秒で失敗する,42,68.53,あまるる/岡野トーチカ(2)/美味い焼肉屋/＃の中のカマ吉くん/xixi/yuki/食べて応援/ましましのしま/おもしろ王(2)/まとこ/特効さん/きらら/クライムカイザーⅡ/ハゲイナズマ/仲人さんだー/gas/ほろほろ/踊場/玉蜀黍(2)/ビルさば/じゃん/ううここ/昨日のおみや(2)/後悔しない名前を付けよう/及川広大/ドゥラちゃん/Y氏/okaka3/モチ/五浪星/田口さん🍙/こっぺ/大喜利の母/ゆうらいど/デリカットケント/投票ボーナス(3)
4532_9982_SKN,2022-10-02,149人,SASUKEとコラボした病院,NA,10位,open,処方箋まであと少しだった,40,66.76,ＣＭＣ/xixi/食べて応援/良識/白黒まみれ/ましましのしま(2)/たる棒/おもしろ王/ありあ(2)/ケイト/新Goo/きれいな市役所/仲人さんだー/gas/藤の実(2)/マービィ/はさあかた/玉蜀黍/きょく/つくり真顔/じゃん/D-6/りんかんがっこう/秋月杏子/及川広大/ドゥラちゃん/帰る亭中野周辺/まーちゃんす/ノビッタ(2)/brooks/瀬戸際ヤゴ/田口さん🍙/骨密度/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/机上で実演/ゆうらいど
