お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,1位,深井あじわい,追い出すみたいな式だった,45,92.65,頭脳まさき/実家に帰った鶴/半丙太/とりふぐ/tomo(3)/赤黄色/お肉(2)/Gully/ＣＭＣ/kamenoue/遠くを見ている/旅/世界/きゅーきゅー/やんばるた/せんだい/長老_M/きょく(2)/noodle/みそ煮込み/mississippi/若干名/三つ巴/くすも/中原ぽ麦(2)/横向きプリン/大至急(3)/ハンムラビ盲点/ひじかた/Eito1379/三戸(2)/ンノヤキ/かくれどり(2)/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,2位,PD,落ちる裏口もあるなんて,38,83.37,しろねこ(2)/頭脳まさき/山渕/美味い焼肉屋(2)/なかにし/かごの中の鳥/とりふぐ/お肉/Gully/ＣＭＣ/臭デブ(2)/kamenoue/きゅーきゅー/せんだい/noodle/大喜利/若干名(3)/くすも/中原ぽ麦/横向きプリン/大至急/ハンムラビ盲点/ケイト/ジェリ(3)/ジェンツーペンギン/さけのなかのいくら/かくれどり(2)/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,3位,ブランキーじっとして,「臀部」が書けたのは俺だけか,35,79.4,しろねこ/xixi/山渕/又三郎/各々の小野の斧/半丙太/お散歩BAR(2)/お肉/Gully/ＣＭＣ(3)/臭デブ/やんばるた/デミ侍/長老_M/すーず/てんぺちぺち/くすも/Simomi/横向きプリン(3)/薫/ハンムラビ盲点/Eito1379/キャッツアイ/ジェンツーペンギン/さけのなかのいくら/きみをゆるさない。/かくれどり/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,4位,ジェンツーペンギン,追放と言った方が正しい,29,71.45,xixi/山渕/美味い焼肉屋/みやまる/Gully/ＣＭＣ/臭デブ(3)/プーアル茶(2)/世界/やんばるた/デミ侍/長老_M/Kit/noodle/すーず/てんぺちぺち/ぽ/hp/Simomi/薫/キャッツアイ/さけのなかのいくら/きみをゆるさない。/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,5位,みやまる,偽物の中にだって本物の学問くらいある,25,66.15,しろねこ/xixi/又三郎(3)/お肉/深井あじわい/唯月/きゅーきゅー/やんばるた/きょく/noodle/すーず/当時若者(2)/三つ巴/大至急/ハンムラビ盲点/三戸(3)/ケイト/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,6位,大至急,学歴って写真でもいけますか,24,64.82,ｼｰｽﾞｰｷｬﾊﾞﾘｱ/しろねこ/頭脳まさき/実家に帰った鶴/半丙太/とりふぐ/ＣＭＣ/Kit/きょく/てんぺちぺち(3)/ぽ/hp/横向きプリン/薫/長谷川キモ彦/ジェリ/ジェンツーペンギン(2)/きみをゆるさない。/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,6位,長谷川キモ彦,シンキングタイムが4年ある,24,64.82,しろねこ/IWA(2)/みやまる/半丙太/tomo/ＣＭＣ(2)/kamenoue/旅/プーアル茶(2)/唯月/mississippi/てんぺちぺち(2)/くすも/Simomi/Y氏/ひじかた/ンノヤキ/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,8位,kamenoue,細かい人助けだけで首席となった,23,63.5,ちゃんこフォンデュ/又三郎/お肉/ＣＭＣ/深井あじわい/ブランキーじっとして/プーアル茶/きゅーきゅー/すーず/すあま御殿/若干名/当時若者/hp/ごはんリーベルト/薫/大至急/ひじかた/Eito1379/ケイト/ジェンツーペンギン/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,8位,大喜利,ここを卒業しても高卒として扱われる,23,63.5,しろねこ/頭脳まさき/xixi(2)/山渕/美味い焼肉屋/ＣＭＣ/せんだい/長老_M/noodle/てんぺちぺち(3)/若干名(2)/hp/薫/ハンムラビ盲点/Eito1379/かねまる/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,10位,tomo,ちょっとずつ変わったから気づかなかった,20,59.52,頭脳まさき/なかにし/半丙太/Gully/ＣＭＣ(2)/kamenoue(2)/プーアル茶/きゅーきゅー/きょく(2)/若干名/大至急/Eito1379(2)/ケイト/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,10位,かごの中の鳥,トークで国を回すぞ,20,59.52,ちゃんこフォンデュ/深井あじわい/臭デブ/kamenoue/プーアル茶/やんばるた/せんだい/noodle/みそ煮込み/mississippi/若干名/ぬかずけ/三つ巴/横向きプリン/ンノヤキ/キャッツアイ/きみをゆるさない。/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,10位,とりふぐ,同情だけでどこまでいけるか,20,59.52,ｼｰｽﾞｰｷｬﾊﾞﾘｱ/IWA/美味い焼肉屋/かごの中の鳥/tomo/Gully/ＣＭＣ/深井あじわい/遠くを見ている/旅/やんばるた/長老_M/mississippi/中原ぽ麦/ンノヤキ/かねまる/きみをゆるさない。/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,10位,なかにし,2年かけてネジのしめ方を学ぶ,20,59.52,しろねこ(2)/IWA/ちゃんこフォンデュ/山渕/半丙太/tomo/Gully/ＣＭＣ/せんだい/ベコタ/noodle/みそ煮込み/大喜利/薫/キャッツアイ/きみをゆるさない。/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,14位,しろねこ,シングルマザーロボを開発し貧困を１つ増やした,18,56.87,実家に帰った鶴/お散歩BAR/Gully/ＣＭＣ(2)/kamenoue/旅/世界/すーず/三つ巴/中原ぽ麦/武蔵野人(3)/さけのなかのいくら/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,15位,くすも,残念ながらあまり燃えない素材です,17,55.54,しろねこ/頭脳まさき/IWA/山渕/とりふぐ/ＣＭＣ/ブランキーじっとして/せんだい/ぬかずけ(2)/ひじかた/ケイト/ンノヤキ/かくれどり/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,15位,臭デブ,建物に日本語書いてる時点で気づくべきだった,17,55.54,ｼｰｽﾞｰｷｬﾊﾞﾘｱ/頭脳まさき/各々の小野の斧/Gully/ＣＭＣ(2)/世界/きゅーきゅー/すあま御殿(2)/大喜利/ぬかずけ/Y氏/大至急/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,17位,かねまる,俺の落書きまだ残ってた,16,54.22,IWA/ＣＭＣ(2)/きゅーきゅー/せんだい/Kit/てんぺちぺち/すあま御殿/hp/アカイダダリオのD/ケイト/ジェリ/きみをゆるさない。/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,17位,きみをゆるさない。,正夢だとしてもだな,16,54.22,頭脳まさき/みやまる/とりふぐ/PD/やんばるた/デミ侍/長老_M/きょく(2)/すあま御殿/若干名/Simomi/キャッツアイ/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,17位,きゅーきゅー,履歴書には書けないとこに合格しました,16,54.22,しろねこ/美味い焼肉屋/とりふぐ/ＣＭＣ/唯月/長老_M/noodle/みそ煮込み/大喜利/若干名/長谷川キモ彦/ンノヤキ/さけのなかのいくら/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,17位,ジェリ,キス一本でここまで来た,16,54.22,しろねこ/お肉/ハチコー/ＣＭＣ(2)/深井あじわい/ブランキーじっとして/ぽ/Simomi/三戸(3)/きみをゆるさない。/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,17位,三戸,まさかのマサ科。,16,54.22,しろねこ/ちゃんこフォンデュ/ＣＭＣ/世界/すあま御殿/大喜利/若干名/当時若者(2)/ぽ/Y氏/かねまる/さけのなかのいくら/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,17位,中原ぽ麦,ありがとうではなく、日本人でごめんなさいと思った,16,54.22,しろねこ/とりふぐ/赤黄色/遠くを見ている/世界/きゅーきゅー/長老_M/mississippi/若干名/長谷川キモ彦/かくれどり(3)/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,17位,ＣＭＣ,もうめんどくさいので卒業までタナカで通しました,16,54.22,しろねこ/頭脳まさき/各々の小野の斧/お肉/ハチコー/深井あじわい/PD/きゅーきゅー/Kit/mississippi/hp/ぬかずけ/さけのなかのいくら/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,24位,Eito1379,よし、ここでもいっぱい鼻に消しゴム詰めるぞ,15,52.89,ｼｰｽﾞｰｷｬﾊﾞﾘｱ/しろねこ/ちゃんこフォンデュ/ＣＭＣ(2)/せんだい/若干名(2)/ごはんリーベルト/ジェリ/ンノヤキ/かねまる/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,24位,やんばるた,アメリカの高校生が模試でふざけて志望校にする,15,52.89,ｼｰｽﾞｰｷｬﾊﾞﾘｱ/実家に帰った鶴(2)/ちゃんこフォンデュ/山渕/みやまる/なかにし/ＣＭＣ/すーず/大喜利/当時若者/さけのなかのいくら/投票ボーナス(3)
3287_9580_NYY,2022-10-09,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3287_9580_NYY.jpg,24位,遠くを見ている,勉強を好きになることですね,15,52.89,半丙太/tomo(2)/お肉/深井あじわい/やんばるた/デミ侍/Kit/noodle/若干名/キャッツアイ/かくれどり/投票ボーナス(3)
