お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,1位,tomo,共通の敵,51,79.11,じゃん/ぴょん/Simomi/3ねこ/だうらぎり/ハチコー/餃子/ふもー/お肉/ジェンツーペンギン/ドブ/天才(3)/ぽ/業務用虚無(2)/きみをゆるさない。/ばっは/青いかさ/骨密度/ミスティカティ/おゆ(3)/いりまめ/夢描めろん/ばしはし/長老_M/ペルシャ猫の家出/Longab/mississippi/んん゛/ドゥラちゃん/サメVS巨大タコス/セトピア/ましましのしま/ネオ/うわぁ/赤ぺこり/brooks/悪魔が夜来る/fumiyan/大至急/昨日のおみや(2)/2番管/メロディックストーム/投票ボーナス(3)
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,2位,パテ,履き違えた個性,48,76.16,又三郎(2)/じゃん/Simomi/寺井/しろねこ/きゅーきゅー(3)/オギノテンマ(2)/良い革靴/美ナスビ/暴風よ吹け/open/お汁かける/ばっは/にゃん氏/猫屋敷/なめくじの乱舞/かくれどり/なかにし/hp/夢描めろん/ばしはし/あっきーな(2)/玄の字。/オチカ/若干名/ましましのしま(3)/りんかんがっこう/みやまる(2)/ジェリ/ううここ/右肩重心/昨日のおみや(3)/メロディックストーム/ほに/まきびし/投票ボーナス(3)
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,3位,熱と気体,よくよく聴くとお前が悪い,45,73.2,遠くを見ている/焼き網膜/寺井/女子フルーレ団体決勝/ハチコー/sakamata2/美ナスビ/ふもー/デミ侍/お肉(2)/頭脳まさき/射的屋/ゆうらいど/中身/踊場/にゃん氏/さっくら観光(2)/ゆーびっく/キャッツアイ/やる/Longab/ほろほろ/ドゥラちゃん(2)/＃の中のカマ吉くん/サメVS巨大タコス/ましましのしま(2)/りんかんがっこう/お洗濯(2)/うわぁ/バトルアックス(2)/後悔しない名前を付けよう/世界/TwistNight/2番管/ほに/まきびし/投票ボーナス(3)
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,4位,xixi,トロピカルな死,44,72.22,かーたー/又三郎(2)/人中アタッカー/しろねこ/ハチコー/ラスター(3)/お肉(2)/パンジ/ドブ(2)/頭脳まさき(2)/射的屋/ワッショイサンバ/tomo/お汁かける/おゆ(2)/パテ(2)/A味噌汁/なかにし/カカ/ホーミング/夢描めろん/mississippi/若干名/シュヴァルツ/ノビッタ(2)/TwistNight/大至急(2)/右肩重心/サラブレッドトマト(3)/投票ボーナス(3)
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,5位,ぷにぷにのカニ,バ行,42,70.25,遠くを見ている(2)/焼き網膜(3)/Simomi/3ねこ/だうらぎり(2)/ハチコー(2)/暴風よ吹け/ドブ/ゆうらいど/open/気球マイスター/いりまめ/夢描めろん/ゆーびっく/ドゥラちゃん(3)/ハンムラビ濱(3)/新Goo/ネオ/シュヴァルツ/後悔しない名前を付けよう/与助/ハルマレ(3)/帆乃/一流/TwistNight/右肩重心/メロディックストーム/金庫番/投票ボーナス(3)
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,5位,ヘルシー帝,明日は我が身,42,70.25,遠くを見ている/Simomi/寺井/だうらぎり/ハチコー/ラスター(3)/きゅーきゅー/良い革靴/デミ侍/天才/頭脳まさき/射的屋/ワッショイサンバ(2)/noodle/open/お汁かける/業務用虚無(2)/きみをゆるさない。/こそば/にゃん氏/なめくじの乱舞/アナゴさん/長老_M/やる/緑が好き/若干名/赤ぺこり/悪魔が夜来る/ううここ/大至急/右肩重心/昨日のおみや(2)/2番管(2)/投票ボーナス(3)
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,5位,若干名,私が人間のうちに殺して,42,70.25,人中アタッカー/女子フルーレ団体決勝/ラスター(2)/きゅーきゅー(2)/美ナスビ/ふもー/きれいな市役所/デミ侍/パンジ/暴風よ吹け(2)/頭脳まさき(3)/業務用虚無(2)/ばっは/ミスティカティ/猫屋敷/かくれどり(2)/okaka3(3)/つくり真顔/ゆーびっく/あっきーな/Longab/ほろほろ/＃の中のカマ吉くん/ましましのしま/お洗濯(2)/kubodi/ノビッタ/世界/ダダダチョウ/投票ボーナス(3)
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,8位,りんかんがっこう,全花言葉無効,40,68.28,じゃん/名詞句移動/Simomi/寺井(2)/だうらぎり(2)/ハチコー(2)/ラスター(3)/美ナスビ/open/あまるる/こそば/おゆ(2)/さっくら観光/つくり真顔/カカ/アナゴさん/ペルシャ猫の家出/Longab(2)/若干名(2)/otogi/ぷろみん(2)/D-6/机上で実演(2)/後悔しない名前を付けよう/ノビッタ(3)/投票ボーナス(3)
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,9位,女子フルーレ団体決勝,普段は大人しいんですけどね,39,67.29,寺井/シンマイ子/ハチコー/オギノテンマ/餃子(2)/シーサイド品川/tomo/あまるる/ばっは/骨密度/ミスティカティ/猫屋敷/少しだけ賢い/かくれどり(2)/なかにし/いりまめ/ゆーびっく/あっきーな/アナゴさん/やる/PD/mississippi/ドゥラちゃん/サメVS巨大タコス/若干名/otogi(2)/お洗濯(2)/fumiyan/2番管/ほに(2)/サラブレッドトマト/投票ボーナス(3)
6941_0628_MPP,2022-10-18,164人,花言葉を教えてください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6941_0628_MPP.jpeg,9位,長老_M,見えている地雷,39,67.29,かーたー/じゃん/Simomi/3ねこ/シンマイ子/頭脳まさき/踊場/お汁かける/業務用虚無/青いかさ/おゆ(3)/にゃん氏/A味噌汁/静かの海/ふわっと/ヘルシー帝/いりまめ/okaka3(2)/ばしはし/PD/半丙太/ドゥラちゃん(2)/ぷにぷにのカニ/ましましのしま(2)/堅あげポテト好き(2)/きまぐれ/kubodi/右肩重心/昨日のおみや/ダダダチョウ/投票ボーナス(3)
