お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,1位,んん゛,この野菜は私が育てたAIが育てました,63,91.75,お汁かける/シュヴァルツ/しゅうぴょんz/とんかつラーメン/仮囲い(2)/スピ力/せんだい/xixi(2)/アマテイン(2)/いりまめ/モチ/ふもー/七輪車/omiun/後悔しない名前を付けよう/ひなた/昨日のおみや/やんばるた/齋藤/ダダダチョウ/otogi/砂/ハッスル運動会/ターンブル/あっきーな/あいし/美ナスビ/お洗濯/RANRANRAN/良い革靴/泥だ/頭脳まさき(3)/ももぐも/珍百景のクロ/hhvm(3)/ゆきみ/うえじゅん/ハチコー/明石/アキラ(湊一角)(2)/No Image(2)/猫屋敷/タベタベタ(3)/ううここ/シンマイ子(2)/sakamata2/きゅーきゅー/中サラ/投票ボーナス(3)
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,2位,うえじゅん,「バグが多いね」「無農薬ですから」,61,89.87,少しだけ賢い(2)/カンガルーノート(2)/とんかつラーメン/山渕(2)/なか卯ー/xixi/塩鮭(3)/ワッショイサンバ(2)/アマテイン(2)/いりまめ/七輪車/omiun/こそば/じゃっくん/昨日のおみや(2)/スポーツバッグ/押韻亭雅楽太(2)/ガッボデ(2)/うましか(2)/うわぁ(2)/缶ポロ/あっきーな/852/real_yagi(2)/良い革靴/日直/800/9月が終わったら起こして/ふわっと/寿司ブルドーザー(2)/サーベル/みやもり/hhvm(3)/ゆきみ/灰根/ハチコー/ここはが/アキラ(湊一角)(2)/No Image/こたつ/sakamata2/投票ボーナス(3)
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,3位,齋藤,おーい母ちゃん、大根インストールしといてくれ,47,76.71,パサ/しゅうぴょんz(3)/スピ力/山渕/せんだい/中沢の人(2)/꒰ঌPё天使໒꒱(2)/ふもー/七輪車/gas/旋風客/資本ネコ/ホテル三国志/スポーツバッグ/ガッボデ/うましか(2)/ハッスル運動会/缶ポロ/みやまる(2)/良い革靴/泥だ/サーベル/みやもり/hhvm/ゆきみ/うえじゅん/灰根/ハチコー(2)/ここはが/ぽっと出川/猫屋敷/ばっは/ランゲル・ハンス/エビ(3)/きゅーきゅー/投票ボーナス(3)
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,4位,xixi,悪いな兄ちゃん、Dランク市民に売れる野菜は無いんだ,45,74.83,シュヴァルツ(3)/カンガルーノート/試家軽気/射的屋/とんかつラーメン/仮囲い(2)/山渕/フイ/七輪車/アウク/ソフト/こそば/んん゛/旋風客/柑橘瑠偉/昨日のおみや(2)/齋藤/スポーツバッグ/農家/掻痒/砂/852/さとうふじこ/良い革靴/机上で実演/ももぐも/サーベル/hhvm/たなおろしトロピカル/ゆきみ/ハチコー/男も育休(2)/ぽっと出川/猫屋敷/よーすけ/ばっは/sakamata2/投票ボーナス(3)
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,5位,9月が終わったら起こして,最近無農薬の方が怖がられる,42,72.01,シュヴァルツ/少しだけ賢い/しゅうぴょんz(2)/smiley(3)/仮囲い/なか卯ー/フイ/中沢の人/すーず/後悔しない名前を付けよう/gas/柑橘瑠偉/むもん/昨日のおみや/やんばるた/農家/うましか(2)/かごの中の鳥/real_yagi(2)/RANRANRAN/机上で実演/日直/ヌペシコ/800/ノビッタ/寿司ブルドーザー/たなおろしトロピカル/ハチコー/ここはが/ぽっと出川/猫屋敷/タベタベタ/よーすけ/シンマイ子/投票ボーナス(3)
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,6位,なか卯ー,生産者のこれまでが見える,41,71.07,シュヴァルツ/パサ/射的屋/赤黄色/せんだい/フイ/塩鮭/中沢の人/すーず/꒰ঌPё天使໒꒱(3)/モチ/gas/資本ネコ/ホテル三国志/昨日のおみや/やんばるた/押韻亭雅楽太/農家/うましか/ターンブル/あっきーな(2)/852/さとうふじこ/美ナスビ/ラジウス/日直/泥だ/800/9月が終わったら起こして/ここはが/男も育休/No Image/akamutu/タベタベタ/こたつ/投票ボーナス(3)
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,7位,物数,店主の冗談の文化のみ残り、娯楽施設という扱いになった,39,69.19,シュヴァルツ/仮囲い/ワラピプロMEGAMAX/山渕/なか卯ー(3)/フイ/ワッショイサンバ(3)/ふもー/こそば/んん゛/倉田 をるけ/ひなた(3)/資本ネコ/柑橘瑠偉/昨日のおみや(2)/赤ぺこり/やんばるた/農家/あいし/お洗濯/RANRANRAN/良い革靴(2)/ラジウス/日直/珍百景のクロ/ハチコー/男も育休/中サラ/投票ボーナス(3)
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,8位,いりまめ,大豆が欲しかったら肉屋行きな,37,67.31,シュヴァルツ/パサ/山渕/xixi(2)/塩鮭(2)/ふもー/gas/旋風客/ダダダチョウ/砂/野沢さん/お洗濯(3)/机上で実演/幽体/ヌペシコ(3)/サメVS巨大タコス(2)/ももぐも/800/9月が終わったら起こして/hhvm/ゆきみ/男も育休/No Image/タベタベタ/よーすけ(2)/こたつ/投票ボーナス(3)
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,9位,こそば,大将の脳だけが水槽に浮かんで「ラッシャイ」と言い続けている,36,66.37,試家軽気/射的屋/ワラピプロMEGAMAX/スピ力/꒰ঌPё天使໒꒱(3)/いりまめ/omiun/そいそーす(3)/ひなた/ホテル三国志/昨日のおみや(2)/赤ぺこり/農家(2)/あっきーな(2)/かーたー/お洗濯/物数/IWA/ハチコー/男も育休(2)/ぽっと出川/猫屋敷/ううここ/こたつ/中サラ/投票ボーナス(3)
1690_8192_TDT,2022-10-30,140人,近未来の八百屋,NA,9位,ランゲル・ハンス,食べると生産者の顔が浮かぶ,36,66.37,お汁かける/シュヴァルツ/少しだけ賢い/射的屋/仮囲い/赤黄色/山渕/せんだい/モチ/メタリカ/資本ネコ/むもん/昨日のおみや/赤ぺこり/やんばるた/農家/otogi/あっきーな/さとうふじこ/あいし/美ナスビ/800/珍百景のクロ(2)/ゆきみ/IWA/ハチコー(2)/ぽっと出川/悪魔が夜来る/タベタベタ/ばっは/こたつ/投票ボーナス(3)
