お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,1位,Gully,バトン「バトン」,46,85.82,ほに/rayleigh/毒念/カタン/世界/さけのなかのいくら/こたつ/ドゥラちゃん/ちくわうし/釜ちびちび(3)/若干名(2)/寿司ブルドーザー/ウンテルデンの申し子/シュヴァルツ/西口音弥/3ねこ/Y氏/しらたき(3)/後悔しない名前を付けよう/中沢の人/音に乗る及び腰(3)/かくれどり/Simomi/やる/たいら(2)/ガッボデ/恥さらしのスパゲッティ(2)/ガブリエル・カサクシア/real_yagi/イタリア人/TwistNight(2)/玄の字。/大道無門/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,2位,みやまる,4回コケてるやつの台詞とは思えない,41,79.78,ほに/けん坊/rayleigh/ZZR250/せんだい/アナゴさん/すあ(3)/駄三盆/otogi/さけのなかのいくら/フイ/ちくわうし/若干名/ウンテルデンの申し子/昨日のおみや(2)/トリニダード木箱/NHK48/ライトオンキュー/プーアル茶/じゃん/星野/僕は純粋/明石(2)/きゅーきゅー/音鳴ヨチ/Figaro/又三郎/アウク/ぽぽ/ジェリ/TwistNight/ううここ/玄の字。/大道無門/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,3位,じゃん,ごめん今両手塞がってて,40,78.57,パンジ/ほに/シンマイ子(2)/Kit/白黒まみれ/ZZR250/せんだい/ハルマレ(2)/さけのなかのいくら/悪魔が夜来る/とりふぐ/シュヴァルツ/NHK48/3ねこ/しろねこ/ドルフィンキック/後悔しない名前を付けよう/明石(2)/音に乗る及び腰(2)/稲作の不安/sapo(3)/きゅーきゅー(2)/さいころちゃらみん/brooks/ちぇん/恥さらしのスパゲッティ/アウク/Gully/ガブリエル・カサクシア/森山/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,4位,恥さらしのスパゲッティ,ありがとう、洗って返すね。,33,70.12,Kit/んん゛/白黒まみれ/毒念/アナゴさん/駄三盆/農家/ドゥラちゃん/頭脳まさき/業務用虚無/悪魔が夜来る/昨日のおみや/とりふぐ/きまぐれ/3ねこ/しろねこ/灰色こたつ/ドルフィンキック/Y氏/僕は純粋/中沢の人/さいころちゃらみん(3)/brooks/右肩重心/たいら/キング/大喜利の練習/イタリア人/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,5位,3ねこ,作法とかありますか,32,68.91,住まなくても都/んん゛/路地裏/やもりみゆき/すあ(3)/世界/農家(2)/フイ/無知な豚キムチ/とりふぐ/納屋の鍵/きまぐれ(2)/PD/中沢の人/みやまる(2)/きゅーきゅー/音鳴ヨチ/キング(2)/chikira/Gully/TwistNight/玄の字。/大道無門/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,5位,世界,筆圧弱い持ち方ね,32,68.91,住まなくても都(2)/白黒まみれ/お洗濯/路地裏(2)/otogi/若干名/昨日のおみや/トリニダード木箱/プーアル茶/PD/しろねこ/みやまる(2)/さいころちゃらみん(3)/音鳴ヨチ/ととまる(3)/たいら/Figaro/kondake_(2)/ジェリ/流星の絆/TwistNight/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,7位,Kit,目を見て渡せよ,31,67.7,パンジ/セトピア(3)/せんだい/フイ/ドゥラちゃん/ウンテルデンの申し子/悪魔が夜来る/とりふぐ/トリニダード木箱/PD/じゃん/ドルフィンキック/僕は純粋/音に乗る及び腰/sapo(3)/Simomi/みやまる(2)/ととまる/やる/kondake_/キング/森山(2)/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,7位,Simomi,話せば分かる、一旦置け,31,67.7,パンジ/住まなくても都/シンマイ子/ハルマレ(2)/農家/こたつ/若干名/無知な豚キムチ/寿司ブルドーザー/悪魔が夜来る/きまぐれ/D-spot/PD/じゃん/星野/ドルフィンキック/Y氏/brooks/ヒカル/キング/恥さらしのスパゲッティ/Gully/ジェリ/イタリア人/TwistNight/ううここ/大道無門/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,9位,錠剤ロンド,俺からもバトンだ！受け取ってくれ！！,30,66.49,掻痒/パンジ/Kit/rayleigh/せんだい/カタン(2)/ハルマレ(2)/さけのなかのいくら/フイ/ちくわうし/ねむみ/若干名/寿司ブルドーザー/業務用虚無/とりふぐ/シュヴァルツ/じゃん/灰色こたつ(2)/おきよ/さっくら観光/僕は純粋/しらたき(3)/中沢の人/長老_M/chikira
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,10位,PD,午後は断ってるんだ,29,65.29,住まなくても都/Kit/んん゛/毒念/やもりみゆき/アナゴさん/ハルマレ/農家(2)/フイ/若干名/悪魔が夜来る/きまぐれ/くすも/3ねこ/しろねこ/じゃん/きゅーきゅー/ととまる/コク/たいら/長老_M/ジェリ(2)/TwistNight/森山/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,10位,大道無門,おう！それでどうすればいい？,29,65.29,パンジ/住まなくても都/A味噌汁/Kit/飯田しっぺ/カタン(2)/ハルマレ(3)/フイ/泥だ/きまぐれ/NHK48/ドルフィンキック/中沢の人/かくれどり/高見盛/きゅーきゅー(2)/右肩重心(2)/長老_M/chikira/赤黄色/玄の字。/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,12位,瀬戸際ヤゴ,バトン｢やさしくね｣,28,64.08,パンジ/白黒まみれ/すあ(3)/ねむみ/釜ちびちび/若干名/業務用虚無/D-spot/シュヴァルツ/3ねこ/しろねこ/灰色こたつ/おきよ/ベンジャミン(2)/かくれどり/ソフト/コク(2)/キング/又三郎/ガッボデ(2)/real_yagi/TwistNight/大道無門
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,12位,赤黄色,バトン「吉岡！俺だ！受け取れ！」,28,64.08,パンジ/A味噌汁/白黒まみれ(2)/飯田しっぺ/若干名/寿司ブルドーザー/頭脳まさき(2)/業務用虚無/泥だ/昨日のおみや/シュヴァルツ/西口音弥/ライトオンキュー/さっくら観光/資本ネコ/高見盛/brooks(2)/又三郎/ガッボデ/chikira/流星の絆/大道無門/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,14位,ハルマレ,振りかぶるな,27,62.87,ほに(2)/シンマイ子(2)/んん゛/rayleigh/お洗濯/やもりみゆき(2)/otogi/農家/こたつ/ドゥラちゃん/合鴨の世界/シュヴァルツ/PD/しろねこ/灰色こたつ/おきよ/ドルフィンキック/音鳴ヨチ(2)/Figaro/森山/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,15位,とりふぐ,タピオカを飲んだような形跡がある,26,61.66,飯田しっぺ/すあ(3)/otogi(2)/こたつ/ドゥラちゃん/若干名/ウンテルデンの申し子/昨日のおみや/きまぐれ/トリニダード木箱/西口音弥/しろねこ/中サラ/sapo(3)/Simomi/右肩重心/TwistNight/大道無門/投票ボーナス(3)
1339_9647_MPF,2022-11-11,129人,"（運動会の最終種目リレーにて）
杉本くん「吉岡！バトンだ！受け取れ！」",NA,15位,やもりみゆき,これで3本目だ,26,61.66,飯田しっぺ/お洗濯(2)/路地裏/すあ(3)/ハルマレ(2)/アルブラレリー/泥だ/昨日のおみや/トリニダード木箱/おきよ/brooks/ととまる/たいら/キング/恥さらしのスパゲッティ/Gully(2)/real_yagi/イタリア人/投票ボーナス(3)
