お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,1位,くすも,こう干せ,40,90.59,循環/べーつる(2)/ベンジャミン/800/赤黄色/ちくわうし/パピ4/＃の中のカマ吉くん/珍百景のクロ(2)/ドゥラちゃん/昨日のおみや(2)/9月が終わったら起こして/バトルアックス/試家軽気/カンガルーノート/いっぱい秋/ミズノエル/モカモカ/永栄/brooks/おーるG(3)/中サラ(2)/カクレミノムシ/随契/白黒まみれ/気球マイスター/nk_(3)/kamenoue/旧式/ほ/杏露酒/ドルフィンキック
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,2位,おーるG,己の弱さ,28,73.01,循環/べーつる/あきたこまちにひとめぼれ(2)/グミガム/パピ4/物数/昨日のおみや(2)/ニューロン(2)/わけわかめ/eakon_zuki/明石/タベタベタ/ラジウス/244cm265kg(2)/及川広大/山田2.0/気球マイスター/kamenoue/不可視芋/ねむみ/ほろほろ/投票ボーナス(3)
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,2位,及川広大,アチョラーの心理学,28,73.01,Y氏/あきたこまちにひとめぼれ(3)/やる/たいら/さんべ商会(2)/試家軽気/カンガルーノート(2)/わけわかめ/いっぱい秋/brooks(2)/カクレミノムシ/タベタベタ/しろねこ/ノビッタ/kamenoue/不可視芋/ねむみ/しらたき(2)/Gully/投票ボーナス(3)
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,2位,永栄,民主主義とヌンチャク,28,73.01,循環/べーつる(2)/ほに(2)/グミガム(2)/ちくわうし/kevin/たいら/9月が終わったら起こして/きよすく(2)/中サラ/ラジウス/随契(3)/しろねこ/山田2.0/不可視芋/ダスチン・コフマン(2)/しらたき(2)/投票ボーナス(3)
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,5位,ドゥラちゃん,他人の葬式でバレずにやる方法,27,71.55,ベンジャミン/吉高/ほに/800/グミガム/ちくわうし/珍百景のクロ/物数/昨日のおみや/たいら/ニューロン/ミズノエル/おーるG(3)/中サラ/ラジウス/ランゲル・ハンス/白黒まみれ/しろねこ/気球マイスター/ほ/Gully/ドルフィンキック/投票ボーナス(3)
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,6位,ランゲル・ハンス,最初は振り回すことより振り回されないことを意識する,24,67.15,Y氏/ほに(2)/ハッスル運動会(2)/かつと/昨日のおみや/さんべ商会/わけわかめ/いっぱい秋/eakon_zuki/ミズノエル/タベタベタ/随契/気球マイスター/ダスチン・コフマン(3)/しらたき(2)/ほろほろ/投票ボーナス(3)
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,6位,気球マイスター,違う、それは痛いだけ,24,67.15,べーつる(2)/吉高/ほに(2)/ハッスル運動会/かつと/珍百景のクロ/ニューロン/さんべ商会/かねまる/eakon_zuki/ぽんいえ/及川広大(2)/kamenoue/しらたき(2)/業務用虚無(2)/ドルフィンキック/投票ボーナス(3)
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,8位,しらたき,ヌ→ン→チャク❌　ヌ↑ンチャク⭕️,23,65.68,ikdboy(3)/Y氏/たいら/きよすく/わけわかめ/eakon_zuki/ミズノエル/ふるにあ/中サラ(2)/随契/山田2.0/気球マイスター/nk_(2)/田口さん🍙/杏露酒(2)/投票ボーナス(3)
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,8位,パピ4,負けるか、かっこよく負けるかで考えてください,23,65.68,ikdboy(2)/ベンジャミン/800/赤黄色/グミガム/大喜るのすけ/かねまる/永栄(2)/カクレミノムシ/244cm265kg(3)/ランゲル・ハンス/しろねこ/ノビッタ/かごの中の鳥/omiun/ドルフィンキック/投票ボーナス(3)
5153_3417_YGX,2022-11-23,96人,カンフー大学ヌンチャク学部ではこんなことを学ぶ,NA,10位,ほに,薄着であればあるほど強い,22,64.22,ダダダチョウ/赤黄色/かつと/珍百景のクロ/やる/バトルアックス/ニューロン/チャイニーズマフィア/eakon_zuki/ミズノエル/中サラ(2)/カクレミノムシ(2)/しろねこ/ノビッタ/旧式(2)/ほ/投票ボーナス(3)
