お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,1位,半丙太,音でわかるファンがいた,57,89.84,かぼちゃ/樫本ほーほけきょ(2)/五言舌禍/シンマイ子/1ドル/つか/kamenoue(3)/ニューロン(2)/机上で実演(2)/少しだけ賢い/里/ホテル三国志/ハッスル運動会/珍百景のクロ(2)/明石/骨密度/とーちか/omiun/きれいな市役所/かつと/くすも/＃の中のカマ吉くん/暮らし/とりふぐ/頭脳まさき/いっぱい秋/森山/ゆめみ(2)/おきよ/すーず/ダスチン・コフマン/800/トドのつまみ(3)/eakon_zuki/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/あまるる/テケ罪(2)/鋼鉄マシュマロ(3)/モチ/赤黄色/まきびし/フイ/投票ボーナス(3)
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,2位,一流,誰にもバレずに昼に1発打てた,46,79.21,かぼちゃ/シャンプー/及川広大/大道無門/シンマイ子/寺井/さんべ商会(2)/ライトオンキュー/あっきーな(2)/つか(2)/れれれのれき(3)/世界/きらら/kamenoue/里/ぜ。/是非/骨密度/半丙太/暮らし/brooks(2)/めがじ/いっぱい秋/ありあ/そいそーす/ゆめみ(2)/おきよ/800/螺旋貝柱/じゃん/eakon_zuki/アキラ(湊一角)(2)/あまるる/モチ/まきびし/投票ボーナス(3)
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,3位,kamenoue,ヒマワリが花火の方に向きを変えた,43,76.31,耳ぶた(2)/五言舌禍/あっきーな/しらたき(2)/ニューロン/kubodi/里/しろねこ/ハッスル運動会/珍百景のクロ/ドルフィンキック/しゃちほこ(2)/たいら(2)/住まなくても都/ふわっと(2)/白黒まみれ/くすも/寿司ブルドーザー/ゆうとってゆうとるやん/かごの中の鳥/ㅤ/brooks/アマテイン/めがじ(2)/ゆめみ/おきよ/すーず(2)/じゃん/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/モチ(2)/まきびし/悪魔が夜来る/投票ボーナス(3)
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,3位,フニャダキシン,花火を見たアンミカが「全部ある」と言った,43,76.31,かぼちゃ/耳ぶた(2)/いち/大道無門/大喜るのすけ/ライトオンキュー(2)/しらたき/れれれのれき(3)/世界/kamenoue/ぜ。/パピ4/珍百景のクロ/さつまいも/後悔しない名前を付けよう/たいら(2)/山田2.0(2)/ふわっと(2)/とーちか/白黒まみれ/さいころちゃらみん/100エーカーの森喜朗/よれん(3)/暮らし/かごの中の鳥/アマテイン(2)/マサ内藤/ありあ/実家に帰った鶴/eakon_zuki/投票ボーナス(3)
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,5位,大道無門,引きこもりの息子がひさびさに窓を開けた,42,75.35,大喜るのすけ/せんだい/シンマイ子/さんべ商会(2)/1ドル(2)/しらたき(2)/kubodi/里/しろねこ/珍百景のクロ(2)/明石/住まなくても都/omiun/かつと/100エーカーの森喜朗/半丙太/コク(2)/あいし/とりふぐ/アマテイン(2)/めがじ/おきよ/じゃん(2)/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/あまるる/鋼鉄マシュマロ(2)/赤黄色/ううここ/まきびし/悪魔が夜来る/フイ/投票ボーナス(3)
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,6位,住まなくても都,師匠が死ぬとき音がした,41,74.38,シャンプー(3)/いち/五言舌禍(2)/寺井/さんべ商会/オズ/つか/れれれのれき/rayleigh/kamenoue/ニューロン(2)/少しだけ賢い/ぜ。/是非/セトピア(2)/かつと/コク(2)/くすも/シーサイド品川/月の瞼/とりふぐ/いっぱい秋/森山(2)/チャイニーズマフィア/一流/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/テケ罪(2)/赤黄色/ベンジャミン/ううここ/投票ボーナス(3)
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,7位,ペッタ,ブラ着けながら「花火みたいだった」と言ってくれた,39,72.45,いち/大道無門/ライトオンキュー/あっきーな(2)/オズ/ぜ。(3)/ハッスル運動会/さつまいも/omiun/白黒まみれ/100エーカーの森喜朗/半丙太/コク/あいし/ゆうとってゆうとるやん(2)/暮らし(2)/フニャダキシン(2)/橋本インフィニティ直也(2)/さっくら観光/めがじ(2)/自由人/おきよ/ダスチン・コフマン/螺旋貝柱/一流/eakon_zuki/カンガルーノート(3)/ベンジャミン(2)
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,8位,暮らし,形容詞以外で褒められた,37,70.51,いち/せんだい/れれれのれき(3)/机上で実演/少しだけ賢い/誤字/さつまいも/住まなくても都/骨密度/ふわっと(2)/とーちか(3)/＃の中のカマ吉くん/ゆうとってゆうとるやん/とりふぐ/フニャダキシン/自由人/ありあ/森山(2)/長谷川キモ彦/チャイニーズマフィア(2)/トドのつまみ/じゃん/実家に帰った鶴/テケ罪(2)/赤黄色/フイ/投票ボーナス(3)
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,9位,とりふぐ,最強の格闘家に隙ができた,35,68.58,耳ぶた(2)/いち/あっきーな/世界/kamenoue(2)/しろねこ/ぜ。/是非/ハッスル運動会/珍百景のクロ/しゃちほこ(2)/山田2.0/住まなくても都/さいころちゃらみん(2)/月の瞼(2)/フニャダキシン/自由人/長谷川キモ彦/すーず/800/一流/eakon_zuki/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/テケ罪/みやもり/ベンジャミン/パンジ/投票ボーナス(3)
7902_7321_CAI,2022-11-26,134人,花火職人やってて一番感動したこと,NA,10位,きらら,きょうもまた、誰かの「好き」をかき消せた,34,67.62,耳ぶた(2)/樫本ほーほけきょ(2)/JaxanYury/いち/大道無門/さんべ商会/1ドル/rayleigh/ニューロン(3)/パピ4/誤字/山田2.0(2)/ふわっと(2)/omiun/よれん/暮らし/月の瞼/マサ内藤/すーず/800/eakon_zuki/パンジ/まきびし(2)/フイ/投票ボーナス(3)
