お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,1位,ノビッタ,青雲のＣＭが意味深すぎる,84,100.29,みーくん(3)/Simomi/rayleigh(2)/盛りすぎ店長/ムーリクストイナ/寺井/セトピア(3)/試家軽気(2)/D-6/シュヴァルツ(3)/ワッショイサンバ/中サラ/ハッスル運動会/納屋の鍵/猫屋敷/暮らし/がんばりま翔/ソフト/トリニダード木箱/ふもー/春巻き、咲いちゃいました/omiun/きらら(2)/やや不安/おきよ/PD(2)/白黒まみれ(3)/ピチピチマッチョまちゅり/他のＰ/田口さん🍙/なかにし/うえじゅん/ナンの一部/うわぁ(2)/プーアル茶/ぜ。(3)/螺旋貝柱(2)/実家に帰った鶴(2)/いっぱい秋/ぽっぽ/音の里/シンマイ子/寿司ブルドーザー/及川広大(2)/おてつき(3)/あいし/ちぇん(2)/ううここ/南部屋敷/＃の中のカマ吉くん/あいつら全員町内会/ニューロン/フイ/資本ネコ/泥だ/まきびし/ふわっと(2)/あまるる/まろ/投票ボーナス(3)
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,2位,とりふぐ,私が「顔だけはやめてください」と言いますので,61,82.27,たいら/珍百景のクロ/ペッタ/さんべ商会/ランゲル・ハンス/森山/アマテイン/rayleigh/明石/きれいな市役所/ノビッタ/やじうさん/みやもり/長老_M/D-6/北戸田スイッチ/ししだ/頭脳まさき(2)/Y氏/納屋の鍵(2)/一酸化炭素/ほろほろ/フニャダキシン(2)/トリニダード木箱/永栄/omiun/棒(2)/ぬりかべ/kamenoue/合鴨の世界(2)/ナンの一部(2)/螺旋貝柱/マイナスいち髪(2)/実家に帰った鶴/遠くを見ている/二階から手続き/初心者まゆげ(2)/寿司ブルドーザー/ちぇん(2)/台湾まぜそば(2)/ありあ/カクレミノムシ/フイ/まきびし/やる/あまるる/鮒侍/まろ/投票ボーナス(3)
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,3位,ランゲル・ハンス,私が女を殴った後に優しくしますので,57,79.14,たいら/くすも(2)/森山/きれいな市役所(2)/eakon_zuki/長老_M/中サラ(2)/ししだ/なんこつ/アウク(2)/永田おふとん/猫屋敷/暮らし/がんばりま翔/水谷新太郎/フニャダキシン(2)/モチ/GYAI/永栄/omiun/棒/C.C.C/高見盛/kamenoue/田口さん🍙/なかにし/うえじゅん/つか(2)/ラジウス/骨密度/マイナスいち髪/実家に帰った鶴/気球マイスター/ぽっぽ/アガリブル/初心者まゆげ(2)/寿司ブルドーザー/テケ罪/あいつら全員町内会/ニューロン/カクレミノムシ/資本ネコ/泥だ/まきびし/ふわっと(3)/投票ボーナス(3)
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,4位,骨密度,さあ終わりました笑点,53,76.01,シャンプー/じゃん/くすも/Simomi/ノビッタ/赤黄色/試家軽気(2)/D-6(2)/シュヴァルツ(3)/せんだい/北戸田スイッチ/なんこつ/倉田 をるけ/水谷新太郎/フニャダキシン/3ねこ/モチ/チャイニーズマフィア/春巻き、咲いちゃいました(2)/omiun(3)/きらら(2)/おきよ/PD(3)/白黒まみれ/なかにし/うえじゅん/後悔しない名前を付けよう/ナンの一部/ラジウス/気球マイスター(2)/遠くを見ている/二階から手続き/あいし/物数/ううここ/南部屋敷/あまるる/暴風よ吹け/とりふぐ/投票ボーナス(3)
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,5位,ぬりかべ,次のおdieにまいりましょう。,52,75.22,さんべ商会(2)/盛りすぎ店長(2)/9月が終わったら起こして/eakon_zuki/やじうさん/長老_M/試家軽気/大喜利/納屋の鍵(2)/猫屋敷/いのちのぶんなぐり(3)/一酸化炭素/ほろほろ/ソフト/トリニダード木箱/モチ/おきよ/ミスティカティ/PD/高見盛/白黒まみれ/他のＰ(2)/田口さん🍙/なかにし/下痢ネキ(3)/うわぁ/ぜ。/螺旋貝柱/ぽっぽ/おてつき/あいし/ううここ/渚にて(3)/あいつら全員町内会(2)/フイ/泥だ/ふわっと/あまるる/投票ボーナス(3)
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,6位,Simomi,観客笑ってるの怖すぎる,47,71.31,たいら/珍百景のクロ/みーくん(2)/さんべ商会/寺井/みやもり/長老_M/ネキ(3)/頭脳まさき(3)/倉田 をるけ(2)/Y氏/永田おふとん/一酸化炭素/まるまる(2)/3ねこ/京/ふもー(2)/永栄/omiun(2)/やや不安/ミスティカティ(2)/高見盛/ピチピチマッチョまちゅり/気球マイスター/初心者まゆげ(2)/寿司ブルドーザー/ちぇん(2)/南部屋敷/＃の中のカマ吉くん/ニューロン/泥だ/まろ/投票ボーナス(3)
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,6位,ぜ。,人間を食う生き物がいてもいいと思いませんか？そこで,47,71.31,シャンプー/珍百景のクロ/森山/アマテイン(2)/寺井(2)/きれいな市役所/やじうさん/長老_M/コク(2)/暮らし(2)/がんばりま翔/フニャダキシン/京/トリニダード木箱/チャイニーズマフィア/omiun/やや不安(2)/ミスティカティ(2)/高見盛/白黒まみれ/ハゲイナズマ/田口さん🍙/合鴨の世界/螺旋貝柱/マイナスいち髪(2)/実家に帰った鶴/テケ罪(2)/おてつき(2)/あいし(2)/南部屋敷/ありあ(2)/資本ネコ/まきびし/投票ボーナス(3)
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,8位,やる,リモコンのdボタンで犠牲になったメンバーに線香を備えれる,45,69.74,シャンプー/みーくん(3)/eakon_zuki/やじうさん(2)/長老_M/シュヴァルツ/中沢の人/大喜利/せんだい/北戸田スイッチ(2)/倉田 をるけ/Y氏/ハッスル運動会(2)/猫屋敷/京(2)/トリニダード木箱/ふもー/永栄/きらら(2)/やや不安/おきよ/パンジ/ハゲイナズマ/後悔しない名前を付けよう/螺旋貝柱/とんかつラーメン/イガイガの栗/シンマイ子/物数(2)/ちぇん(2)/フイ/泥だ/旋風客/投票ボーナス(3)
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,9位,なめたっけ,やマーダーくん 殺して,43,68.18,シャンプー(2)/たいら(2)/さんべ商会/盛りすぎ店長(2)/寺井(2)/きれいな市役所/みやもり/試家軽気/シュヴァルツ(2)/せんだい/ワッショイサンバ/ししだ/倉田 をるけ/かいけつ/納屋の鍵(2)/ソフト/棒/きらら/大王にのまえ/白黒まみれ/ぬりかべ/ハゲイナズマ/田口さん🍙/なかにし/ガッボデ(2)/寿司ブルドーザー/灰色こたつ(2)/おてつき(3)/ううここ/カクレミノムシ/資本ネコ/泥だ/あまるる
1504_5155_QET,2022-12-04,180人,バイオレンス笑点,NA,10位,ちぇん,客の腹が本当によじれている,42,67.39,さんべ商会/じゃん/eakon_zuki/シュヴァルツ/せんだい/中サラ/ネキ/住まなくても都/ｼﾉﾀﾞ@qop397(2)/ほろほろ/トリニダード木箱/美ナスビ(2)/omiun(2)/きらら/PD/C.C.C/ピチピチマッチョまちゅり/他のＰ/下痢ネキ/合鴨の世界(2)/ぜ。/半丙太(2)/れれれのれき(2)/釜ちびちび/テケ罪(2)/ううここ/渚にて(3)/ありあ/ニューロン/はっぴーえんど/投票ボーナス(3)
