お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,1位,住まなくても都,新しく覚えること,109,106.36,ダスチン・コフマン(3)/乳白色の駱駝(2)/Gully/渡利　巣手呂/ねむみ/ペッタ(2)/プーアル茶(2)/ドロップシンカー/よれん(2)/射的屋(2)/シャンプー(2)/循環/のちほど(2)/緑が好き/ホテル三国志/Longab/せんだい(2)/水谷新太郎(2)/玄の字。/うえじゅん/ハルマレ/ほっぺちゃん(2)/煮屋/大王にのまえ/んん゛/ウラヌス(2)/2ミリのおもち/初期装備(2)/きれいな市役所/少しだけ賢い(2)/ドゥラちゃん/寺井(2)/れれれのれき(2)/シーサイド品川/ジェリ/まきびし/やや不安(2)/カレーラ水(2)/ジェンツーペンギン(2)/Y氏/堅あげポテト好き/バルチャイ(2)/栄養チーズ(2)/気球マイスター/100エーカーの森喜朗/盛りすぎ店長(2)/ベンジャミン/多屋光(2)/試家軽気/800/机上で実演(2)/顔面激戦区(2)/ととまる/高見盛/スコール(2)/ふぉとん(2)/AYAKA/すーず/ハッスル運動会/ダダダチョウ/手も繋いで(2)/シュヴァルツ/是非/半丙太/コモリヤ(2)/パンジ/やもりみゆき/きゅーきゅー(2)/りろ/ノビッタ/カタン(2)/open(2)/森山/投票ボーナス(3)
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,2位,ペッタ,心当たり,86,91.34,ドロップシンカー(2)/初心者まゆげ/ふぉっ/コインロッカーベイビーズ/やまぐ/Longab/里/水谷新太郎(2)/うえじゅん/ハルマレ/煮屋/猫屋敷/敵刺/大王にのまえ/ウラヌス/2ミリのおもち/ドルフィンキック/木製の脚立(2)/業務用虚無/omiun(2)/少しだけ賢い/きみをゆるさない。/さっくら観光/類い/シーサイド品川/サメVS巨大タコス/ジェリ/PD(2)/まきびし/やや不安/カレーラ水/Y氏/栄養チーズ(2)/100エーカーの森喜朗/チョゴゴロネ(2)/ゆうない/ベンジャミン/多屋光/ぬりかべ/焼き網膜/トリニダード木箱/机上で実演/顔面激戦区(2)/よーすけ(3)/高見盛/ししだ/ふぉとん/ikdboy(2)/はっぴーえんど/ハッスル運動会/農家/シュヴァルツ/是非/くすも(2)/白キごはん/コモリヤ(2)/やもりみゆき/きゅーきゅー(2)/Yuki/ノビッタ/ハチコー(2)/ちぇん(2)/カタン/世界/open/森山(2)/投票ボーナス(3)
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,3位,rayleigh,一生守ると誓った女,74,83.51,Gully/A味噌汁/ペッタ/春巻き、咲いちゃいました(3)/射的屋/循環/ほろほろ/安達些細/美味い焼肉屋/ましましのしま/Longab/水谷新太郎(2)/ハルマレ/ほっぺちゃん/煮屋/スパルタ/2ミリのおもち/きれいな市役所/かしわ/きゃんの(2)/三角大陸(2)/業務用虚無(2)/画鋲半分分(3)/あっちぇしー/sakamata2/れれれのれき/サメVS巨大タコス/ジェリ/カレーラ水/ぷろみん(2)/Y氏/気球マイスター/盛りすぎ店長/ゆうない/ベンジャミン(2)/灰色こたつ/福井とマルコ/800/中サラ/トリニダード木箱/山渕/ししだ/ikdboy/納屋の鍵/AYAKA(3)/カッツウォ(2)/シュヴァルツ(3)/白キごはん/半丙太/たいら(2)/ノビッタ/ハチコー/ちぇん(2)/カタン/投票ボーナス(3)
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,4位,コモリヤ,一年の時は仲良かったやつ,69,80.24,ダスチン・コフマン(2)/Gully/渡利　巣手呂(2)/赤ぺこり/夢描めろん/初心者まゆげ/コインロッカーベイビーズ/射的屋/ちゃーぱ(3)/シャンプー/お汁かける/安達些細/やまぐ/ホテル三国志/ましましのしま/えふ/せんだい/うえじゅん/ウラヌス(2)/きゃんの(2)/6年2組の2組ちゃん(2)/少しだけ賢い/あっちぇしー/ドゥラちゃん/さっくら観光/類い/シーサイド品川/みやまる/こんなところにエビチリ/まきびし/やや不安(2)/ぷろみん(3)/堅あげポテト好き/気球マイスター/チョゴゴロネ/꒰ঌPё天使໒꒱/ぬりかべ/机上で実演/高見盛/rayleigh/山渕/泥だ/納屋の鍵/AYAKA/ハッスル運動会/kubodi/青いかさ/農家/シュヴァルツ(2)/きゅーきゅー(2)/ノビッタ/カタン/世界/open/投票ボーナス(3)
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,5位,射的屋,伏線,67,78.94,Gully/ねむみ/ペッタ/よれん(2)/お汁かける/循環/のちほど/緑が好き/ホテル三国志/Longab/ささちー(3)/玄の字。/うえじゅん/ほっぺちゃん/ウラヌス/きゃんの/業務用虚無(3)/omiun/類い/みやまる(2)/きらら(2)/まきびし/カレーラ水/Y氏/恋する占い焼き菓子(3)/100エーカーの森喜朗/チョゴゴロネ(2)/他のＰ/シンマイ子(2)/多屋光(2)/福井とマルコ/焼き網膜/机上で実演/顔面激戦区(2)/ししだ/ikdboy(2)/チャイニーズマフィア/ハッスル運動会/農家/くすも(3)/コウチーニ/白キごはん/きゅーきゅー(2)/Yuki(2)/りろ/物数/投票ボーナス(3)
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,6位,とりふぐ,使ったことない形容詞,60,74.36,ダスチン・コフマン/Gully/A味噌汁/ねむみ/夢描めろん/プーアル茶(2)/初心者まゆげ/射的屋(2)/シャンプー/ましましのしま/カンガルーノート/ほっぺちゃん/煮屋(2)/んん゛/後悔しない名前を付けよう/2ミリのおもち/かしわ/三角大陸/6年2組の2組ちゃん(2)/画鋲半分分/ドゥラちゃん/寺井/サメVS巨大タコス/1/やや不安(2)/カレーラ水/ジェンツーペンギン/堅あげポテト好き/バルチャイ/栄養チーズ(2)/気球マイスター/꒰ঌPё天使໒꒱/ゆうない(2)/ぬりかべ/試家軽気/机上で実演/住まなくても都/山渕/スピ力/チャイニーズマフィア/AYAKA/青いかさ/シュヴァルツ/是非/白キごはん/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/やもりみゆき/りろ/ちぇん/open/投票ボーナス(3)
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,7位,乳白色の駱駝,オンライン参加者,59,73.71,明石/赤ぺこり/プーアル茶/射的屋/シャンプー/のちほど/ホテル三国志/Longab/えふ/ほっぺちゃん/ウラヌス/2ミリのおもち/きゃんの/三角大陸/業務用虚無(2)/6年2組の2組ちゃん/画鋲半分分/ドゥラちゃん/カレーラ水/Y氏(2)/goigois(3)/3ねこ/シンマイ子(2)/中サラ/机上で実演(2)/高見盛/住まなくても都/rayleigh(2)/ししだ/ふぉとん(2)/泥だ/チャイニーズマフィア/ハッスル運動会/シュヴァルツ(2)/コウチーニ/白キごはん(2)/半丙太/コモリヤ/やもりみゆき/Yuki(2)/たいら(2)/あかやくん(2)/open/投票ボーナス(3)
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,8位,ダークエンジェル,今ほんっっとにそれどころじゃない人,57,72.41,乳白色の駱駝(2)/桃山ももたろう/ハラミ/ペッタ/春巻き、咲いちゃいました/初心者まゆげ/ふぉっ/射的屋(2)/シャンプー/お汁かける/循環/安達些細/美味い焼肉屋(3)/緑が好き/ましましのしま/せんだい/水谷新太郎/うえじゅん/ほっぺちゃん/大王にのまえ/きゃんの(2)/少しだけ賢い/あっちぇしー/ドゥラちゃん/れれれのれき/まきびし/恋する占い焼き菓子(3)/ゆうない/多屋光/灰色こたつ/試家軽気/そいそーす(3)/高見盛/スコール(2)/住まなくても都/山渕/ししだ/スピ力/カッツウォ/掻痒/きゅーきゅー/ノビッタ/ハチコー/物数/投票ボーナス(3)
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,8位,副編集長,反省点,57,72.41,乳白色の駱駝(2)/A味噌汁/渡利　巣手呂/ねむみ/春巻き、咲いちゃいました(2)/よれん/射的屋/シャンプー/安達些細/せんだい/玄の字。/南部屋敷/新Goo/木製の脚立(3)/業務用虚無(2)/omiun/6年2組の2組ちゃん/少しだけ賢い/きらら/ジェリ/PD(2)/まきびし/ラテ/堅あげポテト好き(2)/100エーカーの森喜朗(2)/多屋光/灰色こたつ/しんぼうたまらん(2)/焼き網膜/800/顔面激戦区/高見盛/ししだ/ikdboy/さとうふじこ/ハッスル運動会/カッツウォ/kubodi/農家/ダダダチョウ/コモリヤ/やもりみゆき/Yuki/りろ(2)/ノビッタ/がんばりま翔/TwistNight
0612_0714_ICQ,2022-12-16,193人,ドキッ！○○○だらけの水泳大会,NA,10位,open,事務所の思惑,54,70.45,赤ぺこり/初心者まゆげ/ふぉっ/ましましのしま(2)/Longab/里/水谷新太郎(2)/カンガルーノート/南部屋敷/猫屋敷/敵刺/新Goo/スパルタ/初期装備/きれいな市役所/業務用虚無(2)/みやまる/ジェリ/まきびし/バルチャイ/盛りすぎ店長/ベンジャミン/多屋光/焼き網膜/800/そいそーす(3)/中サラ/机上で実演/よーすけ(2)/たる棒/納屋の鍵(2)/ハッスル運動会/kubodi/青いかさ/農家(2)/シュヴァルツ/コウチーニ/半丙太/コモリヤ(2)/きゅーきゅー/物数/カタン/投票ボーナス(3)
